,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8
1965-01-01,-1.5209446056085358e-05,1.0346573237561943e-06,-3.8005787895859354e-05,0.006627570110140368,0.01693249068921432,1.628365983682064e-05,-1.985454685218895e-05,0.02207970683230087
1965-02-01,-1.7929277271113554e-05,3.1795612093975107e-06,-1.2261864737541017e-05,0.007764516340103,0.018682327936403453,1.322739384098289e-05,-4.872958342252203e-05,0.02497187233529985
1965-03-01,-1.622695277166163e-05,3.4929328549963263e-06,-2.1958654932469864e-06,0.006414224480977282,0.013499220949597657,1.153238220770921e-05,-3.3144797038030214e-05,0.019613780023064464
1965-04-01,-1.2724047675958922e-05,9.87931233560189e-07,-3.265297241991253e-05,0.0042186275095446035,0.015231111319735646,1.1609025326227615e-05,-1.3308003988827411e-05,0.019296116079203784
1965-05-01,-3.194062374796188e-06,2.7641982467434492e-06,-2.0896940051378417e-06,0.0043711774196708575,0.008510838233632967,-2.8115827414391488e-06,-2.91709838142523e-05,0.015572104894090444
1965-06-01,5.095366336612388e-06,2.717020115215599e-07,3.6668653332786306e-06,0.001266787057829788,0.007245571759995073,-1.7239384154284686e-05,-1.5074971461450705e-05,0.004862203422817402
1965-07-01,6.1447058955267026e-06,-8.513046310469179e-07,5.842850571623006e-06,0.00030258197512011975,-0.0009185408998746425,-1.2770841143113406e-05,2.6305131975790664e-07,-0.0014345183444675058
1965-08-01,1.4739552710146431e-06,-1.3914500902122275e-07,9.127244636277153e-07,0.0006269747245823964,0.001794155832612887,-3.6522339996736264e-06,-4.7316065413328124e-06,-0.0013501673493010458
1965-09-01,1.6253939383056795e-06,-2.818665951075629e-06,-6.308740531884334e-06,0.002039182982116472,0.006159774784464389,-1.1033497836857958e-05,-1.675448985247968e-05,0.0032218435080721974
1965-10-01,-4.695092959378218e-06,1.961151560509078e-06,-1.0922628592067798e-05,0.0027644682631944306,0.00895502817002125,-1.8451628420734778e-05,-3.9531210532937294e-05,0.007541698141722009
1965-11-01,-1.1482694220788734e-05,5.038292944524717e-07,-3.440873635034742e-05,0.005536613753065467,0.01715862308628857,-1.981797102719914e-06,-1.945789639042535e-05,0.01452579308534041
1965-12-01,-1.6248660083578597e-05,4.191525329882419e-06,-3.901673543233691e-05,0.006817135727033019,0.019010758842341602,1.4886871516258301e-05,-2.5557421441846647e-05,0.020885327830910683
1966-01-01,-1.6716148820705712e-05,-3.6225214817186173e-07,-6.9123968517357885e-06,0.006640950596192852,0.012830975174438208,2.2434820815912343e-07,-7.305575658952315e-06,0.020560662960633636
1966-02-01,-1.5179838830886713e-05,2.608923589473116e-06,-3.945134916908241e-05,0.007112650200724602,0.017599297279957682,1.922728642966831e-05,-2.671234212287415e-05,0.026419840287417173
1966-03-01,-1.2879698176199549e-05,2.8218423749367613e-06,-4.1491324996708764e-05,0.00488144469272811,0.016572800814174116,1.5170013890989747e-05,-2.890165911268037e-05,0.017627811757847667
1966-04-01,-1.2680302038355622e-05,2.06366172267757e-06,-2.5629675032437914e-05,0.005605287879006937,0.01145742426160723,9.957078267082883e-06,-1.6365620234491638e-05,0.020405056420713663
1966-05-01,-4.447524800123701e-06,1.137712519005231e-06,-2.3632900203145777e-05,0.004739079304272309,0.011296118464088067,-6.94762547936989e-06,-2.0688294637530373e-05,0.016825352213345468
