,r500_cluster1,r500_cluster2,r500_cluster3,r500_cluster4,r500_cluster5,r500_cluster6,r500_cluster7,r500_cluster8,r500_cluster9
1965-01-01,11.7789955,36.698315,31.47628,36.657364,58.851,35.10943,50.626465,10.543922,45.53056
1965-02-01,7.978771,46.423286,67.22133,39.340454,39.255276,15.9051895,57.088486,15.797077,26.13631
1965-03-01,7.187603,52.61339,66.14186,24.006874,45.967915,14.534161,50.657585,16.78481,29.332102
1965-04-01,14.942028,54.814903,55.137592,51.58471,45.270115,30.406649,54.823093,24.060928,41.520668
1965-05-01,9.854313,67.91585,67.390045,74.9004,38.005463,52.42174,55.178543,51.72394,28.377132
1965-06-01,26.092083,85.31498,49.140774,55.288292,36.549255,11.446476,55.599518,80.227264,17.86591
1965-07-01,71.8078,82.6925,42.53297,46.505188,33.790817,17.297512,54.92629,86.99887,39.7172
1965-08-01,52.993416,85.73268,73.4147,73.878265,16.018211,28.821037,52.10233,74.70875,35.176586
1965-09-01,13.706955,77.92256,67.52436,67.576775,32.136406,33.115948,51.62566,61.732292,15.271271
1965-10-01,9.294109,54.963963,75.57363,75.75709,50.38895,49.429066,47.289803,40.908047,26.300114
1965-11-01,24.295168,50.92786,69.945366,68.92323,38.790077,49.61744,44.60999,13.605396,20.973248
1965-12-01,9.348164,44.67387,79.42463,65.83883,36.19216,38.8343,39.140614,25.199358,14.466999
1966-01-01,14.830208,43.57292,62.349506,38.4692,43.51875,43.934074,40.75102,16.319134,23.269655
1966-02-01,23.640656,50.85997,54.78995,31.764917,52.13221,24.90961,48.64546,7.088436,33.928543
1966-03-01,6.8421974,42.00684,63.803963,42.08071,49.47282,25.715635,57.206383,8.885986,29.12523
1966-04-01,15.215981,49.92262,65.5342,52.209362,51.58884,36.899834,60.850727,35.143326,43.164165
1966-05-01,17.177689,57.81049,63.90574,68.6319,45.332714,44.976486,52.841377,26.961607,23.38621
1966-06-01,44.77129,72.50114,52.314426,61.238144,31.842073,41.210667,54.35493,79.364655,28.429193
1966-07-01,67.73558,86.50067,54.116898,69.109604,31.825657,36.955647,55.31034,80.34961,43.254456
1966-08-01,54.371346,85.47304,73.60101,67.31369,20.020935,32.122787,64.50164,80.90776,26.175282
1966-09-01,24.431906,75.48228,67.34489,67.633804,33.265335,32.866432,54.963963,59.481636,28.02372
1966-10-01,26.539717,58.994083,76.155334,72.67023,48.033142,45.651184,51.294994,35.08423,26.669403
1966-11-01,11.233467,58.708443,73.51072,50.598957,27.321115,36.924454,42.7078,47.194286,10.246868
1966-12-01,9.270119,44.610413,68.705765,59.241962,46.529438,45.473892,53.066277,16.368382,23.547085
1967-01-01,4.1116333,50.94638,63.6246,34.82582,42.811783,16.71891,51.86355,18.585342,17.397919
1967-02-01,10.19738,45.882526,48.137444,25.30787,52.13887,25.257198,56.35143,7.2246056,36.27843
1967-03-01,24.194769,55.405544,27.216528,34.379906,51.267307,22.922894,52.32467,29.457933,41.544975
1967-04-01,22.216858,49.737,47.368916,37.44896,57.273666,31.071003,56.177456,31.071003,42.24594
1967-05-01,16.696953,58.116516,61.810528,67.551704,40.751106,44.524506,61.474403,31.961147,24.834929
1967-06-01,38.325592,74.95155,47.500664,70.3049,24.014038,50.108597,60.579193,73.04627,19.55656
1967-07-01,67.94864,74.6661,57.04733,56.302444,30.696028,23.949852,53.69282,82.8159,43.338776
1967-08-01,75.552864,84.449234,65.24949,66.871,20.74905,27.302671,51.270683,85.64848,34.51841
1967-09-01,21.348671,70.95351,61.891605,65.75284,30.447735,22.303001,49.70322,76.43456,20.811546
1967-10-01,19.592033,58.942474,66.05349,66.87945,40.8913,50.10184,49.328243,39.9792,31.597996
1967-11-01,27.480024,63.095917,74.08675,66.274765,49.99374,50.323112,46.22372,19.293064,36.742928
1967-12-01,6.138527,49.40763,62.864513,42.811783,46.97029,25.117004,55.383587,24.340029,39.362686
1968-01-01,5.813141,59.407307,53.680424,25.894253,49.29754,21.842943,55.8099,7.989292,28.989475
1968-02-01,27.481298,51.7779,30.542719,11.086124,54.88278,13.292858,61.53195,14.680313,38.37493
1968-03-01,6.1254005,53.72227,60.80925,44.02134,52.713066,42.60008,59.119194,10.90424,25.64316
1968-04-01,18.72036,48.375248,61.34524,36.366177,52.020947,26.431852,55.763218,41.545803,35.653133
1968-05-01,8.634735,64.02519,78.50658,46.46468,44.228973,37.542778,68.61249,30.76806,34.310745
1968-06-01,39.1588,78.45185,64.5306,46.14759,42.537304,29.176186,54.79908,72.25819,17.262077
1968-07-01,63.159237,73.627945,56.503624,54.92785,14.9088745,21.419624,52.077282,84.21092,36.966553
1968-08-01,51.48174,74.96228,52.24629,44.349693,15.5800705,17.868889,49.468155,73.974,29.745977
1968-09-01,28.558107,76.55415,69.95005,58.77957,21.799484,18.449947,43.853943,64.72858,10.099449
1968-10-01,14.292404,63.59865,74.260506,60.907436,39.03164,36.324326,46.488823,58.407757,17.690228
1968-11-01,19.945248,49.28949,61.755684,46.904095,49.36675,37.38826,45.053078,32.126545,27.099829
1968-12-01,13.790215,41.119267,56.94787,31.579288,51.728004,31.474665,51.117973,18.633442,32.693115
1969-01-01,15.888695,43.32062,51.530983,41.2367,57.806152,34.37997,59.453903,10.1466255,31.174704
1969-02-01,23.119762,35.354248,50.491528,29.956436,56.27705,33.31712,55.199158,10.8902855,29.186035
1969-03-01,22.74208,39.79951,66.51785,24.287895,58.018387,20.303875,60.401447,23.550919,35.345894
1969-04-01,9.962799,50.359505,61.9623,50.750557,42.028824,22.105373,51.00624,33.036366,38.039787
1969-05-01,11.602196,58.51806,78.61364,62.704292,40.223984,24.510159,49.600803,49.6242,40.58328
1969-06-01,14.466549,72.84984,58.93585,59.804848,23.484074,18.251701,47.50518,78.46825,29.055687
1969-07-01,64.1231,80.162796,49.894928,42.759117,23.236744,22.850708,58.005016,76.227234,24.886168
1969-08-01,44.241425,76.35091,64.78989,58.48965,15.786755,21.358368,52.015617,72.010925,30.812065
1969-09-01,24.053934,79.056496,59.67951,37.847607,35.930798,9.36787,41.81826,53.98757,10.761608
1969-10-01,6.861145,59.574226,74.467514,55.025356,47.680653,28.87019,50.314384,59.831585,23.644503
1969-11-01,18.732994,46.04794,73.36957,61.801872,50.227486,35.03506,47.160927,32.35621,25.06498
1969-12-01,6.558666,43.900513,78.6972,61.766777,45.693657,24.617111,55.25765,30.820421,23.913557
1970-01-01,12.751614,49.130558,64.33948,48.781364,56.322937,23.205885,50.26419,15.619629,39.3846
1970-02-01,7.2307243,52.668823,41.65518,49.15538,46.903004,18.26588,53.16696,8.744999,32.701942
1970-03-01,15.965511,51.134693,66.762314,30.717669,48.826046,23.761946,51.98037,13.438416,34.287376
1970-04-01,19.861244,51.942303,66.06724,59.66261,50.113594,26.464466,53.95968,29.173607,32.923706
1970-05-01,13.814087,59.497116,59.687435,68.936905,43.866184,39.69242,44.82605,46.55712,31.682499
1970-06-01,35.005623,68.97662,70.045715,49.60387,33.362267,22.510807,55.99857,75.87608,25.401993
1970-07-01,64.65723,86.36179,58.034145,57.964638,41.059402,19.265465,56.437126,79.79002,30.36682
1970-08-01,60.99484,71.40608,67.55503,56.81942,30.656435,33.319237,49.02133,69.99773,39.85295
1970-09-01,35.267105,70.41974,74.91456,68.92532,23.19099,32.77476,55.090004,60.89058,25.792559
1970-10-01,7.3018875,48.233578,75.60632,56.88231,29.703188,28.448742,37.85709,53.55422,8.630806
1970-11-01,5.269619,51.281982,75.94724,53.410236,43.015545,16.804565,47.432587,29.65354,16.418964
1970-12-01,6.8533974,37.09085,53.12393,42.672974,52.735023,38.158287,55.538494,7.8562927,20.807873
1971-01-01,11.557629,51.776917,64.90892,29.859255,43.48489,18.935081,52.56301,12.724091,34.961258
1971-02-01,4.5960464,43.148476,59.117176,30.929358,54.77929,10.022633,61.453484,11.633701,34.03147
1971-03-01,9.170605,45.61326,61.712135,37.91799,51.27652,22.351631,43.15862,13.0960045,33.341736
1971-04-01,11.451126,53.793713,62.946217,28.762104,45.64876,19.383068,46.05449,35.397415,33.497265
1971-05-01,16.960548,72.58052,53.619587,45.347847,44.140812,30.040142,55.661743,40.16301,34.868282
1971-06-01,43.06057,65.11347,55.36252,39.513847,34.927452,21.15643,58.816265,74.35726,30.843142
1971-07-01,58.691166,76.49747,52.833496,53.988125,21.886738,20.292572,57.0074,65.766014,36.30861
1971-08-01,46.58869,74.97261,67.97384,43.70804,29.186426,20.21988,54.343132,63.89291,32.269943
1971-09-01,21.273075,72.66505,70.482574,48.559845,24.911087,26.20772,47.303787,54.97708,14.666504
1971-10-01,10.626148,67.73717,65.025566,43.00309,28.303972,14.71891,45.560852,44.647972,8.254341
1971-11-01,19.844582,55.895035,56.633797,37.280663,54.0101,27.215273,59.585453,7.1960716,23.276348
1971-12-01,9.46983,49.69588,76.11203,57.507797,54.574734,32.97489,48.392483,10.181541,21.320412
1972-01-01,13.740955,38.975307,30.837448,20.208008,58.420357,26.402014,58.057915,6.745678,33.71585
1972-02-01,13.521538,43.747177,52.564415,14.381321,59.294765,28.744066,64.84678,8.252327,31.630594
1972-03-01,7.8037453,44.223392,42.10563,14.711258,53.79801,7.790745,53.893906,12.931557,40.168278
1972-04-01,25.977812,56.60815,59.395535,32.974716,41.855335,14.561729,46.089233,24.186735,41.947975
1972-05-01,9.391663,59.054222,42.312042,44.862133,48.05909,14.751888,56.123814,30.414871,34.226192
1972-06-01,33.192505,68.60446,56.728424,61.805847,35.401283,39.406013,52.50265,59.73197,27.039131
1972-07-01,58.600765,85.13048,48.47029,42.729744,30.335232,30.141823,53.8744,70.15825,31.945902
1972-08-01,38.06677,74.47829,52.479897,32.57814,29.537212,8.884567,65.774826,64.87929,28.378376
1972-09-01,18.48357,74.073586,74.49941,59.95301,28.467766,24.365519,46.173748,49.614502,13.298874
1972-10-01,18.6461,56.0458,72.293884,67.33673,36.78116,57.732857,38.829033,44.05761,23.733278
1972-11-01,22.342024,46.906757,66.21853,59.618202,41.631042,61.355644,41.19384,20.040604,26.579172
1972-12-01,11.1096,48.21512,65.44001,54.246593,66.13727,42.316917,57.484184,17.08419,29.163393
1973-01-01,6.087261,51.89417,51.67575,35.13022,52.02719,29.269073,56.193546,12.764595,30.6699
1973-02-01,9.655842,52.02883,47.846054,35.810104,50.989296,17.965557,46.706345,15.728832,36.649284
1973-03-01,6.0675545,49.056385,64.687195,42.21811,53.487137,18.024677,57.778305,9.036716,35.332214
1973-04-01,15.36097,49.526062,70.38083,49.67058,47.2647,29.62708,43.499054,26.503548,36.46207
1973-05-01,21.524284,63.14349,69.47924,63.92848,44.83255,36.94489,51.754578,43.843925,39.544548
1973-06-01,40.782795,68.03243,64.56074,58.12153,30.747087,33.81643,49.599964,63.381615,23.915382
1973-07-01,68.621994,72.53052,59.152855,58.58464,22.99573,33.207157,54.042213,69.29202,51.605137
1973-08-01,68.36745,75.39786,74.40595,64.04672,16.147602,18.172482,52.677517,69.71408,48.952923
1973-09-01,29.287138,69.06375,61.112045,49.521137,21.905285,16.382442,53.46579,58.144524,15.881561
