,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7,r50_cluster8,r50_cluster9
1965-01-01,1.9557419,6.7518883,4.638832,2.9729576,6.838703,6.322727,4.923851,2.263691,3.5511818
1965-02-01,2.0294533,6.6585197,6.1065063,3.7067947,6.507824,6.4046288,4.247345,1.7673683,2.9729576
1965-03-01,2.0261803,6.1802177,6.496357,4.265362,6.0802994,6.306347,5.4234467,1.9999695,4.3292465
1965-04-01,1.7968559,6.0475388,4.6290054,3.4201393,5.846058,5.4496574,4.8501396,2.6944923,4.4160614
1965-05-01,2.4455147,5.6855316,4.5831413,4.2571716,5.208866,4.728924,4.2719154,3.3022041,4.535637
1965-06-01,1.9442787,5.0958443,3.7297287,3.377552,4.5110664,4.095009,3.6216164,2.4537048,3.8312836
1965-07-01,2.3488693,4.7895317,3.441433,3.2841835,4.34235,4.0491447,3.8705978,2.2178268,3.2661667
1965-08-01,2.1277351,4.4652023,3.1547813,2.643715,4.1015587,3.685501,3.1138306,2.0065231,2.6797523
1965-09-01,1.6903839,5.087654,3.031929,2.450428,4.5028763,3.7592125,3.0433922,1.9262581,2.5241394
1965-10-01,1.7968559,6.1671143,3.225216,2.701046,5.1842957,4.209671,3.1433144,1.9262581,2.57164
1965-11-01,2.2227402,7.806778,4.117939,3.4119492,6.735508,5.4300003,3.7330017,2.275158,3.1662445
1965-12-01,4.2457047,10.498058,6.496357,5.1498985,9.421875,7.5283127,5.93779,4.3177795,5.364479
1966-01-01,3.1600952,10.501316,6.6960945,4.9313774,9.437561,7.9141617,6.1248207,2.9598198,4.921528
1966-02-01,3.158455,10.473408,6.66819,5.06435,9.450695,8.155476,6.2889786,2.9434052,5.399235
1966-03-01,2.8301353,8.401714,5.991852,5.0348015,7.6252403,6.5171623,5.482956,2.8580437,4.693348
1966-04-01,2.2637863,6.23645,4.102371,3.2339668,5.7981415,5.051216,4.043274,2.7365646,3.7674866
1966-05-01,2.222744,4.1417694,4.230419,3.6033287,4.4372597,4.235344,4.4027863,2.5576286,4.4684486
1966-06-01,2.4427185,2.866249,3.5507965,3.6607819,2.9598198,3.2635155,3.4933395,2.464058,3.5869102
1966-07-01,2.4312286,2.465702,3.1863632,3.4572258,2.757904,2.8941574,3.4473763,2.171856,3.253666
1966-08-01,1.8796501,2.3212395,2.9647446,2.6413536,2.4936066,2.6085205,2.8104362,2.0585861,2.6807518
1966-09-01,1.6547508,2.4131699,2.7480545,2.3228836,2.547779,2.7053757,2.7693977,1.9272575,2.3786964
1966-10-01,1.8911438,3.0681686,3.2815742,2.6774673,3.2569504,3.2520256,3.1683044,1.5661049,2.4180946
1966-11-01,3.4129028,4.719612,5.934395,4.8033333,5.093899,5.8244095,5.4813156,3.2618752,5.0265923
1966-12-01,2.5247993,5.30402,6.2742043,4.2960815,5.6963615,6.484329,6.710869,2.171856,4.6079826
1967-01-01,2.216488,5.9696198,7.4120903,4.368374,6.175686,7.2009583,7.0489388,1.9023209,4.265339
1967-02-01,2.3279686,5.1842003,6.135151,3.9342804,5.369999,6.1098137,6.3006783,2.664093,4.739971
1967-03-01,1.9479256,4.442692,4.8649635,3.3397255,4.527149,4.814289,3.8734741,2.3533058,3.4360046
1967-04-01,2.3229027,4.221424,4.2315598,3.1319695,4.3075676,4.462963,3.9967766,2.9225235,3.9427261
1967-05-01,2.387085,4.424114,4.150482,3.5829544,4.361618,4.261963,4.1116333,2.9326591,3.9562378
1967-06-01,2.6117325,3.914013,3.6893654,4.155552,3.7839546,3.704567,3.699501,2.9613724,4.437626
1967-07-01,2.5830193,3.2316246,3.2654076,3.9967766,3.116768,3.1049423,3.4545822,2.6421356,3.7062569
1967-08-01,2.4394493,3.53228,3.322834,3.1978416,3.4174232,3.3819542,3.2265587,2.3245888,3.2941208
1967-09-01,2.137104,4.7923317,3.6809196,3.115078,4.403843,4.152172,3.6961212,2.2840538,3.1285896
1967-10-01,2.2181778,6.8698997,4.1369705,3.0188026,6.2871666,5.515259,4.2704086,2.1134567,3.142105
1967-11-01,2.6860542,7.6857224,4.395401,3.145481,6.5658646,5.518635,3.7113228,2.0577164,2.4664726
1967-12-01,1.9040108,8.871456,4.495056,2.7924652,8.070831,6.7145042,5.5963326,1.9597511,3.4664078
1968-01-01,2.4410706,10.622562,7.050907,4.5319138,9.745342,8.560692,6.2718697,2.4700432,3.7174683
1968-02-01,2.3219643,7.4613495,4.708969,3.0527115,6.9865227,6.476288,5.064686,2.4426804,3.7416115
1968-03-01,2.0934029,5.8904,3.8542824,2.7678146,5.3093414,4.5689354,4.1456146,2.7517204,3.5017853
1968-04-01,1.7296371,4.8441734,3.305416,2.6744614,4.501335,4.1874657,3.4374008,2.2752838,3.212059
1968-05-01,2.3557625,5.1612625,3.7174683,3.289322,4.5415726,4.047432,3.7915077,2.7855225,3.6563034
1968-06-01,2.170662,4.597908,3.5243187,3.2168884,4.0957184,3.5194893,3.4921265,2.8434677,3.6241112
1968-07-01,2.4346352,4.354862,3.3553123,3.340828,3.815651,3.0414467,3.012474,2.2849426,3.0140839
1968-08-01,2.0000458,4.316231,3.0092545,2.618126,3.9251022,3.6530838,2.952919,1.8551865,2.6052475
1968-09-01,2.1320343,4.494896,2.9835014,2.6551476,3.9733925,3.5275383,3.0414467,2.222168,2.7227478
1968-10-01,2.453949,6.421562,3.245861,2.885315,5.2063293,4.116646,3.2490807,2.1062775,2.8643913
1968-11-01,3.8929138,8.544598,4.3870544,3.7222977,7.379261,5.813141,4.306576,2.8917542,4.039383
1968-12-01,3.1187057,10.7159195,5.516979,3.6691818,9.408939,7.612652,5.5137596,2.5585709,4.2550697
1969-01-01,2.3707619,9.707111,4.9276237,3.243103,8.477146,7.076721,5.188324,2.1919518,3.9316177
1969-02-01,2.6498451,8.59914,4.9125824,3.6725883,7.399254,6.478451,5.2501564,2.7317314,4.6301575
1969-03-01,2.3339996,7.2321396,5.253498,4.3026123,6.5302544,6.0188828,5.9620667,3.3400307,5.612793
1969-04-01,2.6632156,4.407894,4.9309654,4.513176,4.531559,4.6568985,4.4413185,3.14785,4.8557625
1969-05-01,2.7484436,3.6257973,4.163906,4.003475,3.8313484,4.100403,4.2441216,3.2965813,4.661911
1969-06-01,2.2454262,2.6732407,3.3199768,3.251461,2.8186302,3.2046661,3.4052048,2.4877434,3.4052048
1969-07-01,2.350708,2.7417603,3.261486,3.1879578,2.8370132,3.017498,2.8353424,2.0448875,2.9473114
1969-08-01,2.2170181,2.7300606,3.1996536,2.857067,2.8069344,3.055935,3.14785,1.907856,2.8069344
1969-09-01,1.5234909,3.2213783,3.2681694,2.4610062,3.1511917,3.2297363,3.2447739,1.6805801,2.5980415
1969-10-01,2.151844,3.787899,3.2464447,2.820301,3.7010002,3.6241264,3.1277962,2.0097961,2.6498451
1969-11-01,1.7257004,5.544277,4.0552826,2.913887,5.35878,5.1448708,4.255821,2.26548,3.9533424
1969-12-01,2.2203598,7.4376907,6.0974274,4.6201324,6.958069,6.7525177,6.140877,2.4576645,5.2200737
1970-01-01,2.7491417,10.169903,6.4628334,4.346161,9.307678,8.370979,6.0557175,2.9659386,4.5017242
1970-02-01,3.4144287,9.026337,7.4160805,5.956421,8.435524,7.914215,5.9332504,2.679634,4.629154
1970-03-01,2.3171997,7.702385,5.774376,4.1277084,7.172802,6.406563,5.7330017,2.739212,4.7036285
1970-04-01,2.5373077,6.4677963,5.4069786,4.33292,5.7892685,5.3275414,4.8823624,2.9543533,4.7499657
1970-05-01,2.2112846,5.1819077,4.2667236,3.7785149,4.7582397,4.400772,4.1144676,2.4760742,3.8960152
1970-06-01,2.3387146,4.7334175,3.6163292,3.5832329,4.188942,3.6643257,3.3316803,2.0292397,3.306858
1970-07-01,1.981247,4.5811615,3.0205536,3.0635796,3.9357338,3.5766106,2.9162903,1.9961433,2.904705
1970-08-01,2.0639954,4.625847,3.303547,2.9609756,3.9754524,2.951046,2.790516,1.9167061,2.625019
1970-09-01,2.337059,5.315956,3.447525,2.95932,4.6705284,3.939045,3.455803,2.1301918,2.9063606
1970-10-01,2.6647377,7.184387,3.7553444,3.5037956,6.075577,4.8575363,3.651085,2.8153381,3.3399544
1970-11-01,2.8732605,7.922493,4.528206,4.528206,6.858364,5.57082,3.9704895,2.7954788,4.0714417
1970-12-01,2.5720634,6.7557564,4.1690826,3.5087585,6.0639915,5.1057777,3.8645706,2.6068153,3.8893967
1971-01-01,3.823475,10.227184,6.0296097,4.988247,8.602589,6.890087,5.4091873,2.7263222,4.3238716
