,r800_cluster1,r800_cluster2,r800_cluster3,r800_cluster4,r800_cluster5,r800_cluster6,r800_cluster7,r800_cluster8,r800_cluster9,r800_cluster10
1970-01-01,55.313423,36.059822,73.91498,64.69529,40.584435,54.363483,75.89594,61.67502,59.566624,66.64316
1970-02-01,56.90713,45.021336,74.231064,66.719284,50.802048,49.421825,77.43835,53.2133,57.580692,55.425957
1970-03-01,51.81984,58.18309,75.844635,64.10613,55.871136,44.713516,87.91579,58.87982,62.854996,85.746155
1970-04-01,57.718052,42.214554,79.1479,42.383358,51.612972,62.514076,78.62825,57.881893,67.70894,60.554626
1970-05-01,56.73171,35.584854,82.40979,48.979958,52.882313,46.012646,73.26789,61.425125,74.04406,75.22734
1970-06-01,65.54924,58.457813,83.488815,59.847965,53.564148,53.418514,71.1446,62.633232,76.440414,69.83885
1970-07-01,71.43091,64.533104,77.019646,62.052345,69.89512,64.98821,55.563316,67.914154,72.54634,54.075523
1970-08-01,73.42511,66.13675,80.56784,55.16944,67.89264,70.38829,52.763157,69.43339,74.74907,68.93856
1970-09-01,74.567024,36.10285,78.40152,49.02133,69.559166,64.55131,48.048225,62.001045,71.91746,68.31796
1970-10-01,74.687836,46.32212,78.49916,47.053604,65.18185,69.04282,46.4661,65.382095,73.38539,69.668396
1970-11-01,67.46236,39.42432,78.29064,58.826866,57.10076,60.54966,41.153732,57.403614,73.74286,59.078415
1970-12-01,59.808247,36.978317,76.23686,67.965454,51.068493,46.653107,56.910442,41.17359,73.43173,59.651024
1971-01-01,70.42341,42.32688,80.368774,63.008766,47.526936,51.30188,66.20386,55.220516,69.00844,52.608654
1971-02-01,52.189404,56.640556,75.94636,58.601566,46.210014,51.37119,71.353195,54.547688,68.388016,68.52664
1971-03-01,72.825645,52.02373,74.79849,63.399277,60.554123,42.13416,60.99366,51.262997,72.02434,63.368847
1971-04-01,69.35331,41.3058,75.52711,43.789185,61.813564,60.11797,69.498695,68.548615,69.91625,68.022865
1971-05-01,66.875,37.7202,78.29788,52.82166,53.575634,60.653866,62.518513,69.78777,73.07584,71.03538
1971-06-01,68.72612,51.136208,82.76932,58.86867,64.17861,59.598976,62.300438,70.3017,78.076416,68.63315
1971-07-01,70.7818,66.10412,77.44754,69.61196,66.672134,60.83137,75.396935,70.540054,73.54243,63.477043
1971-08-01,67.29763,71.85359,78.76953,62.95636,62.491467,71.68793,64.66548,69.02027,71.109764,57.55513
1971-09-01,68.38971,54.632214,75.751945,64.608,69.946686,67.088005,47.682465,56.447838,70.77673,78.301254
1971-10-01,62.308887,41.577976,74.86273,53.766663,65.963806,59.38597,51.966255,69.45305,71.91445,61.11538
1971-11-01,64.126205,50.33997,74.50772,61.140736,58.339535,53.771736,66.63832,66.95276,71.310936,49.176888
1971-12-01,52.6898,51.029705,75.784065,67.78957,50.870796,33.7407,72.098724,69.24342,71.51887,60.440857
1972-01-01,59.987144,47.246445,71.265076,60.87618,64.99143,46.578445,73.42997,56.578896,69.42849,64.89716
1972-02-01,55.137257,51.16178,75.655,59.488174,43.565147,48.18424,78.56916,58.79255,71.91844,77.78252
1972-03-01,71.66165,51.582733,72.8855,63.005318,61.796097,53.650112,73.46248,53.521713,74.575806,41.77732
1972-04-01,53.323425,43.114937,79.32492,50.04683,56.85357,30.161325,77.07226,64.23729,64.26005,76.75695
1972-05-01,58.77955,39.249985,74.99513,48.915623,57.96365,55.673607,80.92584,65.878845,55.774372,79.55246
1972-06-01,68.220894,44.962902,73.93381,55.9174,66.33555,58.324463,74.060585,57.641838,81.324036,69.09206
1972-07-01,74.0037,62.290188,67.18558,70.06398,73.564865,64.731384,81.486565,70.749855,72.11023,77.598854
1972-08-01,74.88786,53.26004,74.92525,69.51788,65.324615,57.446804,79.16077,69.74217,77.90279,79.01286
1972-09-01,75.95243,49.962315,69.42524,58.940453,73.087036,65.02719,82.82744,71.825806,76.579796,68.98316
1972-10-01,66.56797,45.616272,57.99128,56.851944,70.8425,42.819134,74.6782,67.82269,73.68514,55.376175
1972-11-01,64.294174,51.78102,78.49439,60.282948,59.333775,42.152763,74.813095,60.608006,73.57787,65.95523
1972-12-01,56.85032,43.71955,76.217354,57.471184,48.5353,54.58303,80.32123,60.90381,68.25178,65.435135
1973-01-01,48.45204,50.825073,78.137115,66.02397,44.086975,50.291348,79.40492,63.440735,54.710606,73.37134
