,r850_cluster1,r850_cluster2,r850_cluster3,r850_cluster4,r850_cluster5,r850_cluster6,r850_cluster7,r850_cluster8,r850_cluster9,r850_cluster10
1965-01-01,142.10244750976562,105.42492586023667,227.3209980555943,136.16326984606292,348.5867933793501,115.02907826350285,171.50791713169644,72.62335205078125,135.70847944779828,232.05401102701825
1965-02-01,132.51882934570312,95.32323725083295,223.5610144478934,139.13256996556333,356.38424266468394,126.15209726186899,168.9437502906436,73.6094970703125,134.75179498845878,241.87647501627606
1965-03-01,122.1941146850586,97.71610708797678,194.01325498308452,136.21796055843956,367.76986555619675,116.03170541616586,163.72756958007812,72.84011840820312,129.6200422807173,245.283686319987
1965-04-01,133.95091247558594,97.81324723187615,188.7296540396554,136.10957630893643,382.7496962113814,135.27760138878455,173.15639314197358,68.35543060302734,120.0232627175071,233.28264872233075
1965-05-01,138.01065063476562,107.78432733872357,199.41309520176478,141.43613848769874,376.7547607421875,109.14275829608623,151.85610453287762,64.65177917480469,121.72619906338777,173.6784871419271
1965-06-01,141.491943359375,113.84364857393152,227.81422478812078,140.81754182514393,369.64895075017756,124.61222135103665,148.56101444789343,70.54496002197266,123.73340953480113,219.90430196126303
1965-07-01,153.07472229003906,115.59024137609144,249.90645817347934,135.33554077148438,370.78038995916194,136.72862419715295,163.51076761881512,75.2227783203125,123.17348133433948,237.06568400065106
1965-08-01,152.89463806152344,113.4297539206112,242.59458269391737,140.77679148891517,365.57194102894175,126.58249781681941,174.40516153971356,73.6907730102539,129.37015880237925,245.35280863444012
1965-09-01,153.733642578125,117.90599822998045,215.29611860002788,130.12202748081143,363.54162042791194,117.58667138906625,168.34531511579243,71.02254486083984,130.89509443803266,221.8206787109375
1965-10-01,154.01318359375,112.47701083912568,206.55320031302313,131.5889124284711,364.6502061323686,128.4919151893029,170.6541697184245,70.17168426513672,130.38472955877128,224.69039916992188
1965-11-01,143.9703369140625,113.3283166324391,214.1294615609305,135.33408181709157,366.6081168434837,114.83258467454176,168.12168302990142,73.91413116455078,127.5202109596946,231.1321258544922
1965-12-01,138.52955627441406,108.22977178237016,251.30743299211773,141.77819636830114,379.6043395996094,106.61577811607947,161.69508071172805,75.6356201171875,133.33533547141334,242.31185913085938
1966-01-01,135.28921508789062,102.99085729262407,220.77135358537944,138.2316923978036,364.98995694247157,118.52675951444185,161.4978245326451,72.81221771240234,133.15395008433947,241.36538187662762
1966-02-01,141.58685302734375,96.25836540670956,209.00569643293107,136.37967695269668,391.8017647483132,110.85224151611328,167.95703342982702,73.81652069091797,129.26564996892753,227.75009155273438
1966-03-01,126.304931640625,90.12475294225355,205.50598417009624,136.45965174624794,392.58020574396306,123.62255683312048,153.55564299083892,71.30497741699219,105.78918457031249,220.80841064453125
1966-04-01,133.91590881347656,90.28940761790555,220.9102630615234,140.55650276050235,385.3403611616655,128.1520256629357,156.29288809640067,68.61701965332031,118.96488536487925,215.36595662434897
