,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7,r400_cluster8,r400_cluster9,r400_cluster10,r400_cluster11
1965-01-01,49.286556,23.987217,25.179703,49.663303,21.929855,27.528633,10.267097,9.339973,21.358185,24.875029,41.44532
1965-02-01,40.944084,10.891186,34.23308,59.12783,39.722115,28.350924,5.873905,26.406586,12.16721,24.147745,54.364445
1965-03-01,49.09327,17.7234,36.88669,62.097572,27.318966,22.68007,5.4676743,21.913475,15.402313,38.67705,71.07233
1965-04-01,46.723045,29.278048,47.07358,56.45948,52.711674,20.842205,13.059933,45.54694,26.142862,18.99287,50.659225
1965-05-01,55.479942,35.517296,58.72979,57.137627,40.775364,48.34633,12.991138,54.02046,14.676666,35.188053,53.864845
1965-06-01,59.06231,48.899982,65.64554,69.18696,36.734352,50.41352,24.87339,66.31877,22.444195,66.752846,62.16637
1965-07-01,50.765697,61.58487,37.201187,66.49077,43.24551,67.96499,48.256237,44.534637,31.299374,67.94861,51.035973
1965-08-01,45.548576,44.804913,46.575623,52.2432,40.09722,51.773083,40.930977,39.283123,35.3797,43.194733,64.498924
1965-09-01,43.781147,52.570805,40.051357,65.104996,29.033981,53.755096,47.622322,57.7224,26.727638,68.49571,49.042492
1965-10-01,46.795116,26.339426,39.11932,34.706474,60.81172,60.07952,43.68778,48.022,31.69414,29.884117,52.359497
1965-11-01,45.512543,26.404947,36.84246,45.432278,65.71597,56.276024,14.543987,36.308464,16.372025,34.66716,51.748512
1965-12-01,35.143826,6.594639,29.10278,49.640373,45.419174,19.299183,13.340038,15.359726,12.476795,23.648146,64.928085
1966-01-01,50.134384,10.350288,28.03521,44.736816,35.06617,20.01437,4.291157,23.616032,10.013763,24.799623,73.814415
1966-02-01,45.951595,9.544266,28.78378,47.947777,52.852867,8.331127,4.4290504,18.581257,12.164253,25.607288,71.57856
1966-03-01,53.40937,4.246834,38.50203,61.77823,66.533936,35.568497,6.9620323,14.199833,14.316387,18.397396,61.00668
1966-04-01,56.674507,18.028038,49.784725,61.73883,70.173355,35.080944,13.237858,30.916212,20.524906,13.569462,52.58365
1966-05-01,53.21238,33.95645,57.54291,65.58181,34.115685,55.27915,14.175209,51.368866,24.730677,59.676987,62.92735
1966-06-01,60.92296,38.321457,55.57956,63.22119,38.08835,52.818394,26.495394,63.212986,28.65245,41.22872,74.60731
1966-07-01,59.81488,55.68955,38.69738,63.83515,64.79056,45.63477,42.601097,55.686264,42.359783,58.646065,64.48686
1966-08-01,52.522907,57.0176,45.166912,58.80694,48.21372,34.86261,50.42495,50.67119,39.166878,50.06872,72.75887
1966-09-01,42.535435,72.80319,31.769842,56.950294,37.497375,52.34233,51.89746,34.068077,42.28427,50.23945,62.388905
1966-10-01,47.698257,35.010353,35.29107,53.248493,33.245636,52.291443,35.753998,38.978096,43.16909,39.12748,82.334305
1966-11-01,48.06433,33.879295,38.8008,53.5407,38.434723,41.550476,20.249119,23.913162,26.713726,39.739796,78.88203
1966-12-01,52.124,21.634624,44.1639,47.862415,49.80771,45.303165,10.271492,18.72079,21.806992,34.792023,75.510185
1967-01-01,38.891434,15.284882,20.880798,61.82573,24.28429,16.11929,7.320881,24.983568,9.085968,37.442207,67.56353
1967-02-01,41.94022,29.033976,20.174763,56.87842,12.386425,16.6277,5.133526,11.64492,18.318466,25.54603,50.312977
1967-03-01,53.51209,11.351021,26.9581,62.660133,37.32566,33.008377,19.749115,19.963627,21.024368,19.857216,40.8913
1967-04-01,55.861595,23.922825,39.002914,58.2432,38.16513,36.639893,11.2463,37.81211,18.215435,21.78952,47.039543
1967-05-01,53.765453,34.346123,48.679638,65.17179,49.265747,48.56478,25.279156,47.125687,37.442207,32.43409,73.68306
1967-06-01,55.12347,40.996025,61.340965,61.065643,51.24028,61.48116,29.866692,44.451878,31.55408,37.844208,52.87193
1967-07-01,58.342854,65.87445,50.769028,71.0937,48.40263,51.29433,58.231373,43.120884,53.194542,61.325764,53.743492
1967-08-01,60.45082,68.60569,52.37365,64.784996,48.30973,49.828213,49.039413,57.85471,50.15758,66.117676,58.651955
1967-09-01,57.498314,52.420944,40.605846,58.314137,37.822247,55.608234,60.91194,61.69905,43.869144,41.327084,58.907005
1967-10-01,44.13264,45.87577,32.66887,55.383587,26.584814,62.41522,50.19812,33.753258,34.396797,36.35106,48.252304
1967-11-01,50.887264,26.306116,34.165394,48.877262,38.261406,52.454727,22.677975,25.355165,23.93465,25.82304,58.535408
1967-12-01,37.69219,16.560139,35.587597,32.106407,43.67321,23.166119,11.126373,17.593853,16.685127,8.60796,57.90707
1968-01-01,38.560036,24.07221,22.893997,65.09395,34.75821,11.800777,7.3840904,11.255127,14.46463,30.508919,50.29709
1968-02-01,45.185062,28.714237,21.65945,75.82823,22.58174,20.149666,9.07415,13.408745,22.024824,15.317707,24.651659
1968-03-01,48.91607,19.154945,52.286526,52.070843,21.567703,24.971964,9.130486,27.470032,31.65011,18.062038,63.350777
1968-04-01,54.00234,14.390591,34.13208,32.75267,39.14914,43.736443,18.543304,39.540268,18.1055,15.642841,38.355618
1968-05-01,51.457596,17.191257,55.344727,51.84711,43.39521,45.26071,20.466751,45.875572,33.40777,32.057335,60.400417
1968-06-01,44.190342,22.50287,40.039238,47.671864,32.60459,49.29915,30.050188,61.58185,23.141872,40.02636,71.05261
1968-07-01,53.03015,48.10806,43.804043,41.198135,27.521538,48.566788,52.983475,38.629246,45.497322,52.140057,74.18486
1968-08-01,49.772366,64.34711,29.596287,59.180355,34.590813,50.071747,57.144238,52.5505,41.767925,65.82792,69.35773
1968-09-01,48.283504,68.000854,37.26271,56.48109,29.871525,45.711395,59.843502,45.606773,40.52211,51.008522,54.762062
1968-10-01,50.963455,27.812872,37.798702,48.11289,44.059967,44.098595,48.14991,36.16176,21.463081,35.39721,67.81736
1968-11-01,50.841125,34.115986,20.140007,63.608307,64.96358,44.338425,36.089333,24.331352,27.716297,20.297745,61.968147
1968-12-01,53.110634,13.598675,25.889425,51.642696,69.6893,21.461472,5.3190002,17.022251,14.116962,31.811068,79.43852
1969-01-01,53.989243,7.9958534,35.67177,40.13708,58.345932,9.580105,12.945801,31.757936,14.914413,29.573742,33.322132
1969-02-01,57.027393,3.487091,15.420773,33.038036,44.309944,12.106884,3.4152336,7.578068,9.464794,11.739231,31.926722
1969-03-01,49.052666,9.99789,47.321358,40.967644,55.854248,23.647844,7.1285286,25.86379,18.99202,21.28651,48.83876
1969-04-01,50.96112,12.643322,34.85959,61.40915,46.39721,37.386368,9.013584,31.360203,25.823683,7.519577,51.123222
1969-05-01,53.569786,25.954033,50.631905,52.92305,64.97873,50.74053,14.162399,56.390686,22.262463,33.02968,70.383224
1969-06-01,53.32747,34.856247,66.2488,57.510357,52.03567,41.124733,19.814228,49.94673,29.518595,61.141766,73.14731
1969-07-01,57.57386,60.341286,52.13761,75.236244,48.044964,51.64295,45.43797,41.621063,33.19345,73.503265,69.02458
1969-08-01,50.072067,53.447792,38.352295,52.334805,33.068115,47.543617,29.583769,43.878788,38.714935,44.94665,65.09404
1969-09-01,48.27558,55.426434,44.966705,76.120285,28.148252,59.585926,33.429085,38.45256,34.9749,71.48451,62.261436
1969-10-01,45.646862,32.175724,43.77016,45.53824,37.15575,41.940254,31.941763,34.953175,33.2603,31.5457,66.25047
1969-11-01,47.842754,35.53808,43.704987,63.23906,37.946205,44.313286,14.834202,15.629669,18.622696,45.269184,81.83729
1969-12-01,50.907642,36.657745,33.775013,54.559105,56.592896,40.606674,16.495323,14.227573,19.124043,51.05805,64.223366
1970-01-01,46.39163,19.113213,37.449974,66.71597,40.941902,21.446682,9.656872,18.150036,20.303116,34.169876,60.5629
1970-02-01,51.513676,12.190586,20.958473,56.579453,35.98535,22.881516,8.602673,10.740856,13.789261,24.993221,51.500435
1970-03-01,46.17152,17.023018,40.336193,72.83761,41.579056,10.489307,6.049095,17.73299,14.529022,20.243538,46.32543
1970-04-01,56.855827,12.134319,54.3188,65.58069,43.358116,21.178581,8.804577,37.68663,17.858765,25.67175,62.67626
1970-05-01,53.871967,20.488468,52.00519,59.28032,34.267517,42.838467,26.563763,49.83722,36.548027,41.28613,72.51655
1970-06-01,55.90258,46.121872,38.917908,57.648544,30.94274,41.908386,17.077633,47.230682,28.07638,65.54924,72.02338
1970-07-01,56.23026,53.800804,51.295223,48.766468,22.290703,45.46486,40.95183,37.239796,59.22074,68.93856,72.19714
1970-08-01,57.05442,71.0784,59.23398,56.48843,34.57534,52.170685,65.77266,57.772667,49.537674,71.40443,73.47807
1970-09-01,46.363495,63.26873,30.394955,45.567467,18.863316,39.329987,46.35356,59.326656,52.76812,61.37713,76.185555
1970-10-01,45.85377,47.09994,46.55712,67.53517,23.990328,59.205845,49.4632,43.386253,31.915846,66.1533,82.34856
1970-11-01,46.22448,23.826488,46.73751,57.55587,20.2485,28.999838,17.910069,36.392464,24.7516,60.165714,70.97249
1970-12-01,49.44665,20.943577,33.823997,46.360184,25.49798,21.747879,13.502956,15.391247,18.570389,52.893894,70.80699
1971-01-01,46.80339,23.50795,13.69445,58.114697,21.344078,19.716103,12.742687,12.600681,16.977451,33.201424,72.485855
1971-02-01,55.191776,31.054457,34.4541,55.533264,15.14323,23.338898,6.2476883,9.3853035,26.14517,39.84519,83.176735
1971-03-01,46.15592,30.797497,23.65841,60.28702,18.525974,27.950651,21.266315,11.76049,33.356953,40.62283,57.031067
1971-04-01,49.70264,29.847422,52.50553,75.265076,23.343971,56.028587,32.410255,36.88339,41.177322,24.941517,29.833897
1971-05-01,52.14714,40.65664,60.855038,63.70188,17.09748,55.122467,23.288181,51.158184,54.6525,44.134052,60.396904
1971-06-01,54.07941,41.49007,60.232925,58.958267,27.000576,52.36184,43.15862,60.019917,45.12977,67.76421,68.35421
1971-07-01,59.720695,53.820763,56.70987,66.134544,40.768215,60.271805,47.743324,53.959385,37.564667,59.101963,56.983734
1971-08-01,57.49258,49.043335,42.764725,47.95633,39.94493,50.106678,36.21394,58.18908,56.03535,44.17124,77.61998
1971-09-01,58.76893,50.17937,35.34501,44.538086,11.866993,50.37209,47.47622,49.643475,33.208183,41.934677,62.425537
1971-10-01,41.809578,42.32857,40.541687,68.7481,26.85012,55.256016,28.68434,46.11873,24.591578,59.12563,73.16037
1971-11-01,50.95025,38.305122,45.47464,72.59743,35.865692,37.542694,16.639347,22.554497,19.842892,54.726883,66.09398
1971-12-01,49.112648,13.153484,60.06218,33.319763,37.770912,11.647224,7.9534264,21.14967,22.319511,46.61574,60.095993
1972-01-01,52.70094,41.691177,29.958164,54.41725,29.867147,19.255585,12.166042,8.270206,22.8995,37.298004,36.964817
1972-02-01,49.565742,11.11935,43.29372,46.817364,36.68364,21.516373,7.7582397,11.062466,25.064396,21.756916,50.854603
1972-03-01,53.52659,32.73092,29.078878,71.543,23.088036,35.31189,18.012234,25.693386,26.454023,36.451225,51.951675
