,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8,zgu250_cluster9,zgu250_cluster10,zgu250_cluster11
1965-01-01,0.012057495,-0.3786766,0.45102233,-0.16424522,-0.14110717,0.8981339,1.5779266,0.007821655,-1.1246231,0.12383576,0.29622802
1965-02-01,0.11275558,-0.08049317,0.64883345,-0.22355576,-0.59506226,-0.040084075,1.1506943,-0.48361054,-0.62928087,0.08863983,-0.2633148
1965-03-01,0.0084728245,-0.13458939,0.37378806,-0.16391906,-0.32653505,0.4458084,0.99981004,0.2538635,-0.68989486,0.15446892,0.29133987
1965-04-01,0.38975638,0.029003525,0.39594802,-0.15642357,-0.30372316,-0.15121002,1.1034409,-0.55758667,-1.1568855,-0.1482769,-0.38258666
1965-05-01,0.29199123,-0.43342456,-0.09646149,0.25809938,0.21410522,0.8974823,0.19292298,-0.55302393,-0.46861953,0.26233596,-0.6478561
1965-06-01,0.38975638,-0.5175026,-0.02281189,0.29068795,0.36661872,0.8531624,0.5706215,-0.40442124,-0.22192612,0.13850021,-0.39953232
1965-07-01,0.5403145,-0.05507431,-0.3379406,0.015642548,-0.37411386,0.26396522,-0.26950532,-0.27211246,-0.5579119,0.08896637,0.1160141
1965-08-01,0.48426247,0.40865746,0.040735625,-0.17434768,0.09972038,0.504793,-0.7276972,-0.090595245,-0.74757594,0.23007354,0.2564701
1965-09-01,0.569318,-0.28384438,0.053770445,0.028025817,0.404747,-0.7537678,0.051489256,-0.21052055,0.4428753,0.24115372,-0.6230885
1965-10-01,0.27113494,-0.37639505,0.125465,0.10102387,0.03584709,0.013361359,-0.008798981,-1.0281614,-0.18053894,-0.27211267,-0.2079132
1965-11-01,0.7332371,-0.164571,-0.068761446,-0.42169267,0.25451508,-0.12579116,0.7723427,-0.8675011,-1.5485973,0.10134964,-0.8453407
1965-12-01,0.3073078,-0.34673995,0.10004616,0.0335659,-0.9486462,0.021834563,0.6485077,-1.0447814,-1.1050689,0.3324009,-0.3939926
1966-01-01,0.22122689,-0.18643494,0.14606246,-0.05350151,-0.3951889,0.22647858,0.997818,-0.2570053,-0.3032837,0.2583168,0.33906096
1966-02-01,0.29671973,-0.1719925,0.5359993,-0.17625923,-0.9745148,0.16706924,1.142897,-0.84847414,-0.9718887,-0.015426636,-0.16378708
1966-03-01,0.5172905,-0.09814072,0.035776902,-0.25503463,-0.3692585,0.053829957,1.0713425,-0.6574448,-0.20973893,0.10437737,-0.42079085
1966-04-01,0.31707,-0.3387333,0.18118286,-0.094530486,-0.20415917,0.12144546,0.8891754,-0.16477203,-0.320681,0.28556022,-0.11980362
1966-05-01,0.42604256,-0.29442215,-0.36663285,0.13293305,-0.4339201,0.4414692,0.398143,-0.8015377,-0.6548187,0.3216652,-0.38009033
1966-06-01,0.35974008,-0.15197067,-0.18807602,-0.040372085,-0.2202423,0.4979248,0.27275887,0.018052673,0.23927918,0.12899399,-0.1168499
1966-07-01,0.13490257,0.012144471,-0.03774681,0.13588753,0.29901734,-0.11225434,0.16608429,-0.22943267,-0.33742046,-0.03643341,-0.22844811
1966-08-01,0.05054741,0.1719925,-0.01641121,-0.07647781,0.27571335,0.0009845734,-0.24157715,0.04562416,0.07877521,0.30426866,0.19989204
1966-09-01,0.29671973,-0.17954178,0.22188377,-0.26488113,-0.12013207,-0.662368,-0.06433296,-0.049562834,0.34267217,0.343985,-0.76608866
1966-10-01,0.5392815,-0.08369847,-0.12735328,0.035448838,-0.636438,0.587204,0.025930787,-0.23731002,-0.43818665,0.1391697,-0.5616013
1966-11-01,0.12144508,-0.081401065,0.32855836,-0.21269302,-0.49858132,0.10437622,0.28982696,-0.8868767,-1.1849102,0.21695976,-1.0477097
1966-12-01,0.114552304,0.0045951842,0.24912643,-0.10897293,-0.32494736,0.08730926,0.58326566,-0.2707901,-0.8396126,0.18348083,-0.17429046
1967-01-01,0.39185295,0.066941835,0.63839376,-0.10188141,-0.56883925,0.29682922,0.6576599,-0.8584854,-0.6050873,0.14759827,-0.34842378
1967-02-01,0.17306824,-0.28997117,0.07477875,-0.17992553,-0.25045928,0.69619215,1.3754044,-0.63055724,-0.89473116,-0.0026123046,0.029063415
1967-03-01,0.32360536,-0.092085645,0.4009964,0.038532257,-0.43658906,0.072819516,1.1393127,-0.47185594,-1.0469002,-0.057471465,-0.13355637
1967-04-01,0.3921795,-0.08065643,0.061390303,-0.06204338,-0.5427162,0.023511505,0.39838332,-0.58288115,-0.47838706,0.07086029,-0.2625412
1967-05-01,0.30335942,0.44899827,-0.27952155,0.2151928,-0.08228912,-0.11331062,0.16719055,-0.36768875,-0.08392181,0.116576,-0.11102486
1967-06-01,0.26548043,-0.14629173,0.013714599,0.1727417,-0.04114456,0.040491484,0.4630398,-0.5649212,0.023837661,0.3265438,-0.4881836
1967-07-01,0.094371036,0.16425171,0.015347672,-0.1910286,0.89440423,0.13943443,-0.15510865,-0.44181404,-0.6236992,0.25960237,-0.44899827
1967-08-01,0.20931473,-0.045389555,0.013714981,-0.29650193,0.4558552,0.5436958,-0.19070168,-0.32033998,-0.39283258,0.2628685,-0.033633806
1967-09-01,-0.050941087,-0.3196869,0.52606237,-0.044736482,0.16229248,-0.08392181,-0.5417366,-0.3180538,0.08816681,0.0346138,-0.48655072
1967-10-01,0.1658844,-0.22956046,0.3758522,-0.22858123,-0.15902671,0.13682175,-0.29584962,-0.56198233,-0.0346138,-0.06596184,-0.65961915
1967-11-01,0.6739872,-0.09208546,0.26841927,-0.109392166,-0.27168503,-0.24229583,-0.11820831,-0.37585297,-0.30825728,-0.12473984,-0.2925827
1967-12-01,0.12865868,-0.9257523,0.5401039,0.3128292,-0.17666015,1.5732895,0.80460435,-0.56884,-1.2258453,-0.12898484,-0.00032653808
1968-01-01,0.23120537,-0.014587402,0.47225684,-0.11159134,-0.16483459,0.23120499,1.2599595,-0.5327942,-1.4630852,0.21406555,0.028445434
1968-02-01,0.09919281,-0.4208374,0.16884613,-0.35884246,0.070747375,0.85553205,1.5797821,-0.0244339,-0.6666298,0.19546738,0.8103119
1968-03-01,0.114873506,-0.34461975,0.14732933,-0.0014587402,-0.9488899,0.41682586,1.032766,-0.7089325,-0.52513427,0.16884537,-0.43068314
1968-04-01,0.63235015,-0.00948143,0.10356865,-0.05360756,-0.5998939,0.23448715,0.4591282,-0.75634,-0.1899971,-0.3555603,-0.33294982
1968-05-01,0.13237782,0.16446915,-0.13310699,0.052513503,-0.21625367,0.101744846,0.38765258,-0.3329502,0.16264573,0.16374016,-0.2986702
1968-06-01,0.32966805,-0.6965332,0.22901765,0.1174263,-0.03318596,1.215469,0.71112025,-0.45037612,0.014221954,0.29538804,-0.24032211
1968-07-01,0.40989724,0.1280014,0.11414413,-0.14878769,0.18635026,0.1779625,-0.16519889,-0.7636337,-0.41135558,0.19182053,-0.34680787
1968-08-01,0.09299316,0.1524353,0.079135135,0.014587402,0.11159134,-0.037926484,-0.16118737,-0.12946053,-0.47553903,0.33915025,0.24980393
1968-09-01,0.11779098,0.114873126,-0.13201293,-0.2104187,0.11596718,-0.873037,-0.23412247,-0.37452355,-0.43797722,0.13274232,-0.37671128
1968-10-01,0.05579567,-0.17504501,0.21114807,0.20385513,0.033550262,0.8037491,-0.08460541,-0.85808486,-0.55212134,-0.36795884,-0.57436675
1968-11-01,0.035373688,-0.42302552,0.25418013,0.16957474,0.03209152,1.175354,0.30268174,-0.057619475,-0.17869262,-0.02260971,0.312529
1968-12-01,0.5116417,0.079135135,0.2454277,-0.11305008,-0.41974336,-0.32711488,0.50726545,-1.084185,-0.2508976,0.30705795,-0.6020821
1969-01-01,0.48863488,-0.24448356,0.44385186,0.028528595,-0.52379835,0.037153624,1.445005,-0.83396375,-1.4360489,0.047768783,-0.5032303
1969-02-01,0.3838089,-0.32907408,0.22822876,-0.038812257,-0.5496727,0.27599794,1.1222343,-1.0217216,-0.792498,0.08425903,-0.4810051
1969-03-01,0.19804153,-0.19770965,0.64985466,-0.23121414,-0.66942674,0.41764528,0.6943062,-0.24547882,-0.20998383,0.17581634,0.019571686
1969-04-01,0.32111245,0.2919201,0.30452615,-0.21595459,-0.81837255,0.08558579,0.36556357,-0.19638291,-0.35992432,-0.24050292,-0.1207489
1969-05-01,0.39906844,-0.3552803,0.03284111,0.24912758,-0.13269119,0.24647446,0.3221077,-0.5188221,-0.28064194,0.1399891,-0.30651626
1969-06-01,-0.16951294,-0.16453704,-0.007629776,0.21827698,0.3131508,-0.014264298,0.22657013,-0.36556396,0.35461655,0.12307091,-0.70425797
1969-07-01,0.22192574,0.19041176,-0.066013716,0.20003204,0.30950204,-0.24182968,-0.27334365,-0.06203308,-0.37551576,0.32044905,-0.059710883
1969-08-01,0.31149215,-0.074970245,-0.18974838,0.116104886,0.16420516,0.13965759,-0.20500775,0.077292636,-0.99385643,0.4209625,0.25742072
1969-09-01,0.30419427,0.2517807,-0.06501885,-0.23784904,-0.7842041,-0.25244445,-0.12141247,0.27798766,-0.67174876,0.43390045,-0.0086250305
