,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9,zgv50_cluster10,zgv50_cluster11
1965-01-01,-0.07564769,-0.030612301,0.068583325,-0.082123354,-0.0011774063,0.2663858,0.018544007,-0.08830471,0.13142681,-0.07991572,0.052099753
1965-02-01,-0.12553982,0.027080083,0.032525588,0.033261396,0.005887008,0.0069171907,-0.008241773,0.031936835,-0.06593416,-0.088010356,0.077266596
1965-03-01,-0.09492755,-0.002943468,0.039737083,-0.0070643784,0.003679371,-0.018544007,0.049744964,0.0042680623,-0.014423084,0.025461197,0.06755309
1965-04-01,0.03296707,-0.0076530934,0.06696439,0.082417704,0.011479616,0.049156286,-0.021781826,-0.05430739,-0.002943468,0.07020221,0.047242977
1965-05-01,0.08845186,0.031789683,-0.04297495,-0.13981576,-0.02752161,0.23680373,0.06563983,-0.10993934,0.042680643,-0.012657022,0.18264353
1965-06-01,0.06725874,0.010743713,-0.033702947,-0.024136592,-0.011038065,0.12701158,0.092425585,-0.067994595,-0.09948997,0.0075058937,0.16012585
1965-07-01,0.040325783,0.0061813355,-0.114354566,0.057986736,0.004120874,0.0259027,0.005739832,-0.03620491,0.024283791,0.01030221,-0.005739832
1965-08-01,0.052688457,0.008094597,-0.08006291,0.02045722,-0.022370482,0.051805425,0.042091895,-0.095221855,0.033702947,-0.0030906678,0.017955279
1965-09-01,0.111411095,0.010007858,-0.061813284,-0.13201551,-0.02089877,0.11685653,0.06622851,-0.12509832,0.010743761,-0.004415226,0.10699584
1965-10-01,-0.09492755,-0.032378387,-0.018838335,-0.031789683,-0.02928772,0.13790248,0.05121671,-0.13054375,0.011185264,0.00088305474,0.14261207
1965-11-01,-0.015306187,-0.022370506,0.03620491,-0.08477249,-0.028110314,0.0341445,-0.016189193,-0.009124815,0.2191428,0.0014717579,-0.049744986
1965-12-01,-0.050186493,0.011773944,0.22017303,-0.2000101,-0.017660951,0.26609144,-0.09198399,-0.07079096,0.17763953,-0.005739808,0.31186277
1966-01-01,-0.020253371,-0.008969354,0.17302155,0.011139345,0.021121358,0.32333046,-0.07450342,-0.04991007,0.19544497,0.025316667,0.09866285
1966-02-01,-0.11399746,-0.032550048,0.13974819,-0.12369017,-0.10907879,0.23783235,0.05367141,0.033996724,0.19110489,0.02068739,0.1650649
1966-03-01,-0.1069088,0.028210068,0.110670134,-0.09070611,-0.0082459925,0.11356349,0.070452765,-0.13974819,0.12499218,-0.038770724,0.3463325
1966-04-01,-0.02661872,0.013020039,0.03370738,-0.003327322,-0.0039060116,0.11963949,-0.022712708,-0.04933138,0.08390675,0.014466668,0.12325616
