,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vo850_cluster7,vo850_cluster8,vo850_cluster9,vo850_cluster10,vo850_cluster11
1965-01-01,-4.4352644e-05,-2.2219538e-06,1.5289843e-06,-2.2983295e-07,2.336601e-06,3.5345147e-07,9.896351e-05,5.598413e-07,1.6119928e-05,6.0247185e-06,-2.805231e-06
1965-02-01,-2.8936134e-05,5.2888863e-06,2.2648092e-06,5.2440228e-06,5.3292024e-07,2.758352e-06,0.00010404252,1.1161974e-06,2.5910045e-05,6.096503e-06,7.254086e-06
1965-03-01,-1.6714192e-05,8.1514445e-06,6.3208427e-06,7.3617703e-06,1.4123216e-06,1.0444128e-06,6.7726665e-05,2.0763691e-06,4.8568196e-05,6.069582e-06,5.800379e-06
1965-04-01,-4.7165886e-06,5.647831e-06,2.6596463e-06,1.265615e-05,-2.7065253e-06,-5.349284e-07,4.3202028e-05,-2.230925e-06,4.992762e-06,5.1901807e-06,8.618066e-06
1965-05-01,-1.1814649e-05,-7.5522257e-06,3.5480261e-06,2.8018825e-05,6.3477637e-06,2.4891488e-06,6.4864114e-05,4.5351117e-06,4.7940048e-05,2.7404094e-06,1.5110345e-06
1965-06-01,-2.2129752e-06,3.4762343e-06,-1.3246026e-06,2.8018825e-05,4.7145804e-06,5.486305e-06,2.4976798e-05,1.2701021e-05,1.9763182e-05,6.6349166e-06,2.1930246e-06
1965-07-01,-2.5808913e-06,1.9238141e-06,6.455448e-06,6.8413065e-06,1.2081844e-05,3.2518947e-06,2.8880284e-05,9.479525e-06,2.105537e-05,5.0824965e-06,4.0056766e-06
1965-08-01,-9.140538e-06,-4.4519402e-07,1.1341472e-06,1.3894496e-05,-8.310526e-07,3.9338847e-06,5.275883e-05,8.4655185e-06,-9.023883e-06,2.866036e-06,7.1284594e-06
1965-09-01,-1.9226783e-05,-4.7435096e-06,3.5345147e-07,2.6147754e-06,-1.6476479e-06,4.041569e-06,3.162618e-05,8.66293e-06,5.6388526e-06,7.873263e-06,2.3007015e-06
1965-10-01,-1.4165715e-05,-1.16172305e-05,4.041569e-06,-3.6307974e-06,-6.3677217e-06,4.965841e-06,4.147911e-05,6.9220696e-06,-1.19582255e-05,4.25693e-06,1.01256155e-05
