,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10,mgu600_cluster11,mgu600_cluster12
1965-01-01,2.7863011,1.0187107,-0.54715765,-1.4716889,-0.60027695,0.6224369,1.8119106,0.67034185,-0.8098198,1.8780651,0.40637627,-0.8877056
1965-02-01,2.4679132,0.8730408,-0.26005477,-0.8564209,-0.22583695,0.88477266,1.8516686,0.2867771,-1.9608395,1.7073023,1.3501339,-1.0698745
1965-03-01,2.5334156,1.2256466,-1.4850498,-1.5948722,-0.055400085,0.8811882,1.6154029,-0.45949516,-1.9843028,1.8702434,0.67685926,-0.996225
1965-04-01,1.545338,0.655677,-0.655677,-0.94147646,0.1981369,0.9861227,1.0952934,-0.114059255,-1.1053957,1.5111202,0.8326317,-0.53412247
1965-05-01,0.59604037,-0.32295036,1.4452919,-0.6136381,0.2554924,0.44939288,-0.023137664,-0.69185007,-0.9114952,1.4553944,2.2059035,-0.04399414
1965-06-01,0.48947677,0.0866848,-0.11634006,-0.9567932,-0.0074951174,1.2598642,0.22877006,-0.30437487,-0.9082363,1.8702434,2.391983,0.41093904
1965-07-01,0.3776985,0.2831928,0.69543475,-1.0431521,-0.11503677,1.2771362,-0.39659995,2.1638644,-0.35162812,1.2911495,1.8930556,0.36857414
1965-08-01,-0.16815567,0.35977516,0.8479479,0.8248104,-0.02281189,0.49827537,0.26787606,0.78831136,-0.21182403,0.3672703,1.0809543,0.4057247
1965-09-01,-0.3832386,0.046601485,0.6618687,-0.452326,-0.02118225,1.2869129,-0.22714081,0.519458,-0.77038765,0.7870079,1.77476,0.5742062
1965-10-01,0.51065904,-0.0736496,2.1439853,0.8013468,-0.3757431,0.6843548,0.036498643,0.04399414,-0.9418026,0.83523864,1.1441758,-0.1472992
1965-11-01,1.0480404,0.12839814,1.4211766,0.522065,-0.9271374,1.6870972,0.3614048,1.2914753,-0.5347744,1.9171711,2.0739205,-0.16978493
1965-12-01,2.0999916,0.30437508,0.23235436,-0.5077259,-0.706189,1.9582323,1.2546505,0.18347244,-1.4544169,2.3202884,1.4475733,-0.73030436
1966-01-01,3.079125,1.1563542,-0.97910994,-0.5796539,-0.939394,1.1320648,2.2802136,-0.080416486,-1.4284565,2.1036258,1.0368786,-0.7828285
1966-02-01,1.8380877,0.37024346,1.2091992,0.3915783,0.42801172,0.8389557,1.855156,0.08862229,-1.3559177,1.604388,1.3352394,-0.77462274
1966-03-01,1.1386296,0.6896111,-1.1218901,-1.0726554,0.021662902,1.4478223,0.77987444,0.51696205,-1.6194865,1.9575634,2.0832753,-0.6548187
1966-04-01,1.6047161,-0.44836196,-0.6607269,-0.06203537,-0.5018635,1.3831608,0.38501358,0.17429009,-1.6011055,2.0829473,1.0857846,-0.40241012
1966-05-01,1.1852382,0.23698196,0.5376406,-0.5973784,0.46116295,0.8872055,0.24551621,-0.90591466,-0.74278414,1.0539463,1.6007774,0.1897171
1966-06-01,0.84355086,0.4874218,-0.42965317,-0.6981451,0.057440184,0.81105614,0.30558205,-0.07713413,-0.18052635,1.4662033,1.3631389,0.14934464
1966-07-01,-0.08862229,0.55044174,1.3398346,0.19004516,-0.38173142,0.5819515,0.26980478,1.5236431,0.05711174,0.42276,1.9605172,0.35612947
1966-08-01,0.038731385,0.7198082,1.564344,1.3995724,0.10798721,-0.5619297,0.436874,0.12965088,0.027571488,0.20153312,0.5455181,0.27669793
1966-09-01,-0.18544999,-0.05054741,1.6513249,1.775396,0.32921487,-0.39617348,0.33052748,1.0168564,-0.25569114,0.18446541,0.6676197,0.6968323
1966-10-01,0.15262718,0.04004402,0.25405008,-0.11750622,0.30919227,1.5738624,0.12866592,0.2806366,-1.2233131,0.90558624,1.540055,-0.07221069
1966-11-01,1.3959618,0.32133713,-0.17921333,0.1027359,-0.31674194,2.7722301,0.47823104,0.56094474,-1.6864452,2.1371047,1.0014296,-0.17527466
1966-12-01,2.5683994,0.7549286,-0.04201355,-0.13949776,-0.78184354,2.1269298,1.4757214,-0.015755082,-2.106908,2.6990345,1.0811894,-0.7204647
1967-01-01,2.8745675,0.48589784,-0.24850006,-0.360178,-0.26646003,1.8110136,1.8155854,-0.08718719,-2.388017,2.6750493,0.8836281,-1.1971108
1967-02-01,2.4105487,0.99759215,0.1874363,-0.13388291,0.2452343,0.91595614,1.7048867,0.25535735,-1.4247118,1.97102,0.802972,-0.82289124
1967-03-01,1.3682197,0.23380546,0.1831913,-0.3337284,0.17992553,1.2343366,0.8532597,0.45095748,-1.6784366,1.5491251,1.1657627,-1.023063
1967-04-01,0.882975,-0.114617154,0.14237309,-0.21911106,-0.09894295,1.2682974,0.47218245,0.6772524,-1.045921,1.757787,1.2983391,-0.32164612
1967-05-01,0.99334717,0.14139366,-0.38140336,-0.20539646,0.2530716,0.8111353,0.75203097,-0.72460115,-1.0410225,0.5374916,0.37552565,-0.22564201
1967-06-01,1.1040459,0.24490814,-0.5998615,-0.121801,-0.0048984527,0.5453285,0.13616905,0.13159733,-0.67006874,1.7711751,0.87970984,0.19690628
1967-07-01,-0.4000164,0.6152092,0.8395451,0.30956382,0.06171646,0.80917627,0.25045967,0.80917627,-0.08457527,-0.28572616,1.0984943,0.5544716
1967-08-01,0.55447197,0.23543815,1.3871593,0.55936986,0.16457863,-0.14367943,0.239357,0.79088974,0.5988819,0.38238296,0.5201847,0.5074493
1967-09-01,-0.8594639,0.7637867,2.232582,1.1435573,0.30009422,0.5195316,-0.19396706,0.40752715,-0.4552025,-0.31478843,0.8405243,0.3931591
1967-10-01,0.23511162,-0.29258347,1.3907516,-0.025470352,0.17404786,1.4831635,0.037552644,1.2026619,-0.98975503,1.3649544,2.167273,0.054533005
1967-11-01,1.3221772,-0.21127434,1.0168583,0.3170742,-0.54108393,2.2995236,-0.12996444,2.0415537,-1.7754204,1.9037521,2.048411,-0.24066277
1967-12-01,1.947509,0.35299414,-0.10482101,-1.5696971,-0.680518,0.4623863,0.9763668,0.55610466,-0.5309607,2.2208264,1.6820284,-0.45814133
