,r100_cluster1,r100_cluster2,r100_cluster3,r100_cluster4,r100_cluster5,r100_cluster6,r100_cluster7,r100_cluster8,r100_cluster9,r100_cluster10,r100_cluster11,r100_cluster12
1965-01-01,79.8194,7.54142,60.508686,96.88274,2.9942513,71.59978,38.06279,27.09128,35.658165,82.610596,84.87435,57.01805
1965-02-01,73.911026,4.468479,63.799484,100.576485,2.940197,51.653507,46.313538,34.133163,28.524555,95.53791,72.9233,63.9207
1965-03-01,76.163315,4.2424316,67.82576,95.11366,2.5863838,67.29012,45.404434,27.019207,34.834236,90.438736,77.36727,63.945267
1965-04-01,80.01268,6.7338715,48.41349,94.45682,4.5978813,89.11357,37.817085,28.755516,25.153494,83.691696,82.733444,48.798424
1965-05-01,96.696,14.068958,55.036034,91.90968,4.5127068,83.43944,55.018017,32.819466,41.481354,71.87005,95.035034,71.10837
1965-06-01,97.06947,15.751213,58.95092,82.23221,6.109783,69.45232,65.260605,44.031765,41.104607,69.09032,77.34434,75.30008
1965-07-01,80.18959,18.100147,37.38301,63.673355,15.633274,57.84853,76.974144,60.384197,23.618662,58.069664,57.727314,78.90047
1965-08-01,78.49587,31.805525,37.94649,64.80687,16.49324,62.461216,72.436806,55.750217,32.853863,51.95982,60.990265,74.0519
1965-09-01,95.31351,27.50734,66.546455,79.9144,7.8657494,60.692146,79.27557,57.188404,58.54633,81.92262,75.61949,83.93249
1965-10-01,96.89256,18.342575,64.7479,87.29208,4.665043,81.87184,55.882896,34.811306,48.623158,83.310036,77.974976,70.03218
1965-11-01,87.487,12.476795,53.556896,87.85556,6.30962,79.93897,49.78288,43.589497,31.258423,80.20761,91.99649,64.09433
1965-12-01,80.60074,8.419403,59.606133,101.482315,6.165474,81.02663,57.04426,39.861343,29.535217,88.12747,93.77048,66.57103
1966-01-01,62.510384,4.74588,47.327255,95.9612,3.7428627,55.039474,36.241554,23.084154,28.55888,71.13697,56.41185,49.75025
1966-02-01,75.6842,5.7226295,47.916588,98.21675,3.8052444,56.303505,38.756477,25.262554,22.332302,82.60352,82.349075,58.36371
1966-03-01,77.50308,6.412098,45.18661,95.49991,4.126995,74.06558,37.715706,27.42782,25.776373,76.19145,78.276276,54.088993
1966-04-01,71.85107,7.411831,35.66371,86.159225,4.8886986,87.77948,38.044025,28.132065,19.753357,64.00916,86.07222,53.6474
1966-05-01,102.24194,7.5070457,40.467022,91.4386,4.630966,86.18713,48.128353,24.842304,20.288517,72.13178,85.341705,58.007484
1966-06-01,104.58286,11.527313,36.748806,73.578026,5.336853,66.952545,57.547836,37.22159,31.267515,50.25258,62.84527,73.986786
1966-07-01,90.860756,16.62119,31.554794,78.58818,16.309284,69.81384,54.88024,43.686195,22.347076,53.752464,66.43708,60.207222
1966-08-01,88.951584,21.806992,30.070791,69.85981,19.864983,64.46552,61.269337,57.670956,22.127106,47.772125,75.88283,74.81743
1966-09-01,89.51629,33.10446,59.47671,78.261505,11.899956,67.861984,70.58868,59.19764,54.545357,66.28277,78.15152,89.204384
1966-10-01,100.02251,15.925152,83.838005,101.128944,4.8181076,76.01251,66.323814,43.195354,58.266853,97.82112,87.50862,82.38683
1966-11-01,96.81975,15.462223,71.18294,96.96914,7.0851555,81.77452,74.7452,57.72677,42.164433,89.44241,90.40111,82.990944
1966-12-01,81.62514,9.476959,70.28006,98.62879,5.184185,68.40864,68.38402,51.96805,46.782246,85.02981,89.46704,81.242645
1967-01-01,72.31152,7.341152,72.75913,105.961334,4.4460716,53.192856,60.756546,48.134068,44.64781,85.33093,94.08543,62.813843
1967-02-01,76.08154,6.1115036,53.56952,101.6981,3.3819542,56.75343,40.38627,29.535631,31.687517,78.013855,85.939,52.510468
1967-03-01,71.544685,6.060829,57.900314,101.80113,3.7636833,62.837486,44.3708,33.34957,24.471777,85.68564,74.81981,58.864777
1967-04-01,78.83643,7.494858,36.64834,92.44702,6.037182,77.801025,39.325527,29.603195,17.475616,65.78324,89.543495,55.202858
1967-05-01,88.01994,8.618095,49.916042,91.229195,6.591202,82.89697,56.88011,31.898651,29.99675,75.16606,86.965965,60.920383
1967-06-01,89.81882,13.327244,56.31765,77.569626,6.6317368,72.789536,77.464905,55.81599,44.394447,69.08876,76.66259,86.109604
1967-07-01,87.23621,21.216923,36.246338,76.83488,14.595741,63.389816,69.46374,54.495132,23.2776,64.614395,70.499146,69.91473
1967-08-01,85.50322,27.4682,40.188644,70.05323,33.51172,53.556007,62.70574,53.56783,24.152542,59.670467,68.29321,67.80844
