,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11,sst_cluster12
1965-01-01,23.258911,10.5433655,28.365295,19.725769,13.651398,16.25299,26.69278,21.593872,24.921936,7.109497,18.117096,12.672913
1965-02-01,22.785889,10.089294,28.330872,18.904968,12.228363,15.317932,26.754639,20.717194,24.290771,5.4968567,17.006409,10.5972595
1965-03-01,22.584808,10.027435,28.18814,18.157013,11.978363,15.251068,26.758636,20.258636,24.395538,5.2907715,16.242004,9.658203
1965-04-01,23.451996,10.0503845,28.924622,19.196869,11.957916,14.804504,27.982086,20.755615,25.429382,5.5991516,16.48999,10.31134
1965-05-01,24.832642,11.298279,28.917633,21.462158,14.638336,16.613739,28.449615,23.05783,26.794556,9.92514,18.431946,13.678345
1965-06-01,26.766113,12.872498,28.966522,23.675537,16.725494,18.944885,28.7919,25.75473,27.906738,16.019958,21.246582,18.350128
1965-07-01,28.433136,15.323425,28.92511,26.453766,18.591125,22.297394,28.099823,28.351807,29.06784,19.70929,24.833618,21.132324
1965-08-01,29.085785,18.400513,29.656097,27.402283,21.710632,24.926453,29.16513,28.926605,29.497925,23.007935,25.918884,24.59961
1965-09-01,28.509491,18.850586,29.245941,27.405273,21.983551,25.489258,28.68164,28.218597,28.80188,21.541992,26.190308,22.415161
1965-10-01,27.538513,19.187378,29.310333,25.086609,21.210663,23.978424,28.449127,27.067993,28.172699,17.845154,24.925446,20.298553
1965-11-01,26.266144,15.087402,29.44754,23.80127,18.126587,20.573486,28.309906,25.427887,27.552979,12.520752,22.31189,17.089233
1965-12-01,25.249756,12.59259,28.520966,21.811432,16.614716,18.527252,28.00354,23.97342,26.486206,8.531036,20.314026,14.102966
1966-01-01,24.112457,11.206085,28.389893,20.293945,14.12796,16.570251,27.220917,22.33432,25.37622,5.434967,18.244507,11.685669
1966-02-01,23.476044,10.390137,28.299622,19.533997,12.638275,15.288849,26.828583,21.893066,24.765533,4.3285217,17.233917,10.0260315
1966-03-01,23.52295,11.126404,28.583527,20.028198,12.919678,15.164795,26.890106,21.714539,25.112976,4.1958923,16.542511,9.828857
1966-04-01,24.444305,10.61908,28.624878,20.802795,13.458771,15.583862,28.131683,21.850708,26.08374,5.5065613,17.035217,10.828888
1966-05-01,25.565338,12.697296,29.162964,22.09378,15.086639,17.722565,29.065125,23.691376,26.66217,9.402222,19.702911,14.36145
1966-06-01,27.954681,14.732117,29.371735,23.861847,17.713501,20.171417,29.124634,26.077698,28.769104,15.358948,21.641418,18.245026
1966-07-01,29.541168,16.938385,29.36618,26.380768,20.68277,23.17096,28.992523,28.714142,29.609772,18.75586,25.684845,20.845642
1966-08-01,29.06311,20.667633,29.81601,28.241608,24.441254,25.064056,29.532104,28.542694,29.863922,23.446808,26.60318,25.565338
1966-09-01,29.418121,21.490631,29.995544,27.286499,24.338379,25.171478,29.0737,29.092377,29.468048,22.183044,26.610748,23.64801
1966-10-01,28.220428,19.380676,29.911835,25.824036,22.265747,23.50177,29.580017,27.73227,29.036896,18.188538,25.631897,20.312622
1966-11-01,26.288483,16.694824,29.556305,23.851746,19.547089,21.214294,29.092377,24.914307,27.765076,13.024567,22.409454,17.62323
1966-12-01,24.736786,13.540466,29.145325,21.638397,17.479004,18.988861,28.305145,22.854248,26.302612,8.248901,20.22638,14.023071
1967-01-01,23.971924,11.385681,28.952118,20.04596,15.284119,16.934845,27.701569,22.152435,25.678741,5.6106873,18.565521,11.8359375
1967-02-01,23.264252,10.950989,28.770325,19.109924,13.687988,16.042877,26.72995,21.38565,25.2966,5.1940002,17.500763,10.12262
1967-03-01,22.786469,11.270996,28.739777,18.82544,13.655426,15.1008,26.555176,20.763123,24.961548,5.3872986,16.879242,9.797089
