,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11,w_cluster12
1965-01-01,0.0063031316,0.0004721284,-0.021906257,0.038977683,0.2776281,0.040501118,-0.04895997,0.017072082,0.32322538,-0.07112825,0.01633662,0.094555974
1965-02-01,-0.0324651,-0.09571296,0.011713862,0.033934653,0.5578834,-0.053425133,-0.070970654,0.006880939,0.5114456,0.039450467,0.022220135,-0.019279718
1965-03-01,-0.035616994,-0.015707552,-0.010664523,0.025897324,0.38547516,-0.06272322,-0.048487186,0.013079643,0.4097447,0.005935371,0.024636567,-0.01796645
1965-04-01,-0.021538556,-0.039714456,0.009717643,0.04291755,0.00456959,-0.009876549,-0.08694023,-0.024007559,0.1615336,0.021274567,0.01901573,-0.058100462
1965-05-01,-0.055421352,-0.05095619,-0.0014715195,0.039030194,-0.06445676,0.031728327,-0.05200678,-0.026003718,-0.048382163,0.016441703,0.017807484,-0.030048668
1965-06-01,-0.056472003,-0.04554546,-0.060832083,0.027368248,-0.061304867,0.019593596,-0.07832509,-0.005936742,-0.16479182,0.023113191,0.0012075305,-0.10569394
1965-07-01,-0.09818196,-0.08194971,-0.0206455,0.003518939,-0.115727484,-0.036667645,-0.12891287,-0.0287354,-0.09340161,0.02573973,-0.11231291,0.005094886
1965-08-01,-0.019962609,-0.034251153,-0.006409526,-0.025583506,-0.018386662,0.007879078,-0.03887397,0.0015227199,-0.13311535,0.0139727,-0.040082157,-0.0077753067
1965-09-01,-0.04754162,-0.022168934,-0.003782928,-0.0142892,-0.031256855,0.028681517,-0.09413701,-0.011610091,-0.11646289,-0.055211246,-0.04859227,0.037822008
1965-10-01,0.00026202202,-0.053897917,0.01701951,-0.027789831,0.031203032,0.009244859,-0.012345552,-0.09345412,-0.014236689,-0.02673918,-0.024007559,-0.0013664961
1965-11-01,-0.016810715,-0.040607452,-0.006304443,0.026475191,0.3898878,0.052425742,-0.019069552,-0.076013684,0.1557551,0.043022573,-0.0036253333,-0.023219585
1965-12-01,-0.01796645,-0.06277573,0.016914487,0.04528147,0.3299494,-0.024270177,-0.050115645,-0.022484124,0.4428395,0.012606859,0.019908786,-0.013816416
1966-01-01,0.0002143383,0.004180789,0.011293113,0.032630026,0.868417,0.015441954,-0.007855415,-0.06780845,0.37616345,0.017311215,0.013207972,-0.0018829107
