,cluster,nodes_lat,nodes_lon
0,5,40.0,100.0
1,5,40.0,102.5
2,5,40.0,105.0
3,5,40.0,107.5
4,5,40.0,110.0
5,5,40.0,112.5
6,5,40.0,115.0
7,5,40.0,117.5
8,5,40.0,120.0
9,5,40.0,122.5
10,5,40.0,125.0
11,5,40.0,127.5
12,5,40.0,130.0
13,5,40.0,132.5
14,5,40.0,135.0
15,5,40.0,137.5
16,5,40.0,140.0
17,5,40.0,142.5
18,5,40.0,145.0
19,5,40.0,147.5
20,6,40.0,150.0
21,6,40.0,152.5
22,6,40.0,155.0
23,6,40.0,157.5
24,6,40.0,160.0
25,6,40.0,162.5
26,6,40.0,165.0
27,6,40.0,167.5
28,6,40.0,170.0
29,6,40.0,172.5
30,6,40.0,175.0
31,6,40.0,177.5
32,6,40.0,180.0
33,5,37.5,100.0
34,5,37.5,102.5
35,5,37.5,105.0
36,5,37.5,107.5
37,5,37.5,110.0
38,5,37.5,112.5
39,5,37.5,115.0
40,5,37.5,117.5
41,5,37.5,120.0
42,5,37.5,122.5
43,5,37.5,125.0
44,5,37.5,127.5
45,5,37.5,130.0
46,5,37.5,132.5
47,5,37.5,135.0
48,5,37.5,137.5
49,5,37.5,140.0
50,5,37.5,142.5
51,5,37.5,145.0
52,6,37.5,147.5
53,6,37.5,150.0
54,6,37.5,152.5
55,6,37.5,155.0
56,6,37.5,157.5
57,6,37.5,160.0
58,6,37.5,162.5
59,6,37.5,165.0
60,6,37.5,167.5
61,6,37.5,170.0
62,6,37.5,172.5
63,6,37.5,175.0
64,6,37.5,177.5
65,6,37.5,180.0
66,9,35.0,100.0
67,9,35.0,102.5
68,9,35.0,105.0
69,9,35.0,107.5
70,9,35.0,110.0
71,9,35.0,112.5
72,9,35.0,115.0
73,9,35.0,117.5
74,9,35.0,120.0
75,9,35.0,122.5
76,9,35.0,125.0
77,9,35.0,127.5
78,9,35.0,130.0
79,9,35.0,132.5
80,9,35.0,135.0
81,9,35.0,137.5
82,9,35.0,140.0
83,9,35.0,142.5
84,2,35.0,145.0
85,2,35.0,147.5
86,2,35.0,150.0
87,2,35.0,152.5
88,2,35.0,155.0
89,2,35.0,157.5
90,2,35.0,160.0
91,2,35.0,162.5
92,2,35.0,165.0
93,2,35.0,167.5
94,2,35.0,170.0
95,2,35.0,172.5
96,2,35.0,175.0
97,2,35.0,177.5
98,2,35.0,180.0
99,9,32.5,100.0
100,9,32.5,102.5
101,9,32.5,105.0
102,9,32.5,107.5
103,9,32.5,110.0
104,9,32.5,112.5
105,9,32.5,115.0
106,9,32.5,117.5
107,9,32.5,120.0
108,9,32.5,122.5
109,9,32.5,125.0
110,9,32.5,127.5
111,9,32.5,130.0
112,9,32.5,132.5
113,9,32.5,135.0
114,9,32.5,137.5
115,9,32.5,140.0
116,2,32.5,142.5
117,2,32.5,145.0
118,2,32.5,147.5
119,2,32.5,150.0
120,2,32.5,152.5
121,2,32.5,155.0
122,2,32.5,157.5
123,2,32.5,160.0
124,2,32.5,162.5
125,2,32.5,165.0
126,2,32.5,167.5
127,2,32.5,170.0
128,2,32.5,172.5
129,2,32.5,175.0
130,2,32.5,177.5
131,2,32.5,180.0
132,9,30.0,100.0
133,9,30.0,102.5
134,9,30.0,105.0
135,9,30.0,107.5
136,9,30.0,110.0
137,9,30.0,112.5
138,9,30.0,115.0
139,9,30.0,117.5
140,9,30.0,120.0
141,9,30.0,122.5
142,10,30.0,125.0
143,10,30.0,127.5
144,10,30.0,130.0
145,10,30.0,132.5
146,10,30.0,135.0
147,10,30.0,137.5
148,10,30.0,140.0
149,10,30.0,142.5
150,10,30.0,145.0
151,10,30.0,147.5
152,10,30.0,150.0
153,10,30.0,152.5
154,2,30.0,155.0
155,2,30.0,157.5
156,2,30.0,160.0
157,2,30.0,162.5
158,2,30.0,165.0
159,2,30.0,167.5
160,2,30.0,170.0
161,2,30.0,172.5
162,2,30.0,175.0
163,2,30.0,177.5
164,2,30.0,180.0
165,10,27.5,100.0
166,10,27.5,102.5
167,10,27.5,105.0
168,10,27.5,107.5
169,10,27.5,110.0
170,10,27.5,112.5
171,10,27.5,115.0
172,10,27.5,117.5
173,10,27.5,120.0
174,10,27.5,122.5
175,10,27.5,125.0
176,10,27.5,127.5
177,10,27.5,130.0
178,10,27.5,132.5
179,10,27.5,135.0
180,10,27.5,137.5
181,10,27.5,140.0
182,10,27.5,142.5
183,10,27.5,145.0
184,10,27.5,147.5
185,8,27.5,150.0
186,8,27.5,152.5
187,8,27.5,155.0
188,8,27.5,157.5
189,8,27.5,160.0
190,8,27.5,162.5
191,8,27.5,165.0
192,8,27.5,167.5
193,8,27.5,170.0
194,8,27.5,172.5
195,8,27.5,175.0
196,8,27.5,177.5
197,8,27.5,180.0
198,10,25.0,100.0
199,10,25.0,102.5
200,10,25.0,105.0
201,10,25.0,107.5
202,10,25.0,110.0
203,10,25.0,112.5
204,10,25.0,115.0
205,10,25.0,117.5
206,10,25.0,120.0
207,10,25.0,122.5
208,10,25.0,125.0
209,10,25.0,127.5
210,10,25.0,130.0
211,10,25.0,132.5
212,10,25.0,135.0
213,10,25.0,137.5
214,10,25.0,140.0
215,8,25.0,142.5
216,8,25.0,145.0
217,8,25.0,147.5
218,8,25.0,150.0
219,8,25.0,152.5
220,8,25.0,155.0
221,8,25.0,157.5
222,8,25.0,160.0
223,8,25.0,162.5
224,8,25.0,165.0
225,8,25.0,167.5
226,8,25.0,170.0
