,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6
1965-01-01,1.7785469026421197e-05,9.80361126340836e-05,3.242099129290101e-05,0.00014201961771744353,1.4934098966402894e-05,6.568467896857595e-05
1965-02-01,1.9377799617359415e-05,9.593403588206204e-05,3.532873458565947e-05,0.00014167693926107235,1.2434841280373429e-05,6.34805607061447e-05
1965-03-01,1.8353846826357767e-05,0.00010063621553547501,3.3417899526913116e-05,0.0001445594247534724,1.125720597517955e-05,6.716761229809646e-05
1965-04-01,1.9961244106525555e-05,9.577852324582636e-05,4.887504000794067e-05,0.00013271873237834754,9.206630154236786e-06,6.795369522367808e-05
1965-05-01,2.5657685910118744e-05,8.647306436526938e-05,6.50103736812688e-05,0.00012123998060001453,4.70005577824981e-06,6.169370973976783e-05
1965-06-01,2.4029177438933402e-05,8.933647803636829e-05,6.739616905607859e-05,0.00012919065882574374,5.062646468826474e-06,5.8204488773410004e-05
1965-07-01,2.5730965717229992e-05,7.957404518657061e-05,7.267114367975846e-05,0.000123859334914749,2.1512022678657512e-06,6.471788610059132e-05
1965-08-01,2.2565924155060202e-05,8.653604084659503e-05,6.58594394846615e-05,0.00011297707762998088,4.839786512449566e-06,7.147396323356277e-05
1965-09-01,2.325952664250508e-05,7.944949481815819e-05,6.784948487709299e-05,0.000118491841835509,3.346610693492058e-06,6.369603996551256e-05
1965-10-01,2.6045498088933527e-05,8.84500823084669e-05,5.888139388459636e-05,0.00011153212031594624,6.839210757404835e-06,6.878218722171946e-05
1965-11-01,2.830683661159128e-05,8.664637241591082e-05,5.2918146205384554e-05,0.00011645292703944601,1.0158798909990942e-05,6.165419774067521e-05
1965-12-01,2.4834551368257962e-05,9.6291863971042e-05,3.9811993332019424e-05,0.0001341351315587465,1.3027814011084704e-05,5.462034761610373e-05
1966-01-01,1.8590217223390937e-05,0.00010209429990892939,2.7533150113583353e-05,0.0001415222868672572,1.729307225161261e-05,5.6845197921175877e-05
1966-02-01,1.7205637050210498e-05,9.26164534302002e-05,3.944211292820718e-05,0.0001207948355984531,1.2477779744154553e-05,6.885309231598157e-05
1966-03-01,1.874058216344565e-05,9.24744845945837e-05,5.134991262480995e-05,0.00013480702794990256,1.0005489044844356e-05,6.152609208451084e-05
1966-04-01,2.220070928160567e-05,9.030117358765509e-05,5.497313099837582e-05,0.00012574746506288648,9.579703943280638e-06,6.350059177238131e-05
1966-05-01,2.3042161046760157e-05,9.096506527198636e-05,6.223159377951539e-05,0.0001224045742051921,5.238291461077115e-06,6.876478703527871e-05
1966-06-01,2.20653982978547e-05,8.888470243202545e-05,6.200890511092617e-05,0.00012895504225621392,4.158544508061016e-06,6.445734026961074e-05
1966-07-01,2.282993409608025e-05,7.810953517825938e-05,6.655154572761943e-05,0.00011301554446905165,5.531655540497801e-06,6.888949872340961e-05
1966-08-01,1.847057865234092e-05,8.490401725509171e-05,6.422617481463036e-05,0.00010439696205522571,5.52256012466837e-06,8.069021022515144e-05
1966-09-01,1.9304909073980525e-05,7.977491421400604e-05,6.929746255414879e-05,0.00010839243929551326,2.9355842531172648e-06,7.1284788335594e-05
1966-10-01,2.531870995881036e-05,8.707612729070326e-05,6.180521674791154e-05,0.0001268258960121066,4.900310571982343e-06,6.267474396381437e-05
1966-11-01,2.734896588663105e-05,9.317557132488724e-05,5.1122643947942044e-05,0.00012566338945792888,9.110247156433953e-06,5.381450869097579e-05
1966-12-01,2.448200211802032e-05,9.866354563441802e-05,3.6423939232415394e-05,0.00012770658366590445,1.3253711867290213e-05,4.905770943079871e-05
1967-01-01,2.308274088136386e-05,9.979327393033688e-05,3.576715391865606e-05,0.00014104221726914768,1.656645161853431e-05,5.0647479550140664e-05
1967-02-01,1.778925070539117e-05,9.722284466331175e-05,3.6175422393148993e-05,0.0001358259875192552,1.2088716663204172e-05,6.731647661625885e-05
1967-03-01,2.1012110664742067e-05,9.486526783825045e-05,4.598648039855033e-05,0.00013026709846024844,1.3120322748982665e-05,6.524105407240823e-05
1967-04-01,2.5991477741627023e-05,9.163008779792273e-05,5.716028385719936e-05,0.000127883561761241,8.661436836940919e-06,6.49027619723844e-05
1967-05-01,2.180978117394261e-05,9.34191668793245e-05,5.971730381015658e-05,0.00012183730799925366,5.392517853101005e-06,7.091829302669617e-05
1967-06-01,2.4691842554602772e-05,9.023059679879751e-05,6.202154930556057e-05,0.0001262047781461948,4.701380171307805e-06,6.279334650948508e-05
1967-07-01,2.148946987290401e-05,8.239460960367179e-05,6.79187602751578e-05,0.00011477685276124823,3.7195808751497793e-06,7.426647132932686e-05
1967-08-01,2.130470602423884e-05,8.266092718477889e-05,6.785540028978745e-05,0.00010518401004925468,4.030586573320499e-06,7.804846085846515e-05
1967-09-01,1.851360320870299e-05,8.146003476366491e-05,6.9761875689378e-05,0.00010829683704191426,3.081404148107731e-06,7.269498870832983e-05
1967-10-01,2.6853933377424255e-05,7.841217118393944e-05,6.505139706830487e-05,0.00011869419961983927,6.086341825946349e-06,5.6318449645825644e-05
1967-11-01,2.7589559977059253e-05,8.364646879294102e-05,5.6046251930690155e-05,0.00012340999666393096,1.1322208592901006e-05,5.2055452769997014e-05
1967-12-01,2.060140650428366e-05,9.421228132412645e-05,3.903201659119166e-05,0.00014397759705867715,1.2822042241243684e-05,5.996502206870923e-05
1968-01-01,1.9910412447643466e-05,0.00010523490126648671,2.8295029388699014e-05,0.0001422557991310513,1.4903237092063868e-05,6.488472735793217e-05
1968-02-01,1.5645351595594548e-05,0.00010700259078574558,2.859316175194018e-05,0.00015747582916734055,1.2191412679385394e-05,7.031604781797974e-05
1968-03-01,1.7014519471558742e-05,9.468371078024159e-05,4.5660646157661014e-05,0.00012576566453055036,9.45634270727769e-06,6.88425821064767e-05
1968-04-01,2.2864331185701303e-05,9.255618570899838e-05,5.764455799055021e-05,0.0001247751194904068,9.43538307370714e-06,6.86814329550011e-05
1968-05-01,2.1460720745380968e-05,9.751604822273535e-05,5.9550622268958486e-05,0.0001264579623239115,5.5000041872526995e-06,6.748773225032293e-05
1968-06-01,2.4271485017379746e-05,9.809155017137527e-05,6.14169970858933e-05,0.00012839996327927925,4.783767264560777e-06,6.0755475005418886e-05
1968-07-01,2.1701091100112535e-05,8.592311593041902e-05,6.683919450071285e-05,0.00011573320080060512,3.195352348353181e-06,7.013885163071725e-05
1968-08-01,2.2481615815195255e-05,7.871286985632705e-05,6.893533873523214e-05,0.00011399979963531031,2.6509803891591202e-06,7.352150200082489e-05
1968-09-01,2.1841819034307264e-05,7.711539391417012e-05,7.255919745222218e-05,0.00011454361045157144,2.5302196516668586e-06,6.912653078892972e-05
1968-10-01,2.449976273055654e-05,7.923079531146101e-05,6.369242860606259e-05,0.00012316439479993852,4.082762502876744e-06,6.257749014255795e-05
1968-11-01,2.5699757316033356e-05,9.405384077241712e-05,5.1258781255692304e-05,0.0001231699379308051,1.1131239083737192e-05,5.898204019503305e-05
1968-12-01,1.9714469090104103e-05,9.971621014312449e-05,4.058007713562498e-05,0.00011850657564967773,1.3373715473883834e-05,7.238072501467087e-05
1969-01-01,1.8913016901933588e-05,9.305043362013727e-05,3.546694228785279e-05,0.00012751224858220667,1.5378027080831878e-05,6.479435464049258e-05
1969-02-01,1.9288374460302293e-05,9.757173121401884e-05,3.713314545461984e-05,0.00011518964847231186,1.4161568540976546e-05,6.977067930232052e-05
1969-03-01,1.8434235244058073e-05,9.217357553306026e-05,3.737830973374165e-05,0.00013022428519386602,1.3990730743917647e-05,6.820025701904897e-05
1969-04-01,2.2547459593624808e-05,8.553237947410938e-05,5.846437207816881e-05,0.00012140515441148492,8.004266907012129e-06,6.557431955049496e-05
1969-05-01,2.0159715859335847e-05,8.687936085141657e-05,6.497235532388151e-05,0.00011381799643124013,6.5309319024984775e-06,6.532092101690247e-05
1969-06-01,2.25819803745253e-05,8.551511879875718e-05,6.0892370964847205e-05,0.00012225667121942694,5.416723538895819e-06,6.328203797726552e-05
1969-07-01,2.259590291942004e-05,8.127142090339169e-05,7.060943010482726e-05,0.00012011756840174233,3.6517710129570784e-06,6.912657071796542e-05
1969-08-01,2.0708472220576368e-05,8.166341969451632e-05,6.428733574533154e-05,0.00011317150844996305,5.865818895903637e-06,7.160068911971616e-05
1969-09-01,2.3309155949391425e-05,7.620247162272593e-05,7.338430287649598e-05,0.00012047602419778214,2.62088431873522e-06,6.502693240025376e-05
1969-10-01,2.3697468350292183e-05,8.796843144683594e-05,6.042853162464936e-05,0.00011438618170550877,5.809315365526739e-06,6.228673577779995e-05
1969-11-01,2.6677384084905498e-05,9.00707536528493e-05,5.2578012933159566e-05,0.00012300132718672487,7.346895856863205e-06,5.894595765645003e-05
1969-12-01,2.2533704395755194e-05,9.228877235114216e-05,4.319299330198532e-05,0.00013403438826667537,1.3837661847985859e-05,4.985937355341753e-05
1970-01-01,1.4120527339400724e-05,0.00010494178536920304,2.7242028993238296e-05,0.00014219448961452335,1.2064527854630628e-05,6.908851834695513e-05
1970-02-01,2.0619103452190757e-05,0.00010074525847133384,3.256772754134656e-05,0.00013552417888269318,1.3881521057949603e-05,6.320540528466198e-05
1970-03-01,1.8455331883160397e-05,9.391306414190366e-05,3.275679448303365e-05,0.00015154189321420794,1.3722803918632785e-05,6.105316814926749e-05
1970-04-01,2.1770016246591695e-05,9.884218354316721e-05,5.055508671926592e-05,0.0001254088841194875,1.042375440670888e-05,6.451845387701037e-05
1970-05-01,2.135360955435317e-05,9.206847739349827e-05,6.354698931185029e-05,0.00012116543075535446,4.941323626103581e-06,6.695436019160808e-05
1970-06-01,2.2657226509181783e-05,8.543580209454859e-05,6.871086065430286e-05,0.0001354584176289408,3.103197563290188e-06,5.870067802678067e-05
1970-07-01,2.0349540136521682e-05,8.538923596581781e-05,6.502842456310593e-05,0.00011828953191932095,4.1415289873389295e-06,7.27781032143933e-05
1970-08-01,1.84357377293054e-05,8.398744821862643e-05,6.757773081790959e-05,0.00010658203743667783,4.410874436833876e-06,7.910980124639847e-05
1970-09-01,2.07862576644402e-05,7.577965082320194e-05,6.931280713467822e-05,0.00010667795562001534,2.7508534556770813e-06,7.042037351511237e-05
1970-10-01,2.617156133055687e-05,8.503970071527524e-05,6.415338122486554e-05,0.0001149906893260777,6.116176533846415e-06,6.422469152489723e-05
1970-11-01,2.660505924723111e-05,9.709601507926113e-05,5.443122299914286e-05,0.00012835521613995202,7.624413163134752e-06,5.795083735592482e-05
1970-12-01,2.4283441234729253e-05,9.763627684764924e-05,4.240637355270167e-05,0.00013147189173124438,1.6238082775764514e-05,5.388107926658605e-05
1971-01-01,1.4244460544432513e-05,0.00010863829618712596,3.3740839652141665e-05,0.00013791314382902592,1.1911275184511678e-05,7.193496169681411e-05
1971-02-01,1.6758211131673306e-05,0.00010678237472402763,3.192181771382599e-05,0.0001370336337315262,1.0056886746975373e-05,6.939214317088311e-05
1971-03-01,2.1781619579996914e-05,8.959976250743381e-05,4.722121632108995e-05,0.00013231234142471005,1.3574413763486405e-05,6.444663041492743e-05
1971-04-01,2.3503649572376162e-05,8.744012679433429e-05,5.649545358217556e-05,0.00011536648296322183,1.0017922868803335e-05,6.868797244373482e-05
1971-05-01,2.4214303266489878e-05,8.740677135009095e-05,6.055823887880074e-05,0.00011930215374664648,6.7741307857525585e-06,6.386404360144786e-05
1971-06-01,2.441842843836639e-05,8.457988649270083e-05,6.818498046576553e-05,0.00013172857985697,4.011611888495984e-06,6.077551494477453e-05
1971-07-01,2.2399235604098067e-05,7.805157297133771e-05,7.203062575090888e-05,0.00010998537618434057,2.1133785397528443e-06,7.06267178984268e-05
1971-08-01,2.016848884522915e-05,8.313581052920725e-05,6.607166083048786e-05,0.00010742976308775771,3.7771448575964766e-06,7.875854995601425e-05
1971-09-01,2.1225219825282693e-05,7.830486395845122e-05,7.219642885332186e-05,0.00011364299050336213,3.424596816893024e-06,6.811044330810901e-05
1971-10-01,2.7286472686682828e-05,8.060815162025392e-05,6.685657102550281e-05,0.00012483112521677916,6.730681317216313e-06,5.6241084920901175e-05
1971-11-01,2.8346748877083883e-05,8.943309048078506e-05,5.437148620404788e-05,0.00012973796401638538,9.294451712738704e-06,5.380173139955576e-05
1971-12-01,2.1407937310868874e-05,9.29888509668365e-05,3.991650092809242e-05,0.00012772846898051764,1.644691026027881e-05,6.017123779179756e-05
1972-01-01,1.9705968952621333e-05,9.931036073389093e-05,4.184733747601191e-05,0.00012726890609452598,1.5552092177646964e-05,6.931801269784934e-05
1972-02-01,1.6235921066254377e-05,0.00010113336506344557,4.408688166621709e-05,0.0001382115442538634,1.0211127672162023e-05,6.730981290385854e-05
1972-03-01,1.8358852685196325e-05,0.00010205102987665997,4.398092183632761e-05,0.00013439146546021985,1.0188175588858208e-05,6.86008916534597e-05
1972-04-01,1.903281190607231e-05,9.504781547844051e-05,5.782102658205128e-05,0.00011981320360638692,7.93410454769907e-06,7.560639216269299e-05
1972-05-01,2.5173150788759813e-05,8.928184699076397e-05,6.400899783181921e-05,0.00012377469446571348,6.887636193345522e-06,6.68874435643552e-05
1972-06-01,2.277431485708803e-05,8.709819185132363e-05,6.719998143636054e-05,0.00012017125731003226,4.33037149781102e-06,6.31008577595533e-05
1972-07-01,2.2720767447026446e-05,8.283122842402074e-05,7.109666194452533e-05,0.00011041556717827916,1.4146393106184593e-06,7.504294023042682e-05
1972-08-01,2.0801859136554413e-05,7.986738900541811e-05,7.004768181141709e-05,0.0001059415138259187,2.925368377320185e-06,7.606848645614597e-05
1972-09-01,2.373524330323562e-05,8.300091602828309e-05,7.066682143878889e-05,0.00011844390667791136,5.539190282171458e-06,6.628503863949601e-05
1972-10-01,2.8728385586873628e-05,8.35556771146156e-05,6.63344116315503e-05,0.0001173817700442956,5.302015629287368e-06,5.5801736868111555e-05
1972-11-01,2.7422500352258794e-05,8.87290232377239e-05,5.1958967952390874e-05,0.00013070254537620043,9.351121671269792e-06,5.006241713644846e-05
1972-12-01,2.2617394279222935e-05,9.813366306339761e-05,4.1105254868904844e-05,0.00013185289342225971,1.3680313638838719e-05,6.034706751872763e-05
1973-01-01,2.0851583030889742e-05,9.941116342859635e-05,3.516120122503338e-05,0.00013939057489072805,1.02669753349679e-05,6.810636167334984e-05
1973-02-01,1.7200049114762805e-05,9.826959197757295e-05,3.408615334703383e-05,0.00013073795822779894,1.3725882136267754e-05,6.3436243913091e-05
1973-03-01,1.771910501702223e-05,9.99677654198674e-05,3.2449823014373795e-05,0.00014021282511652986,1.3191252084240107e-05,6.491748247687455e-05
1973-04-01,2.1689234927180223e-05,8.660139297191279e-05,5.92030178305004e-05,0.00011900782211389589,7.627168369507081e-06,6.364480213960633e-05
1973-05-01,2.2451293261838146e-05,8.777946693800301e-05,6.166214361877703e-05,0.00012457223515651239,4.926810622246475e-06,6.589118750459265e-05
1973-06-01,2.410923298157286e-05,9.1605989475656e-05,6.398982006386377e-05,0.00013347136317813573,4.2034013493265e-06,6.017007097664358e-05
1973-07-01,2.2212685507838614e-05,8.673764623600586e-05,6.67658522564206e-05,0.00011010402216159396,3.506591983563171e-06,7.39645501442549e-05
