,r500_cluster1,r500_cluster2,r500_cluster3,r500_cluster4,r500_cluster5,r500_cluster6
1965-01-01,5.8264046,50.01712,40.727863,14.403118,41.240566,44.012108
1965-02-01,21.933132,41.969486,47.77466,10.131142,60.043488,65.483376
1965-03-01,18.183685,41.66645,47.55516,9.775688,71.72426,44.652576
1965-04-01,28.880007,45.59608,34.313347,20.76194,52.975395,65.21638
1965-05-01,42.339684,46.015415,48.38892,12.304802,66.363,61.457104
1965-06-01,69.051,51.34228,61.06234,17.256561,76.43195,55.692886
1965-07-01,54.528248,45.66488,70.61368,30.293625,60.138493,65.88797
1965-08-01,46.439667,36.84082,50.328342,48.572376,47.54042,47.419205
1965-09-01,65.1443,39.01612,59.34896,38.91129,47.902424,55.884533
1965-10-01,33.71383,43.217667,31.954586,31.042204,51.44384,65.37035
1965-11-01,39.813843,38.138138,36.123367,9.015644,47.30782,64.88877
1965-12-01,25.85457,32.85714,38.78516,7.0598373,62.991936,59.961586
1966-01-01,18.266068,52.386654,32.46588,5.7620277,69.288536,47.4159
1966-02-01,25.354483,37.771523,20.291798,7.287071,52.98748,63.30984
1966-03-01,15.74622,50.843555,31.523603,9.503227,58.197906,79.9425
1966-04-01,24.684711,48.64546,32.9206,15.421181,44.31164,78.83278
1966-05-01,63.139114,53.000614,54.906506,21.447483,67.4483,57.5741
1966-06-01,30.315388,51.419754,50.794308,14.963177,69.24585,58.153584
1966-07-01,56.352753,58.85947,53.058067,37.960304,74.214966,72.310715
1966-08-01,58.151943,43.681267,59.964264,48.39429,60.59464,56.764793
1966-09-01,46.82,33.818558,53.64576,47.2501,53.363407,54.83756
1966-10-01,35.821304,41.079338,48.059406,41.089188,70.65434,52.765865
1966-11-01,32.588997,39.89903,47.563644,21.578812,68.19687,55.29064
1966-12-01,42.395897,48.417274,55.953846,11.105423,64.857864,63.375504
1967-01-01,25.703115,40.08561,47.993874,8.854565,69.855606,53.202988
1967-02-01,10.710861,36.986153,40.501125,7.839428,52.292576,37.862785
1967-03-01,15.264614,48.42121,20.689934,22.554672,56.51527,56.305824
1967-04-01,31.506786,50.69471,29.326187,13.53331,54.765385,64.66507
1967-05-01,44.635986,49.80963,55.937607,21.323338,75.61705,61.013283
1967-06-01,47.50404,53.43946,53.937737,29.422464,62.845932,71.29808
1967-07-01,44.353912,57.277042,64.330635,61.362923,65.50285,60.423798
1967-08-01,58.18408,65.257935,73.13748,62.449,65.50285,62.736145
1967-09-01,63.043556,51.689575,48.502285,56.510204,54.15732,57.17063
1967-10-01,33.597862,38.25803,53.606678,40.018047,55.849773,48.742134
1967-11-01,18.321846,48.664436,40.501125,15.32711,72.18653,68.97729
1967-12-01,10.10955,35.66867,37.533417,14.670059,53.670864,43.31006
1968-01-01,9.283394,39.211914,36.36457,11.763756,57.913616,50.29065
1968-02-01,10.170273,44.85832,65.14224,12.537964,39.979683,50.187637
1968-03-01,13.521416,42.12525,31.502028,15.5816765,67.07534,46.982964
1968-04-01,18.59642,54.49487,17.868889,18.503063,54.327473,58.84717
1968-05-01,38.667877,48.626343,39.509686,29.31461,59.614944,55.825993
1968-06-01,45.38787,51.528416,44.496162,23.553925,71.56768,31.326584
1968-07-01,45.864304,53.134777,57.36475,39.46784,69.31749,40.663754
1968-08-01,54.710556,50.561058,57.21023,53.71905,66.5812,40.974403
1968-09-01,50.32445,49.17521,54.082817,44.679657,60.23463,40.040848
1968-10-01,35.8656,51.2902,45.205986,26.417366,65.98083,47.25659
1968-11-01,15.591335,44.566986,48.851685,29.015228,71.7061,70.70494
1968-12-01,19.850285,43.105488,43.718735,9.169113,67.83185,60.51309
1969-01-01,16.627342,53.412697,15.380665,12.892323,48.89725,52.00559
1969-02-01,5.7314453,50.4815,11.11422,4.7437973,34.341534,55.61026
1969-03-01,17.47963,45.061962,20.237026,10.470829,45.894196,62.06424
1969-04-01,19.596977,44.124447,36.98696,18.331917,55.924435,71.00823
1969-05-01,33.72655,48.07337,55.23425,17.471275,64.63614,62.884773
1969-06-01,56.089878,47.714077,62.25141,18.410461,77.9151,65.74578
1969-07-01,65.14584,54.48892,68.38286,39.863014,66.616455,61.90381
1969-08-01,47.988144,48.705067,56.429123,29.861181,63.680244,48.872185
1969-09-01,58.309166,49.848133,73.89097,33.02968,65.6522,47.906258
1969-10-01,50.783978,39.28814,43.08499,28.798328,52.436745,51.708126
1969-11-01,18.490677,42.185913,56.495968,13.906712,78.11063,58.82388
1969-12-01,29.81773,43.51949,44.68428,19.302856,72.44208,70.28296
1970-01-01,23.689127,38.241035,43.313435,21.464886,64.03001,51.222404
1970-02-01,9.269615,44.589394,27.101618,10.093777,52.806183,57.488014
1970-03-01,15.209202,47.15621,28.814484,7.325058,57.979534,68.04655
1970-04-01,20.946888,47.018852,34.16822,13.680035,74.2592,59.523594
1970-05-01,36.776413,50.760674,55.843002,31.412745,82.654724,50.836803
1970-06-01,54.416443,53.51781,61.95967,24.733397,77.976204,53.469814
1970-07-01,45.53271,55.07511,48.231922,62.83348,71.76024,40.40901
1970-08-01,64.41229,56.60428,57.828934,64.963394,76.85249,52.16572
1970-09-01,58.044075,39.42432,61.067657,48.576153,67.4938,31.116508
1970-10-01,58.87486,39.187664,64.45532,28.119408,66.99897,38.65808
1970-11-01,44.579464,44.700275,52.25509,15.980404,70.64812,33.68829
1970-12-01,41.68497,43.81819,45.61877,12.840981,82.45613,35.060234
1971-01-01,11.013279,46.86425,46.17959,17.638447,75.0994,26.030214
1971-02-01,27.049603,52.904495,49.381443,32.876842,78.11699,43.040283
1971-03-01,26.01331,46.943703,48.89626,45.06046,66.099045,47.41367
1971-04-01,23.771675,42.372524,51.27821,37.69146,47.99014,41.828175
1971-05-01,49.680664,50.15401,58.469707,45.114555,70.78857,39.025284
1971-06-01,58.427444,50.133724,66.29515,39.873928,81.12274,38.575603
1971-07-01,55.17149,56.140163,64.12451,40.37094,66.4997,53.859642
1971-08-01,50.799793,46.821987,51.254543,58.87205,70.33043,53.74807
1971-09-01,60.376617,53.915432,46.722244,36.2748,58.8095,25.347242
1971-10-01,55.453808,38.218903,64.80917,25.8544,71.54254,39.133476
1971-11-01,48.88781,49.613045,56.19595,24.968565,74.31331,52.27562
1971-12-01,33.54798,47.856586,33.48374,11.447742,67.485275,40.53154
1972-01-01,12.414711,42.950783,32.940582,16.5836,51.139027,47.9762
1972-02-01,21.451363,48.538555,37.90261,20.0211,66.50133,46.519936
1972-03-01,23.322077,46.433796,54.477386,21.84956,73.603874,44.74836
1972-04-01,55.04624,48.21187,27.133398,16.45195,52.00856,64.4307
1972-05-01,56.967342,52.886223,34.09617,18.3698,68.17051,72.185
1972-06-01,67.98848,49.95581,55.41681,33.140495,58.171684,60.573875
1972-07-01,72.232124,56.299343,71.881065,40.257668,41.605038,80.09694
1972-08-01,68.7735,49.533234,70.98065,39.464523,52.284863,67.088066
1972-09-01,67.20346,43.617157,60.26832,45.27333,42.77688,78.08482
1972-10-01,40.69975,47.24319,31.85326,26.553167,43.52289,63.507534
1972-11-01,55.992165,49.165916,49.80466,14.6316185,47.007523,58.540627
1972-12-01,31.895517,44.262398,36.04815,8.530254,55.82313,70.94977
1973-01-01,4.8720055,37.68718,15.436512,6.2268486,54.00773,54.794357
1973-02-01,11.45573,46.795025,12.923893,7.5439224,40.858337,59.395905
1973-03-01,22.17297,45.069035,25.519848,7.491371,67.436295,61.987354
1973-04-01,31.742283,42.318287,44.086975,11.261948,65.050125,56.86522
1973-05-01,41.066902,47.090626,53.539692,27.953642,67.70727,50.28642
1973-06-01,56.083515,52.73171,67.93882,21.583405,73.2104,48.637615
1973-07-01,62.470173,58.67825,67.7007,37.306183,72.45826,40.50854
1973-08-01,66.60532,53.69406,63.859505,47.685116,77.777466,37.110756
1973-09-01,68.144104,51.485252,64.34889,33.39437,76.38813,22.893911
1973-10-01,59.101944,42.787968,70.92441,23.608284,62.238617,28.369127
1973-11-01,59.571625,34.12681,50.958096,13.214569,76.97769,53.492065
1973-12-01,27.956926,33.81314,51.588715,13.920731,66.8763,28.17206
1974-01-01,19.438953,43.66555,68.04419,26.12523,71.57737,14.073078
1974-02-01,16.715527,40.553772,45.400745,13.529385,79.44523,29.894732
1974-03-01,25.41628,54.24692,47.177254,21.830215,54.42044,45.256973
1974-04-01,36.496727,48.33074,54.898033,15.502544,69.37119,55.517746
1974-05-01,48.056416,44.886795,57.127342,22.19543,67.25591,51.69371
1974-06-01,51.850704,40.588478,62.962547,40.110886,62.60064,49.41317
1974-07-01,43.65068,56.206863,56.960434,40.99666,72.33589,51.336758
1974-08-01,68.59119,43.822548,67.43769,59.298813,64.09125,41.755188
1974-09-01,51.490444,37.79399,49.827965,46.433598,66.58827,27.681948
1974-10-01,49.801525,35.434128,68.89856,34.05589,75.94344,40.808266
1974-11-01,36.43558,34.331867,69.19106,16.551926,73.26133,51.001286
1974-12-01,35.929897,39.724186,49.094227,10.025948,81.382034,64.45977
1975-01-01,30.13777,44.85359,34.857567,8.101082,58.705128,42.99827
1975-02-01,8.920914,35.884827,26.464989,10.677464,59.938168,31.578238
1975-03-01,18.618965,44.232952,39.4934,20.668545,68.8526,42.27392
1975-04-01,27.309515,51.575222,44.47989,10.1556015,64.476875,57.48361
1975-05-01,47.57813,44.6939,54.34915,19.050285,78.69223,44.13418
1975-06-01,66.5956,46.46362,72.880974,31.323069,80.66938,48.369976
1975-07-01,55.088318,51.007267,63.362366,46.72702,75.75039,39.975754
1975-08-01,64.12952,48.40784,69.31355,50.87557,70.34081,31.301668
1975-09-01,51.138966,45.795242,68.74395,42.188313,73.03572,25.921726
1975-10-01,61.689774,40.072884,58.55861,32.246613,75.506744,32.424408
1975-11-01,28.305494,43.174416,45.3985,38.135246,72.15004,39.70412
1975-12-01,37.570583,48.546124,58.148693,10.91946,77.91191,38.192863
1976-01-01,6.986225,37.27955,46.17681,12.441025,68.02389,22.737244
1976-02-01,12.711632,46.111206,33.571404,18.896252,54.900227,47.082115
1976-03-01,19.386627,43.229645,28.539734,10.69437,44.10379,78.034744
1976-04-01,19.82288,55.521805,48.87305,13.808823,56.72068,72.78331
1976-05-01,55.43488,38.9524,50.042404,19.639194,58.8101,61.429256
1976-06-01,58.796978,49.29126,56.904366,27.4081,66.28708,62.265682
1976-07-01,54.537773,61.980312,62.63633,42.204613,63.843407,65.52118
1976-08-01,71.76812,52.67796,69.79186,39.860985,62.68225,59.47432
1976-09-01,55.11835,43.898785,58.37713,47.31172,55.09047,65.76882
1976-10-01,51.862858,36.22336,46.652424,21.55149,65.10625,56.145023
1976-11-01,26.01734,48.26623,49.017372,19.665436,64.66179,47.53477
1976-12-01,17.671135,43.11812,46.444138,12.593548,62.851177,63.28087
1977-01-01,10.090336,43.90609,37.263477,13.202892,57.512966,60.21615
1977-02-01,24.340519,39.482555,40.986847,7.4602585,77.937904,42.72345
1977-03-01,10.402241,44.71672,22.79886,4.534519,51.669613,74.77011
1977-04-01,16.21798,47.39066,26.569344,10.520832,65.55103,65.99615
1977-05-01,28.92163,42.842037,63.56426,20.12492,66.957855,53.00496
1977-06-01,54.458893,51.802822,61.774048,28.102879,72.51205,49.68284
1977-07-01,61.242836,48.521317,75.74157,33.579094,71.75503,56.37906
1977-08-01,58.57377,46.336353,67.38348,63.429424,72.536415,44.622498
1977-09-01,68.723694,36.72739,65.71185,40.148605,63.24423,51.75896
1977-10-01,25.726223,35.483017,54.50438,42.58374,62.444973,57.439865
1977-11-01,30.822304,51.901917,50.764763,23.87266,62.84135,61.837406
1977-12-01,24.99682,40.065754,29.85085,13.584652,65.0783,54.350048
1978-01-01,19.655312,41.69713,29.401865,10.2968445,61.26944,58.59718
1978-02-01,15.35783,50.03548,32.538254,7.559635,60.27467,43.82924
1978-03-01,26.105494,35.712654,21.213999,15.996193,61.35181,57.244415
1978-04-01,34.8351,35.84571,43.533024,10.981144,61.13163,58.541737
1978-05-01,51.497543,49.94519,57.355297,22.441624,69.30524,47.870106
1978-06-01,63.121178,44.150795,59.57611,38.750828,71.62743,41.84286
1978-07-01,63.591633,53.44115,50.005383,65.03627,64.028824,34.358307
1978-08-01,71.82544,45.4798,71.79534,49.455723,78.00633,36.813557
1978-09-01,75.031525,46.00887,66.57595,44.656105,71.94107,41.706635
1978-10-01,52.88357,34.708374,72.197685,34.244255,69.25139,34.005066
1978-11-01,37.602406,36.114998,67.90337,15.392677,70.4299,51.616344
1978-12-01,26.52526,41.789,39.57294,7.819416,62.291145,51.804844
1979-01-01,14.773735,41.950542,33.139153,12.964859,39.504192,46.022938
1979-02-01,9.654522,36.507736,23.96696,9.06073,42.838802,57.32598
1979-03-01,18.231308,50.57425,35.40915,12.751289,65.55976,75.56682
1979-04-01,33.423912,47.684578,37.22126,10.56543,60.217266,74.40512
1979-05-01,59.09764,42.400337,53.208282,8.855251,67.470566,64.47735
1979-06-01,68.25851,54.905518,72.571976,19.816902,72.36812,62.831886
1979-07-01,57.007244,53.58203,70.984764,29.008512,64.224945,52.531975
1979-08-01,62.89013,43.594387,67.86211,51.31689,56.75646,53.315067
1979-09-01,62.749367,41.182014,53.889442,55.10291,63.511425,33.25241
1979-10-01,48.108482,33.851055,60.59749,22.061008,62.5811,67.67442
1979-11-01,21.47369,48.721687,53.758385,15.856148,70.711334,69.35387
1979-12-01,17.57927,38.839214,55.216164,16.553486,69.858665,68.934814
1980-01-01,16.364773,43.627403,59.92566,15.745502,78.78086,62.410896
1980-02-01,22.572159,38.145218,45.558556,17.751617,62.886757,66.06134
1980-03-01,22.37334,52.14728,41.217133,6.3586426,56.49685,81.65233
1980-04-01,22.844313,52.689957,34.99997,16.120323,68.28746,63.328396
1980-05-01,56.531075,47.84497,39.087162,23.24521,62.49564,68.168495
1980-06-01,63.933002,50.380726,75.524796,22.404305,71.46857,63.41151
1980-07-01,61.356506,48.52617,70.46306,31.637974,68.63132,65.80875
1980-08-01,55.163788,49.48767,73.82179,55.111637,68.900215,70.852554
1980-09-01,71.201294,36.83497,68.21576,43.0065,52.981667,51.555714
1980-10-01,53.66287,41.425728,63.07254,43.764294,64.36975,60.101665
1980-11-01,43.695847,40.226295,47.94927,14.757927,53.490124,48.289867
1980-12-01,14.82637,53.723164,67.27055,15.422829,80.56371,61.789993
1981-01-01,15.335823,45.978844,68.63463,13.89315,67.59891,56.384426
1981-02-01,20.812973,46.49253,47.304764,15.442566,69.68369,55.71396
1981-03-01,21.773643,39.907944,19.823952,11.06118,40.545055,59.61001
1981-04-01,44.916435,39.64943,17.39893,18.464672,58.65434,80.85147
1981-05-01,61.71147,51.574406,56.52786,19.578781,61.014317,54.816666
1981-06-01,69.96389,53.81764,76.50011,21.583511,70.78112,58.86282
1981-07-01,60.594025,46.39413,63.918007,58.422512,69.57862,42.451385
1981-08-01,64.151505,47.626656,66.26464,59.893536,45.581898,49.62805
1981-09-01,56.984844,40.77355,60.328842,42.241238,66.12454,43.448746
1981-10-01,62.15678,38.965622,67.962494,30.669842,71.22143,45.62693
1981-11-01,50.955643,44.546177,54.739944,27.374212,68.42114,49.96662
1981-12-01,22.859398,41.80093,50.21346,22.854397,63.14914,56.722996
1982-01-01,10.818165,37.23427,49.644466,28.9163,65.11579,46.28736
1982-02-01,16.96294,42.573147,41.06108,14.236397,66.79837,51.602108
1982-03-01,14.673931,45.364037,26.524342,9.336662,62.550106,65.78818
1982-04-01,60.568336,41.643387,29.533995,31.739359,55.98871,68.43912
1982-05-01,39.81443,54.90613,51.853046,26.419785,61.261635,58.179596
1982-06-01,63.41874,52.75707,68.66593,28.876087,62.395683,66.22089
1982-07-01,61.773163,60.269142,67.14421,34.147404,51.282,78.171036
1982-08-01,57.093803,49.914707,67.75708,40.234272,50.410152,73.70722
1982-09-01,63.709892,39.80639,53.632137,34.974213,37.208534,61.021957
1982-10-01,43.853577,42.01658,44.987625,17.796185,47.297546,57.386566
1982-11-01,48.191917,41.19942,38.08682,10.623524,44.13508,66.20802
1982-12-01,8.274998,39.44285,38.180115,8.38599,48.460552,49.06216
1983-01-01,18.822758,42.899265,10.879913,6.453354,44.65901,25.321016
1983-02-01,13.692303,47.668175,9.30574,9.912052,18.984337,31.187365
1983-03-01,17.326977,55.227077,13.121185,6.813301,24.13399,27.471104
1983-04-01,14.591373,50.267796,17.45176,16.33992,33.740593,30.752228
1983-05-01,48.112907,49.827858,31.232159,16.52869,62.454826,59.631237
1983-06-01,53.100983,45.094147,57.05241,19.334686,71.87586,62.554012
1983-07-01,59.03932,50.960495,74.62586,43.649555,71.55111,65.91353
1983-08-01,72.207016,49.651886,69.87775,48.386467,69.05707,48.084114
1983-09-01,57.47955,40.891556,64.88808,37.76881,63.3491,40.64519
1983-10-01,63.96021,42.39534,62.57161,29.49321,63.561867,45.097347
1983-11-01,34.30691,36.68097,64.26416,27.245537,65.73755,47.781757
1983-12-01,20.884861,42.132977,60.69828,11.85257,68.8667,44.198277
1984-01-01,23.947165,47.701717,67.22441,17.213615,68.58852,51.299946
1984-02-01,23.316816,39.311867,44.801136,8.705574,77.06537,38.871937
1984-03-01,24.915665,55.46122,32.025124,12.151142,63.17148,16.524174
1984-04-01,43.51418,49.07896,35.97136,32.391182,68.44735,41.25051
1984-05-01,61.94033,43.27944,40.364086,34.384,67.078316,42.00233
1984-06-01,67.85147,48.57501,78.032234,37.215637,78.294876,55.549862
1984-07-01,61.08838,46.25389,55.077103,59.176,69.57179,37.822998
1984-08-01,74.02362,44.530285,80.993546,51.44604,67.354095,46.854687
1984-09-01,58.529236,36.353832,52.02386,37.57513,67.65449,41.51808
1984-10-01,59.53221,29.479113,75.33356,49.313698,72.30823,45.656372
1984-11-01,38.427086,35.669315,47.453846,23.29876,49.54023,50.270706
1984-12-01,18.073776,42.351974,39.988174,15.138725,67.707016,53.622707
1985-01-01,19.964931,46.71108,60.468864,26.458292,60.969234,52.9239
1985-02-01,32.292145,48.57476,42.868874,19.940327,71.01442,56.551193
1985-03-01,19.68932,45.431435,26.1876,8.346447,50.238293,55.24202
1985-04-01,47.639637,51.10123,60.326134,33.4307,73.99205,49.32614
1985-05-01,52.54165,52.016666,58.48542,29.14554,67.5315,39.43845
1985-06-01,71.36058,46.407574,77.43723,31.327492,68.156555,58.11301
1985-07-01,52.69422,55.283035,67.45275,43.221596,73.56878,49.222786
1985-08-01,68.03187,49.163723,68.11226,61.113605,66.7227,46.65858
1985-09-01,63.923893,46.10079,70.42053,21.602219,69.24097,46.25008
1985-10-01,43.754776,40.595047,63.830383,21.646515,69.79876,46.80459
1985-11-01,48.54195,48.079308,45.43636,18.119297,66.38474,52.582664
1985-12-01,21.13794,44.40444,64.08631,6.144806,67.46259,62.327625
1986-01-01,9.8224945,42.174484,53.564274,13.014389,74.77579,57.38438
1986-02-01,13.078358,46.470257,63.354836,23.00178,66.65006,45.84697
1986-03-01,13.8525505,45.261406,54.146557,22.72786,74.91193,53.362522
1986-04-01,18.238537,44.52822,31.617931,17.062489,49.1586,59.173874
1986-05-01,63.60907,49.371834,48.399174,34.568714,50.147663,62.738106
1986-06-01,58.15857,39.760056,72.84031,28.89022,71.492035,56.82834
1986-07-01,60.2023,52.309494,73.14375,41.167377,66.763245,64.489876
1986-08-01,64.54565,42.522213,68.95624,62.869324,51.80758,58.80154
1986-09-01,60.212143,42.118713,66.0727,32.233017,52.386585,70.552185
1986-10-01,59.183716,44.303505,54.638626,20.999054,58.816303,66.39583
1986-11-01,43.14058,38.866127,63.408962,12.835606,69.63693,73.02894
1986-12-01,22.996859,39.92408,27.591156,21.272972,45.36474,65.32967
1987-01-01,17.270302,36.807945,32.07374,9.143272,64.53206,51.559975
1987-02-01,15.197983,49.529423,42.563858,5.6990433,55.850803,61.507114
1987-03-01,29.903425,48.045063,19.885601,13.356991,40.96062,63.715984
1987-04-01,18.30325,43.379932,22.526606,9.162548,47.106895,68.466255
1987-05-01,31.79743,44.361473,44.82092,16.88636,57.25966,59.961708
1987-06-01,61.770573,43.95665,78.251144,25.459984,66.408394,73.396454
1987-07-01,58.401848,47.47638,71.29039,26.998962,56.440372,76.426216
1987-08-01,58.51912,48.67961,74.5049,38.5895,63.420395,66.98832
1987-09-01,58.446827,33.766937,49.444283,55.895786,46.994446,54.059612
1987-10-01,36.811157,43.524513,65.92806,22.436646,53.19695,59.83159
1987-11-01,48.559128,40.356594,62.434036,13.753784,70.424515,58.801853
1987-12-01,29.407032,31.884178,31.357262,10.540882,66.679886,62.906334
1988-01-01,15.78334,43.892677,32.152225,9.396042,55.29927,61.121456
1988-02-01,21.283066,48.411995,36.865345,7.754429,64.92257,66.08212
1988-03-01,16.229572,49.833748,32.65709,14.706848,62.20772,56.00119
1988-04-01,41.79669,44.278652,30.921019,15.446224,48.960827,58.344723
1988-05-01,53.237488,44.171165,61.91295,20.799377,67.863785,53.851463
1988-06-01,53.271687,49.55689,71.10304,31.715767,70.50697,43.790077
1988-07-01,53.999664,52.527424,61.255,52.045364,70.84409,47.21173
1988-08-01,60.522137,60.89508,61.1296,59.945618,65.326454,27.240421
1988-09-01,65.87366,44.00342,58.73884,54.75044,61.846176,30.368929
1988-10-01,69.47446,39.10302,74.614265,35.103218,76.58159,45.38609
1988-11-01,43.185875,35.380077,56.61191,25.294264,77.53105,33.50721
