,r1000_cluster1,r1000_cluster2,r1000_cluster3,r1000_cluster4,r1000_cluster5,r1000_cluster6,r1000_cluster7,r1000_cluster8
1965-01-01,122.64840052678035,109.28669834996128,367.66357421875,275.4786564753606,524.0490341186523,107.02771485306835,915.0,67.02944052339804
1965-02-01,121.12631430992712,111.11117869884043,376.95634365081787,302.1168342003455,465.15819549560547,114.26654844793654,645.2384948730469,68.19177492700442
1965-03-01,116.08562469482422,111.61871557837134,346.65069580078125,288.27931330754205,411.5559387207031,113.78526760421636,657.1269226074219,68.69446725556345
1965-04-01,124.96673877422626,112.03762088810001,394.20297145843506,303.3685830923227,575.703125,116.64775236872316,703.4342193603516,74.29048942797112
1965-05-01,147.65817202054538,113.07437999828441,386.90528869628906,297.77767474834735,466.61006927490234,121.67198821788526,518.202018737793,85.14797326290247
1965-06-01,159.83638763427734,113.76793663780967,396.47059440612793,319.5995624248798,489.32708740234375,125.7189859870736,588.5033416748047,87.91204895636048
1965-07-01,166.3551770723783,112.20959843815983,493.99657249450684,311.05687068058893,642.6981353759766,126.45469840246302,687.3583221435547,88.07298294221512
1965-08-01,162.83930264986478,112.55591108992292,482.16967582702637,310.48287611741284,608.4477615356445,126.79646033367128,609.2292022705078,85.611747972893
1965-09-01,149.2720530583308,112.06156756426836,436.443567276001,307.4332017164964,490.66314697265625,125.86401437075082,590.8035278320312,80.18232403379498
1965-10-01,138.06758293738733,112.07512520455025,418.9612865447998,303.830073429988,567.4706649780273,124.84701025576992,818.6402130126953,78.1330917820786
1965-11-01,131.48024632380557,112.35812762836078,391.33076667785645,297.71385192871094,521.4811325073242,117.31390334267653,919.8065948486328,72.05672601256708
1965-12-01,127.11629133958083,112.78543214540223,334.3987226486206,300.1466897817758,350.8372116088867,114.74841751215112,916.2783050537109,71.21455645320391
1966-01-01,119.9266507075383,110.77169469884923,355.25755882263184,303.60708970289966,431.12266540527344,110.29184938387105,1003.7664794921875,67.00044111772017
1966-02-01,125.01785571758563,110.80485850841075,366.0037040710449,299.784675011268,418.9982223510742,112.94542851338859,792.3014831542969,70.72269940617109
1966-03-01,122.09357481736403,111.66500400852512,379.78551387786865,293.4188255896935,514.5590591430664,114.02525574196386,662.0348358154297,73.77018013385812
1966-04-01,130.85478269136868,112.45950234902871,382.9214811325073,307.1761791522686,479.44427490234375,119.48081446057967,445.67481994628906,76.95233894116951
1966-05-01,140.23700127234827,113.5877007836694,387.8396272659302,292.58546095628003,461.2411117553711,123.78561005337548,488.92845153808594,83.12692353219697
1966-06-01,160.2880184467022,113.47155184359163,414.84670639038086,317.9126739501953,529.2667007446289,124.78450163630129,452.41539001464844,86.36789032907197
1966-07-01,167.94269268329327,113.93827833570874,497.4020481109619,316.72747685359076,726.3567352294922,126.4181530202618,926.3025665283203,87.29588672368213
1966-08-01,162.1680626502404,113.2940928141276,473.21128845214844,288.31232511080225,746.1637878417969,127.72582541895277,1060.4145050048828,86.26890086164379
1966-09-01,146.34308448204627,111.50893821372641,420.10016441345215,257.52903864933893,613.8322448730469,126.55569760854007,951.5004730224609,81.59891764322917
1966-10-01,137.00094956618088,112.78520188890062,399.02894496917725,278.25822096604566,582.0585632324219,123.4871027123837,891.9062042236328,75.44612691860006
1966-11-01,127.94807140643779,112.69029840692743,342.588472366333,276.75763643704926,453.7485122680664,117.08335585266579,733.0497741699219,71.74395936908144
1966-12-01,125.12165949894832,112.80887706859691,376.5087127685547,304.3744600736178,505.42545318603516,116.455858536349,1077.5662994384766,69.29529363458806
1967-01-01,121.70436565692607,111.51721713779207,340.774130821228,272.6848015418419,441.23130798339844,115.85397501938215,1081.1542510986328,66.80683174518624
1967-02-01,121.83409470778244,111.72577454163147,374.66983795166016,297.24611135629505,528.9516830444336,112.76123978709447,772.8282928466797,68.1566565927833
1967-03-01,123.07088558490459,111.39082006506017,371.8912601470947,293.66857088529144,484.1345977783203,114.45752209379472,644.2300415039062,68.98987895310528
1967-04-01,134.79002439058743,112.39606152783642,407.6406002044678,301.3961498553936,553.6484909057617,119.80179065966423,650.8167266845703,77.33881786616162
1967-05-01,144.90960928109976,112.98669007447388,414.8214817047119,309.5540266770583,468.9031219482422,125.05967817233719,864.2649841308594,83.09847899157592
1967-06-01,155.78968341533954,112.75351240828229,422.5849151611328,300.6789280818059,508.28990936279297,126.0018210374672,562.8375625610352,87.87143591678503
1967-07-01,165.02128014197714,112.76205939215582,487.1920585632324,304.64324951171875,685.4515838623047,127.45014219793654,869.0286254882812,87.13870578342014
