,r1000_cluster1,r1000_cluster2,r1000_cluster3,r1000_cluster4,r1000_cluster5,r1000_cluster6,r1000_cluster7,r1000_cluster8
1965-01-01,81.23465,80.84316,66.2467,46.216892,60.52179,63.398167,70.14193,63.64387
1965-02-01,82.194534,81.01188,66.73155,31.296099,77.38037,64.75937,72.09937,60.99354
1965-03-01,81.61632,83.76213,65.611145,32.131493,72.962616,60.113922,74.022415,51.027782
1965-04-01,80.37305,82.74655,73.52773,42.177517,82.93984,72.76114,72.47121,61.599613
1965-05-01,82.612236,81.16913,84.15526,28.904577,75.70959,84.33216,74.36804,61.365376
1965-06-01,84.2863,82.645,85.45913,30.768654,81.27069,90.24217,78.975815,55.342346
1965-07-01,83.706436,83.18227,90.040695,36.2282,68.340096,85.61474,80.17157,87.53451
1965-08-01,82.52542,84.197845,86.77774,33.68762,74.35985,82.595856,82.17324,83.47875
1965-09-01,83.2396,82.356705,81.180595,30.686752,75.14446,79.46067,78.06179,69.755356
1965-10-01,82.69577,85.021774,78.66623,45.09812,74.77427,64.28925,83.87515,64.77248
1965-11-01,80.23546,83.92265,66.1304,44.067802,75.02653,70.25659,73.49333,66.83803
1965-12-01,81.308365,84.63356,71.42287,40.085754,74.69237,62.71347,75.211624,49.56502
1966-01-01,79.10036,81.4265,64.24226,47.964195,76.63304,62.09506,69.28197,60.414062
1966-02-01,78.24509,80.618835,66.17114,32.05876,74.68282,67.25295,73.08719,61.568108
1966-03-01,79.999954,81.34606,73.09212,33.844822,73.93425,69.772804,74.10005,63.984535
1966-04-01,82.20462,80.53511,71.53424,24.694561,84.33212,80.026215,76.88913,63.841717
1966-05-01,84.12692,82.779175,84.33869,28.842876,74.81251,79.85878,77.58517,60.548676
1966-06-01,83.71324,84.28452,79.84236,27.703608,81.60544,88.82353,80.77479,60.118576
1966-07-01,83.08615,84.460175,87.441315,55.215126,77.672165,89.06649,82.02568,79.19557
1966-08-01,81.63006,83.155106,84.064545,56.846874,54.73578,84.08096,84.30258,71.75585
1966-09-01,81.56439,83.02377,78.044815,45.32943,44.674435,79.12334,82.83006,54.727573
1966-10-01,81.99613,84.051414,75.045616,50.0047,60.55688,70.14873,76.158615,55.96862
1966-11-01,81.39038,84.72775,65.33064,31.039333,62.965103,66.03161,69.91727,50.009624
1966-12-01,84.19916,83.67877,66.79987,51.27365,77.75917,63.982895,74.3069,58.01569
1967-01-01,81.67577,81.66395,65.058624,45.156223,62.477715,59.874847,77.48348,53.665794
1967-02-01,79.18269,82.244995,66.43691,36.02,75.350174,64.25632,66.53825,58.29049
1967-03-01,82.30411,81.17749,65.61771,32.67394,75.41436,64.60426,72.7642,65.28327
1967-04-01,82.238235,80.59645,70.825134,37.862785,81.96291,79.87859,68.34557,66.59906
1967-05-01,83.15709,81.90211,78.8719,43.85901,82.58956,80.633606,83.05068,60.813972
1967-06-01,83.43579,81.888596,85.93562,29.329565,77.405785,87.72436,81.70448,61.38826
1967-07-01,82.06595,82.88346,90.32216,49.9228,74.02931,88.88475,81.01366,82.6926
1967-08-01,82.04061,81.728134,87.49971,66.42171,68.306725,84.60126,83.8665,81.032234
1967-09-01,80.40221,83.315865,83.17905,56.979767,69.48063,76.454834,83.95434,71.07005
1967-10-01,80.53395,84.1452,75.49712,41.504436,58.815796,73.5986,81.517,55.80417
1967-11-01,80.84474,83.123314,63.350967,57.309135,82.80576,72.20849,73.971886,67.81689
1967-12-01,78.993515,82.87671,69.803246,70.81838,66.072075,64.12288,77.44295,49.59681
1968-01-01,79.93105,82.25368,65.53336,71.75922,69.61848,59.75176,65.8408,60.175076
1968-02-01,78.18627,81.46176,67.36346,55.330242,64.22639,58.871315,63.392624,36.74443
1968-03-01,81.81587,83.4512,71.04617,38.202705,78.32147,71.30532,76.159805,48.02919
1968-04-01,83.06329,80.420364,76.662,26.17432,74.20578,71.93144,76.06484,50.123253
1968-05-01,83.287025,81.006256,79.028076,23.964369,80.76482,79.010376,79.28883,52.42817
1968-06-01,80.920944,81.54707,82.56271,30.821177,80.903244,87.951584,82.23114,55.051785
1968-07-01,82.74621,81.61467,89.293976,54.868294,72.46422,90.22914,83.81336,78.56774
1968-08-01,81.13502,81.0819,81.54707,64.8493,68.77023,86.052284,83.08583,73.72613
1968-09-01,80.75194,82.654465,77.526344,51.798824,62.273968,77.42494,80.34793,71.764046
1968-10-01,82.037994,84.418564,80.32379,59.402477,65.147064,73.0163,79.424034,65.92288
1968-11-01,82.06375,77.751686,65.9261,40.75711,69.61687,63.226837,78.82205,70.62125
1968-12-01,81.96878,83.05525,68.881294,47.275906,79.72503,67.83024,67.379555,75.79765
1969-01-01,78.058815,80.08425,71.106834,45.08703,78.92781,69.978806,73.1824,62.913185
1969-02-01,75.83285,80.92317,69.49751,42.05222,77.7179,71.00322,72.3886,79.641396
1969-03-01,78.596924,79.58792,68.69704,33.73658,77.54578,69.301994,75.49026,68.53828
1969-04-01,82.65281,81.763756,78.50334,30.265598,74.98056,73.55507,81.18387,64.27852
1969-05-01,83.31458,83.6956,84.78018,27.406261,79.08824,81.626724,80.318214,69.9621
1969-06-01,83.795876,83.15248,86.02185,37.068848,81.21228,84.62309,76.40939,62.17621
1969-07-01,83.69394,83.5051,93.07744,46.472412,72.36186,87.60443,81.513084,81.07691
1969-08-01,81.808876,83.46499,85.48039,43.191944,76.7971,85.15285,83.139114,78.987976
1969-09-01,82.08462,82.96364,74.87862,46.931976,71.35249,80.64409,81.513084,73.911026
1969-10-01,81.28246,82.007744,72.56407,48.334072,69.99051,71.19373,83.566925,63.424557
1969-11-01,84.15183,82.61604,68.93768,34.069138,67.32168,68.09375,68.780594,50.387917
1969-12-01,81.90413,85.27818,69.38221,48.5814,58.048466,58.409435,72.33346,51.233517
1970-01-01,80.076324,84.66217,64.44705,45.544296,72.67211,64.9154,67.89098,48.42886
1970-02-01,79.253815,81.58232,65.77762,35.6494,76.10612,65.69488,66.080475,60.78466
1970-03-01,77.26955,80.90545,65.94643,29.67009,83.852905,65.4185,74.11853,56.20378
1970-04-01,80.75816,82.179756,70.151634,35.17939,74.277405,79.23892,82.7623,58.414783
1970-05-01,84.362625,82.88641,83.465645,33.569134,80.19051,84.63569,76.9518,60.501667
1970-06-01,84.8558,84.59267,84.14417,37.23649,81.39697,89.02791,79.87773,69.36885
1970-07-01,82.20458,83.41269,94.79042,35.442528,76.21866,87.85621,85.23809,83.578186
1970-08-01,82.2294,82.70438,87.46233,56.96671,70.27079,86.56535,83.92903,82.44455
1970-09-01,82.61666,82.22775,75.54013,42.767303,80.89387,83.54839,83.21741,76.94021
1970-10-01,82.2294,82.98572,75.699005,40.814472,72.07964,73.70645,78.970825,68.65556
1970-11-01,82.17148,85.18182,68.11937,34.86164,72.10777,65.21494,75.99193,61.274525
1970-12-01,82.188034,85.33739,67.46897,44.7251,78.59184,63.708946,77.314224,63.728806
1971-01-01,80.66461,78.54807,69.97204,56.97021,63.34687,62.652065,70.562035,52.341553
1971-02-01,81.05344,84.16907,69.1234,54.862125,71.4242,66.58085,68.388016,61.554916
1971-03-01,81.575806,80.39075,67.77267,37.85206,76.17965,64.16001,81.97815,62.83464
1971-04-01,82.42445,77.849884,78.7763,24.072586,80.93002,73.613434,86.461426,63.18965
1971-05-01,84.21641,83.08206,81.9156,22.392204,80.279175,79.16342,84.03721,55.272923
1971-06-01,83.13785,83.37283,85.955956,34.048378,79.22767,89.67342,80.788025,80.8979
1971-07-01,83.026276,83.02458,91.979294,44.303104,61.89978,88.67432,81.088936,78.94028
1971-08-01,81.511566,81.97984,85.572205,48.98924,73.62527,85.802124,81.01117,84.172455
1971-09-01,82.61548,80.89452,79.59451,51.864822,71.3008,82.53264,81.51326,70.45553
1971-10-01,81.944336,84.441246,73.41057,43.954857,68.413376,76.203316,79.07045,63.34011
1971-11-01,81.700905,84.20964,71.013405,55.896725,62.20915,68.07358,78.97916,62.59459
1971-12-01,80.368774,84.40067,68.208824,61.303024,66.02973,65.23012,67.18605,59.67505
1972-01-01,80.48538,82.102554,66.15514,65.74394,72.56044,66.64923,69.16519,72.69371
1972-02-01,80.750305,83.85787,65.305115,48.894493,82.39348,69.09368,69.51463,69.426865
1972-03-01,83.207756,81.04123,69.54876,30.15645,67.62441,67.09782,69.01566,63.55142
1972-04-01,83.823746,82.3886,80.41387,33.392418,79.10713,79.58822,70.63446,60.69252
1972-05-01,83.10374,82.64865,82.920074,25.036766,80.4285,81.07536,81.836006,63.008568
1972-06-01,85.08334,82.216324,90.25017,33.47693,79.65973,89.8991,84.48199,60.62101
1972-07-01,85.254,82.95421,88.41521,39.799335,69.89495,86.742775,82.23095,80.189575
1972-08-01,85.52868,81.69785,89.17747,45.538254,77.60373,86.67613,83.14436,79.64185
1972-09-01,84.982574,83.52306,74.83748,38.507225,73.473854,78.19696,77.475334,68.752365
1972-10-01,83.58807,82.916824,72.07447,36.243187,75.211296,70.454056,79.45332,66.63623
1972-11-01,84.36497,84.865555,67.367615,45.707287,73.3227,68.49557,79.7215,68.58821
1972-12-01,82.02779,83.76198,68.94253,51.291805,74.43115,64.689125,73.953316,60.78029
1973-01-01,78.87447,79.16351,67.11771,56.68293,75.11047,65.85482,73.147995,69.38071
1973-02-01,81.02745,80.89935,67.39031,44.75865,85.535385,70.31349,70.85872,72.11832
1973-03-01,78.24057,78.743095,65.43605,36.31427,81.57267,63.89892,74.647354,61.76237
1973-04-01,83.985115,82.12611,80.717064,26.649706,81.14076,80.98147,79.50017,67.74011
1973-05-01,83.73221,83.16564,85.3219,26.405012,84.78653,75.1581,84.571396,69.040764
1973-06-01,85.76366,82.369156,83.137726,29.172182,81.661354,87.07909,80.718704,70.60581
1973-07-01,84.15591,82.502174,87.23182,41.442974,79.881165,86.62091,84.67814,86.05269
1973-08-01,83.925995,81.603874,88.1449,53.286785,74.18096,85.0148,83.321655,77.62637
1973-09-01,83.444824,84.01303,79.88609,65.232414,79.20785,80.86322,81.92411,73.88536
1973-10-01,82.82241,83.48916,78.65442,57.927746,70.67807,70.01789,78.84984,65.26526
1973-11-01,84.01468,84.454796,67.29835,43.431725,62.729645,62.406128,69.32323,53.250656
1973-12-01,83.59427,85.26442,66.42468,45.28581,48.176144,58.881886,78.445854,41.31324
1974-01-01,81.52251,81.95712,65.42487,46.463345,75.29564,59.996197,67.52859,59.8706
1974-02-01,83.01477,83.91707,71.21711,40.31415,70.764305,67.5666,71.7608,54.800533
1974-03-01,85.17302,81.79187,66.563484,26.424345,70.20574,63.573997,67.35342,55.431812
1974-04-01,85.35645,82.73053,73.75545,25.067589,72.40365,76.81435,79.75095,60.53989
1974-05-01,84.45415,82.95528,79.18247,28.156233,79.760864,82.39671,81.28123,61.440536
1974-06-01,83.41799,82.32565,79.56421,30.952372,79.18082,83.37007,81.29279,58.82122
1974-07-01,83.44609,82.29921,85.943115,52.295246,78.04385,86.50003,82.79663,80.52931
1974-08-01,83.75346,81.06474,89.092896,48.7538,72.16238,83.51384,82.61815,82.12734
1974-09-01,82.80985,83.48905,80.56567,35.820827,67.558334,78.08682,80.86148,68.75644
1974-10-01,84.14513,83.62622,72.26814,35.382896,69.440605,77.356384,80.56236,67.49884
1974-11-01,83.211426,83.31554,66.19496,42.43274,70.10658,65.01999,80.732574,68.663895
1974-12-01,82.563614,85.48205,65.56368,54.02548,79.61544,64.41515,67.55172,70.08015
1975-01-01,79.66681,82.307396,66.25153,53.855278,75.691124,63.3031,70.70299,71.310455
1975-02-01,79.777115,84.82945,66.89357,35.711967,74.306625,65.65888,75.66149,62.414124
1975-03-01,79.377075,84.09851,69.44196,33.079617,77.908615,65.14031,75.08037,56.16167
1975-04-01,82.916504,82.93956,74.78568,34.795006,78.64614,76.231094,80.71383,62.891537
1975-05-01,84.77841,84.28948,81.86949,29.103926,85.58179,78.54407,84.78171,57.656467
1975-06-01,84.50185,82.923096,82.51976,33.38911,79.9582,88.9105,84.18083,62.52442
1975-07-01,82.53129,82.50824,90.35591,46.76982,73.819336,86.46912,80.97394,84.54135
1975-08-01,83.909195,82.2366,85.65422,51.815575,82.39629,85.109314,82.903336,81.425
1975-09-01,84.02937,84.55288,82.91486,56.262093,76.78094,81.16984,82.62677,76.15042
1975-10-01,83.06467,83.50257,72.783844,58.34789,78.751495,75.277916,81.39867,71.16559
1975-11-01,84.72739,84.43435,70.143265,55.48177,74.42351,69.43702,81.7345,65.66382
1975-12-01,85.12248,84.78171,69.46336,50.656616,67.01045,62.853672,75.172554,61.53009
1976-01-01,79.95688,83.93564,66.5462,45.612633,64.74216,59.162712,67.86481,45.573273
1976-02-01,79.54851,82.736755,71.28758,44.210392,77.754295,69.17192,67.248146,69.237526
1976-03-01,83.11397,83.223854,69.237526,29.559843,82.22835,71.704155,80.07497,58.337765
1976-04-01,84.037315,82.51372,76.10933,36.1922,81.728134,81.09343,79.59935,60.720757
1976-05-01,85.55272,84.27184,82.32019,24.26413,76.31761,79.91588,79.76171,58.52309
1976-06-01,84.603134,83.61255,85.503525,43.05416,82.12174,89.027985,81.442764,66.13947
1976-07-01,84.34401,82.84172,87.96687,50.647583,76.47014,88.18664,83.307495,78.01014
1976-08-01,84.1062,82.68592,83.4141,55.03963,66.69545,86.78932,83.187775,80.53746
1976-09-01,83.4059,82.76136,83.29109,52.466393,69.8591,76.88015,84.03076,71.9026
1976-10-01,84.75566,84.62445,73.080154,46.54254,75.30406,71.143265,83.01721,65.79835
1976-11-01,84.49489,85.43136,68.71435,36.225,66.01319,66.70529,80.89827,59.992577
1976-12-01,81.5018,85.705246,64.99636,44.48592,65.706505,64.55847,72.2831,56.67476
1977-01-01,79.471436,84.426186,66.72392,56.88428,79.60952,62.160683,66.54685,49.255592
1977-02-01,76.35075,84.35958,65.97503,37.49253,66.10499,60.79122,72.4763,43.10196
1977-03-01,80.231705,84.361206,70.93465,21.297817,68.80492,70.65036,74.53618,51.03118
1977-04-01,84.388824,81.87571,79.42595,24.017242,78.530846,73.56148,82.86341,69.38649
1977-05-01,84.90704,82.46053,79.744354,26.361406,86.29924,77.48954,85.11985,72.46331
1977-06-01,84.21825,82.63598,84.04605,42.63735,84.50578,89.04953,81.87246,60.287624
1977-07-01,84.97365,82.92839,89.84392,50.29203,75.06252,84.27835,82.132385,84.91191
1977-08-01,84.57889,83.27603,83.509964,60.83996,72.700485,81.02609,83.6448,77.5334
1977-09-01,83.57819,84.12402,83.727646,59.606956,74.33475,83.01936,80.129364,69.54407
1977-10-01,85.30992,83.9827,76.724396,54.759426,71.00125,75.54663,83.131454,70.890785
1977-11-01,84.76083,85.56334,70.16626,59.169964,64.766396,72.70861,75.473526,62.28577
1977-12-01,81.0667,83.435234,65.42107,53.6044,73.51274,62.363747,67.131676,71.8395
1978-01-01,78.91082,83.47125,66.5015,45.796608,67.25392,63.20513,68.68906,56.187862
1978-02-01,81.14589,83.384125,67.337875,44.56898,70.27309,62.73309,70.78948,59.264057
1978-03-01,80.60098,83.2479,70.20656,30.66434,80.89403,63.631233,72.15967,57.350544
1978-04-01,83.8736,82.242035,75.609695,17.822586,80.31427,74.922226,78.69222,45.725327
1978-05-01,84.568985,82.84556,84.6767,26.49675,79.329,81.3138,82.47331,52.158085
1978-06-01,84.309204,82.52875,92.1565,31.719305,80.8766,87.31094,82.79962,60.079834
1978-07-01,82.56835,81.81277,91.388245,49.24346,64.18407,84.27594,84.93489,81.00808
1978-08-01,84.93331,82.31966,83.54253,58.234436,70.844925,85.07745,83.52352,81.70347
1978-09-01,84.65135,82.32916,74.81767,55.539993,69.89609,83.485504,82.52083,71.67496
1978-10-01,84.73372,84.03833,73.11801,46.45398,69.05022,77.337875,82.242035,65.20418
1978-11-01,84.46919,84.76698,68.94092,53.442734,72.13432,66.347855,79.45889,66.51734
1978-12-01,82.85823,85.20101,67.30936,50.629494,67.3648,63.968636,75.23111,67.48994
1979-01-01,79.42726,81.87846,66.29755,39.497723,75.55711,64.07448,70.22109,64.04535
1979-02-01,80.78958,82.368706,73.10267,39.5139,75.77229,62.880424,74.461754,63.788097
1979-03-01,80.135925,82.1341,64.78314,44.116985,80.83974,68.42192,72.90366,55.60933
