,cluster,nodes_lat,nodes_lon
0,9,40.0,100.0
1,9,40.0,102.5
2,9,40.0,105.0
3,9,40.0,107.5
4,9,40.0,110.0
5,9,40.0,112.5
6,2,40.0,115.0
7,2,40.0,117.5
8,2,40.0,120.0
9,2,40.0,122.5
10,2,40.0,125.0
11,2,40.0,127.5
12,2,40.0,130.0
13,2,40.0,132.5
14,2,40.0,135.0
15,2,40.0,137.5
16,2,40.0,140.0
17,2,40.0,142.5
18,2,40.0,145.0
19,2,40.0,147.5
20,2,40.0,150.0
21,2,40.0,152.5
22,2,40.0,155.0
23,2,40.0,157.5
24,2,40.0,160.0
25,2,40.0,162.5
26,2,40.0,165.0
27,2,40.0,167.5
28,2,40.0,170.0
29,2,40.0,172.5
30,2,40.0,175.0
31,2,40.0,177.5
32,2,40.0,180.0
33,9,37.5,100.0
34,9,37.5,102.5
35,9,37.5,105.0
36,9,37.5,107.5
37,9,37.5,110.0
38,9,37.5,112.5
39,9,37.5,115.0
40,9,37.5,117.5
41,2,37.5,120.0
42,2,37.5,122.5
43,2,37.5,125.0
44,2,37.5,127.5
45,2,37.5,130.0
46,2,37.5,132.5
47,2,37.5,135.0
48,2,37.5,137.5
49,2,37.5,140.0
50,2,37.5,142.5
51,2,37.5,145.0
52,2,37.5,147.5
53,2,37.5,150.0
54,2,37.5,152.5
55,2,37.5,155.0
56,2,37.5,157.5
57,2,37.5,160.0
58,2,37.5,162.5
59,2,37.5,165.0
60,2,37.5,167.5
61,2,37.5,170.0
62,2,37.5,172.5
63,2,37.5,175.0
64,2,37.5,177.5
65,2,37.5,180.0
66,9,35.0,100.0
67,9,35.0,102.5
68,9,35.0,105.0
69,9,35.0,107.5
70,9,35.0,110.0
71,9,35.0,112.5
72,9,35.0,115.0
73,9,35.0,117.5
74,9,35.0,120.0
75,9,35.0,122.5
76,9,35.0,125.0
77,9,35.0,127.5
78,9,35.0,130.0
79,2,35.0,132.5
80,2,35.0,135.0
81,2,35.0,137.5
82,2,35.0,140.0
83,2,35.0,142.5
84,2,35.0,145.0
85,2,35.0,147.5
86,2,35.0,150.0
87,2,35.0,152.5
88,2,35.0,155.0
89,2,35.0,157.5
90,2,35.0,160.0
91,2,35.0,162.5
92,2,35.0,165.0
93,2,35.0,167.5
94,2,35.0,170.0
95,2,35.0,172.5
96,2,35.0,175.0
97,2,35.0,177.5
98,2,35.0,180.0
99,2,32.5,100.0
100,2,32.5,102.5
101,9,32.5,105.0
102,9,32.5,107.5
103,9,32.5,110.0
104,9,32.5,112.5
105,9,32.5,115.0
106,9,32.5,117.5
107,9,32.5,120.0
108,9,32.5,122.5
109,9,32.5,125.0
110,9,32.5,127.5
111,9,32.5,130.0
112,9,32.5,132.5
113,9,32.5,135.0
114,9,32.5,137.5
115,9,32.5,140.0
116,9,32.5,142.5
117,2,32.5,145.0
118,2,32.5,147.5
119,2,32.5,150.0
120,2,32.5,152.5
121,2,32.5,155.0
122,2,32.5,157.5
123,1,32.5,160.0
124,1,32.5,162.5
125,1,32.5,165.0
126,1,32.5,167.5
127,1,32.5,170.0
128,1,32.5,172.5
129,1,32.5,175.0
130,1,32.5,177.5
131,1,32.5,180.0
132,2,30.0,100.0
133,2,30.0,102.5
134,9,30.0,105.0
135,9,30.0,107.5
136,9,30.0,110.0
137,9,30.0,112.5
138,9,30.0,115.0
139,9,30.0,117.5
140,9,30.0,120.0
141,9,30.0,122.5
142,9,30.0,125.0
143,9,30.0,127.5
144,9,30.0,130.0
145,9,30.0,132.5
146,9,30.0,135.0
147,9,30.0,137.5
148,9,30.0,140.0
149,9,30.0,142.5
150,1,30.0,145.0
151,1,30.0,147.5
152,1,30.0,150.0
153,1,30.0,152.5
154,1,30.0,155.0
155,1,30.0,157.5
156,1,30.0,160.0
157,1,30.0,162.5
158,1,30.0,165.0
159,1,30.0,167.5
160,1,30.0,170.0
161,1,30.0,172.5
162,1,30.0,175.0
163,1,30.0,177.5
164,1,30.0,180.0
165,2,27.5,100.0
166,2,27.5,102.5
167,2,27.5,105.0
168,2,27.5,107.5
169,9,27.5,110.0
170,9,27.5,112.5
171,9,27.5,115.0
172,9,27.5,117.5
173,9,27.5,120.0
