,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10
1965-01-01,2.1762705862918797e-05,-5.599886158645108e-07,2.351657270070985e-06,1.1544631286622616e-05,-3.968596611962647e-06,2.373281836853272e-05,-6.5821384881911015e-06,8.95816314864946e-06,2.2296093707804437e-05,1.5002610869523065e-05
1965-02-01,1.807658446961324e-05,4.7009622732361284e-06,-1.271645599787574e-06,1.3980860157843523e-05,-3.794329491914281e-06,2.832004566898388e-05,1.6977475787675714e-06,1.4703541775375152e-05,2.7861033788435543e-05,5.608788288715432e-06
1965-03-01,1.2479098485427028e-05,3.0304940135439223e-07,3.1985682535496262e-06,1.52751121097769e-05,1.017406858537415e-06,4.0444982604218775e-06,-7.504018487929235e-06,-1.6089642017367154e-05,2.8790877042076913e-05,2.0626597973865037e-05
1965-04-01,1.3082386532106384e-05,1.0300039854843384e-06,5.036379472774381e-06,6.8262566779133485e-06,-4.618224490373575e-07,2.5888975204263883e-05,7.3021431145534025e-06,1.3006689242143748e-05,1.5029540083226178e-05,2.875811769983699e-06
1965-05-01,1.2560407311765528e-05,7.6228632784424946e-06,5.805424569354562e-06,5.27989439587158e-06,-2.073632888963732e-06,1.6110064878863875e-05,5.286947723627977e-06,2.6298992893178806e-05,1.1381785136146224e-05,-5.402048105572569e-06
1965-06-01,2.1813573564739068e-06,-4.895560857181883e-06,9.572260467677269e-06,4.007011406249892e-06,5.446608211425596e-07,1.2694211297302235e-05,1.9005609844489563e-05,1.2844833635785053e-05,2.5406302948071316e-06,-5.3777744053114275e-06
1965-07-01,1.4715550167710277e-05,2.4984005640494553e-06,5.5092895509714455e-06,8.439205340808668e-07,-2.850725415010863e-06,1.4654571669979772e-05,9.548973202231316e-06,3.0407558039190583e-05,2.065598335098095e-05,8.032993362433568e-06
1965-08-01,1.8985080411463663e-05,5.234231310538051e-06,-6.482081688147162e-07,-4.857085680758784e-06,2.520438413086485e-06,8.344745876412363e-06,1.5372277297042405e-05,4.189125430650275e-05,3.5581337103895766e-05,2.055163882212529e-08
1965-09-01,1.498770635171914e-05,3.4450225860422034e-06,5.3891393950574895e-06,4.574377579072615e-06,-1.9536384155457344e-06,1.4405654061503322e-05,9.922001985067307e-06,2.271386813046058e-05,1.6677060965757477e-05,1.5055967000365604e-06
1965-10-01,1.7353795556118712e-05,6.428921472473556e-06,4.85203080253476e-06,4.606375139855131e-06,-2.361150563956471e-06,1.463042347650782e-05,6.660450672975501e-06,2.8911238063521907e-05,1.2493530114309634e-05,8.833307349192967e-07
1965-11-01,2.147643398428853e-05,5.639938773010331e-06,2.2826698822628513e-06,-5.660631775523579e-07,-2.165959038075932e-06,1.487040807238905e-05,1.3385108581380195e-06,3.6654562956590034e-05,1.7332166287221243e-05,1.8938983018023124e-07
1965-12-01,2.339724637244621e-05,5.2102954530551955e-06,2.559770180525518e-06,6.743254398059717e-06,-1.1050963204930947e-06,1.3735093600145065e-05,1.1811816025814533e-05,2.0101844821703818e-05,2.6203774816204546e-05,3.821449022147064e-07
1966-01-01,2.188826834349634e-05,9.317649976541018e-06,5.973423595877377e-06,1.1527577620475147e-05,-8.227656837712955e-07,2.440659200812395e-05,-4.333742088384647e-06,-1.6777206231684733e-05,2.4684465773004505e-05,2.0075770532689513e-05
1966-02-01,2.1921175209206046e-05,4.957396940617532e-06,2.088146092401902e-06,9.039786164066754e-06,5.275185246117438e-07,1.9055537782927476e-05,-5.538771519532373e-06,-1.060694130776965e-05,2.4064212659735005e-05,9.212198718017259e-06
1966-03-01,2.161472770644145e-05,3.23214974913213e-06,2.3027868420203132e-06,1.2908717059910717e-05,-1.1623583396313862e-06,2.5471230978061016e-05,-3.7664188298946913e-06,8.971096576715354e-06,3.260531081409403e-05,3.4476037327811925e-06
1966-04-01,1.6115223776001517e-05,6.679482649433076e-06,8.446444222830575e-06,4.301343106420409e-06,7.913246541257168e-07,1.5382033225472608e-05,6.183730084620003e-06,1.10120702105853e-05,6.1798025816809675e-06,1.699161514932034e-05
1966-05-01,6.902969626362729e-06,1.0653728668989642e-06,9.363473556684814e-06,8.8123132127934e-06,-5.055438507787395e-07,1.198884408550817e-06,1.2990539757595894e-05,3.847843848261894e-07,2.4184747157310734e-06,9.157146647054355e-06
1966-06-01,2.4637493559701532e-06,7.190162606370312e-06,1.8634244208277033e-06,-3.5394360168884564e-06,2.7945016704842716e-06,8.61538099831328e-06,1.6823454957066308e-05,4.228636360935387e-05,1.9921774263802575e-05,-4.549908636345565e-06
1966-07-01,1.5566847314066424e-05,1.0581846293897126e-05,3.4245463861485144e-06,4.0150844527065795e-06,3.129998548190741e-07,8.844720624194186e-06,1.2510983951958303e-05,3.298975956788512e-05,1.3701094071528096e-05,8.264988519287868e-06
1966-08-01,1.3192639185204084e-05,7.666174338816706e-06,4.59648198521826e-06,-1.515033932424609e-07,2.890218663056328e-06,6.652572199350178e-06,2.887523492372389e-06,1.0821297495788189e-05,2.3161028737525398e-05,7.281787742720232e-06
1966-09-01,8.173665938321156e-06,1.0118026403833411e-05,5.306022209772997e-06,-4.578143335480414e-06,2.6174818029652205e-06,5.147306892911552e-06,1.3612811617526107e-05,4.253047749939883e-05,4.566658278737141e-06,-6.532557153168098e-06
1966-10-01,3.888979133787668e-06,1.147015965493072e-05,6.238310384282891e-06,-1.1878966342663543e-06,1.213734718695933e-06,4.42155674025388e-06,7.338975442463794e-06,2.1572783005081654e-05,4.827606693540975e-06,-1.8003836608912417e-06
1966-11-01,8.744692607891651e-07,9.418189343388962e-06,9.42239522999727e-06,9.684344418724002e-06,-5.703502314730904e-07,1.0420277115971236e-05,8.507978487422255e-06,1.7632898809758693e-05,7.937267916847248e-06,4.4744040803611734e-06
1966-12-01,1.020840264337258e-05,5.171971455295705e-06,4.64075990796071e-06,4.097652801109189e-06,-2.8801090896243925e-06,1.999646772718534e-05,7.988399430620491e-07,2.311724143289735e-05,1.5932364847834164e-05,1.0075040799896597e-05
1967-01-01,1.7803377313948994e-05,1.5536223118956052e-05,4.561775903630996e-06,1.391467584410197e-05,-2.994914474211877e-06,1.3837230964294044e-05,-6.876707100196407e-06,1.9189802501249216e-06,2.1739356734728135e-05,1.94640747127671e-05
1967-02-01,2.605775248580526e-05,9.766330075090874e-06,1.1669555249965642e-06,8.104477184504913e-06,3.2119341399845856e-06,-5.018173064078239e-06,-1.0277083065463636e-05,-2.1966847767048005e-05,2.2179810169903677e-05,1.928894169966453e-05
1967-03-01,1.720417694067927e-05,2.9204688805781402e-06,3.845715074529327e-06,7.680033940885832e-06,-9.663423934276372e-07,1.5597396025153036e-05,-1.6268434159675821e-06,-1.0417872517516088e-05,2.0737403544017628e-05,1.6123090508877866e-05
1967-04-01,1.929334521938236e-05,2.728927483985899e-06,-8.731941253753068e-07,8.558748651896014e-06,-9.389894928715985e-07,2.815091514693028e-05,1.5181584679790053e-05,-2.911493042616216e-06,2.5124915495956773e-05,4.4645949125041106e-06
1967-05-01,6.258294939066723e-06,5.292091320397036e-06,2.5756668486343635e-06,1.2808794976157976e-06,-1.3842901542424163e-06,2.4683706170635118e-05,1.5126758595233165e-05,1.2602004062500782e-05,1.470108349612743e-05,-3.314847599897036e-06
1967-06-01,7.283298415401346e-06,1.4062911561821872e-05,1.4316747360503718e-06,7.816873823659836e-06,-8.958142839005723e-07,2.538100688536538e-05,1.966992050318332e-05,1.4222300568221588e-05,1.9451274093459074e-05,1.6790383427838141e-06
1967-07-01,1.3956479994737524e-05,1.020750222897218e-05,5.894411538951341e-06,2.356753445293551e-06,-4.014457729699765e-07,1.9631818027048167e-05,1.0251075269762332e-05,2.6314393670128826e-05,1.5416850258087816e-05,-3.1669102617004183e-06
1967-08-01,1.616805194417894e-05,7.465990600631694e-06,-2.3648326886914573e-06,-1.013306396537662e-06,-2.6414533975477886e-07,4.0929723870315845e-06,1.3824132490731907e-05,5.8107914149083875e-05,2.3364646040135995e-05,2.5858151489314074e-06
1967-09-01,1.5930682248263446e-05,9.423693104442952e-06,6.088824299588957e-06,1.3078957815362718e-05,2.5610821442709825e-09,6.715601845892862e-06,4.754826932185097e-06,1.61372802474282e-05,1.7257147823218067e-05,8.968509420953398e-06
1967-10-01,9.242074628235531e-06,8.652924024963928e-06,7.673048906787238e-06,6.9026766499852055e-06,-5.441369766103035e-06,2.696012926185731e-05,1.0810270360857474e-05,3.39075857923352e-05,7.537168204755884e-06,2.4388887319290397e-06
1967-11-01,1.7231141774337392e-05,5.306301516058106e-06,7.125376001780538e-06,5.424972571322734e-06,-2.3769743983692805e-06,2.063169431937972e-05,3.949550168682851e-06,3.097598671570956e-05,1.840774400209609e-05,1.310811289751619e-05
1967-12-01,1.9752262771901396e-05,3.0709955261546136e-06,1.6263929746973982e-06,1.6784921671656572e-06,3.330246086354249e-08,1.543432140684539e-05,2.6446006032326023e-06,3.805630099536343e-05,1.5178724127935665e-05,1.3636564985705155e-05
1968-01-01,2.7726626420324597e-05,5.818838358011462e-06,-3.340893543919536e-06,1.35239684490264e-05,-1.2010680211765767e-06,1.7589057434390005e-05,-5.894974567603887e-06,9.871036244283349e-07,2.5629610810975297e-05,1.3788894648314454e-05
