,r100_cluster1,r100_cluster2,r100_cluster3,r100_cluster4,r100_cluster5,r100_cluster6,r100_cluster7,r100_cluster8,r100_cluster9,r100_cluster10
1965-01-01,16.750412,69.55224,62.23353,50.2317,81.87021,73.03632,87.28226,63.64387,78.43199,50.17437
1965-02-01,13.408833,66.846214,86.387886,89.816284,74.325455,62.846153,78.276375,77.24114,66.14023,45.122692
1965-03-01,17.087845,84.39604,53.12446,60.852673,89.85723,77.45572,81.29854,73.48678,67.17055,80.509
1965-04-01,7.4546013,53.376713,57.011497,53.11627,81.71623,82.05203,61.806004,80.17648,85.73268,29.337017
1965-05-01,6.4898033,59.627426,66.40231,70.68248,72.93804,73.39342,61.579956,80.992226,83.500046,32.67368
1965-06-01,4.6830597,52.14328,53.298088,56.495518,60.038574,61.85023,48.26934,67.15089,70.590744,23.551502
1965-07-01,4.832119,58.289158,46.79348,60.990265,70.96586,61.019753,47.717327,68.05017,62.086105,28.526194
1965-08-01,4.149063,49.828743,40.5313,44.133324,71.467094,64.50875,41.997334,67.33271,66.9314,23.441755
1965-09-01,5.500435,61.027943,44.513344,64.231926,78.5876,65.82245,46.965473,83.54919,66.8757,30.485273
1965-10-01,4.877987,62.81503,56.33008,63.316265,85.9964,83.103645,64.76264,89.98663,81.673645,30.011885
1965-11-01,5.298958,47.338943,54.079426,65.06732,85.039795,91.971924,66.340065,91.61975,86.97922,36.93419
1965-12-01,12.596371,74.75789,63.914146,80.09622,87.49356,67.00838,75.01179,69.55715,86.09468,45.029324
1966-01-01,17.924618,53.686802,62.530083,60.542107,92.00987,70.1553,80.90447,64.31614,64.9186,49.82084
1966-02-01,11.578205,53.803352,70.593605,42.83092,76.02565,61.392456,95.73466,62.019547,74.39062,52.859436
1966-03-01,11.849068,83.21748,72.77693,76.97449,86.28727,70.12575,84.0153,80.380806,81.28204,47.32397
1966-04-01,6.6649055,51.68077,58.171642,56.92731,86.00163,74.50389,61.385887,88.00602,83.616394,30.761902
1966-05-01,5.4862404,59.110634,43.41697,50.443005,74.11647,71.96926,45.293316,69.60208,83.51297,20.55117
1966-06-01,3.8856812,69.23436,57.65782,64.55581,61.691227,68.6319,56.160686,84.020226,63.592194,29.635767
1966-07-01,5.6323395,55.093647,54.648777,51.869553,52.404713,65.18783,58.3358,76.32442,66.51752,25.802639
1966-08-01,5.707855,55.623882,47.15653,58.092846,59.997097,56.388866,44.337906,65.01218,68.894554,21.765953
1966-09-01,5.031517,67.84721,47.78362,59.880543,67.73394,49.10182,52.279953,66.21382,69.081696,29.49459
1966-10-01,4.8821297,55.05425,42.825996,54.320457,76.06997,76.06833,46.473625,86.32503,77.27162,26.984589
1966-11-01,8.199799,81.20653,59.378216,85.154564,80.54989,73.68801,57.754677,94.278564,85.93761,33.304733
1966-12-01,11.510899,84.00381,55.41704,71.207565,82.81529,72.40264,74.07871,84.99533,76.70199,48.94915
1967-01-01,21.527714,82.01359,70.436646,64.97924,77.57469,56.934162,85.567406,63.800262,70.96364,81.50349
1967-02-01,16.163204,73.40774,58.40535,46.747334,79.09655,72.3926,83.24999,63.903297,66.90985,69.15633
1967-03-01,11.226028,59.55561,57.52196,40.264652,88.435455,69.05667,91.974075,61.780125,74.31477,49.563026
1967-04-01,7.7178154,62.695606,52.58141,53.559383,84.609695,74.78433,74.29112,78.61685,85.018456,41.639565
1967-05-01,6.067585,62.344276,48.833344,60.28867,71.64265,70.11572,48.336754,87.18555,91.34236,30.56766
1967-06-01,4.3143234,70.93493,50.042725,53.214813,56.891933,67.5365,54.39041,79.31444,76.20823,34.47956
1967-07-01,4.92239,57.824306,55.062664,52.675995,54.111713,58.925583,55.462975,63.01991,73.11722,30.856491
1967-08-01,5.057518,73.89926,51.598366,62.677025,56.174076,51.437904,61.48116,64.10092,67.918236,45.436607
1967-09-01,6.7347717,70.939995,58.58946,65.627846,70.495766,58.261776,62.396637,74.39247,73.63069,38.830627
1967-10-01,7.0185356,81.72982,50.671062,70.96702,84.417145,66.006195,58.881668,81.277145,88.27162,58.729652
1967-11-01,8.734638,66.565285,55.714645,64.921814,83.168915,82.79732,61.553787,83.28209,85.59274,42.972244
1967-12-01,12.801941,68.57359,76.88048,96.093735,84.88164,72.17978,76.65921,94.75092,83.3412,49.770782
1968-01-01,15.303223,68.73482,73.272224,51.249958,79.80711,69.29173,97.62999,65.29032,71.72703,60.025387
1968-02-01,12.669949,70.93994,60.572643,59.55378,76.97265,62.859856,94.7408,66.31884,55.161236,65.79412
1968-03-01,10.204075,64.22156,73.84201,73.54424,78.55647,77.88367,94.71182,90.35469,90.180855,49.804558
1968-04-01,12.385052,64.16039,53.65628,52.74043,82.77196,77.97059,62.048626,81.85611,87.85823,35.179916
1968-05-01,6.6259766,65.30319,36.649464,53.371384,74.73372,71.117,51.66684,75.96505,90.51726,34.726013
1968-06-01,3.461544,64.60947,58.94214,64.84286,62.31582,72.33867,60.284527,81.46176,77.1996,38.972088
1968-07-01,5.269104,68.29701,54.789425,60.66439,62.364105,55.86945,58.336937,73.56839,78.94921,37.69569
1968-08-01,5.035713,62.80191,43.620552,52.914265,63.093243,46.00273,46.80108,64.145905,63.270298,32.923286
1968-09-01,4.375786,61.969757,40.37564,54.87795,66.4798,58.261288,42.651585,70.07399,71.86867,25.565899
1968-10-01,4.839344,59.484566,44.919483,58.82625,76.74731,80.83886,55.777706,89.35675,77.7034,32.07182
1968-11-01,9.717979,67.92681,51.726395,60.46802,92.31999,73.35753,70.47639,80.98855,82.657684,50.427464
1968-12-01,12.442997,73.83397,45.57941,51.74088,76.54128,70.12228,94.933945,59.827408,78.263535,42.81898
1969-01-01,12.847202,51.84683,72.19643,55.197487,70.383224,65.49845,95.8315,64.59436,71.05336,48.842102
1969-02-01,11.289692,62.042515,61.592976,51.55605,84.30725,70.44171,82.938576,62.157825,68.95105,46.87516
1969-03-01,8.069386,45.056946,54.062775,44.557274,76.25063,64.32698,68.2475,68.40459,78.93116,39.323235
