,zgv200_cluster1,zgv200_cluster2,zgv200_cluster3,zgv200_cluster4,zgv200_cluster5,zgv200_cluster6,zgv200_cluster7,zgv200_cluster8,zgv200_cluster9,zgv200_cluster10,zgv200_cluster11
1965-01-01,0.24637008,-0.09993148,0.090070724,-0.2089878,0.60783064,-0.7267476,-0.4653657,0.86479723,0.11347153,0.08212338,-0.14894056
1965-02-01,0.30788898,-0.022076178,-0.105376914,-0.13495898,0.96796644,0.0899236,-0.43136835,0.94250524,-0.73778564,0.28478262,-0.23459606
1965-03-01,0.21840692,0.001030159,0.81078416,0.11759248,0.7057016,-0.22767892,-0.24033591,0.07226257,-0.018691158,0.14629145,0.12392092
1965-04-01,0.43136844,-0.36249074,-0.4147377,0.5307111,-0.09831257,-0.65154135,-0.46978086,1.2820368,-0.67376477,-0.044741012,-0.66463983
1965-05-01,0.534832,0.1215661,-0.5183485,-0.33423322,0.6516886,-0.9226368,0.25358167,1.0119717,-0.3689664,-0.49803838,-0.577071
1965-06-01,0.9107156,0.04106178,-0.5595573,-0.41208854,0.24063027,-0.5449871,-0.17616788,0.834185,-0.6650814,-0.12701158,0.14894065
1965-07-01,0.6156308,0.024430847,-1.0771698,-0.11994724,0.46036178,-0.3189271,-0.46698457,0.8929075,-0.36926073,0.4220964,-0.27197856
1965-08-01,0.0064757345,0.07697215,-0.9026211,0.43210426,0.18308504,-0.51040107,0.30170768,0.55322886,-0.34644872,0.23827545,-0.3699967
1965-09-01,0.4306325,0.065639876,-0.7982744,-0.0014717102,0.39884284,-0.6120986,-0.17837547,0.3086248,-0.27933714,-0.1455555,-0.086832955
1965-10-01,0.317161,0.106407166,-0.4983328,0.33482194,0.13907985,-0.17881696,0.08815749,0.34115043,-0.5084878,0.10699584,-0.16763172
1965-11-01,0.781055,0.16145042,-1.2268465,0.5101067,1.0699584,-0.44520283,-0.45197278,0.01560049,-1.4345096,0.15556335,0.11553192
1965-12-01,-0.10169754,0.16100883,0.100225806,0.34909785,-0.17204697,-0.63991463,0.41753396,0.019427013,-0.5005404,-0.0061813355,-0.12583418
1966-01-01,-0.45295197,0.28253442,0.117758825,0.43400058,-0.032405376,0.22553559,-0.30408973,0.052658748,-0.3305638,0.26633167,0.24651234
1966-02-01,-0.45917258,-0.035732746,0.30177516,-0.05743275,0.46061927,0.43356657,0.87971914,-0.37338504,-0.3884306,-0.02994604,-0.6200422
1966-03-01,-0.16463089,0.08491945,0.0341414,-0.63971686,0.3696239,0.41736394,-0.08680014,0.34387314,0.19645767,0.62423754,-0.8351618
1966-04-01,0.055118084,0.20672894,-0.18416086,0.12701759,0.5822841,-0.6023928,0.58025885,0.3438731,-0.48752737,-0.43240923,-0.015768718
1966-05-01,0.0666914,-0.06220665,0.31609687,-0.008245945,-0.34647712,-0.51617134,0.21844694,-0.07826481,-0.01967473,-0.43747264,0.2103456
1966-06-01,-0.2368196,0.2135284,-0.25649434,0.11226149,0.27776036,-0.47884727,0.20846501,0.09880753,0.052224733,0.15826555,-0.32101578
1966-07-01,-0.07146545,0.04397888,-0.3079958,0.22669299,-0.4128793,0.32694712,-0.18980293,-0.245789,0.24651237,0.27052706,0.055841424
1966-08-01,0.29367375,0.08173676,-0.8610571,0.48593602,-0.52817875,-0.42922655,0.39363855,0.35877383,0.056275368,0.009548044,-0.18473959
1966-09-01,0.1802549,-0.069005966,-0.65664274,0.25533694,-0.07956676,-0.47291598,0.09504614,0.22351031,-0.105606794,-0.24549966,-0.07218876
1966-10-01,0.29960507,-0.026763534,-0.68615496,-0.050922774,0.26387233,-0.5044533,-0.30582577,0.31031042,-0.30380043,0.15696374,0.12803021
1966-11-01,-0.1921176,0.1529129,-1.0852908,-0.1614482,-0.28152174,-0.93729657,0.26604238,-0.098807454,0.21685562,0.038626004,0.07132077
1966-12-01,0.7362097,0.05396073,-0.12441349,-0.25027376,0.37714654,-0.13569736,-0.4507819,-0.08998279,0.08520877,0.24983959,-0.32795972
1967-01-01,0.03230647,0.22697783,0.1863449,0.12572876,0.47676992,0.24129915,-0.5277275,-0.07560376,0.6436311,0.48226538,-0.47260675
1967-02-01,0.28559572,0.24079962,-0.38801044,0.12056637,0.26594535,-0.16203184,-0.016486287,0.16020003,-0.086261556,-0.096086696,-0.9007505
1967-03-01,-0.36003375,-0.25145745,0.38534603,0.10824327,0.33122444,-0.16403016,0.034138273,-0.11523743,0.055453848,0.10624494,0.01582017
1967-04-01,-0.5258957,-0.24546242,-0.33122444,0.42464668,-0.2857623,0.7350551,0.42797726,0.6021656,-0.31607026,0.66478026,-0.48376417
1967-05-01,-0.14804348,-0.0799335,-0.05528736,0.48043355,-0.3567031,-0.145046,0.3960039,-0.3213992,0.31024185,0.26511273,-0.19450481
1967-06-01,-0.67893505,-0.040133286,-0.07010837,0.7072449,0.28975925,0.91007614,0.34088287,-1.0591186,0.70324814,0.43247348,-0.32239836
1967-07-01,-0.04446306,-0.04546223,-0.12456302,-0.08859291,0.17485452,-0.74288195,0.67210746,0.24313097,-0.19267303,-0.37135765,-0.14821005
1967-08-01,-0.2666115,0.1320568,-1.1776868,0.23863478,0.57418895,-0.08709419,0.26977548,0.22164898,-0.3490429,0.100582995,-0.5733563
1967-09-01,0.17552061,-0.013655377,-0.385346,-0.36369738,-0.040133286,-0.4586184,-0.108076766,0.13855138,-0.04612831,0.18051653,-0.090424776
1967-10-01,0.3911745,-0.041298963,-0.3347215,0.19983372,0.7255629,-0.5801838,-0.20649485,-0.30241498,-0.37468824,0.20199852,0.08509584
1967-11-01,0.19750233,0.0930892,-1.6049979,0.59417224,0.370858,-0.72689515,-0.21965055,0.65095836,-0.16153227,-0.1210659,-0.19833498
1967-12-01,0.7931734,-0.26311445,-0.04762702,0.04596176,0.91140825,-1.1705259,-0.5288933,0.5816826,-0.90874386,-0.20466308,0.20582876
1968-01-01,0.020809984,0.2769003,0.38859463,0.18828087,0.583529,0.47225928,0.28383693,-0.5689479,-0.14906749,0.27024668,-0.27222863
1968-02-01,0.26741537,-0.07955923,0.11169443,0.18205205,0.1684618,0.31639668,0.50736725,-0.13434477,-0.8496704,0.20116329,-0.44975048
1968-03-01,0.23117486,-0.10164334,0.31795397,0.75284016,0.96433765,-0.83155,-0.022650337,0.9787772,-0.5104817,-0.39581442,-0.2042776
1968-04-01,-0.41166964,-0.08239057,0.23329835,0.10744748,-0.017978668,-0.8073425,-0.017412376,0.71829844,-0.14184761,-0.5150117,0.41973886
1968-05-01,0.047990322,0.11636604,0.027746677,0.011042118,0.3265893,0.17681411,-0.48853922,-0.3163967,0.13009778,0.40501612,0.5628606
1968-06-01,0.9518801,0.113676354,-0.23471394,0.12825747,0.9215851,-1.4572655,0.73401225,1.28215,-1.3631248,-0.7895055,-0.8816641
1968-07-01,-0.092866324,-0.1453867,-0.5642761,0.3389055,-0.18233511,-0.3951066,0.27647552,-0.31144196,0.110845044,0.25538242,-0.12754963
1968-08-01,0.73882526,0.36820936,-1.364399,0.2381115,0.4115281,-0.71051234,-0.09442349,0.41959733,-0.33763152,-0.086354375,0.17964534
1968-09-01,0.56696594,0.24349098,-0.47070208,-0.089044094,0.16180821,-0.6923921,-0.21928339,0.61523944,-0.3929832,-0.37118226,0.0069366456
1968-10-01,0.53398144,0.25297576,-0.8744441,-0.03199358,0.6738472,-0.2253706,-0.19323559,0.5179846,-0.57092977,0.2996921,-0.432055
1968-11-01,-0.016563034,0.059173964,-0.6909765,0.29530364,-0.34881502,-0.04586687,-0.23627119,-0.08961038,0.393691,-0.12330256,0.117640115
1968-12-01,-0.27024668,-0.0239244,0.025056934,0.24009344,-0.21163897,0.113251686,0.20201254,-0.3813748,0.35277885,0.110845044,0.22310571
1969-01-01,-0.2798143,0.24271765,0.36475793,-0.18987398,1.225096,0.22424507,0.15474577,-0.12476568,-0.45787787,0.03361405,-0.022257948
1969-02-01,-0.17276411,0.14278403,0.15141463,-0.38065642,0.8091599,-0.21243477,0.11295538,-0.39897758,-0.25225678,0.14202693,0.11462088
1969-03-01,-0.41381615,0.052540876,0.291019,0.68772537,-0.2602818,-0.17594382,0.33689755,-0.09342279,-0.18941967,0.44409913,-0.13597035
1969-04-01,-0.345074,-0.23166439,-0.42229548,0.82914656,-0.80613154,-0.708772,0.6388184,0.44515905,0.07161923,-0.0398221,-0.40654832
1969-05-01,-0.0059051514,0.22712198,0.111138344,0.78644764,0.6153492,-0.26149312,0.45409256,0.45500106,0.084186554,-0.19017677,-0.5815837
1969-06-01,-0.20880082,0.11522655,-0.12658271,0.5446385,-0.38444176,-0.5830978,0.35325035,0.06601679,0.2233366,-0.056477666,0.027406048
1969-07-01,-0.980107,0.29026183,0.097965434,0.6348816,0.0916059,-0.042850304,0.6230712,0.107050136,0.3606697,0.34931365,-0.63033926
1969-08-01,-0.5387333,0.009690571,-0.078735635,0.20925502,-0.6106553,1.1138061,0.26770115,-0.720128,0.39064983,0.6354873,0.23650968
1969-09-01,0.5637167,0.58658046,-0.3203934,0.050118256,0.91742134,-0.09160586,-0.12658262,0.22363946,-0.6136835,0.06965075,0.19047956
