,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10,mgu600_cluster11
1965-01-01,-1.4407295,-0.17630272,0.020204544,-0.8326317,0.303397,-1.253021,-1.8774132,-0.7997173,-0.40148813,0.4386387,0.14990616
1965-02-01,-1.7744339,-0.040735625,-0.37639505,-0.8883575,0.00586586,-0.6191782,-1.5802076,-0.68337727,0.31219596,0.53770715,0.4656872
1965-03-01,-1.0232731,-0.9900333,-0.35032463,-0.6494854,-0.33859292,-1.5645653,-1.8308117,-1.6020416,-0.21084633,0.5253235,-0.08440399
1965-04-01,-1.2311866,0.34087372,0.0035850524,-0.32197267,-0.5002308,-0.5422697,-1.1448278,0.01759758,-0.32816467,-0.35032463,-0.80884206
1965-05-01,-0.85283643,0.4145233,-0.97634584,-0.39529648,-0.28188896,-0.037150763,-0.71498793,-0.6429676,-0.6390568,-0.87434465,-0.60288393
1965-06-01,-0.37802467,0.7065147,0.26168424,0.028026199,-0.21410522,0.24441242,0.27765256,-0.5230425,-1.046085,-0.7599594,-0.9812344
1965-07-01,-0.608424,0.703582,-0.013035583,0.39790344,-0.33500785,-1.0392416,-1.1774158,0.19520417,-0.0485569,-0.8166634,-0.6579582
1965-08-01,-0.37281036,0.2913395,-0.9659176,0.55693436,-0.035521317,-0.36107865,-1.925318,0.04790478,0.084077835,-2.083697,-0.13654518
1965-09-01,-1.032398,0.5188061,-0.26885375,-0.17402153,-0.32751274,-0.6762077,-1.1389618,-0.3949705,-0.15772744,-0.9026966,-1.1598183
1965-10-01,-1.0695488,-0.10656395,-0.9750425,-0.41387177,-0.6618687,-0.5481356,-0.9590742,-0.012709618,-0.43146935,-0.9717838,-0.45851785
1965-11-01,-1.3876108,0.19944039,-0.45428124,-0.5856121,-0.6390568,-0.71726894,-1.4338859,0.5927814,-0.41843414,-1.2419411,0.05377083
1965-12-01,-0.5852863,0.3571682,-1.3048365,-0.24701957,-0.3688999,-0.10982265,-1.9556252,-0.7879858,-0.3636856,-0.87825507,-0.42038956
1966-01-01,-1.3532921,-0.16542777,-1.4652185,0.23632583,-0.6581009,-1.1947567,-1.5256125,-0.41783676,-0.21564713,1.0516484,-0.55700606
1966-02-01,-1.6569046,-0.81630784,-1.1310803,-0.24124908,-0.12013207,-1.1570107,-1.7757237,-0.24092063,-0.26619452,1.1360039,-0.24354668
1966-03-01,-1.1386296,-0.27604142,-0.5330452,0.48906288,-0.078775406,-0.7995682,-1.7251766,-0.6285604,-0.1779007,0.63807905,-0.34037438
1966-04-01,-1.5065753,0.36564788,-0.7818438,0.036105346,-0.90492976,-1.6532943,-0.97976625,-0.3708996,-0.85274124,-0.53567123,-0.32724532
1966-05-01,-0.30558205,0.57046354,-0.516634,-0.78348464,-0.23304328,-0.73851717,-0.9436611,-0.699786,-0.92560846,-0.73063964,-0.69781685
1966-06-01,-0.3981428,0.6672913,-1.271891,-0.02002182,-0.25240898,-0.07286701,-0.59081364,0.3482519,-0.3833725,-1.827256,-0.8015377
1966-07-01,-0.12965088,0.6863289,-1.0969446,1.086113,-1.0161998,-1.0654342,-1.0207951,-0.99092615,-0.12275772,-1.508873,-1.1432247
1966-08-01,0.30525398,0.28556022,-1.1172947,0.50809973,-0.43720245,-0.8721069,-1.3552612,-0.037418365,0.22516593,-0.8698093,-0.73786086
1966-09-01,-0.23763847,0.264225,-1.1346909,0.07582092,-0.5363277,0.33676395,-0.42768365,-0.32790166,-0.5048176,-1.8613918,-0.7828285
1966-10-01,-0.79169065,0.35842705,-1.0224361,-0.23435631,-0.83862764,-0.083042145,-0.48840618,-0.010174942,-0.36893043,-0.9692631,-0.09420204
1966-11-01,-0.64530027,0.6134617,-1.049351,-0.3200241,-0.7746223,-0.70175534,-0.17757225,-0.748036,-0.5648838,-0.47100982,-0.38895226
1966-12-01,-0.84223825,0.27210274,-0.99683416,-0.6128052,-0.20218964,-0.569479,-0.49595547,-0.1316204,-0.3810753,-0.4913605,-0.03413582
1967-01-01,-1.6823552,-0.28376693,-1.796972,-0.14629173,-0.7915428,-1.6444759,-1.2385814,-1.2408673,0.44801825,0.52638894,-0.33927917
1967-02-01,-0.102861404,-0.44475326,-1.4547541,-0.16653748,-0.60378,-1.1458433,-1.7385209,-0.94012034,0.20637588,0.256337,0.46336594
1967-03-01,-0.81244165,-0.49569398,-0.11233101,-0.28735885,-0.3879345,-1.0828203,-1.6993355,-0.5182255,-0.39805716,0.46761093,-0.121147916
1967-04-01,-1.46553,0.27364388,-0.5495739,-0.2168251,0.25241852,-0.85848445,-1.6872534,-0.07281933,-0.11592293,-0.1097187,-1.059309
1967-05-01,-0.7252544,0.5796158,-0.80819684,-0.029715728,-0.6788853,-0.25339833,-0.8542393,-0.381077,-0.13225059,-1.1262505,-0.9247726
1967-06-01,-0.54206353,0.84542274,-1.4348348,-0.0450634,-1.0886981,-0.4940613,-0.97604024,-1.0308998,0.37944412,-1.148782,-1.480551
1967-07-01,-0.49863282,0.7337448,-0.99824506,0.7507248,-1.0661666,-0.095350645,-0.7154583,-0.955468,-0.4620598,-1.2425003,-0.7592152
1967-08-01,-0.16784362,0.6684357,-0.7229687,0.36017838,0.09404449,-0.53553236,-1.0857592,-0.6341488,-0.2723381,-2.2472763,-0.33731994
1967-09-01,-0.83595276,0.62174,-1.265032,0.36866838,-1.0002044,-0.7778282,-1.3992417,-1.3463414,-0.4604271,-0.409486,-0.45585555
1967-10-01,-1.7502766,0.4620598,-0.94142663,-0.010776138,-0.68019104,-0.5819017,-0.389567,-0.34842244,-0.79970664,-0.52410316,-0.7552967
1967-11-01,-1.391078,0.46695787,-0.50287783,-0.2625416,-0.27690926,-1.14519,-1.373118,-0.5192051,-0.7837059,-0.78109324,-0.096983716
1967-12-01,-0.7729298,-0.36213723,-0.69455945,-0.7017433,-0.40099603,-1.2460922,-1.0175116,-0.03657303,0.13225022,-0.9891022,-0.41503754
1968-01-01,-0.6691826,0.15936355,-1.2063515,-0.3555603,-0.4255783,-1.0984074,-2.1760285,-1.2574066,0.5025253,-0.14696503,0.23412247
1968-02-01,-1.5290909,-0.86027336,-0.48173866,-0.23120537,0.23266372,-0.90804595,-1.5615475,-1.2114575,0.28845978,1.6497993,-0.023339082
1968-03-01,-1.726017,-0.20130157,-0.7246132,0.025891876,-0.33003274,-1.215469,-1.3624337,-0.30377617,0.51200676,-0.44599992,-0.79718435
1968-04-01,-1.4025482,0.15061149,-0.24141617,-0.21406555,-0.748682,-0.928833,-0.90841067,-0.956913,-0.6553246,-0.47663307,0.3934864
1968-05-01,0.4277664,-0.17395096,-0.8558971,-0.6090107,-0.4857498,-1.2012463,-0.45912856,-0.68304026,-0.45365828,-1.1498268,-0.4937729
1968-06-01,-0.53972244,-0.0040115356,-0.41901398,-0.26256752,-1.0659511,-0.14659996,0.089710616,1.0418825,-0.7278954,-1.872617,-0.9291973
1968-07-01,0.6516781,0.42630807,-0.5812954,0.78551483,-1.1833775,0.1527998,-1.2818397,-0.7147673,-0.38947526,-1.4838715,-0.5116421
1968-08-01,0.6268797,0.68996924,-1.0309422,1.5090339,-0.9663948,-1.1359692,-0.9124222,-0.34972534,-0.17905656,-1.9874904,-0.67720526
1968-09-01,-0.46095163,0.39603958,-0.83583987,0.40442696,-0.86975515,-0.92883223,-0.76545715,-0.46459848,-0.3562893,-1.3259662,-1.0225548
1968-10-01,-0.9700409,0.54555666,-0.90658724,-0.23193474,-0.9284679,-0.48356208,-0.4139084,-0.56962585,0.037197113,-1.4280754,-0.37342948
