,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7,mgu250_cluster8,mgu250_cluster9,mgu250_cluster10,mgu250_cluster11,mgu250_cluster12
1965-01-01,-1.8321155,-0.99752843,-0.7260679,0.49240953,-0.4122421,-1.6417996,-0.03291416,-1.12723,-1.3436165,-1.6688478,-2.1749446,-0.7772316
1965-02-01,-2.1788552,-0.8580505,-2.0139585,-0.6999971,-1.2025089,-2.1576724,-0.29492417,-0.6120087,-0.9313744,-0.76126325,-0.93332976,-0.7420357
1965-03-01,-1.7806259,-1.836026,-1.6108406,-1.7526,-0.34934655,-1.0688969,1.5381687,-1.1386356,-1.7170792,-0.9023708,-1.0219696,-0.1557724
1965-04-01,-0.20758763,-1.534584,-0.6657791,-0.8264397,-1.2070713,0.32979393,0.66838646,-0.053444672,-0.20302543,-1.6043228,0.0853817,-0.3356598
1965-05-01,-0.7687584,-2.6865811,-2.3062758,-1.5756451,-1.9103272,1.1735054,0.84143066,0.32099533,1.3840256,-2.2538085,0.9222492,-0.3887787
1965-06-01,1.3191754,-3.1770356,-4.256686,-1.5091645,-2.1641908,2.6435654,1.0060012,1.5704311,0.5758358,-3.4755445,1.6610267,-0.4493931
1965-07-01,0.077560045,-2.4040403,-2.9453323,-2.4796455,-2.2192645,2.434674,0.7449688,2.9137216,1.2243431,-4.2420216,0.32751274,-0.413546
1965-08-01,-2.165168,-0.852836,-0.71075135,-2.9785728,-2.426852,1.6075817,0.070390895,3.8812687,1.5476192,-4.539879,0.16359329,-0.16066018
1965-09-01,-1.3204788,-2.1788552,-2.5686116,-1.7728046,-2.3841617,1.3025547,0.94538724,0.875322,1.3322105,-2.5937047,0.07202034,-0.3972519
1965-10-01,-1.1555817,-2.7605567,-0.026722336,-0.12285767,-2.1615832,-0.6517662,0.46666488,0.5093552,0.6475304,-2.5852318,-0.47057533,-0.24115333
1965-11-01,-1.551204,-1.3494825,0.7951546,-0.84860003,-2.008418,0.56540716,0.2685276,0.6810959,1.5303478,-2.2652144,-0.72052765,-0.064524844
1965-12-01,-2.7028756,-1.4195474,0.60809785,0.042364884,-1.3426387,-0.03812828,-0.25614414,-0.62602156,-0.2932949,-2.6768048,-1.3628438,-0.9105175
1966-01-01,-2.3924675,-0.1779007,-0.49103183,-1.4927895,-0.1427803,-1.0953032,-1.7514349,-0.62626266,-1.8738644,-1.0280159,-2.664899,-0.52746546
1966-02-01,-2.183714,-0.94267654,1.0260468,-1.6116087,-0.3892807,0.20580006,-1.6752853,-1.5988079,1.4366623,-2.174195,-1.8092035,-0.514336
1966-03-01,-1.8659872,-1.8456371,0.47396392,-1.6808655,-0.20448723,-0.39945602,-0.5097412,-1.3303158,-0.6275757,-2.5408278,-1.0884101,-0.5471592
