,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5,r600_cluster6,r600_cluster7,r600_cluster8,r600_cluster9,r600_cluster10,r600_cluster11,r600_cluster12
1965-01-01,82.86613,30.70477,36.986607,43.44371,56.575783,66.47438,70.37453,49.478207,30.586832,56.11058,67.66196,31.47628
1965-02-01,75.72433,30.04792,48.483925,77.35252,56.70846,69.76354,71.147675,49.953236,35.7286,71.914276,68.80857,27.538462
1965-03-01,77.01018,21.15179,28.504898,37.337143,66.55301,61.946877,57.05245,42.326576,13.43668,42.07596,78.28784,24.057653
1965-04-01,50.898376,30.536053,32.085625,52.477436,13.590656,29.463144,50.741127,46.709938,30.501654,60.98044,52.72969,21.705444
1965-05-01,60.98699,27.204304,17.063274,60.295742,19.664463,55.601154,59.118,31.433693,16.365475,53.98442,22.816029,18.727509
1965-06-01,57.204784,30.306728,39.92359,54.99181,20.840565,40.28887,41.048916,13.695488,14.349064,26.796436,5.6249275,23.728409
1965-07-01,24.463884,27.101109,26.604786,53.550343,4.4439087,23.366405,52.307083,42.626335,11.141804,39.40761,24.000322,14.616062
1965-08-01,28.540936,32.25926,18.840534,62.613552,9.048405,30.010246,79.63757,34.45094,11.874001,17.954361,23.497448,14.750378
1965-09-01,27.934864,26.386929,3.1056404,21.46793,6.6388664,17.171383,56.23835,48.908173,6.499634,29.14373,14.681583,23.659613
1965-10-01,34.369038,27.219048,6.1753044,29.438574,39.138977,27.28293,68.41708,64.95593,8.327671,58.62004,23.797207,26.098637
1965-11-01,41.148834,33.32234,27.459837,49.75012,53.21455,54.53316,81.62286,62.168007,9.218758,70.34177,32.968525,20.897896
1965-12-01,70.484276,26.763676,19.17633,60.459545,59.4194,62.570965,85.450935,61.855145,18.938816,53.884502,63.03944,32.737564
1966-01-01,83.56714,22.713154,38.385475,48.71112,62.122967,38.843483,63.92708,70.583755,9.811848,62.974953,52.7199,33.138935
