,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1965-01-01,1469.5376188858697,1357.6468018672927,1669.9503413966445,1540.585234670928,1363.963070431271
1965-02-01,1466.7530446812727,1355.8784245375562,1665.183545722336,1536.8820652817235,1362.143645415435
1965-03-01,1472.0699144446332,1357.674418222744,1671.510289926998,1541.051691228693,1365.2927295581715
1965-04-01,1474.3992459946785,1359.883179258338,1672.7805215804303,1543.723643909801,1369.9044717324746
1965-05-01,1473.9620927451315,1359.5750475143639,1670.0645571849386,1535.804794773911,1371.2303367820946
1965-06-01,1478.8111589956975,1362.8697143007287,1672.3594290311219,1538.7270840731533,1374.8979310731631
1965-07-01,1481.7672508350317,1363.6461471762893,1680.4872606621414,1545.460001627604,1377.065338959565
1965-08-01,1479.5055444689765,1362.2100693227999,1681.6450275358607,1540.2549974846117,1374.0208806218327
1965-09-01,1478.166309301404,1362.6159394268498,1676.8439621221823,1540.5553644353693,1373.6309567013302
1965-10-01,1475.6936778192935,1361.3691800378363,1675.5319063780737,1541.3367069128788,1371.360325168919
1965-11-01,1474.0979180819747,1360.2020400522001,1675.7751965131915,1542.4690015388258,1369.228218697213
1965-12-01,1467.9257157920065,1357.1927605188482,1667.848180551998,1535.9687573982008,1365.0350209828969
1966-01-01,1470.2923760897872,1358.9548153727578,1668.6168733190318,1541.6236646247633,1366.1891215556377
1966-02-01,1467.4078015313632,1357.4109817299607,1668.9812331903177,1539.993008700284,1364.1409384237754
1966-03-01,1471.7177681300952,1357.9504996671806,1671.793653144211,1540.5641497987688,1366.5590853304477
1966-04-01,1473.4591276749322,1358.668470168862,1670.0741126889088,1542.4219304865055,1368.882875184755
1966-05-01,1475.93237835428,1361.6217780006307,1669.6693295338116,1540.3325861150568,1374.0266129777237
1966-06-01,1479.4269948765852,1362.2746078422786,1675.0039522765112,1540.7886851917613,1374.7012576541385
1966-07-01,1476.9585208616395,1361.4908671699832,1672.6732097688268,1537.669326319839,1375.021032384924
1966-08-01,1479.7546829002492,1361.697510860426,1678.1859851274335,1545.8420262192235,1375.1585676863388
1966-09-01,1476.1199066604395,1361.7469684960063,1674.541235751793,1540.8044988458805,1372.7835577887458
1966-10-01,1475.6221163100092,1360.6044341630466,1670.91064453125,1543.8808556758995,1370.9483791042019
1966-11-01,1470.7348809725997,1358.3889674712725,1664.2483570536629,1535.099746241714,1366.9662887985642
1966-12-01,1468.9289922299592,1356.758671918792,1666.7772637038934,1541.0134055397727,1364.8830516918285
1967-01-01,1466.2180140398552,1356.2340980153447,1663.0221007300206,1535.1221257990055,1362.2965219858531
1967-02-01,1467.7440698596015,1355.7982577336743,1667.9289770908044,1542.8033077355587,1362.7406764674831
1967-03-01,1471.3869398918705,1357.416264144829,1672.801733798668,1546.4940851384943,1365.9799111855996
1967-04-01,1472.6865464362547,1359.406858709361,1672.1190905961835,1542.4038048946495,1368.8959894953548
1967-05-01,1475.0482089277627,1359.3860848602158,1668.8951335969518,1536.5314830433238,1370.8381859031883
1967-06-01,1477.183068316916,1360.7115057017236,1670.2623210969518,1534.5171379320548,1374.2198222392315
1967-07-01,1479.5745407325635,1361.2756019215947,1676.1150922931608,1538.1898822206438,1375.0282493797508
1967-08-01,1481.3300533571107,1361.9940377137052,1681.5502729572233,1540.8674760298295,1374.576877903294
1967-09-01,1479.1183250537817,1362.0511863263732,1677.0983586545851,1542.850656220407,1373.9913528029983
1967-10-01,1475.7833729619567,1360.8121726544982,1672.0476494460809,1538.0861224550188,1370.4771299619933
1967-11-01,1472.1212635869567,1358.6518291935258,1669.9025138479765,1538.5779178503788,1367.366275271854
1967-12-01,1468.9745474552765,1358.2572902799188,1666.9343041591958,1538.3327599727745,1365.1705767657306
1968-01-01,1466.2025783372962,1355.3615142411716,1669.0687836193647,1536.5190910570548,1361.3116290118244
1968-02-01,1468.6265586079032,1357.123788055283,1672.8823802510246,1542.6349061908143,1363.3200568121833
1968-03-01,1470.967433763587,1357.0145542846133,1672.1645167616548,1542.9405443596117,1365.259820061761
1968-04-01,1469.9699954710145,1359.0915286487527,1669.4363453349129,1536.1606482303503,1368.1340810414906
1968-05-01,1473.6808002858922,1359.0861367537836,1667.595835201076,1538.9550411339962,1370.9420693887246
1968-06-01,1473.9493992017665,1360.9914189496917,1669.240282402664,1534.8286021839488,1372.7190172350086
1968-07-01,1480.7674684386322,1361.9120644881586,1677.88336081583,1539.5357074159563,1376.3806729703335
1968-08-01,1479.0300009907157,1362.4715899138173,1682.9993076011783,1540.9257368607953,1375.3602723817569
1968-09-01,1477.4100925611415,1361.9802432209922,1674.4189152952101,1540.3753107244318,1374.046820563239
1968-10-01,1475.1758520153987,1360.857168975967,1673.099205142162,1538.5336211233428,1371.560710185283
1968-11-01,1474.031354378963,1360.251579797856,1669.3168264920594,1537.0153253728693,1368.8862156223606
1968-12-01,1469.5333729619567,1357.685530452985,1668.180271836578,1539.3686005563445,1366.0343479465794
