,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5
1965-01-01,0.6908722,-0.04334221,-0.23561363,0.3213211,0.004562378
1965-02-01,-0.1319828,0.22029686,-0.14241104,0.04399414,-0.10200157
1965-03-01,0.018901061,-0.36857376,0.1808651,0.2903618,0.19064179
1965-04-01,0.031284712,0.13458976,-0.3734623,-0.23333244,-0.24310875
1965-05-01,0.12253189,0.42201883,0.1287239,0.10069771,-0.9303967
1965-06-01,0.06485061,0.34380722,0.16913375,0.19650765,-0.30339736
1965-07-01,0.12057724,-0.011405945,0.060614012,0.25679627,-0.86978227
1965-08-01,-0.030307006,0.17923585,0.21019515,0.123183824,-0.38095722
1965-09-01,0.27015764,-0.12383576,0.38552016,0.31675833,-0.5126144
1965-10-01,0.20432892,0.13067894,0.12383499,0.36075288,-0.51163673
1965-11-01,-0.16945915,0.10004616,0.12383537,0.43570596,-0.20954323
1965-12-01,-0.17108878,0.25190774,0.06550255,0.46210212,-0.08212242
1966-01-01,-0.19365577,-0.103392795,-0.23304291,0.119804,0.23731002
1966-02-01,0.18183938,-0.1027359,0.042998124,0.116521455,0.44311064
1966-03-01,0.063020326,-0.10043831,0.07910309,0.12144508,0.035120774
1966-04-01,0.06334839,0.10634651,-0.20186158,-0.080416106,-0.2448597
1966-05-01,-0.21170846,0.34135896,0.3876396,-0.17658767,-0.6239651
1966-06-01,-0.083042145,0.26849213,0.14671859,-0.114552304,-0.9735298
1966-07-01,0.2307457,0.47297972,0.35678634,-0.122429654,-0.19234315
1966-08-01,0.12111664,0.44311064,0.2829338,0.2425621,-0.56094474
1966-09-01,0.21860123,-0.061050415,0.089278415,0.21531907,-0.6508797
1966-10-01,0.121772766,0.14868812,-0.06072235,-0.0036102296,-0.5199162
1966-11-01,-0.23566933,0.4926731,0.48906288,0.07056961,-0.41947785
1966-12-01,-0.22221145,0.20875435,0.11225472,0.15558128,0.1027359
1967-01-01,-0.18417092,0.26613313,-0.13453598,0.34972876,0.42091522
1967-02-01,0.18417092,-0.08686066,-0.30727768,-0.2151924,-0.10253525
1967-03-01,-0.31772727,-0.26613313,-0.57667696,0.0026123046,0.046042632
1967-04-01,0.011102295,0.25797004,0.10971908,0.17959937,0.22237626
1967-05-01,0.12898521,0.5061432,0.39609757,0.117882155,-0.57765657
1967-06-01,0.36964798,0.5094086,0.814727,0.29486924,-0.08228912
1967-07-01,0.32882994,-0.009143829,-0.36083144,0.25894928,-0.47969285
1967-08-01,0.14825058,0.07804413,0.18874207,0.49830627,-0.75464326
1967-09-01,0.21845856,-0.23315278,0.038858794,0.071186446,-0.37454605
1967-10-01,-0.4163437,-0.041797638,0.540757,0.52834815,-0.036572646
1967-11-01,0.16392517,-0.018286515,-0.26678696,0.2220501,-0.29095078
1967-12-01,0.13322982,0.08490143,-0.064655304,0.38760757,-0.4770809
1968-01-01,0.25345,0.1728569,0.68121684,0.2760605,0.06637116
1968-02-01,0.36504135,0.06782989,0.13493042,0.075488284,-0.30815202
1968-03-01,0.28153077,0.38838118,-0.18197365,0.54263955,-0.21953507
1968-04-01,0.40150946,0.14149475,-0.65058404,-0.20640716,0.08168755
1968-05-01,-0.74321175,0.15754013,0.03610306,0.31143457,-0.12107277
1968-06-01,-0.076581575,0.0076576234,-0.3110695,0.35373688,-0.43943557
1968-07-01,0.035009004,0.3763466,0.41244966,0.3198223,-0.39348602
1968-08-01,-0.11815567,-0.04704361,0.5349808,0.22974701,-0.7304481
1968-09-01,-0.102838896,-0.19400863,0.08934555,0.25418013,-0.57181394
1968-10-01,-0.17139816,-0.13748321,0.1509758,0.18233871,-0.4350601
1968-11-01,-0.34243202,-0.1703041,0.19546738,-0.06090088,-0.06819458
1968-12-01,-0.34753722,0.06418381,-0.022245789,0.24251023,0.31945723
1969-01-01,0.4358902,-0.3323906,-0.1655323,0.4332367,0.48664474
1969-02-01,0.2846222,-0.07828827,-0.10482597,0.3217762,0.052413177
1969-03-01,0.098854825,0.09387894,-0.20766182,-0.055066682,-0.49858665
1969-04-01,-0.12273903,0.30253562,-0.28395882,-0.69496953,-0.33371812
