,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5
1965-01-01,-1.1816527,-0.8420822,-0.11796951,-0.20758744,0.2923172
1965-02-01,-0.8802103,-0.8401268,-0.16685219,0.47807083,0.23691711
1965-03-01,-1.3797894,-0.86456794,-0.16913338,0.36857376,0.5188061
1965-04-01,-0.73910296,0.2111721,-0.01824913,-0.6628464,-0.16424522
1965-05-01,-1.1050699,0.6019062,-0.22322997,-0.82676584,-0.05148964
1965-06-01,-0.50707436,0.91410255,-0.08701096,-0.184124,-0.29720536
1965-07-01,-1.168943,0.92713773,-0.112103656,-0.27243844,-0.1971592
1965-08-01,-0.985145,0.6035355,0.081796646,-0.63058394,-0.6012543
1965-09-01,-0.940173,0.7684326,-0.012709427,-0.44548225,-0.40409508
1965-10-01,-1.5156828,0.38584557,0.02281189,-0.21182403,-0.39464456
1965-11-01,-1.219455,0.3043747,0.06419907,0.08081932,-0.1785839
1965-12-01,-0.97830164,-0.756049,0.13361207,-0.34250337,0.52434576
1966-01-01,-1.3063549,-1.0303135,0.03774643,0.20218964,0.47757453
1966-02-01,-0.8832668,-1.0628086,0.036433794,0.4227604,0.14277992
1966-03-01,-1.2380832,-0.5140079,0.22976112,-0.03479271,0.5960655
1966-04-01,-1.286005,0.57505876,0.01936531,-0.40831795,-0.046280287
1966-05-01,-0.9131355,0.78479767,-0.14277992,-0.28523177,-0.4851238
1966-06-01,-0.3603962,0.4385151,-0.21794471,-0.635125,-0.34135932
1966-07-01,-1.3191559,0.9101818,-0.019693756,-0.30098647,-0.49825287
1966-08-01,-0.84059715,0.8031788,0.11225472,-0.5366562,-0.82746774
1966-09-01,-0.6676197,0.595081,0.08402672,-0.1897171,-0.5839211
1966-10-01,-0.44409484,0.72998315,0.12833786,0.1316204,-0.21400604
1966-11-01,-0.81630766,0.623637,0.0997818,-0.25667572,0.34562606
1966-12-01,-0.53698426,0.2583168,0.030525208,-0.060394287,0.9154331
1967-01-01,-0.9822447,-1.2588274,0.044083405,0.29780808,0.70696795
1967-02-01,-1.3283813,-1.3754036,-0.03461342,0.36474952,0.0052246093
