,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1965-01-01,1010.54443,1020.1657,1009.2347,1018.54956,1014.9433
1965-02-01,1009.2421,1015.87286,1008.2294,1016.7796,1014.157
1965-03-01,1011.6731,1019.4147,1008.9829,1023.37445,1016.40936
1965-04-01,1011.5107,1020.5731,1011.5281,1020.33185,1019.6479
1965-05-01,1014.30945,1018.0807,1011.13055,1018.5744,1014.52466
1965-06-01,1017.5653,1018.0231,1013.02454,1021.4016,1016.9582
1965-07-01,1017.89343,1024.923,1013.58575,1026.5596,1020.7629
1965-08-01,1017.0785,1022.8287,1012.78143,1029.3788,1014.40375
1965-09-01,1016.8335,1022.0739,1013.0989,1023.75146,1017.161
1965-10-01,1015.0332,1023.677,1012.2009,1020.872,1015.69305
1965-11-01,1013.6223,1023.8823,1011.43005,1021.43024,1016.55756
1965-12-01,1011.89954,1017.4122,1009.0133,1017.3992,1013.5268
1966-01-01,1012.56415,1020.6919,1010.65704,1016.3695,1017.7321
1966-02-01,1010.4373,1019.4026,1009.6099,1016.06854,1014.72595
1966-03-01,1010.9469,1020.168,1009.64435,1020.65314,1016.18805
1966-04-01,1011.99335,1020.712,1010.3354,1017.8404,1019.26807
1966-05-01,1015.052,1018.3943,1012.2293,1018.42053,1019.4433
1966-06-01,1016.7175,1018.5627,1013.12115,1025.9337,1016.8402
1966-07-01,1016.17804,1020.81335,1012.5829,1020.09045,1016.9391
1966-08-01,1016.38513,1022.49255,1012.68744,1025.545,1021.724
1966-09-01,1016.02594,1021.96564,1012.8007,1021.21075,1016.74945
1966-10-01,1014.6145,1020.4478,1011.5796,1018.4105,1019.4094
1966-11-01,1012.459,1014.326,1010.0149,1015.4063,1015.27234
1966-12-01,1009.98486,1019.01764,1008.5447,1016.06604,1016.8577
1967-01-01,1010.7271,1015.8853,1008.00903,1014.07275,1013.9102
1967-02-01,1010.07916,1020.4079,1007.91034,1015.37085,1017.4519
1967-03-01,1009.40356,1023.0425,1009.39276,1018.76587,1018.9799
1967-04-01,1010.53406,1020.58276,1011.2328,1020.6096,1017.94086
1967-05-01,1012.9082,1014.8317,1011.079,1022.07166,1015.8744
1967-06-01,1015.1401,1013.66284,1012.23267,1022.7138,1017.4939
1967-07-01,1015.7032,1020.84906,1012.5904,1024.4653,1017.0092
1967-08-01,1016.94977,1022.57086,1012.8574,1029.7709,1016.2764
1967-09-01,1015.8265,1023.3175,1012.8639,1023.04974,1020.3759
1967-10-01,1014.86945,1018.09546,1011.7872,1022.04553,1016.9867
1967-11-01,1011.59924,1019.57056,1010.12415,1018.0309,1016.97943
1967-12-01,1010.98975,1019.2353,1010.1386,1016.01514,1015.4826
1968-01-01,1009.38916,1019.9928,1007.3103,1016.223,1011.883
1968-02-01,1010.2421,1023.7182,1008.9791,1018.1594,1015.2305
1968-03-01,1008.8653,1024.0109,1009.3019,1017.6728,1015.9046
1968-04-01,1011.6891,1021.9141,1010.94196,1014.8005,1011.8157
1968-05-01,1013.6205,1019.59283,1010.03674,1016.4807,1017.22705
1968-06-01,1015.86383,1017.98126,1011.46216,1016.78125,1013.166
1968-07-01,1017.6779,1019.7645,1011.9295,1026.9354,1018.40924
1968-08-01,1017.6814,1026.6263,1012.6315,1026.8461,1014.4112
1968-09-01,1016.3025,1022.80865,1012.6401,1019.1326,1017.36584
1968-10-01,1014.61865,1020.5839,1011.8515,1020.6562,1016.8728
1968-11-01,1013.4959,1018.22534,1011.43286,1018.87286,1015.97833
1968-12-01,1011.405,1019.57495,1009.0614,1015.9726,1016.19226
1969-01-01,1009.44696,1016.2344,1009.10065,1014.80054,1011.76556
1969-02-01,1010.0709,1018.0433,1009.2704,1015.5468,1015.4407
1969-03-01,1011.12476,1019.34607,1010.6449,1019.8059,1018.37146
1969-04-01,1011.49225,1021.6448,1012.0476,1019.4378,1018.3203
1969-05-01,1013.132,1020.0692,1011.2346,1019.7554,1019.39417
1969-06-01,1015.7146,1015.07446,1012.47314,1021.5543,1017.2046
1969-07-01,1016.9819,1022.8209,1013.49585,1026.4542,1021.04456
1969-08-01,1016.484,1021.67847,1013.26373,1027.3715,1021.5212
1969-09-01,1015.3546,1029.7632,1012.2604,1020.0692,1023.8654
1969-10-01,1013.29553,1020.50287,1011.65704,1018.26166,1020.4929
1969-11-01,1012.24536,1020.4293,1010.78284,1018.02454,1017.5672
1969-12-01,1011.27454,1020.4318,1009.97174,1015.58044,1016.41284
1970-01-01,1010.13983,1019.93994,1010.0935,1016.48224,1017.0022
1970-02-01,1009.31805,1020.9803,1010.05194,1017.8668,1015.4246
1970-03-01,1009.34424,1016.1566,1009.6883,1016.5518,1017.28564
1970-04-01,1011.8036,1023.63226,1010.63007,1016.8649,1015.5251
1970-05-01,1012.9201,1018.3427,1010.4299,1020.5151,1019.7325
1970-06-01,1015.80133,1015.2488,1012.175,1027.0797,1011.0948
1970-07-01,1016.52985,1022.3375,1013.2338,1022.779,1019.1277
1970-08-01,1015.7199,1023.3928,1012.235,1025.9152,1019.7575
1970-09-01,1014.9498,1021.161,1010.961,1020.1515,1014.06274
1970-10-01,1013.91296,1019.4355,1010.15826,1018.4116,1015.3046
1970-11-01,1012.09534,1020.99164,1009.5617,1015.72406,1014.51904
1970-12-01,1011.2581,1018.0266,1007.9318,1016.34204,1013.29205
1971-01-01,1008.3618,1017.9304,1008.1442,1015.45056,1013.6357
1971-02-01,1007.78394,1019.8189,1007.135,1015.51776,1013.33234
1971-03-01,1010.6919,1021.19415,1008.5966,1019.24805,1016.6819
1971-04-01,1010.53766,1023.8161,1009.71014,1017.2335,1018.2414
1971-05-01,1012.77045,1017.9771,1010.33154,1018.7028,1015.40704
1971-06-01,1015.9113,1016.3964,1012.0486,1021.64404,1019.4535
1971-07-01,1016.00995,1020.4275,1011.9852,1025.1285,1016.60376
1971-08-01,1015.61633,1022.5739,1011.91486,1022.51373,1015.73987
1971-09-01,1015.48834,1016.97943,1011.1641,1018.6644,1011.6153
1971-10-01,1015.1248,1020.5023,1010.9562,1022.6289,1013.0751
1971-11-01,1012.492,1021.89935,1009.91565,1017.64685,1012.90674
1971-12-01,1010.72833,1019.5955,1008.3407,1013.6478,1014.43304
1972-01-01,1009.65625,1018.1675,1009.3675,1016.8463,1016.5476
1972-02-01,1008.30884,1018.07874,1008.07385,1016.5726,1017.3325
1972-03-01,1010.168,1020.4041,1009.7706,1021.6216,1017.53314
1972-04-01,1011.3942,1019.47675,1011.59796,1017.1357,1018.9668
1972-05-01,1013.2097,1021.12854,1012.1361,1021.2873,1023.239
1972-06-01,1014.3696,1018.68555,1012.2891,1020.02795,1018.8018
1972-07-01,1016.4857,1022.5271,1013.08167,1023.83325,1016.15326
1972-08-01,1015.5808,1019.4305,1013.1179,1022.0772,1012.8516
1972-09-01,1015.3201,1021.12604,1013.0248,1020.8498,1018.6474
1972-10-01,1013.59845,1022.62775,1012.75726,1018.8562,1020.49725
1972-11-01,1011.7017,1018.79803,1010.6968,1020.0517,1020.0767
1972-12-01,1011.3161,1015.89514,1010.80365,1015.72266,1015.7289
1973-01-01,1009.81976,1021.40906,1009.4436,1015.3926,1015.15656
1973-02-01,1009.31366,1022.3814,1010.6287,1018.1976,1016.1353
1973-03-01,1010.28345,1024.4656,1009.6121,1018.7629,1018.7455
1973-04-01,1011.3117,1017.5732,1009.7503,1020.8381,1014.5605
1973-05-01,1013.0782,1016.2446,1010.48346,1018.1121,1014.2383
1973-06-01,1015.2672,1017.7603,1010.9471,1025.787,1015.1643
1973-07-01,1015.91156,1019.56995,1011.36505,1025.7999,1014.03375
1973-08-01,1016.442,1022.27203,1011.26416,1026.9684,1014.9758
1973-09-01,1014.8807,1015.5842,1011.7721,1017.3996,1014.90576
1973-10-01,1013.1515,1021.701,1009.8526,1018.8477,1016.1713
1973-11-01,1012.8351,1021.4373,1008.551,1016.88763,1015.84534
1973-12-01,1011.495,1022.8875,1008.0591,1018.4928,1015.3347
1974-01-01,1010.4021,1020.6969,1006.3293,1019.44916,1011.61664
1974-02-01,1009.4586,1024.1964,1007.3678,1018.6965,1015.9075
1974-03-01,1010.8348,1023.0465,1008.5851,1021.4828,1018.185
1974-04-01,1011.1615,1020.3111,1009.6515,1019.7025,1019.5429
1974-05-01,1013.0532,1013.9641,1010.64056,1019.92664,1014.0266
1974-06-01,1014.4063,1015.3552,1011.51135,1020.36884,1019.1
1974-07-01,1016.2681,1016.9916,1011.8156,1024.8994,1011.402
1974-08-01,1015.88306,1018.0859,1011.5391,1020.9129,1015.89795
1974-09-01,1015.5556,1020.11346,1010.90814,1021.8306,1018.7135
1974-10-01,1014.0552,1019.1475,1010.05975,1020.7873,1013.29974
1974-11-01,1012.89764,1019.6339,1009.00757,1015.845,1014.481
1974-12-01,1010.6867,1018.1232,1008.6292,1013.9967,1014.7154
1975-01-01,1010.46173,1019.29065,1009.5117,1015.1066,1014.3345
1975-02-01,1010.51984,1020.1127,1008.4247,1016.0863,1015.6325
1975-03-01,1009.5006,1019.00555,1008.75195,1016.633,1017.0481
1975-04-01,1011.20764,1021.61487,1008.9416,1021.3879,1018.24725
1975-05-01,1012.2725,1017.4453,1010.29987,1013.87146,1016.4953
1975-06-01,1015.42975,1016.0974,1011.3412,1024.8877,1017.7352
1975-07-01,1014.77313,1022.83057,1011.48096,1020.1403,1011.8297
1975-08-01,1016.1438,1020.16736,1011.299,1024.2711,1017.7947
1975-09-01,1014.9592,1023.207,1010.5019,1024.8385,1016.21576
1975-10-01,1014.10126,1021.47156,1009.6827,1021.21765,1015.96735
1975-11-01,1012.48694,1021.5256,1009.3242,1018.0943,1014.5821
1975-12-01,1010.54474,1020.8848,1007.39514,1017.0516,1015.4214
1976-01-01,1009.9744,1021.44055,1007.8353,1017.94165,1015.8407
1976-02-01,1010.2045,1021.1803,1008.20593,1018.67303,1015.8031
1976-03-01,1009.5206,1020.5896,1008.35455,1017.3071,1016.30695
