,r500_cluster1,r500_cluster2,r500_cluster3,r500_cluster4,r500_cluster5,r500_cluster6
1970-01-01,49.00423,48.529713,28.419403,70.91318,53.07505,30.395395
1970-02-01,43.514122,41.809746,34.789886,59.849346,62.252472,30.200039
1970-03-01,38.253635,48.04136,31.513117,72.85961,55.506664,29.322931
1970-04-01,36.491783,44.381004,26.01728,67.63316,49.87249,36.925446
1970-05-01,26.829876,40.92096,18.31842,65.74829,43.012695,35.439625
1970-06-01,17.758572,53.29305,17.42974,72.43154,50.966385,32.174534
1970-07-01,11.21252,34.898594,13.39126,64.340065,35.7737,28.94535
1970-08-01,10.471014,36.785606,10.862454,65.66573,29.103735,26.885174
1970-09-01,13.609174,52.45949,14.06857,62.715714,36.625656,36.560986
1970-10-01,15.143693,42.503582,16.128971,66.85233,35.09419,33.442528
1970-11-01,28.77056,45.899593,22.89063,70.568985,45.362186,35.272476
1970-12-01,38.44964,61.340588,20.928122,76.42505,55.53511,34.132572
1971-01-01,48.21269,55.827892,27.444334,73.99105,59.36204,30.385298
1971-02-01,45.390583,42.8859,32.69971,71.83163,70.39425,29.067587
1971-03-01,42.097496,47.503014,23.353243,65.492874,54.947777,31.160048
1971-04-01,34.477787,56.37635,26.091337,51.214233,37.58159,36.39679
1971-05-01,24.756414,35.288628,23.194695,61.077652,38.721947,39.33583
1971-06-01,12.940185,26.78179,12.929738,66.37619,35.663696,31.91831
1971-07-01,12.54184,35.79293,16.115524,57.666233,29.655523,30.366133
1971-08-01,12.723335,44.549732,16.993872,62.738804,32.29809,32.10445
1971-09-01,14.641239,49.161663,15.327524,65.5932,35.48078,35.5577
1971-10-01,17.954422,34.580235,19.863604,67.87236,41.341652,31.064276
1971-11-01,31.154533,53.64083,25.607866,70.58162,45.870583,33.376163
1971-12-01,38.1436,58.356636,22.957607,72.44056,50.900112,34.382442
1972-01-01,44.863255,57.718307,29.075233,56.664585,41.328354,30.3235
1972-02-01,53.7347,45.765114,35.91473,58.363323,48.167645,31.672138
1972-03-01,38.96487,41.825306,28.048859,58.65987,41.35878,25.814709
1972-04-01,33.458397,43.442474,26.459032,51.736855,31.15429,36.35647
1972-05-01,24.352274,34.397453,24.764824,47.68842,26.611181,33.405357
1972-06-01,13.850666,47.409344,20.480127,42.469547,19.89264,35.612026
1972-07-01,12.4284,38.627583,14.157775,36.299385,20.023827,31.404938
