,mgu500_cluster1,mgu500_cluster2,mgu500_cluster3,mgu500_cluster4,mgu500_cluster5,mgu500_cluster6,mgu500_cluster7,mgu500_cluster8
1965-01-01,-1.4632451890119864,-0.566274779183524,0.2406600982912125,-0.5116470835425637,-1.3880297255057554,0.500171525137765,-2.7752528970058146,-2.4931900906112956
1965-02-01,-1.8983068750865422,-0.49820433963428845,0.3739221442130304,-0.697168207668758,-1.9372072357397812,0.4588182483400617,-2.0808558624524336,-1.976084934090668
1965-03-01,-1.8540816520577046,-0.45133233070373535,0.14000892318705077,-0.4710368603676349,-1.2762092627011812,1.119762339762279,-3.1030512773073635,-3.041924845497563
1965-04-01,-0.5737001771357522,-1.1989350442762499,-0.3831523400481029,-0.018326523941713614,-0.5668105700841317,-1.2199709458010537,-1.210507292013902,-0.6922916421350442
1965-05-01,-0.842174754213931,-1.3403681965617391,-0.5583527267620128,0.5518079325035735,-1.1031059404978385,-2.0111884389604837,-0.7325647076448568,0.10375566077682206
1965-06-01,-0.07762037106414339,-1.7732219262556597,-1.0872856263191468,0.4671562163458838,0.37811883196879464,-2.732634970120021,-0.2015125579558886,-0.1830391304672889
1965-07-01,0.43456354247989937,-1.719437636338271,-0.5155332947290071,0.5754189787211118,-0.18115022148077303,-2.875139883586338,-2.0212098956108093,-0.9103247017230627
1965-08-01,1.1418038339757206,-1.572288940479229,-0.7269658068174957,0.26210392271722116,-0.5681793326332878,-3.954828636986868,-1.510674273595214,-0.45059792838006646
1965-09-01,-0.7069371529479525,-1.9188941299141227,-0.8467944719458138,0.232992206628506,-0.3285680109491715,-2.6393994688987727,-1.6880110479318178,-0.5421889278123964
1965-10-01,-0.7628906129011467,-1.2325215649295163,-0.6825086891010244,0.11163296477569568,-1.5636923794563,-1.8482742565018788,-1.5347609153160682,-0.749410885684895
1965-11-01,-0.42471850096289787,-1.2351222626574627,-0.5802594205384614,-0.11204129176123159,-0.7170443781293355,-1.70926068510328,-2.4018091651109548,0.11760483513463217
