,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7,mgu250_cluster8
1965-01-01,-0.92029417,-1.8298342,-0.9646145,-2.2466388,-1.3126576,0.49240953,-1.4329084,-0.37509155
1965-02-01,-0.87630004,-0.3539093,-1.6623303,-0.8613094,-1.0376122,-0.6999971,-1.6049747,-0.17630291
1965-03-01,-0.15512046,-1.4065119,-2.3655863,-1.500692,-1.6649373,-1.7526,-1.4459438,1.3198268
1965-04-01,-0.4018139,0.7195503,-2.2466388,-0.07332382,0.51326597,-0.8264397,-1.4387745,0.74073255
1965-05-01,-0.3952961,0.13556747,-3.266653,1.2728996,0.53086394,-1.5756451,-1.8018081,0.705537
1965-06-01,-0.47676697,3.2057128,-4.2345266,0.9998096,1.7483631,-1.5091645,-2.9153514,-0.15935668
1965-07-01,-0.3304451,0.94766843,-3.9457939,0.5683403,2.7700074,-2.4796455,-4.2475615,1.0842136
1965-08-01,-0.32490578,-1.4081414,-3.0320175,0.7658253,4.007386,-2.9785728,-4.2078037,0.39790344
1965-09-01,-0.5458542,-0.4340763,-4.0696297,1.1751347,1.1135422,-1.7728046,-2.5510135,1.3468754
1965-10-01,-0.26168442,-1.1516712,-1.8839314,0.064851,0.8824917,-0.12285767,-2.7638156,0.5478096
1965-11-01,-0.13035317,-1.5994349,-2.7719624,1.0535805,1.3338401,-0.84860003,-2.3310425,0.6061428
1965-12-01,-0.9708061,-3.0646057,-0.46862012,-0.13915214,-0.2131279,0.042364884,-2.2323,0.04790478
1966-01-01,-0.66302454,-2.7669785,-0.23763847,-1.9792267,-0.3951889,-1.4927895,-1.3086525,-1.8758339
1966-02-01,-0.68797034,-2.2848086,0.2806366,0.47068137,-0.96959114,-1.6116087,-1.4104042,-1.5837095
1966-03-01,-0.489719,-1.4776913,-0.9111662,-0.44081306,-1.2945389,-1.6808655,-0.90328866,-0.47002545
1966-04-01,-0.10995712,-1.0414737,-1.1202488,-1.0158718,0.5947525,1.2197025,-2.7492537,0.0498909
1966-05-01,-0.5120388,-0.49365768,-1.8738644,-0.28982696,0.65219307,1.0664192,-2.078352,1.3651081
1966-06-01,-0.19431229,0.38993722,-3.2691696,2.6347015,3.2143555,-2.176165,-4.193794,0.5359993
1966-07-01,-0.33184052,-0.09223251,-2.263473,1.5085446,1.4300972,-1.8243011,-3.0092125,-0.95317954
1966-08-01,-0.8783432,0.12636872,-2.5454235,0.9741863,2.9822974,-2.0606277,-3.5931327,-0.6804207
1966-09-01,-0.4204628,0.2560196,-2.5283554,1.9651123,3.9134853,-2.168944,-3.6902893,-0.25995827
1966-10-01,-0.42374498,0.11356735,-1.3234234,1.3276898,1.6631413,0.73228073,-2.5080047,-0.4802002
1966-11-01,-0.37188417,-0.8425659,-0.6571163,-0.5760437,0.030853271,0.04660835,-1.1681706,-0.91838723
1966-12-01,-0.18544999,-1.2554795,-0.45197278,-0.527137,0.3794338,0.73753244,-2.5789027,0.11652164
1967-01-01,-0.9910618,-1.9651425,-0.8993023,-1.7074989,-1.2496841,-2.0774736,-1.3558109,-1.8312591
1967-02-01,-0.1244133,-2.9264884,-0.31511497,-1.497205,-1.2914817,-0.6240257,-1.2676442,-1.3114011
1967-03-01,0.32556456,-0.94991684,-1.2555622,-0.712846,1.7999111,-3.190989,-1.3920577,-0.9554682
1967-04-01,-0.4248337,-1.0818405,-0.36279067,0.8362797,0.42907906,-1.933794,-2.4174058,-0.106453516
1967-05-01,0.057798386,-0.3428711,-1.8178707,1.1161277,1.9654686,-0.59692305,-2.8193812,1.5856984
1967-06-01,-0.6743137,-0.35201493,-0.6798649,0.6109642,1.3855263,-2.6815803,-3.2305007,-1.5334507
1967-07-01,-0.5221443,0.5466347,-3.4309993,2.1561704,1.8054626,-2.4722657,-3.5851276,-1.9213852
1967-08-01,-0.3552803,-0.5391239,-2.8092587,3.069841,1.8433411,-4.030534,-4.1320887,-0.049634933
1967-09-01,-0.58549345,-0.9871429,-2.318463,0.044409942,-0.5881058,-1.1690277,-2.351444,0.44214058
1967-10-01,-0.37062758,-0.48524475,-0.5851673,0.47479516,0.9424065,-2.2286637,-3.0897603,0.56884
1967-11-01,-0.2651535,-1.3084625,-0.31511497,-1.1935184,0.2298874,0.33732033,-1.8155849,-0.035266876
1967-12-01,-0.25699005,-1.363322,-1.2637256,-0.8993023,1.285931,-0.5012455,-2.2479296,0.5652477
1968-01-01,-0.86355513,-2.5644097,-0.20567779,-1.6012974,-2.1475837,-1.1228409,-1.3544109,-1.2993447
