,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9
1965-01-01,-0.00012378600019008945,-5.614586398499368e-05,-8.719616974453453e-06,-8.84958903067714e-05,-0.00015412938915283626,0.0019447752492851578,0.0019297625840408728,1.8541781765782427e-05,-7.397227444610037e-05
1965-02-01,-0.00012649548349311958,-5.8610848182896994e-05,-5.879775028605061e-06,-8.739209335434856e-05,-0.00012805246822406643,0.001908464400912635,-0.0006548367309733294,1.6820407582536276e-05,-7.302514859475195e-05
1965-03-01,-0.0001207641505846,-5.922450906258415e-05,-9.384870903472169e-06,-8.59161873266801e-05,-0.00013847945107651566,0.0028536729587358423,0.003072316394536756,1.929979483721518e-05,-7.595194898733989e-05
1965-04-01,-0.00012658993208795102,-4.7366825817858405e-05,-2.1926169648406956e-05,-8.963006560303171e-05,-1.3545282702883318e-05,0.002488955396984238,-0.004392982737044804,-3.960185547966407e-06,-6.834074259563911e-05
1965-05-01,-0.00013167870907248032,-4.821667420346233e-05,-2.9454266824140625e-05,-8.614590493477755e-05,3.404227300052298e-05,0.0045677359594265,-0.004864765651291236,-1.915917426569734e-05,-6.748911497804026e-05
1965-06-01,-0.0001334074766016103,-4.526945524434488e-05,-2.537209540973948e-05,-8.998800365210529e-05,2.395624960627174e-05,0.005015042552258819,-0.00346512024407275,-2.5636229618739468e-05,-6.922196684791608e-05
1965-07-01,-0.00012522782283508083,-4.500764617026134e-05,-2.6506536932738756e-05,-8.561806595062325e-05,5.428377234137669e-05,0.005432631951407529,-0.0039014579670038074,-2.7407034839026978e-05,-6.884632360500595e-05
1965-08-01,-0.00013007143892717498,-4.534245184031809e-05,-2.674655373579575e-05,-8.599798569311981e-05,6.475448673073617e-05,0.00601392202952411,-0.004606777292792685,-2.5494830688965226e-05,-6.785365335514492e-05
1965-09-01,-0.00013124976637737668,-4.15268556080815e-05,-2.624898184830606e-05,-8.78101776919684e-05,5.892896095045015e-05,0.0060731093981303275,-0.004568190706777386,-2.5520668798911407e-05,-6.915025738338735e-05
1965-10-01,-0.0001308898841837805,-4.472954473881559e-05,-2.702610938193842e-05,-8.918529949869785e-05,3.708808233366451e-05,0.00522361951880157,-0.004800604801857844,-1.931301423695025e-05,-6.75620087207764e-05
1965-11-01,-0.00012832618663300766,-4.728947191545034e-05,-2.4202155963152267e-05,-8.952296741350536e-05,-8.461155529302132e-06,0.003641520015662536,-0.004196238296572119,-4.577041604640071e-06,-6.907443003646423e-05
1965-12-01,-0.000128664840803702,-5.324783077495257e-05,-1.923648642908039e-05,-8.800381582836627e-05,-7.77613321487378e-05,0.002034553290286567,-0.002160145595553331,1.3109822544339655e-05,-7.096359888933837e-05
1966-01-01,-0.00012616177253027,-5.6653954578161404e-05,-1.2995825054070946e-05,-8.53320158277357e-05,-7.753035586372587e-05,0.0028561524231918156,-0.0003855230261251563,1.7884733181766256e-05,-7.266727468520667e-05
1966-02-01,-0.000124622002165793,-5.8295129499377005e-05,-7.617147068369285e-06,-8.899645177466207e-05,-0.00010336101089099733,0.0025929823095793836,0.0013750009202340152,2.184785845984575e-05,-7.10921691885839e-05
1966-03-01,-0.00012444651273313824,-5.6224640006389976e-05,-1.6928872723895702e-05,-8.556055170311998e-05,-7.751040256051865e-05,0.001990052442124579,-0.0017871803720481694,1.725431798678433e-05,-7.153706045504264e-05
1966-04-01,-0.00012650526437965286,-4.8181697242067784e-05,-2.7189756260265277e-05,-8.863440696025055e-05,7.19875351428022e-06,0.0024821203624014743,-0.0033342581446049735,-4.8254251364702466e-06,-6.800002910953069e-05
1966-05-01,-0.0001313059189968266,-4.439288976286524e-05,-2.6204043599965545e-05,-8.926439257619915e-05,4.442444050154235e-05,0.00488593868794851,-0.00555487276869826,-2.5769694793568707e-05,-6.699990745343215e-05
1966-06-01,-0.00013182653320370285,-4.382615467572274e-05,-2.5507382170998642e-05,-8.811696429405637e-05,4.49718097823077e-05,0.0061003614973742515,-0.005004760168958455,-2.6690902941058888e-05,-6.816481148860424e-05
1966-07-01,-0.00012950466404569456,-4.406193290902372e-05,-2.794772453968637e-05,-8.385658591138762e-05,5.689114206890938e-05,0.005449547461466864,-0.005335927562555298,-2.9794183467666423e-05,-6.502232023478479e-05
1966-08-01,-0.0001255330853590756,-4.5682400289506674e-05,-2.688899211868455e-05,-8.611157364618259e-05,6.818975937979607e-05,0.005444358612294309,-0.004117980643059127,-2.265444277856109e-05,-6.915192672543572e-05
1966-09-01,-0.00013561603521665145,-4.361736500868574e-05,-2.5787009195206522e-05,-8.868948937762504e-05,5.09319862531912e-05,0.006032499732100405,-0.004195375367999077,-2.306167854924773e-05,-6.778820843851948e-05
1966-10-01,-0.00013410290818704107,-4.5507432801197424e-05,-2.7211683141391818e-05,-8.986044000059166e-05,4.1984046422132655e-05,0.00528014606970828,-0.00395137831219472,-2.0298244466133373e-05,-6.834944278325436e-05
1966-11-01,-0.00013542393882730476,-4.7956894956190475e-05,-2.4372429488951788e-05,-8.961913701703134e-05,-1.778410023689503e-05,0.003318278686492704,-0.0038208261685213074,-6.323497748167557e-06,-6.726633392832513e-05
1966-12-01,-0.00012963587011189292,-5.251534027841196e-05,-1.904377256058852e-05,-8.919167206560156e-05,-7.674289008718915e-05,0.0025693458155728877,-0.0027199894248042256,1.2763411875714029e-05,-7.025809933395118e-05
1967-01-01,-0.0001248848086439841,-5.822848834213801e-05,-1.0520392307522411e-05,-8.592566316275414e-05,-0.00014376472689845186,0.0024272361770272255,0.002908183159888722,2.3162080419011588e-05,-7.247729994792571e-05
1967-02-01,-0.00012143453843500607,-5.961698634288923e-05,-6.6867518329718795e-06,-8.806281456655053e-05,-0.00010495017098340517,0.0026076306312461384,0.00385279199690558,2.30245309784402e-05,-7.570614288594072e-05
1967-03-01,-0.0001222356713558227,-5.6533250851013385e-05,-1.3040710344492116e-05,-9.024390738282428e-05,-0.00010361281965742819,0.002955978379759472,0.00044530306695378385,1.3446223483485884e-05,-7.18175666819571e-05
1967-04-01,-0.00012380573969647174,-4.686803136296062e-05,-2.1281390862769293e-05,-8.88056458902214e-05,-7.021081829508249e-06,0.002805801159411203,-0.0047200686822179705,-2.398396354904033e-07,-7.322621013695071e-05
1967-05-01,-0.00013242506125287813,-4.521558697557669e-05,-2.628839405288896e-05,-8.709796398859345e-05,4.1358450491518146e-05,0.004504568278207444,-0.004783629992743954,-1.9398339645704255e-05,-6.893362219574207e-05
1967-06-01,-0.00013458693710170002,-4.610104207875503e-05,-2.5604601398322588e-05,-8.287694170014721e-05,3.305632768994353e-05,0.0052459636208368465,-0.004862030255026184,-2.814371497194326e-05,-6.521670698891692e-05
1967-07-01,-0.000131635042218463,-4.765361567975064e-05,-2.7414790577184456e-05,-8.376318263671293e-05,3.749987121813724e-05,0.00576859456487,-0.004543217801256105,-2.8051458367520165e-05,-6.696859245429622e-05
1967-08-01,-0.00012746627397216742,-4.4142186170299254e-05,-2.7621310344997414e-05,-8.619481011296954e-05,6.474150622024253e-05,0.00679047589073889,-0.004497501140576787,-2.942856448244975e-05,-6.735682929618324e-05
1967-09-01,-0.00012845518769525732,-4.422072654988645e-05,-2.703650064672096e-05,-8.482811669740926e-05,6.8523164979221e-05,0.006187427061377093,-0.005103044895804487,-2.424753273412217e-05,-6.746171403128047e-05
1967-10-01,-0.00013168411327611285,-4.200653551599702e-05,-2.6775850977783998e-05,-8.905138769624567e-05,2.87891604481653e-05,0.004635972072719596,-0.005943989526713267,-2.735089786488801e-05,-6.700847863470673e-05
1967-11-01,-0.00012607623837205745,-4.580435663890305e-05,-2.2670131709420746e-05,-8.844733183528453e-05,-2.1197027106407204e-05,0.0025471927074249834,-0.004622419510269538,-7.693427844144957e-06,-7.024425953372336e-05
1967-12-01,-0.0001251641943080365,-5.2648291867543854e-05,-1.097433607954579e-05,-8.897542962866941e-05,-0.00011007376896385621,0.0008786256330495235,-0.0013472677892423235,2.069496817015068e-05,-7.328145839240904e-05
1968-01-01,-0.00012378877171898218,-6.0502222340525776e-05,-4.731743755183754e-06,-8.694560348287525e-05,-0.0001529458333809291,0.001457504458812764,0.003629838101915084,2.5624497137086597e-05,-7.570199404202456e-05
1968-02-01,-0.0001233166009489845,-6.177470188986538e-05,-2.6578399678029093e-06,-8.718359077836843e-05,-0.0001322714120356573,0.0023759293981129304,0.00445059486082755,1.74203800862563e-05,-7.775027157510929e-05
1968-03-01,-0.0001237346685868297,-5.5745388663402103e-05,-1.1292872208102807e-05,-8.762893309947979e-05,-6.122785028613484e-05,0.0004307768904254772,-0.0024704700990696438,1.2717625162791635e-05,-7.32909584193365e-05
