,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8,mgu850_cluster9
1965-01-01,-0.5533497,-0.18640518,0.26592064,-1.1464573,-0.248975,0.68272513,-0.30176812,-0.5553051,0.5911522
1965-02-01,-0.7752762,-0.47350845,0.5875675,-0.6853323,-0.3239277,0.80004346,-0.8117752,-0.8459927,-0.13980408
1965-03-01,-0.7658253,-0.31969148,0.36759606,-1.3234116,0.18738289,0.89683074,-0.38943022,-0.55888975,1.3602364
1965-04-01,-0.9887295,0.8541401,0.23561363,-0.7175949,-0.34022218,0.40442085,-0.27211228,-0.06322136,-0.47187918
1965-05-01,-1.166662,1.5192673,0.06648026,-0.627977,-0.2985092,0.9281155,-0.6615429,0.6569805,-0.35130233
1965-06-01,-0.29362068,1.1526489,-0.34282914,-0.18640518,-0.34999847,0.38845253,-0.82448465,0.5585636,-0.24930039
1965-07-01,-0.87825507,1.2742035,-0.18705711,-1.1529748,0.071042255,0.5038155,-0.92713773,0.8000431,0.2910141
1965-08-01,-1.8510166,0.9515789,0.060940553,-0.7250902,-0.279282,0.5295601,-0.76256675,0.990033,-0.79319954
1965-09-01,-0.83067626,0.762241,-0.25809973,-0.5673628,-0.25190774,0.27830428,-1.1679653,0.91768724,-0.7322594
1965-10-01,-1.054884,0.9082367,-0.16131249,-0.985145,0.093854144,-0.1991146,-0.6550251,0.8531624,-0.5898487
1965-11-01,-0.8036278,0.65144044,0.17467347,-1.0382637,-0.18119125,0.20302506,-0.18738289,0.35260582,-0.4722046
1965-12-01,-1.112891,0.5937592,0.45004463,-0.4588434,-0.45916978,0.8443634,-0.6797924,-0.4761154,0.7694103
1966-01-01,-1.351651,0.3022999,0.29442254,-1.2682806,0.064661406,0.5330452,-0.29081154,-0.6564598,1.8587662
1966-02-01,-1.4087627,-0.15820694,0.9269215,-1.0526333,0.00295372,0.81236917,-0.59048575,-0.60525626,1.4248463
1966-03-01,-1.0726554,0.24650078,0.6968323,-0.9988039,-0.019693756,1.1067913,-0.8835949,-0.59278333,-0.31510085
1966-04-01,-0.98370516,0.74475366,0.42505798,-1.1113867,-0.059081268,0.87571716,-0.4070053,0.34956473,-0.3521904
1966-05-01,-0.49890938,1.4337082,-0.5077717,-0.696504,-0.86226004,0.43654594,-1.2416939,0.65449065,-0.19628143
1966-06-01,-1.2088706,0.99683416,-0.21728821,-0.19956398,-0.50580215,0.68600047,-0.6758255,0.9101814,-0.6282318
1966-07-01,-1.0897232,1.2906002,-0.080416106,-0.97484285,-0.56258583,0.6922371,-0.9915825,1.0224361,-0.31017724
1966-08-01,-1.5390701,1.046397,-0.33085555,-1.0112765,-0.20645675,0.32133713,-0.9633549,1.007994,-0.3459545
1966-09-01,-0.8783432,0.79562914,-0.21695939,-0.36597633,-0.3791054,0.10569038,-0.8396122,0.9994602,-0.7880802
1966-10-01,-0.69190866,0.7309681,0.02789917,-0.57965434,-0.34300002,0.025930023,-0.47429198,0.7785614,-0.13818511
1966-11-01,-0.6328274,0.9065712,-0.07450829,-0.3410309,-0.34858018,0.9370968,-0.90755576,0.014770126,-0.3781208
1966-12-01,-0.5448616,0.51269495,0.5878601,-0.47133827,-0.37319717,1.1061348,-0.9942085,-0.54519004,-0.4273556
1967-01-01,-0.761174,0.20768204,0.9433857,-1.1180868,0.0924118,0.725581,-0.84379005,-0.53259355,1.1073112
1967-02-01,-1.4087112,-0.44344673,1.1556396,-1.4942658,-0.052573394,0.9117111,-0.08392181,-0.6635376,1.422426
1967-03-01,-0.39609796,-0.07575798,0.35723916,-1.1314754,-0.50875586,1.0553906,-0.29062423,-0.4924286,0.9701626
1967-04-01,-0.97244835,0.51463354,0.35299414,-1.206254,-0.21617241,1.0433083,-0.5250832,-0.297155,-0.34940186
1967-05-01,-1.1422513,0.861097,0.44409943,-0.50516355,-0.7732563,0.8222378,-0.56100273,0.7572559,-0.14727135
1967-06-01,-1.7189281,1.2820126,0.16523132,-0.071513176,-1.0240425,0.61259687,-1.113842,0.85913736,0.6609249
1967-07-01,-1.1902533,1.5847183,-0.19429359,-0.69815123,-0.4303852,0.64165914,-1.0775955,0.9495903,0.20213088
1967-08-01,-0.9806118,0.92052805,0.096003726,-1.0913103,-0.25862312,0.5659008,-0.91595614,1.0152256,-0.6197807
1967-09-01,-1.3420961,0.8542393,0.012081909,-1.3254426,-0.6573334,0.22564201,-1.0482067,1.1435573,-0.27886885
1967-10-01,-0.84999406,0.8803631,-0.12637253,-0.51169455,-0.60443306,0.26678658,-0.707621,0.55806386,-0.071186826
1967-11-01,-0.90909845,1.1415981,0.0032653809,-1.3097684,-0.50679666,0.41275176,-0.6331692,0.15870056,-0.24588776
1967-12-01,-1.0322059,-0.008816528,0.4666317,-1.1912329,-0.12931176,0.55610466,-0.6514557,-0.45879441,-0.1528225
1968-01-01,-1.4638141,-0.19473724,1.7668602,-1.1217468,0.06090088,0.6203159,-0.34753686,-0.45402297,1.319402
1968-02-01,-0.6691826,-1.1556622,0.92190397,-1.2566776,0.033550262,0.24251023,-0.66954726,-0.41755524,2.6205697
1968-03-01,-1.2380791,-0.6666298,1.108619,-1.2617829,-0.105027005,0.55175626,-0.47955018,-0.74284744,0.2020317
1968-04-01,-0.52513504,0.06746521,-0.0,-0.9678532,0.02188034,0.42995453,-0.5769192,0.13638917,-0.5174767
1968-05-01,-0.19327888,1.2493839,-0.11888504,-0.8383926,-0.45256424,0.9591007,-0.76290476,0.6691826,0.064912416
1968-06-01,-0.6279739,1.0590225,-0.38728714,0.08642845,-0.50106657,0.4186493,-0.56597865,0.7315426,-0.27095565
1968-07-01,-1.3514935,1.3168495,0.029538726,-0.35920677,-0.5488388,1.1071594,-1.1804596,0.9222687,-0.33258516
1968-08-01,-1.3558697,1.1490978,0.12216721,-1.1862949,-0.40916824,1.2278683,-0.7413887,0.9273739,-0.88616484
1968-09-01,-1.2854869,1.2158333,0.078769684,-1.0458939,-0.33185655,0.57473147,-0.685228,0.83547556,-0.88543624
1968-10-01,-1.008332,1.056105,0.005105591,-0.58056605,-0.31398696,0.59041214,-0.9339382,0.5860359,-0.38254625
1968-11-01,-0.55722654,0.9529015,-0.19510193,-0.77348024,-0.5616028,0.65350115,-1.0123436,0.14477691,-0.14331818
