,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5,zgu200_cluster6,zgu200_cluster7,zgu200_cluster8,zgu200_cluster9
1965-01-01,0.4474373,-0.34380645,-0.2844963,0.3874752,0.010102081,0.004562378,-0.31936568,-0.34869537,-0.21834183
1965-02-01,0.017271806,-0.55726016,-0.24017563,0.4018139,0.035847474,-0.10200157,-0.0016292572,-0.3636856,-0.03910599
1965-03-01,-0.07951546,-0.2466938,0.17043725,0.54064023,-0.21606064,0.19064179,-0.47481194,-0.2792818,-0.23789482
1965-04-01,-0.03258858,-0.5028378,0.44483072,-0.024115372,-0.10428257,-0.24310875,0.38486785,-0.45134813,0.34641343
1965-05-01,0.12122879,0.035521697,-0.016945649,-0.076582715,0.08114471,-0.9303967,0.41093865,0.031284712,0.5706215
1965-06-01,-0.43570557,-0.24441223,-0.2639656,-0.07886372,0.16391945,-0.30339736,0.5696434,0.47122726,0.0736496
1965-07-01,0.052467346,-0.03519516,0.085381314,0.1114521,-0.009776687,-0.86978227,0.3776993,-0.08342628,0.5038147
1965-08-01,-0.37052917,0.214431,0.1492546,-0.15772744,0.11829567,-0.38095722,0.3213207,-0.15674973,0.97927856
1965-09-01,-0.9004154,-0.52010953,0.2502777,0.068435475,-0.05507431,-0.5126144,0.26429138,-0.37215883,1.2654045
1965-10-01,-0.10004616,0.25712204,0.03291435,-0.19552994,-0.259729,-0.51163673,0.18477555,0.08929177,0.532819
1965-11-01,-0.48882484,0.06485061,1.0066532,-0.14143333,-0.34576187,-0.20954323,0.5419437,-0.6801182,0.8583763
1965-12-01,-0.15609817,-0.16522256,-0.03682518,0.16066055,0.061266325,-0.08212242,0.04562378,-0.4223446,0.22127457
1966-01-01,-0.054486085,-0.24092063,0.20776978,0.26750717,-0.068927765,0.23731002,-0.06860008,-0.16903839,0.09617138
1966-02-01,0.0640049,-0.44704896,0.874733,0.20054817,-0.19299927,0.44311064,-0.40109712,-0.5767002,0.07056923
1966-03-01,0.092560574,-0.43162233,-0.063676834,0.039387513,-0.16838188,0.035120774,-0.502848,-0.4608349,0.3475954
1966-04-01,0.056784056,0.15886307,-0.10404892,-0.061379053,-0.0311821,-0.2448597,0.3781208,0.66433716,-0.32954293
1966-05-01,-0.20317459,-0.3334816,-0.3587551,-0.04923439,0.38895226,-0.6239651,0.0016414642,0.21499062,0.28129348
1966-06-01,0.14015427,0.43424836,-0.22779159,0.0016412735,0.23468438,-0.9735298,0.021334838,0.24978295,0.54125136
1966-07-01,0.45033187,-0.17986985,-0.3003296,-0.013785744,0.28982696,-0.19234315,0.45788115,-0.31707,0.24256134
