,r1000_cluster1,r1000_cluster2,r1000_cluster3,r1000_cluster4,r1000_cluster5,r1000_cluster6,r1000_cluster7,r1000_cluster8,r1000_cluster9
1965-01-01,83.14296,40.58863,19.916718,82.928375,25.569553,77.054405,74.45813,80.28787,83.164246
1965-02-01,83.257614,32.64092,19.908527,81.50329,26.319769,82.482834,73.023224,82.1929,83.06433
1965-03-01,82.594215,63.075478,26.68505,77.385284,43.399487,76.6924,77.609695,76.705505,82.292816
1965-04-01,81.7408,23.949543,32.197014,74.564606,31.23713,77.05932,76.38609,78.956154,84.260086
1965-05-01,83.275635,28.008575,44.32661,73.262375,57.168747,76.96104,69.5506,80.24037,85.13152
1965-06-01,78.864426,35.35022,47.918804,72.705444,73.627655,72.97899,70.9331,75.7964,78.84477
1965-07-01,80.49099,28.344372,54.185898,78.546646,73.68007,74.85454,71.56702,71.36881,83.15279
1965-08-01,79.30997,27.122402,52.552784,71.752106,71.43433,83.54591,69.260666,70.65135,81.973404
1965-09-01,77.22148,20.76358,34.15937,76.658005,42.42977,78.04378,72.16325,75.834076,78.64657
1965-10-01,81.133095,22.034687,28.997946,75.92089,35.512383,77.13467,74.95609,75.11334,81.0643
1965-11-01,82.33704,29.664623,27.592518,78.79727,37.39775,80.74652,78.245255,69.755356,84.64503
1965-12-01,84.33544,55.83867,32.60652,77.961876,31.507404,81.688385,75.72597,75.19197,80.84152
1966-01-01,85.62899,54.743988,36.71105,80.08696,27.040403,78.739204,80.631966,74.863396,83.08944
1966-02-01,85.8703,61.142933,29.279541,75.64151,47.40441,76.04699,76.40978,75.7794,83.63773
1966-03-01,83.36687,35.79832,29.704714,77.27654,25.531776,79.537025,74.710724,80.226494,83.93322
1966-04-01,83.08123,24.463097,34.750984,76.30965,56.89448,73.812775,72.279526,75.6054,82.87111
1966-05-01,80.436615,32.23934,48.642174,70.637924,55.66821,69.948456,74.03439,79.48449,82.780815
1966-06-01,78.818,40.17646,58.081356,69.1687,59.38478,74.482544,72.24341,77.54577,82.81857
1966-07-01,76.30308,30.619083,59.875618,77.60815,59.61953,79.28258,72.77364,75.15396,83.16167
1966-08-01,78.671906,40.32092,44.84516,71.4538,40.872498,77.60815,75.4396,76.17175,82.50175
1966-09-01,76.83003,19.569496,31.984892,72.91318,39.206276,75.63659,74.4136,72.22699,80.15919
1966-10-01,80.850296,26.979664,29.92633,74.59582,30.88338,72.89677,76.93345,73.27926,82.40982
1966-11-01,80.17889,22.908504,30.241516,74.92413,26.746557,75.065315,79.00186,78.54221,83.204346
1966-12-01,84.54225,28.135347,33.944958,81.98628,18.64856,75.515114,78.76219,76.375305,83.3324
1967-01-01,84.96779,50.30791,30.040667,73.89081,44.600517,74.723526,78.75367,75.1458,83.96785
1967-02-01,83.371605,72.66454,36.36964,83.805695,41.303436,77.53415,78.49524,77.01223,85.21101
1967-03-01,81.74671,57.16894,35.66867,82.3835,28.456312,78.6405,80.234985,76.92439,83.679016
1967-04-01,82.75847,27.257067,31.907097,71.20518,36.95237,81.2535,73.01756,80.74002,82.538895
1967-05-01,79.39383,30.608196,47.899284,70.91634,55.185966,75.11033,73.0581,82.57267,80.56773
1967-06-01,72.31659,36.6078,54.86673,71.57847,49.745445,77.7892,74.09519,79.6134,82.500046
1967-07-01,77.360176,29.234976,45.769356,70.960266,52.665863,70.93155,70.66467,76.709885,82.06257
1967-08-01,77.47841,26.083157,37.65334,71.75919,50.08664,76.13728,71.28119,75.108635,82.61828
1967-09-01,79.50868,18.291443,33.9171,75.17958,32.429024,74.76069,73.98878,79.14553,83.29053
1967-10-01,79.54416,20.509201,24.529205,77.888855,30.170725,75.31302,79.3195,76.62881,82.532135
1967-11-01,82.437546,25.32814,24.206593,79.56105,29.488338,76.108574,75.971756,77.5274,84.94076
1967-12-01,85.308975,36.03858,24.402525,79.33809,31.376726,78.77393,75.48868,73.79623,82.60477
1968-01-01,84.93845,52.6519,41.13375,77.19638,34.354202,82.68826,74.07701,79.81033,84.58113
1968-02-01,83.58319,59.23669,31.656548,78.53877,32.00744,85.08493,73.49113,79.33068,84.51192
1968-03-01,84.04675,70.7307,38.556816,85.43903,55.009937,79.19064,70.603546,77.00162,82.56432
1968-04-01,83.87291,34.920776,44.08572,75.46125,49.52771,75.031494,74.54057,79.52222,78.17339
1968-05-01,84.058014,68.23424,69.79553,75.5868,50.271336,70.70816,75.400085,74.06092,78.33113
1968-06-01,83.903496,57.67701,66.627884,73.887085,75.07173,74.84639,73.44928,67.31678,81.07063
1968-07-01,84.15137,49.802948,69.05673,71.17655,69.88406,78.41322,73.41708,70.87395,83.71678
1968-08-01,80.64249,30.34796,47.129436,77.54727,49.40377,75.80248,73.743835,73.30119,81.28793
1968-09-01,78.175,24.250874,41.33334,73.86777,42.857613,70.61159,74.48585,72.44812,80.11455
1968-10-01,79.99705,21.105755,26.13408,79.78941,30.428438,72.000656,74.83673,71.1009,77.875626
1968-11-01,82.656075,31.671034,32.546646,75.62865,22.823175,70.80957,77.07244,81.54707,83.35141
1968-12-01,84.39442,23.95954,32.047676,82.01224,21.535513,78.33435,78.18949,80.72297,84.656784
1969-01-01,81.964294,43.616417,22.803913,82.9252,22.327637,79.14005,79.42582,77.16141,83.87108
1969-02-01,84.86541,72.7245,42.899494,76.58653,27.670303,73.15566,74.41237,77.33688,84.80023
1969-03-01,84.00644,59.278435,40.33428,77.52572,27.103783,72.8348,73.71717,78.03041,83.05556
1969-04-01,82.28516,25.155222,34.7259,75.11759,32.11389,78.002,77.94183,81.43955,82.23502
1969-05-01,79.776764,29.418325,51.7733,71.79869,52.044025,74.72153,79.796814,76.299095,82.007744
1969-06-01,77.59424,33.484234,60.31956,71.4795,59.0428,75.689125,76.93915,71.55303,81.13708
1969-07-01,75.47188,36.60427,51.52263,75.40336,41.76311,77.87165,74.35722,83.321266,81.65346
1969-08-01,77.39537,22.207314,37.50669,73.095505,39.746033,76.369286,72.58747,80.971634,80.812874
1969-09-01,76.997635,19.896114,39.98835,82.94025,29.313044,74.290375,73.9645,74.64465,82.34866
1969-10-01,79.845276,27.588417,29.582098,75.54039,25.962387,72.72284,80.48366,76.882324,83.19426
1969-11-01,80.614006,16.47694,21.361713,77.89671,23.547577,75.13097,75.849556,79.076546,82.17653
1969-12-01,84.019806,33.36558,31.116215,79.15843,24.707354,72.370224,75.14099,76.437805,83.92288
1970-01-01,84.812775,21.334145,22.265877,78.74575,23.985363,79.95386,69.62868,79.34484,83.399445
1970-02-01,83.72547,29.178572,23.15789,76.55295,31.08672,78.57695,73.14708,86.21947,85.76436
1970-03-01,84.63403,27.92247,27.444191,71.326645,24.236914,74.2923,78.11356,80.0846,83.47392
1970-04-01,84.89883,30.560448,37.370537,76.82436,36.834335,75.538475,75.07343,77.967926,83.32994
1970-05-01,84.26664,32.67712,47.482235,75.205826,59.326656,76.721756,74.55378,72.432144,83.89758
1970-06-01,80.400696,25.21002,40.847572,70.1897,68.94518,72.839264,68.76314,76.49172,86.517365
1970-07-01,77.88022,21.52612,41.683315,72.76645,50.216198,77.11232,75.13963,76.12432,83.06349
1970-08-01,75.30843,20.680443,40.26172,68.447044,42.019268,79.05026,74.12515,79.49379,80.73003
1970-09-01,79.3134,21.48309,43.096638,74.833466,42.31054,76.538055,72.25672,73.07592,78.49586
1970-10-01,77.94476,17.3176,24.604311,74.51903,27.406128,73.08916,76.576126,78.63818,81.55088
1970-11-01,80.60591,25.458261,28.437157,81.69155,25.239809,78.96089,75.10157,82.25588,81.94641
1970-12-01,84.88228,43.722206,22.376759,78.17645,23.738775,81.06432,77.905045,77.38539,81.86863
1971-01-01,84.77597,32.67398,22.882458,79.83964,28.993706,79.17695,74.06311,78.91661,81.20558
1971-02-01,83.756584,34.203903,27.254156,78.04599,32.61481,81.35603,72.66673,82.08296,83.8783
1971-03-01,84.42772,50.831913,40.031143,82.29935,38.606033,81.65019,71.48675,75.07404,84.41758
1971-04-01,78.96394,33.044205,34.16333,75.39525,31.42468,77.09253,73.56271,76.41971,83.215614
1971-05-01,80.95708,24.840086,41.121536,71.11822,49.273247,72.37597,73.8687,73.05386,80.1135
1971-06-01,81.88179,36.819145,65.06275,71.75217,69.70325,74.51279,73.280396,75.540634,83.606125
1971-07-01,78.71544,25.991333,48.164265,70.39636,61.500816,77.54221,73.12825,77.445854,82.04239
1971-08-01,79.71792,28.39357,51.668724,72.428375,65.16588,77.07225,71.78935,82.49545,79.17695
1971-09-01,80.214935,20.831848,31.394253,76.59045,48.590275,74.62267,70.35917,78.88111,77.25313
1971-10-01,81.633286,19.168373,25.683657,71.38025,36.72786,74.11552,72.05815,76.9201,81.547066
1971-11-01,83.71263,39.087833,47.300404,79.132996,31.96903,71.36334,71.835,74.8154,83.33226
1971-12-01,84.85712,52.358456,32.71286,81.626526,22.319511,72.786766,79.06706,76.45859,83.061775
1972-01-01,84.01715,34.257072,31.757366,76.282364,20.726479,82.673035,77.20066,77.04138,84.03015
1972-02-01,83.56857,35.172115,28.49052,79.388306,23.128668,80.786064,74.715576,80.94047,84.30646
1972-03-01,83.29715,44.18276,30.253967,72.50192,27.27805,82.235825,74.49129,78.63417,83.24838
1972-04-01,82.55276,23.655264,30.122318,76.16697,29.187773,76.93899,77.65574,81.57596,83.7571
