,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8,vo500_cluster9,vo500_cluster10
1965-01-01,-8.937776427875079e-06,8.571326248617873e-06,3.38160558991755e-05,1.0612672069482817e-06,2.315051378073721e-05,-9.143515392258734e-06,-7.210608624805709e-07,1.034141925109517e-05,1.086776277051368e-06,4.0511478206239044e-06
1965-02-01,4.798870001047029e-06,5.419871675353147e-06,2.274143197509046e-05,8.88059814948637e-07,9.30117287432288e-06,5.13096831887943e-06,7.422935947001782e-06,1.6329577842303218e-05,1.0364789721444884e-05,5.494470874859521e-06
1965-03-01,1.108664046024378e-05,6.328751279320416e-06,1.5700943549745716e-05,2.0876340436623222e-06,1.2430522970548322e-05,-4.366816300268931e-06,5.1858422554224704e-06,1.4247934489373749e-05,7.3161888022613395e-06,-4.1954344545466974e-06
1965-04-01,1.1206832886552484e-05,1.6366844005567735e-05,-2.864275908602091e-05,2.807507602677545e-06,2.937298094448951e-05,-9.60237447367008e-06,-1.406509123594253e-06,1.923498140448438e-05,-2.913763420441352e-06,-2.5339798088890137e-05
1965-05-01,1.565407062413881e-05,1.9452627562785375e-05,-1.299875798900353e-05,4.4928296429032016e-06,-4.20660006222368e-06,-1.1887255931836066e-05,-2.6175401121451473e-06,4.355362648311711e-06,-1.0126887611311924e-07,-2.1670000768162586e-06
1965-06-01,3.1955744699450524e-05,1.9995212485310713e-05,3.972919494622652e-07,5.518610299823399e-06,1.6235497407086026e-05,-1.6296216112530247e-05,-5.792268989592375e-06,3.1073357474399795e-06,1.7464030706419593e-06,-2.253225462622e-05
1965-07-01,1.6579798905848582e-05,2.9231245314483257e-05,-9.101348849880094e-06,5.3359831409845475e-06,3.107742775848072e-05,-2.354393730986057e-05,-1.7288926245415946e-05,1.6891785240399516e-05,-7.723776269069111e-06,-1.4281049778639079e-05
1965-08-01,1.6712580179613508e-05,1.9835511754530183e-05,-1.7035751322206732e-05,7.189762233762205e-06,2.0727673638082873e-05,-1.8927454872407824e-05,-1.3939086529079075e-05,1.0723544262093907e-05,-6.396673122501604e-06,-2.592898121852508e-05
1965-09-01,-4.964111230767212e-06,2.220974589018547e-05,1.316176773495196e-05,4.731144031850133e-06,2.21585630490815e-05,-9.931749337371924e-06,-2.4650516774783142e-05,1.4602526172373992e-06,5.139326152526667e-06,-1.644420378327665e-05
1965-10-01,1.4537068852972663e-05,1.3268400638766002e-05,6.309198220656576e-07,4.953334659295083e-06,1.57534538464626e-05,-8.112628939439918e-06,1.6826501642323198e-06,2.897097723624548e-06,4.759464838405785e-06,5.07077574288891e-06
