,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8,mgv500_cluster9,mgv500_cluster10
1965-01-01,-0.5015706,0.017366553,-0.3140703,-0.20148185,-0.19132677,0.06593418,-0.052835632,-0.35792834,-0.32466698,0.042827774
1965-02-01,-0.33894283,-0.09816538,0.19324008,-0.050775193,0.21546344,-0.26373667,0.11818109,0.22591281,0.123332165,-0.16277497
1965-03-01,-0.50834066,0.19662514,0.22753175,-0.20118752,-0.48346812,0.076677896,-0.1741074,0.27035952,0.38765755,0.080062866
1965-04-01,-0.039295577,0.538217,0.2962622,-0.04989214,-0.05342426,-0.13996296,0.025019646,-0.41782826,-0.16807327,-0.17778675
1965-05-01,0.15821256,0.05239415,0.21296144,0.19809684,0.049156286,-0.13466465,-0.16468826,-0.12907204,0.3407089,-0.30067745
1965-06-01,-0.37205708,0.40973368,-0.09036513,0.41915292,-0.35792828,0.042386245,0.30568138,-0.32775754,0.13481183,-0.477434
1965-07-01,-1.1436929,0.7248343,-0.31730825,0.45579934,-0.354249,0.082564786,0.19633074,-0.013834405,-0.057398032,-0.67082125
1965-08-01,-0.04871478,0.1395214,-0.54572296,0.13186832,-0.4297495,-0.2144332,0.4319571,-0.371174,0.03620491,-0.4145905
1965-09-01,0.10920346,0.25446466,-0.30244356,0.18602853,-0.18367366,0.16409965,0.264031,-0.37294012,0.35748678,-0.13142681
1965-10-01,0.026491355,0.20854624,-0.3336445,-0.042533398,0.01707225,-0.53527355,0.2769823,0.14378949,-0.14055161,-0.32010448
1965-11-01,-0.13083811,0.35572073,0.11126391,-0.13127963,-0.06578698,-0.43651953,0.29479045,-0.17778675,0.03370285,0.041797567
1965-12-01,-0.35380745,-0.1885305,-0.42857203,-0.03267274,-0.23150544,-0.044446707,0.16557126,-0.42621726,-0.0076530455,0.5140804
1966-01-01,0.037902735,-0.32853845,-0.08419609,-0.025895406,-0.16680089,0.11341882,-0.39522988,-0.22596964,0.13888016,0.34850246
1966-02-01,0.4567133,-0.60557544,-0.54669607,-0.06582346,0.054250073,0.2799303,-0.041664053,-0.38886452,-0.11848211,-0.1526235
1966-03-01,-0.09678211,-0.35501248,-0.015045333,-0.021121358,0.35023847,0.22423363,0.07739677,-0.19992962,0.12860885,0.03587737
1966-04-01,-0.2922271,-0.18459496,-0.16795817,0.113274194,-0.1756256,0.491578,-0.17157488,-0.3165311,0.2894784,-0.44904596
1966-05-01,-0.5378714,0.34806848,-0.10473881,0.061628055,0.10314746,-0.3699132,0.07913275,0.21888098,0.0724781,-0.30423445
1966-06-01,-0.468576,-0.010416031,-0.27559036,0.034575414,0.30018377,-0.57071084,-0.024593377,-0.14611354,0.34126917,-0.27703705
1966-07-01,-0.13989286,-0.15595086,-0.28065372,0.2074523,-0.065100096,0.09967546,-0.038626052,-0.2862957,0.22322097,-0.743009
1966-08-01,0.09461212,0.15898888,-0.39334923,0.27443305,0.29656705,0.21974897,-0.059024096,-0.51935387,-0.17967625,-0.41577253
