,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10
1965-01-01,-1.8190002,3.459015,3.5079346,0.8804016,-3.534912,-7.9841614,-3.9226074,-3.53891,1.7600708,-0.7701721
1965-02-01,-0.072509766,3.566925,2.9781494,1.2801819,-2.875183,-7.318451,-3.4594727,-2.998413,1.6678772,0.1659851
1965-03-01,1.077179,3.2840881,2.7492065,1.3810425,-2.625122,-8.382629,-3.8201294,-3.9044495,0.9364929,1.0088196
1965-04-01,0.74768066,3.2369995,2.7799377,2.4107056,-2.9750977,-9.011047,-4.8881226,-5.4504395,0.46923828,1.6333313
1965-05-01,0.48867798,3.3961487,2.7904053,2.9994812,-3.5578918,-9.694611,-6.455353,-7.513153,-0.37750244,1.3294373
1965-06-01,-0.1979065,3.4095764,3.215973,2.902649,-4.2779236,-11.399109,-7.9702454,-8.064056,-0.8999634,0.8274536
1965-07-01,-1.3236389,3.417511,3.2553406,2.869629,-4.8278503,-12.615662,-9.4721985,-8.591522,-2.0805664,-0.2553711
1965-08-01,-2.9337769,3.2857666,3.3471375,3.1755066,-5.5568237,-12.432037,-10.080414,-8.781616,-2.627411,-0.667511
1965-09-01,-3.3561707,3.535492,3.3967896,2.710205,-6.343445,-12.048584,-9.880585,-8.784882,-2.3397827,-1.0105591
1965-10-01,-3.3119507,3.8756104,3.2339172,3.0952148,-5.905548,-12.19397,-9.246613,-8.493683,-1.9223328,-1.3600159
1965-11-01,-3.4082642,4.3046875,3.6805115,3.1905212,-6.3127136,-11.22052,-7.7746887,-7.934845,-0.8361206,-1.2287903
1965-12-01,-2.2815857,4.20343,3.5043945,2.875702,-5.691986,-10.155701,-6.3615723,-6.5491943,0.008178711,-0.82559204
1966-01-01,-0.8609009,4.303589,3.6157227,2.6625977,-4.496338,-8.220032,-4.499359,-4.802948,0.9989319,-0.51898193
1966-02-01,-0.2783203,3.5674133,3.095398,2.6072388,-3.856781,-7.6505737,-4.251129,-4.214813,1.3974609,0.08880615
1966-03-01,-0.53015137,3.6630554,3.0135193,2.9716797,-4.0379944,-7.971985,-4.051605,-4.9553223,0.83950806,0.446167
1966-04-01,-1.4634094,3.903778,3.2260132,3.0308533,-3.9021912,-9.937073,-5.2673035,-6.0983887,0.28546143,0.8275757
1966-05-01,-2.3631897,4.002014,3.3025513,2.711029,-4.428772,-10.605347,-6.326416,-6.8957825,-0.6309204,0.5067444
1966-06-01,-2.9533997,3.7849426,3.6074524,2.845459,-5.6982727,-11.11438,-7.697296,-8.650421,-1.3275757,-0.20147705
1966-07-01,-3.501831,3.8391724,3.66922,3.3701782,-6.630951,-11.07428,-8.819092,-10.558411,-1.881012,-0.5456543
1966-08-01,-4.185913,3.6256104,3.3785095,2.2710571,-6.358917,-11.748291,-8.702362,-9.327667,-1.6614075,-1.0325623
1966-09-01,-5.0856934,3.5483093,3.057129,2.231598,-6.575897,-11.905762,-9.100372,-9.748901,-1.8970642,-1.6746521
1966-10-01,-5.1644897,3.8093872,3.1679382,1.6676636,-6.423218,-12.115692,-8.985535,-9.141876,-1.4629822,-1.8528137
1966-11-01,-4.698181,3.9378357,3.185913,1.5147095,-6.223175,-11.020508,-7.745636,-8.622101,-0.86505127,-1.7566528
1966-12-01,-3.8996277,3.9506836,3.5043945,1.9012451,-5.2445984,-9.76004,-6.7317505,-6.8174744,-0.10180664,-1.276825
1967-01-01,-2.2224426,3.473938,3.8616028,1.1907043,-3.9958496,-8.072052,-4.59433,-4.5687866,1.2823486,-0.6878967
1967-02-01,-0.38839722,3.608673,3.4674683,1.1286011,-3.200531,-7.5211487,-3.9507751,-2.5915222,1.6174011,-0.18304443
1967-03-01,0.15570068,3.6264038,3.5297546,1.1047363,-3.5524292,-8.104919,-4.06427,-2.595337,1.285553,0.39608765
1967-04-01,-0.35403442,3.5764465,3.1948242,1.8931885,-4.132263,-8.716309,-5.012207,-4.075653,0.116760254,0.76782227
1967-05-01,-1.5744324,3.4167786,3.4919128,2.5037842,-4.7020874,-9.945221,-6.48053,-6.4639893,-0.889801,0.7949524
1967-06-01,-2.921692,3.351654,3.6250916,2.4131165,-5.7703857,-10.039917,-8.068146,-8.146301,-1.2764587,-0.06549072
1967-07-01,-4.2997437,3.2371826,3.3809204,2.7909546,-6.5899963,-10.693268,-9.130676,-8.845734,-1.971405,-0.71984863
1967-08-01,-5.5463257,3.124939,3.6668396,1.9605408,-6.637146,-11.686951,-9.538422,-9.06662,-1.6789551,-1.7160339
1967-09-01,-6.603424,3.2147217,3.7811584,1.7267761,-6.121155,-12.084961,-9.34845,-8.710907,-1.5957031,-2.1345825
1967-10-01,-5.9717712,3.0811462,3.538391,1.1309509,-6.3463745,-11.373169,-9.503571,-8.557526,-0.72561646,-2.2596436
1967-11-01,-5.036194,3.6536255,3.8900146,1.6338196,-5.9872437,-10.758606,-7.5087585,-7.532776,0.025665283,-2.1900024
1967-12-01,-4.056305,3.5627441,3.9523926,1.5013733,-4.804016,-9.171234,-5.3414,-6.125702,0.9624634,-1.8191223
1968-01-01,-2.8914795,3.5582275,3.5908813,0.74786377,-3.3312073,-7.6466675,-4.042938,-4.0928955,1.2469177,-0.80078125
1968-02-01,-0.9326172,3.7033691,3.1004639,0.77627563,-2.6434631,-6.9549866,-3.6193237,-3.1924744,1.4217529,-0.29901123
1968-03-01,-0.41549683,2.9760437,2.8667603,0.53564453,-2.7940674,-7.571533,-3.3851318,-3.6329346,1.6188354,0.22998047
1968-04-01,-0.91522217,3.2558289,3.2469177,1.3134766,-3.6113586,-9.01944,-4.1613464,-5.388977,0.70809937,0.55178833
1968-05-01,-2.899231,3.7656555,3.3086548,1.7941589,-4.2183533,-10.31839,-5.4761353,-7.295807,-0.14224243,0.4883728
1968-06-01,-3.9632568,3.5795593,3.5340576,1.9077759,-4.6908264,-11.778595,-6.955139,-8.03833,-1.0025024,0.4432373
1968-07-01,-4.586487,3.467743,3.6369019,2.1397095,-5.3229675,-12.564087,-8.29657,-8.698181,-1.2468872,-0.52130127
1968-08-01,-4.3507996,3.367096,4.017517,2.3749084,-5.9454346,-13.634155,-8.61731,-8.462006,-1.4602966,-0.8751831
1968-09-01,-4.793701,3.5849915,3.9154053,2.0492249,-5.8150635,-13.720428,-9.342651,-9.166565,-1.9393005,-1.2438965
1968-10-01,-4.774994,3.8401184,4.224945,2.1401367,-5.412567,-12.820831,-8.922333,-9.017273,-1.8394775,-1.6070251
1968-11-01,-4.137512,4.17688,4.3633423,2.4289246,-6.0229797,-11.322235,-7.1531677,-8.872925,-0.33099365,-1.6733704
1968-12-01,-3.4587402,4.1780396,4.0519104,2.6942139,-5.0642395,-10.437195,-5.7027893,-6.1044006,0.5391846,-1.2879028
1969-01-01,-2.1924133,4.292328,4.134918,2.6741028,-4.3680115,-8.483337,-5.035095,-4.5710754,1.0420227,-0.6669922
1969-02-01,-1.3973389,3.943451,3.592743,2.290863,-3.4201355,-7.6739197,-4.1385193,-3.0930176,0.9987488,-0.22262573
1969-03-01,0.13922119,3.4505615,3.3233948,2.2784119,-3.400299,-7.7633057,-4.685272,-3.564392,0.7073364,0.5217285
1969-04-01,0.21734619,3.3764038,3.666626,2.2524414,-4.225128,-9.879211,-5.4624023,-4.9527283,-0.082092285,1.137207
1969-05-01,-0.99224854,3.3625488,3.5517578,2.7708435,-4.4676514,-11.545654,-7.1073,-6.966797,-0.675354,1.1546326
1969-06-01,-1.565094,3.2650146,3.5813599,2.683014,-4.9226074,-11.347351,-8.135498,-7.7509155,-1.0349121,0.44281006
1969-07-01,-3.3076782,3.1247864,3.4970398,2.4243774,-6.023712,-12.273621,-9.049957,-7.2738037,-1.6212463,-0.07733154
1969-08-01,-3.9607544,2.9660034,3.6766663,2.0343323,-6.4675903,-12.453949,-9.608704,-8.7595825,-1.8759155,-0.8986206
1969-09-01,-4.773224,3.2713318,3.4169312,1.3182678,-6.5016785,-13.016693,-9.17157,-9.0997925,-1.9130859,-1.3034363
1969-10-01,-4.3482666,3.4229736,3.5404053,1.3088989,-6.2321167,-12.265106,-9.004547,-8.0903015,-1.325592,-1.314331
1969-11-01,-3.1759338,3.6385193,3.7261963,1.7710571,-6.1734924,-10.247284,-8.603912,-7.5912476,-0.1194458,-1.2736511
