,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10
1965-01-01,-0.071023166,-0.09040731,0.031570733,0.011713862,0.022692919,0.3778056,-0.082107306,0.02374357,-0.07328206,-0.0206455
1965-02-01,-0.057785273,-0.0035202503,0.025477111,-0.028472722,0.018805623,0.77342,0.03924036,0.028366327,-0.025163233,-0.07932317
1965-03-01,-0.04255116,-0.031624615,0.05337131,0.022850513,0.013762593,0.29580396,-0.023954988,0.027158082,-0.076013684,-0.017125905
1965-04-01,0.01901573,0.03619349,0.03692895,0.025529623,-0.025005639,1.5855038,-0.11320597,0.0409739,-0.052532136,-0.05195427
1965-05-01,-0.014551878,0.033671975,-0.002942443,0.04869598,-0.019174635,2.3857155,-0.20434803,0.04465109,-0.054213107,-0.04118532
1965-06-01,0.018805623,0.036351085,0.04901117,0.021642268,-0.0032576323,1.7150464,-0.081109226,0.038715005,0.028891623,-0.030311286
1965-07-01,0.032306194,0.036088467,0.04759282,0.013027132,0.013027132,1.8532567,-0.582522,0.039660573,0.02001381,-0.03824359
1965-08-01,0.024846733,0.01801765,0.026160002,-0.0109272,0.027053058,1.6763306,-1.0568285,0.020434082,0.02337581,-0.036562562
1965-09-01,0.034722626,0.030887842,0.040763736,0.041814387,0.016494215,1.0820423,-0.24731874,0.01738727,-0.055946648,-0.058205545
1965-10-01,0.02306062,0.035615683,0.04801309,-0.029680908,0.02374357,1.5583451,-0.32937288,0.017807484,-0.0069873333,-0.09576553
1965-11-01,0.020854354,0.044493496,0.029416978,-0.14714128,0.026895463,1.4667827,-0.032675207,0.036088467,0.0023632646,-0.06251311
1965-12-01,-0.038978994,-0.04087013,0.02510935,0.0004196167,0.030309975,1.8349757,-0.0012089014,0.017492294,-0.03414613,-0.023482203
1966-01-01,-0.071683764,-0.026958346,0.01608026,-0.02139616,0.021870375,0.38418758,-0.012870491,0.016125858,-0.08071095,-0.10943371
1966-02-01,-0.08499652,-0.05923724,0.022007167,0.008375227,0.022964597,0.6614763,0.06153518,0.031718194,-0.10852188,-0.052033722
1966-03-01,-0.07296032,0.031900585,0.014986038,0.0047734976,-0.0126881,0.80545485,-0.08517891,0.031216681,0.0059589148,-0.025317013
1966-04-01,0.017584741,0.02364844,0.026475132,0.029985726,-0.011411548,1.5265787,-0.091561735,0.02478826,-0.0038433075,-0.041046143
1966-05-01,-0.00037837029,0.017767131,0.020092309,0.00983417,0.021414459,1.7239908,0.028754711,0.042295456,0.019727588,-0.0148765445
1966-06-01,0.03253883,0.025335371,0.051596165,-0.001654923,0.026931047,2.124833,-0.8599186,0.026429534,-0.0061684847,-0.047292233
1966-07-01,0.028253198,0.020320296,0.0350464,0.0022203922,0.020320296,2.127842,-0.5408679,0.021277726,0.018223047,-0.04378164
1966-08-01,0.019362867,0.012569666,0.07256836,-0.0027947426,0.02082175,1.7625613,-0.5029812,0.030988753,-0.008037746,-0.03785473
1966-09-01,0.03144467,0.024058819,0.044438303,0.0009893775,0.022371888,1.0809199,-0.29517424,0.037599504,-0.021122575,-0.04145646
1966-10-01,0.023238122,0.027386963,0.03408897,0.017311215,0.020092309,1.2143668,-0.34992987,0.01799512,-0.0053934455,-0.018204689
1966-11-01,0.010882795,0.01872456,0.008967936,-0.021168172,0.01835984,1.0930017,-0.028326094,0.030259252,-0.034572124,-0.061881542
1966-12-01,-0.017475247,0.020411432,0.017675936,-0.016700208,0.020730615,1.7653425,-0.14804989,0.033040345,0.009606242,-0.016836941
1967-01-01,-0.1781658,-0.01662004,0.023766339,0.013094306,0.027166784,0.7301105,0.0050902367,0.008856893,-0.06961417,-0.028233767
1967-02-01,-0.033779144,-0.16137302,0.03109032,-0.010656238,0.023033977,0.1345675,-0.016306162,0.012885094,-0.030064821,-0.01766634
1967-03-01,-0.08007705,-0.07311928,0.025335789,-0.004849434,0.027166784,0.5000334,0.0040439367,0.01942426,-0.02028203,-0.0861454
1967-04-01,-0.006837368,0.008438349,0.03407222,0.019319654,0.022458494,0.7309998,0.047569215,0.036426365,-0.059046745,-0.10257208
1967-05-01,-0.010080814,0.025963545,0.043750346,0.018116415,0.03862357,2.727356,-0.21211767,0.0276376,-0.037650347,-0.045445085
1967-06-01,0.023923278,-0.019549727,0.06645459,0.037368,0.032607436,1.6245236,-0.35305166,0.02135992,-0.0086683035,-0.033099055
1967-07-01,0.031665802,0.018639565,0.05253905,0.00566566,0.03056717,1.6034935,-0.4777161,0.02099371,-0.041312337,-0.03942895
1967-08-01,0.0019514561,0.02308625,0.027219057,-0.042829394,0.03004402,2.1840746,-0.39757097,0.02554506,0.026382029,-0.069666505
1967-09-01,0.029677868,0.017017841,0.028579235,0.019633532,0.024551094,1.2623535,-0.5036638,0.019110382,0.0021606684,-0.061087012
1967-10-01,0.0054564476,0.027480662,0.038518906,0.019110382,0.020575225,1.6684675,-0.21232688,0.036740243,-0.071235895,-0.047223806
1967-11-01,0.02517885,0.018064141,0.03893745,-0.046491385,0.02083677,0.85838455,-0.03665638,0.03250277,-0.045445085,-0.120881915
1967-12-01,0.0036777258,-0.011859536,0.031142652,0.0062412024,0.024708033,0.51305956,-0.066893935,0.026382029,-0.008459091,-0.10717571
1968-01-01,-0.18033063,-0.12598789,0.027741462,0.0144254565,0.023277998,0.20323023,0.03462267,0.036147684,-0.07149637,-0.036606878
1968-02-01,-0.14867717,-0.0683347,0.025212169,-0.009454101,0.031089067,0.6039382,0.11879626,0.028448194,-0.10991937,-0.01499626
1968-03-01,0.0040850937,0.012863249,0.04607889,0.007358283,0.02636525,0.7044035,-0.13052571,0.020971894,-0.040066063,0.012491286
1968-04-01,0.009738803,0.007023543,0.020116389,-0.08436602,0.028485388,0.7258282,-0.048695445,0.03540376,-0.0076315105,-0.028758615
1968-05-01,-0.0004155934,0.030828714,0.0001423657,0.021009088,0.027481109,1.0100024,0.0033039749,0.029378086,0.0011466444,-0.03876424
1968-06-01,0.02614206,0.045595348,0.06739196,-0.046984434,0.03711477,1.53234,-0.32219458,0.013198018,0.053183258,-0.016484082
1968-07-01,0.018293798,0.027220726,0.034101933,0.05742356,0.023129225,1.6727905,-0.06770241,0.034101933,0.04414472,-0.088457525
1968-08-01,0.029898822,0.020637125,0.07114872,0.02874577,0.034250706,1.5056708,-0.36333287,0.030010402,-0.014959067,-0.037127614
1968-09-01,0.028262228,0.019186497,0.022459716,-0.057771146,0.017475486,1.4469762,-0.37865746,0.034139127,-0.036011755,-0.029465318
1968-10-01,0.01185897,0.034771442,0.038230628,-0.014921844,0.023277998,1.2219429,-0.49783212,0.019372463,0.014983386,-0.025782973
1968-11-01,0.010259539,0.034473866,0.027295142,-0.0063668787,0.02885735,0.84641623,-0.14744973,0.032762885,-0.07398844,-0.13048851
1968-12-01,-0.00569734,-0.03404039,0.02908051,-0.0067016482,0.021009088,1.0870717,-0.002349764,0.024133503,0.0046058297,-0.17527199
1969-01-01,-0.117661536,-0.047382176,0.003697753,-0.1541763,0.023406506,0.12729782,0.040518045,0.048309863,-0.029812276,-0.19435781
1969-02-01,-0.15208822,-0.027724266,-0.01117295,0.011082172,0.015309095,0.52783954,-0.09942967,0.024119496,0.018924952,-0.086901605
1969-03-01,-0.026858509,-0.0014458895,0.02951777,0.032624364,0.01887405,0.67878747,-0.132685,0.031962276,0.0042579174,-0.096374035
1969-04-01,-0.06464642,0.035934627,0.024985254,-0.04009956,0.0008458495,1.4918387,-0.031136394,0.03624016,-0.03841895,-0.06892431
1969-05-01,0.017448068,0.04087454,0.06679642,0.016073048,0.003901422,2.1660118,-0.24299318,0.0265131,0.029365003,-0.12163383
1969-06-01,0.012660921,-0.011885941,0.038175404,0.027531624,0.010318279,1.630055,-0.5117864,0.038175404,0.022031486,-0.056090713
1969-07-01,0.027378857,0.036545753,0.025545478,0.0506016,0.01566559,2.565484,-0.34856504,0.045356095,0.0048181415,-0.050335944
1969-08-01,0.022438943,0.029110372,0.049124718,0.024934351,0.027582526,1.6171196,-0.41696018,0.04342091,-0.010867417,-0.060012043
1969-09-01,0.03089279,0.038684666,0.017906427,0.008230269,0.020299971,2.014402,-0.13828701,0.04087454,-0.043613553,-0.09596664
1969-10-01,0.01566559,0.014239669,0.037717044,-0.022071362,0.018110096,1.4554768,-0.2936147,0.029670596,-0.011580408,-0.016469419
1969-11-01,0.019485116,0.04433757,0.031096518,0.011540532,0.021369457,1.1039779,-0.2534842,0.020096242,-0.054308236,-0.041372776
1969-12-01,-0.082980216,-0.053900838,0.034203053,0.027582526,0.022031486,0.26439363,-0.048095107,0.034304917,-0.10752708,-0.06016487
1970-01-01,-0.0060934424,-0.013188541,0.013620257,0.009443998,0.029741466,0.7329223,-0.08220887,0.018380284,-0.031330526,-0.14287668
1970-02-01,-0.1644764,-0.02679503,0.01766181,-0.016017616,0.029382229,0.29154262,-0.056702316,0.024622202,-0.00039035082,-0.07668543
1970-03-01,-0.05153817,-0.019610107,0.037061095,0.014787793,0.021927834,0.5843737,-0.041793585,0.022376895,-0.07610166,-0.06074387
1970-04-01,0.00823158,0.027406335,0.06292689,0.011644423,0.028708637,0.89476305,0.033468664,0.016224802,-0.029354632,-0.03941357
1970-05-01,0.0036062598,0.033872783,0.058930278,-0.007440567,0.03360337,1.4899902,-0.39749295,0.029741466,0.018649697,-0.05472648
1970-06-01,0.03589356,0.033962607,0.054933667,0.014787793,0.029427111,2.153205,-0.5041444,0.024891615,0.043572485,-0.02050817
1970-07-01,0.021927834,0.015326679,0.022556543,-0.015523672,0.017527044,1.6685808,-0.59085757,0.037510157,0.002708137,0.007063985
1970-08-01,0.027810514,-0.0033092499,0.07213259,0.055068374,0.035758853,1.450563,-0.30390906,0.030998826,-0.020463288,-0.013413072
1970-09-01,0.01954782,0.02498144,0.03126824,0.038498104,0.031627476,1.1680152,-0.3469289,0.03845322,-0.040176988,-0.041793585
1970-10-01,0.0057617426,0.024622202,0.053586483,0.04828757,0.01680857,0.85785043,-0.4899091,0.02269125,-0.0035337806,-0.031959176
1970-11-01,0.015865564,0.00886023,0.06966275,0.035758853,0.015102148,0.68177456,-0.24589074,0.0401147,-0.015119493,-0.0023662448
1970-12-01,-0.14750195,-0.0070364475,0.010656476,0.015416503,0.013530433,1.3941611,-0.040311694,0.023185194,-0.11189163,-0.06245029
1971-01-01,-0.07030541,-0.04031533,0.041794717,0.011477172,0.012600064,0.6795396,0.019805133,0.025092006,-0.022770464,0.017793357
1971-02-01,-0.06572032,-0.09206104,0.048953056,0.017606199,0.014471471,0.50619614,-0.029835165,0.026589155,-0.08523023,0.01606226
1971-03-01,-0.12050718,-0.093230724,0.03875363,0.024203062,0.016764045,0.48008937,-0.05598879,0.024998426,0.008763552,0.012693644
1971-04-01,-0.03442025,0.014424741,0.024109483,0.037724316,0.011102855,0.6669073,-0.15643907,0.01877582,-0.04162532,0.0013713241
1971-05-01,-0.030115902,0.0083425045,0.053725243,0.0130211115,0.024904847,1.5561289,-0.06380206,0.028928459,-0.02492261,-0.022817254
1971-06-01,0.018167615,0.014752209,0.027992785,0.031033874,0.021395862,1.6941954,-0.50181603,0.031033874,0.050496995,-0.008500576
1971-07-01,0.019664764,0.036507845,0.030893505,0.02308017,0.023548067,2.1302443,0.022191226,0.029068828,0.038332522,0.005020678
1971-08-01,0.029677093,0.022331595,0.038051844,0.043900132,0.02439022,1.3576611,-0.28711337,0.028460622,0.029396355,-0.009483099
1971-09-01,0.024109483,0.025747001,0.028133094,0.04993558,0.02317375,1.0158868,-0.38985622,0.03131461,0.009886444,-0.03058374
1971-10-01,0.020974815,0.028179884,0.018307984,0.036648214,0.018729031,0.89171576,-0.07423544,0.014331162,0.015313625,-0.02772981
1971-11-01,0.012366116,0.022050917,0.06261468,-0.06412959,0.023641646,0.60271645,0.054941714,0.021863759,-0.024127245,-0.022302568
1971-12-01,-0.032408416,-0.0065355897,0.02579379,-0.029507697,0.03440249,1.9143721,0.053210616,0.027010262,-0.006114483,-0.08289093
1972-01-01,-0.13732862,-0.053587854,0.013558924,-0.045316517,0.022909105,0.34708357,0.05414498,0.041712284,-0.027386725,-0.08949876
1972-02-01,-0.12802976,-0.12679678,0.04263699,0.009346187,0.02927959,0.15874386,-0.021992385,0.02059728,-0.029390335,-0.030726075
1972-03-01,-0.056362033,-0.050710857,0.01715517,0.036780298,0.01587081,0.6441835,-0.021273136,0.023166,-0.032215953,-0.007350564
1972-04-01,-0.050916314,-0.033911288,0.057176054,0.04263699,0.006982982,0.2842009,-0.12510145,0.029844701,0.0065205693,-0.04439175
1972-05-01,0.008729696,0.024142146,0.03862977,0.04926437,0.02193302,2.420002,-0.07608998,0.028406203,-0.06596911,-0.06643152
1972-06-01,0.028971314,0.02789247,0.008113205,0.014072657,0.01982665,1.9596331,-0.5777127,0.035084903,-0.0019048452,-0.008994579
1972-07-01,0.02393663,0.029741943,0.076492965,0.020237625,0.027841091,1.915194,-0.5610159,0.004414201,0.024810016,-0.06735623
1972-08-01,0.023988008,0.038116038,0.012017667,0.031796932,-0.032935202,1.4986992,-0.94673723,0.051678956,-0.025948226,-0.050762236
1972-09-01,0.025631964,0.034879446,0.060515404,-0.07151759,0.013045192,1.6784593,-0.6111062,0.02049452,0.0032839775,-0.06812686
1972-10-01,0.019621134,0.027019083,0.028714478,-0.081021905,0.008267343,1.7022457,-0.44311088,0.02727598,0.004516959,-0.056002438
1972-11-01,0.024398983,0.03518766,0.035598695,-0.012179792,0.02393663,0.97477984,-0.26627916,0.035547316,0.007342577,-0.07341844
1972-12-01,0.013250649,0.01720655,0.026659489,0.021984398,0.025631964,0.76707184,-0.009302795,0.02588886,0.0020509958,-0.1253069
1973-01-01,-0.035407126,-0.020482957,0.022995949,-0.049833775,-0.00894165,1.0249022,-0.0029720068,0.028468132,-0.0901289,-0.07540375
1973-02-01,-0.09281522,-0.07122499,0.02404064,-0.04013306,0.012101352,0.61792135,-0.116693854,0.031054974,-0.038143218,-0.13087177
1973-03-01,-0.083363295,-0.055654168,0.019812167,0.010161221,-0.028044522,0.5893665,-0.038242698,0.02488637,-0.02570641,-0.028591752
1973-04-01,-0.031327844,-0.006354809,0.04045719,-0.016702175,0.019662917,0.9489384,-0.19121498,0.04095465,0.003694117,-0.023318589
1973-05-01,0.016479135,0.037721097,0.04010898,-0.0039669275,0.026925981,1.5662003,-0.30414087,0.02642852,-0.028890252,-0.006852269
1973-06-01,0.016230345,0.033293605,0.030856013,0.014538944,0.019414186,2.3756847,-0.2535978,0.031154513,0.012648582,-0.050281465
1973-07-01,0.02488637,0.016976595,0.02528435,-0.020035267,0.02503562,1.3853695,-0.8843908,0.037372887,0.0016047359,0.011952102
1973-08-01,0.033890605,0.02498585,0.027622461,0.030358553,0.021702528,1.2337404,-0.21748143,0.028517902,-0.009886861,0.011504412
1973-09-01,0.028915882,0.0073256493,0.033990085,0.031651974,0.02647829,1.0914141,-0.6854523,0.02414018,-0.046301723,0.018618226
