,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11
1965-01-01,25.88794,19.646423,14.910278,28.868256,23.377167,21.72461,25.5177,24.097656,27.696686,22.846771,17.82721
1965-02-01,26.211761,19.89441,15.653229,28.981018,25.532684,22.426636,26.18332,24.923431,28.151245,23.712463,18.11612
1965-03-01,26.4393,19.589539,15.167725,28.87973,26.81253,22.190125,27.045044,24.899506,28.38974,23.19403,17.462952
1965-04-01,26.502655,18.78772,14.529053,29.258423,27.699677,21.708618,28.151245,24.57666,28.3638,22.893158,16.286896
1965-05-01,25.071625,16.961517,14.040588,28.854767,27.178253,19.944794,28.4516,23.206512,27.878296,21.196686,14.933228
1965-06-01,24.163513,16.066864,12.23584,28.793396,26.418823,18.64801,27.545502,22.222565,27.150818,20.06604,14.451721
1965-07-01,23.874634,14.813965,10.851227,28.385254,25.035706,17.799255,26.668304,21.134338,26.104004,19.11554,13.527649
1965-08-01,23.484436,14.253632,10.747925,28.505981,23.763367,17.003906,26.5271,20.636871,25.956787,18.6026,13.002747
1965-09-01,23.240936,14.753601,11.887573,28.474548,23.831207,16.464539,26.347473,20.11496,26.152374,18.048737,13.363007
1965-10-01,24.00534,15.297455,11.872589,29.109253,24.228394,17.401093,26.83548,21.095398,26.630402,19.137482,13.367981
1965-11-01,24.57965,16.000519,12.52475,29.577759,24.19397,18.0737,26.904816,21.483612,27.034546,19.804108,13.907867
1965-12-01,25.267242,17.420563,13.8454895,29.7948,24.33966,19.29367,27.303497,22.461578,27.653778,20.582489,15.36084
1966-01-01,25.959198,19.245026,15.931824,30.125153,25.171997,20.935913,27.043915,23.520416,28.320282,21.974762,16.876862
1966-02-01,26.065094,20.693848,16.558167,29.587585,25.779144,20.898102,27.298584,24.120544,28.097382,22.409973,18.58844
1966-03-01,26.49173,20.218323,16.025116,29.18515,26.319763,20.69992,28.079742,24.271332,28.348541,22.220367,18.165833
1966-04-01,26.106445,19.125,14.223785,29.787292,26.3732,20.832031,28.137726,24.161896,28.661194,22.325256,16.68927
1966-05-01,25.182587,17.230377,13.405304,29.724731,25.302612,19.911194,27.556793,23.302582,28.025269,21.502747,15.409882
1966-06-01,24.722168,16.042755,13.201569,29.371735,25.037842,17.917725,27.323792,21.803314,27.272858,19.683258,14.252533
1966-07-01,24.044891,15.41037,13.004913,28.871979,24.634918,16.008972,26.54013,20.65857,26.147797,17.641876,13.727539
