,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10,abs_vo850_cluster11
1965-01-01,-1.6834207e-05,-1.4106254e-05,-2.3051418e-05,7.96211e-05,2.7773567e-06,-4.7723774e-05,-7.9536774e-05,-2.287339e-05,-9.29163e-05,-2.9222598e-05,-5.723499e-05
1965-02-01,-1.3639632e-05,-1.7229044e-05,-2.2360457e-05,8.9213805e-05,5.6860787e-05,-4.721228e-05,-7.884581e-05,-2.1267128e-05,-8.081102e-05,-4.0861254e-05,-5.9603997e-05
1965-03-01,-1.5147181e-05,-1.3711424e-05,-2.5878076e-05,3.652127e-05,-9.5500676e-05,-5.55756e-05,-8.319798e-05,-2.1958089e-05,-8.933587e-05,-3.5001547e-05,-6.027701e-05
1965-04-01,-8.632405e-06,-1.269741e-05,-2.8659864e-05,-2.3789617e-06,5.0606242e-05,-4.915954e-05,-9.0654976e-05,-2.3223356e-05,-9.0376794e-05,-2.5337062e-05,-4.532712e-05
1965-05-01,-1.1109098e-05,-1.6995733e-05,-3.6009187e-05,-2.6715155e-05,4.647843e-05,-3.9521972e-05,-9.253941e-05,-2.374382e-05,-8.604258e-05,-4.8863963e-06,-4.8117887e-05
1965-06-01,-1.2832015e-05,-2.1491467e-05,-1.38804735e-05,-7.300957e-05,5.9741295e-05,-4.2456315e-05,-8.764884e-05,-2.3115672e-05,-8.6410495e-05,6.6804773e-06,-5.1662428e-05
1965-07-01,-1.4204967e-05,-1.9023746e-05,-2.130158e-05,-9.210522e-05,1.456857e-05,-3.7960574e-05,-9.122928e-05,-2.2658021e-05,-9.651468e-05,-1.2899758e-05,-4.9607494e-05
1965-08-01,-1.7516197e-05,-2.0818456e-05,-2.7107451e-05,-8.539303e-05,3.7020327e-05,-3.5573623e-05,-9.336498e-05,-2.5888496e-05,-9.792353e-05,2.4044244e-05,-5.990012e-05
1965-09-01,-1.9212193e-05,-2.2981074e-05,-2.9539273e-05,-8.463028e-05,3.6975463e-05,-4.385618e-05,-7.226822e-05,-2.4973195e-05,-8.499268e-05,-1.4703432e-05,-4.815378e-05
1965-10-01,-1.9642923e-05,-2.4039944e-05,-3.493236e-05,-8.422648e-05,5.0534458e-05,-4.236658e-05,-8.856414e-05,-2.4336076e-05,-8.7953944e-05,1.3501981e-06,-5.0271534e-05
1965-11-01,-2.349256e-05,-2.6938395e-05,-2.2046383e-05,-2.3161643e-05,2.8827497e-05,-4.58483e-05,-8.632973e-05,-2.3169514e-05,-8.215704e-05,-2.3676957e-05,-6.540987e-05
1965-12-01,-1.4536983e-05,-2.488346e-05,-2.4289764e-05,3.2079373e-05,5.1028e-05,-4.2833202e-05,-7.5166674e-05,-2.353743e-05,-7.2483585e-05,-1.0728161e-05,-5.63825e-05
1966-01-01,-1.8582368e-05,-2.3975552e-05,-2.5164647e-05,7.96388e-05,-5.3539698e-06,-5.1789637e-05,-8.0394166e-05,-2.5132396e-05,-7.882183e-05,-1.6066768e-05,-4.666406e-05
1966-02-01,-1.6024273e-05,-2.0358371e-05,-2.6125972e-05,7.442485e-05,-9.997653e-06,-5.1691874e-05,-7.126975e-05,-2.3038667e-05,-8.825583e-05,-6.086933e-06,-6.544244e-05
1966-03-01,-1.4834839e-05,-1.68471e-05,-2.9050674e-05,8.4249885e-05,-9.793977e-06,-5.368784e-05,-7.58401e-05,-2.4301424e-05,-9.0097004e-05,-2.3235954e-05,-5.8346573e-05
1966-04-01,-1.992659e-05,-1.5755426e-05,-2.8211552e-05,-3.303148e-05,-2.3716864e-05,-4.928042e-05,-8.406838e-05,-2.3885937e-05,-8.964079e-05,-2.227463e-05,-5.7841473e-05
1966-05-01,-1.5331794e-05,-1.7621043e-05,-2.1767433e-05,-6.485289e-05,8.0122285e-05,-5.338641e-05,-8.33759e-05,-2.0154699e-05,-0.000101404774,-5.573683e-06,-5.932419e-05
1966-06-01,-1.03703915e-05,-2.2297309e-05,-2.1612641e-05,-9.5688534e-05,8.0122285e-05,-4.2469695e-05,-9.1889306e-05,-2.4529532e-05,-8.96245e-05,1.9111127e-05,-6.1230545e-05
1966-07-01,-1.676563e-05,-1.533994e-05,-2.6264466e-05,-0.00010098396,2.8862596e-05,-4.3634685e-05,-9.131088e-05,-2.2264723e-05,-8.8899425e-05,1.4068255e-05,-5.707567e-05
1966-08-01,-1.7506989e-05,-1.8900091e-05,-2.3209415e-05,-9.855621e-05,3.4361692e-05,-4.2013475e-05,-9.155529e-05,-2.5116102e-05,-0.000118007956,3.4093096e-05,-4.815492e-05
1966-09-01,-2.2126225e-05,-1.9307432e-05,-2.8627039e-05,-7.741526e-05,-2.8156872e-05,-4.6314985e-05,-8.164877e-05,-2.6525498e-05,-9.0976864e-05,2.7306809e-05,-6.170306e-05
1966-10-01,-1.6635282e-05,-1.7050768e-05,-2.6288906e-05,-7.957416e-05,1.7986618e-05,-4.9150072e-05,-8.578735e-05,-2.316087e-05,-9.139235e-05,1.0415192e-06,-5.754004e-05
1966-11-01,-1.8199467e-05,-1.7898035e-05,-2.8789977e-05,-2.6668826e-05,-1.3375975e-06,-5.3272353e-05,-8.3636594e-05,-2.1295253e-05,-8.864688e-05,-1.7370256e-05,-5.2081683e-05
1966-12-01,-8.048553e-06,-1.2993662e-05,-2.8765537e-05,1.0374684e-05,2.4577377e-05,-4.989143e-05,-8.498896e-05,-2.2769824e-05,-8.028826e-05,-3.016888e-05,-5.794738e-05
1967-01-01,-1.295368e-05,-1.25767165e-05,-3.0326939e-05,0.00012942248,5.1682196e-05,-4.7600068e-05,-7.058156e-05,-2.4086066e-05,-8.626154e-05,-4.707835e-05,-5.8753132e-05
1967-02-01,-6.9223006e-06,-1.0836278e-05,-2.273157e-05,2.8444992e-05,-4.3967957e-06,-4.9998183e-05,-7.51051e-05,-2.1880443e-05,-7.946823e-05,-2.2263075e-05,-5.178336e-05
1967-03-01,-1.0924503e-05,-1.6081654e-05,-1.2762148e-05,0.00011792917,-1.627508e-05,-5.5796972e-05,-7.0798116e-05,-2.2137096e-05,-8.4104046e-05,-3.625074e-05,-5.1173804e-05
1967-04-01,-2.3636921e-05,-1.6346332e-05,-2.3726107e-05,-2.0006559e-05,-1.6331229e-05,-4.513779e-05,-7.587506e-05,-2.4471048e-05,-8.7079636e-05,-2.9569705e-05,-4.661017e-05
1967-05-01,-1.4341216e-05,-1.973898e-05,-2.3509556e-05,-5.5136137e-05,6.761884e-05,-5.6422567e-05,-8.994293e-05,-2.487207e-05,-8.351053e-05,9.8989385e-06,-5.3483695e-05
1967-06-01,-1.5423977e-05,-1.9618676e-05,-2.5258012e-05,-8.1780076e-05,6.604683e-05,-4.5546833e-05,-9.169139e-05,-2.4896131e-05,-8.880403e-05,2.1897535e-05,-4.9617836e-05
1967-07-01,-1.36915605e-05,-1.7308785e-05,-2.4271498e-05,-9.92005e-05,6.930314e-05,-4.2073978e-05,-8.781751e-05,-2.2201259e-05,-8.639789e-05,5.9288163e-06,-7.713601e-05
1967-08-01,-2.2377712e-05,-1.7429093e-05,-2.7624048e-05,-4.0907857e-05,9.7535136e-05,-4.7736416e-05,-7.772779e-05,-2.4912171e-05,-7.895491e-05,-8.9250625e-06,-5.8119516e-05
1967-09-01,-2.0204168e-05,-1.7685745e-05,-2.6846063e-05,-7.351099e-05,-4.4288754e-06,-4.775246e-05,-8.463339e-05,-2.7951924e-05,-8.655028e-05,6.8832474e-06,-4.4893794e-05
1967-10-01,-1.7910317e-05,-1.5792919e-05,-2.555477e-05,-3.4066412e-05,2.9345247e-05,-4.905177e-05,-8.7833556e-05,-2.345245e-05,-8.8218534e-05,-6.6472544e-06,-6.0966777e-05
1967-11-01,-1.6763393e-05,-1.901714e-05,-3.570866e-05,-2.8901239e-05,2.0610976e-05,-4.5314242e-05,-8.756888e-05,-2.3340164e-05,-8.3350125e-05,-2.6706404e-05,-4.7251804e-05
1967-12-01,-1.7677727e-05,-3.21787e-05,-2.7888722e-05,6.455307e-05,1.2470213e-05,-5.308606e-05,-8.0318394e-05,-2.3701085e-05,-9.002314e-05,-2.7853328e-05,-5.5023622e-05
1968-01-01,-1.2307841e-05,-1.3759518e-05,-2.8656226e-05,0.00010181386,-4.770753e-05,-4.9498976e-05,-6.5425455e-05,-2.3921266e-05,-8.758217e-05,-1.6280954e-05,-5.6665893e-05
1968-02-01,-1.3489653e-05,-8.511141e-06,-2.6571759e-05,0.000100092315,4.493005e-05,-5.1862608e-05,-8.353422e-05,-2.1632082e-05,-8.015628e-05,-2.1231552e-05,-6.2807616e-05
