,mgu500_cluster1,mgu500_cluster2,mgu500_cluster3,mgu500_cluster4,mgu500_cluster5,mgu500_cluster6,mgu500_cluster7,mgu500_cluster8,mgu500_cluster9,mgu500_cluster10,mgu500_cluster11
1965-01-01,-0.21573487,-0.4415718,-0.26787606,-0.25744763,-0.23691711,-0.96494025,0.10721569,-0.94571304,-0.80819017,-1.7620506,1.1594925
1965-02-01,-0.104608536,-1.353067,-0.55563086,-0.41582718,-0.44320107,-0.9580967,-0.98351574,-1.1705723,-0.3842163,-1.4478989,-0.62341464
1965-03-01,0.103630826,-0.8280691,-0.5184803,-0.51945764,-0.759634,-0.70651454,-0.06745777,-0.45069656,-0.46470928,-0.98318976,0.63058394
1965-04-01,0.23593941,-0.22909585,-1.1337475,-0.94571304,0.06419869,-1.3755529,0.5448767,1.0206664,-1.8011566,0.26038057,0.46633893
1965-05-01,-0.20693588,-0.20660992,-1.0483662,-0.010428238,-0.9607037,-0.1906416,0.4190859,0.4233223,-1.2787659,0.030633163,0.7993914
1965-06-01,-0.23463592,-0.03910599,-1.4195468,-0.45754012,-1.5075356,-0.2391983,0.80558336,1.1725277,-1.4987367,-0.522065,0.7772314
1965-07-01,-0.45232582,0.6224369,-1.3462235,0.7280232,-1.7265294,-2.073269,1.4342117,1.3602364,-2.9257793,0.09906845,1.735328
1965-08-01,-0.36107865,0.3389185,-2.154414,-0.15935707,-0.96526605,-1.8764356,1.5658687,1.8141916,-2.3916569,0.3754177,1.5238297
1965-09-01,-0.34999886,-0.5429214,-2.2482681,1.2442223,-0.77951276,0.13882618,0.9567932,1.0144743,-1.2966893,-0.4330988,0.39659995
1965-10-01,0.11601448,-0.6775112,-1.4065117,-0.13067913,-0.09450607,-0.6810959,0.4774189,-0.78472674,-1.004372,-0.35097617,0.34380683
1965-11-01,0.20041808,-0.004562378,-1.2302094,0.36303386,-0.9792789,-1.2047904,-0.45949537,1.305488,-1.0711781,-0.024115372,0.435054
1965-12-01,-0.090595625,-0.8173151,-0.90432584,-0.2919914,-1.3537185,-1.2243433,-0.24506398,0.1893383,-0.65567684,-0.78309727,-0.5680145
1966-01-01,-0.020350266,-1.1130276,-0.3022999,-0.50580215,-1.1002266,-0.017724227,0.6876419,-0.98206407,-0.7286705,-0.5632423,-1.6152195
1966-02-01,-0.24781342,0.4690407,-0.71849555,-0.12735328,-0.28194922,-0.066959,0.013129043,-0.6206829,0.0016410828,-0.992239,-0.41389808
1966-03-01,-0.10569,-0.16739693,-1.0897236,-0.37352562,-0.39617386,0.17790031,0.12932244,-1.4740803,-0.98206407,-0.69190866,-0.04037247
1966-04-01,-0.37319717,-0.92692125,-0.77232516,-0.17790031,-0.20941086,-0.052516747,0.21827297,1.8367748,-1.244976,-0.2031744,0.51630574
1966-05-01,-0.05284538,-0.058096696,-1.5265976,0.67319983,-1.3808632,-1.0959594,0.97549933,0.42604256,-1.0992416,-0.9538361,2.0442157
1966-06-01,-0.74934846,0.9659807,-1.520689,0.2225399,-0.5727612,-0.6275755,1.0657623,0.693878,-2.1728818,-0.21696015,0.9095251
1966-07-01,-0.4257141,1.1839254,-1.5531838,0.24059257,-1.6450886,-1.0857846,1.707452,1.7429008,-2.2365584,0.17888565,1.8512167
1966-08-01,-0.45492706,1.1845818,-1.7721134,-0.31280327,-1.3811916,-1.4166405,0.56915057,0.9617136,-2.075726,0.1956253,1.8423548
1966-09-01,-0.14048234,1.5420243,-1.8574531,0.97287333,-0.77823293,0.2872011,1.7179554,0.5763718,-2.1266017,-0.3052538,1.5823963
1966-10-01,0.20022011,0.08008804,-0.77298164,0.7161976,-0.75952417,-0.14868812,0.76116526,-0.06564598,-0.5021917,-0.92626476,1.1599646
1966-11-01,0.21236496,0.16411495,-1.1547127,-0.12111683,-0.63217086,0.0009845734,-0.4116003,-0.43260726,-0.0045951842,-0.3997839,0.6324989
1966-12-01,0.28720132,-0.6699171,-0.698473,-0.5684942,-0.34726715,-0.6492386,-0.14507751,-0.4854521,-0.23468438,-1.0247339,-0.37089977
1967-01-01,-0.20898819,-1.3528723,-0.44018134,-0.29421616,-0.4960205,-0.9747341,-0.046043016,-0.87121964,-0.61227036,-0.76443976,-0.059431076
1967-02-01,-0.40491486,-1.2297649,0.33699378,-0.8388916,-0.8673008,-0.43332404,0.091105655,-1.2771139,-1.041349,-1.3303407,-1.1683747
1967-03-01,0.20768204,-0.27462387,-0.11265755,-1.2872366,-0.24654083,-0.7735828,-0.052573778,-1.2718894,-0.83399355,-0.45912114,0.021225357
