,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6,mgv250_cluster7,mgv250_cluster8,mgv250_cluster9,mgv250_cluster10,mgv250_cluster11
1965-01-01,1.0714302,0.039295577,0.44490844,0.90939105,-0.3354105,-1.0277194,0.75014836,0.2005988,-0.16615996,-0.31083256,0.30244356
1965-02-01,0.5086349,0.08433096,1.1018951,-1.2056533,-0.79694974,-0.29302436,0.040767312,0.12377374,-0.484204,0.14305368,0.6596359
1965-03-01,-0.80357265,0.16954501,0.17219412,-0.31333447,-0.6257859,0.2697708,-0.05312996,0.39501628,0.35159987,-0.4633053,-0.045329668
1965-04-01,1.1195562,0.6640512,0.5586743,-0.9653174,-0.27536342,0.29199415,0.3446826,-0.16483545,0.38927647,-0.24607563,0.23827553
1965-05-01,0.118622586,0.30244353,0.29846984,-0.456388,-0.06622853,-0.12215481,0.57501066,0.45462194,0.25578922,0.3083306,-0.1117054
1965-06-01,-0.03178978,0.4425536,-0.007800293,-1.1713616,0.29950005,0.73557794,0.08859904,0.116415,0.6362353,-0.4635996,0.09654637
1965-07-01,0.5373341,0.0859499,-0.2245882,-1.1227942,0.08491969,0.20839901,0.82241094,0.24048309,0.84433997,-1.4726279,0.45197278
1965-08-01,0.27919,0.26506123,-0.2775709,-0.13981576,-0.3351163,-0.21899566,0.47684532,0.1895607,0.6263746,-0.7165925,-0.43033805
1965-09-01,0.12715873,-0.06240196,0.116415024,-0.27197847,-0.39472193,-0.5488135,1.1336849,-0.20545554,-0.20015725,-0.8489025,-0.46786767
1965-10-01,0.47846422,0.39692956,0.13643074,-0.2245882,-0.16822043,-0.6637569,0.093161486,0.3510111,-0.011626815,0.1296606,-0.5987057
1965-11-01,-0.15762386,0.09271991,0.35071677,0.36734748,-0.53910005,0.23327151,0.33997303,0.2925829,0.22576566,-1.0892384,-0.84375113
1965-12-01,-0.52335244,0.04120884,0.05342436,-0.8235884,0.08344791,-1.7550557,0.23930569,0.12907203,0.5009819,0.28507692,0.36381537
1966-01-01,0.24115968,-0.19964027,-0.28340238,-0.29757968,-0.31031045,-1.0537534,0.43776193,0.08925948,-0.08303876,0.5948702,-0.47146925
1966-02-01,0.29786912,0.19139428,0.25620502,0.6825382,-0.0011573553,-1.2774084,1.0904987,-0.00028934478,-0.37352985,0.6206207,0.27747107
1966-03-01,0.4128793,0.32955113,0.29569906,-0.45367533,0.13164687,-0.4127346,0.51819676,0.12426887,-0.8730645,0.2071629,-0.16014633
1966-04-01,0.48839512,0.4015952,0.29497567,-0.37729114,0.10430479,-0.35139585,1.0142593,0.4674186,-0.058734752,0.18228026,0.007088661
1966-05-01,0.32897243,0.60615414,-0.018951226,-0.3010517,0.25606036,0.72984433,0.44644195,0.9190687,1.1453274,-1.0806615,-0.20050831
1966-06-01,0.4571473,0.49403733,0.35703772,0.061917447,-0.19703627,-0.11240616,0.8778386,0.1571083,-0.47117996,-0.15841007,-0.44759932
1966-07-01,0.35819516,0.67863226,0.20238896,-0.05323734,-0.066836074,0.10401547,0.5166053,0.3139271,0.3798952,-0.4331326,0.21454087
1966-08-01,1.3092352,0.41996795,0.33953303,0.002025342,-0.3741085,-0.67082024,0.7132076,-0.29396304,0.14162883,-0.3529871,-0.055407334
1966-09-01,0.5086487,0.21931496,-0.23522834,0.48145136,-0.22495696,0.017794037,1.1046761,-0.07363544,-0.85917646,-0.19544491,0.13208084
1966-10-01,-0.029078007,0.4656826,0.1630396,-0.23334765,-1.0285814,-1.2260517,0.7982718,0.78163505,-0.9108226,-0.09244213,-0.32101578
1966-11-01,0.90040666,0.24940567,0.68543154,-0.3189904,-0.55523145,-1.0314747,0.28166646,0.094901465,-0.3592078,-0.07667351,-0.6141108
1966-12-01,0.5540741,0.11949484,0.80073106,-0.47537535,-0.28976783,-1.0946939,0.42126983,0.2572177,-0.73288226,0.7366438,-0.9002619
1967-01-01,1.007495,0.15237322,0.7746886,-0.35520443,-0.6807669,-0.32089964,0.46444687,0.4296425,-0.7995014,-0.58634555,-0.001332283
1967-02-01,-0.24929257,0.21165724,0.66244876,-0.7557045,-0.00099926,-0.9049137,0.18434663,-0.34171572,-0.8306421,0.17285614,0.3045799
1967-03-01,0.13638654,0.39716953,0.48826036,-0.25378886,-0.46278158,-0.5403837,-0.49142447,0.35653678,-0.22481294,-0.24063306,0.5317243
1967-04-01,-0.13771874,0.4261454,0.4259789,-1.2564546,-0.27710277,-0.48293152,-0.34954244,0.28476304,0.39883488,0.15853462,0.57768613
1967-05-01,0.5961704,0.52539617,-0.23130755,-0.7273947,-0.6233147,-0.7390517,-0.011823463,-0.45478827,-0.3397174,0.6671116,0.07676945
1967-06-01,1.7467133,0.37835184,0.10291443,-1.223149,-0.14621165,-0.726229,0.38567907,-0.3227315,-0.45212373,-0.54454684,0.30308113
1967-07-01,0.86811113,0.33705288,0.40299815,0.02964201,-0.1830144,-0.7015829,1.0309756,-0.10374699,-0.050458144,-0.759035,0.33055827
1967-08-01,0.2982518,0.013322258,-0.2328063,-0.231141,-0.5218991,-0.66910994,0.20233163,-0.058784485,-0.046128273,-0.95204115,0.7728569
1967-09-01,0.69808584,0.3025816,-0.18617849,-0.23263974,-0.42864332,-0.91473883,0.16736075,0.14521255,0.051956654,0.17868464,0.09575367
1967-10-01,-0.28676137,0.4011662,0.06344719,-0.08992519,-0.62448037,0.017152393,0.49991736,0.9855133,-0.14304762,0.017652,-0.56836045
