,r500_cluster1,r500_cluster2,r500_cluster3,r500_cluster4,r500_cluster5,r500_cluster6,r500_cluster7,r500_cluster8,r500_cluster9,r500_cluster10,r500_cluster11,r500_cluster12
1965-01-01,35.586094,12.412914,65.278625,28.468863,48.7198,19.888874,59.76011,15.492405,22.74723,20.38192,57.04098,57.702744
1965-02-01,33.939873,8.597946,77.30011,20.308208,59.706055,25.110905,52.45942,9.153236,33.066807,6.9910393,55.301395,60.934574
1965-03-01,37.14222,9.918198,77.50814,28.604818,52.3726,24.563803,48.33978,17.54158,24.498283,23.407356,37.28473,59.114723
1965-04-01,43.982624,7.393997,66.94941,15.741386,65.66847,45.926964,36.575462,25.277985,31.281355,40.659065,22.147713,70.23202
1965-05-01,45.101395,9.197464,68.33354,12.887939,51.225983,42.916267,30.360785,27.44837,31.464815,26.201832,39.582882,48.433144
1965-06-01,38.824474,5.382496,63.83061,17.859356,48.503582,47.967945,27.567947,21.471207,29.64988,13.335121,32.113472,56.600353
1965-07-01,48.23658,5.113861,70.46134,10.152435,47.484726,37.358437,6.902588,17.571064,26.192003,12.517746,32.34935,35.48945
1965-08-01,50.965538,3.4529,58.55452,15.195923,48.100624,35.9825,15.533356,12.552147,40.583717,9.916557,36.737625,48.456078
1965-09-01,42.903164,6.3079834,68.01577,7.489002,50.793545,27.900467,16.83395,21.615353,31.309202,6.8862076,28.632666,55.735474
1965-10-01,40.138172,5.490608,51.239086,11.31871,65.563644,42.92937,22.776714,16.639027,35.774467,11.418629,29.381243,63.054184
1965-11-01,44.93923,9.754395,52.74771,23.76936,61.856785,43.584583,39.722115,28.624475,43.57148,7.0532875,23.757895,44.82621
1965-12-01,32.160976,12.535767,74.06173,36.074226,53.84355,37.2061,35.82852,23.410631,31.05367,9.641369,25.875864,43.003082
1966-01-01,35.082584,10.404461,74.74849,45.835045,60.336906,54.730854,60.233486,16.534184,44.32149,18.788097,48.714405,50.712227
1966-02-01,35.26316,14.450996,73.23822,26.930416,58.834846,33.449196,52.087883,6.5368614,30.36956,12.169178,18.161007,37.385746
1966-03-01,40.772358,18.758549,78.281204,18.133099,57.2622,36.417206,42.187416,26.365707,35.03826,31.74686,34.711586,47.0252
1966-04-01,36.379448,12.802834,55.919373,12.9046135,59.023632,46.869247,35.051395,28.39472,30.55342,26.037388,44.48237,52.539326
1966-05-01,45.263767,7.0523224,74.257645,13.032658,40.859364,32.27381,21.821766,20.183453,26.991156,10.466843,36.12336,39.32119
1966-06-01,48.70127,4.228775,55.57628,17.072628,50.452854,32.50528,17.947598,9.504868,38.638283,8.9253845,28.892124,60.839237
1966-07-01,52.66737,5.3795357,63.996025,13.520214,54.596245,49.7601,8.662727,16.552242,25.572815,8.879417,15.841431,38.48069
1966-08-01,43.223263,4.9560013,70.27021,20.838451,42.581398,26.114542,10.2173195,21.739689,34.278202,5.3155136,28.356964,47.233685
1966-09-01,46.95133,6.190483,49.1248,20.646385,46.823284,22.069649,26.029179,19.791111,31.01635,4.732746,35.855778,38.772896
1966-10-01,49.97679,5.1546364,66.45021,16.752518,38.382195,14.918854,31.239607,13.249348,46.55406,4.1811676,38.239376,53.274757
1966-11-01,52.202797,14.739918,65.028595,29.491306,59.892036,19.081944,48.17596,18.284126,31.415258,8.92374,29.016886,57.034016
1966-12-01,46.59018,16.061405,69.64969,25.83383,37.779728,26.180206,48.192375,17.400948,34.906937,13.626915,33.027306,54.04959
1967-01-01,32.466183,11.584114,84.55058,28.728252,66.568665,20.093689,44.931576,14.337311,33.906967,12.448921,52.59492,70.65116
1967-02-01,30.084581,7.839428,76.885544,20.80141,58.9391,33.832645,51.40581,11.280079,23.04113,17.923222,44.696793,63.024975
1967-03-01,37.35437,12.702282,79.56274,29.665691,77.67941,36.726036,41.124393,8.3748665,19.132603,25.12545,43.632675,54.844772
1967-04-01,35.391663,14.746067,69.61238,7.21109,70.39949,34.545437,58.673912,25.12714,19.684929,11.315552,34.46605,55.21299
1967-05-01,38.335728,15.136246,63.36617,22.103691,58.329338,39.597466,44.766045,26.319628,30.886894,13.440411,20.4011,46.010895
1967-06-01,35.759884,3.7890205,62.655067,17.188473,44.26608,27.961412,19.948425,11.1517105,38.79009,10.594315,26.53583,31.510164
1967-07-01,47.900974,4.8345604,69.86574,17.96545,44.440056,31.77197,15.869305,14.041721,32.146946,9.8308525,26.856754,22.68642
1967-08-01,47.098663,3.2806091,75.44476,7.241497,53.77052,20.924713,34.347816,8.741398,28.088093,10.597694,21.13416,25.848375
1967-09-01,41.04163,5.371685,69.00093,5.954418,50.321423,17.134422,14.913288,16.97734,25.82304,7.1232605,28.650555,52.61857
1967-10-01,37.26823,6.3327713,69.793106,22.693176,50.65586,10.484524,17.749249,18.90289,34.58766,3.4478264,53.029015,62.17537
1967-11-01,43.607338,7.91037,59.873158,30.952768,64.07051,28.09147,53.427635,30.770348,30.142012,9.866322,22.19152,69.18673
1967-12-01,42.051697,20.907822,70.19004,32.48645,68.03309,47.76416,51.503777,21.931404,30.633532,20.740604,22.350296,51.540936
1968-01-01,29.155262,10.94931,82.388885,38.447365,59.999634,28.373007,57.915226,8.964699,45.58585,15.206646,58.56711,65.388504
1968-02-01,33.654037,11.462765,85.34246,49.86411,51.320778,22.84732,75.018616,17.901081,29.216425,9.511955,40.085915,66.95946
1968-03-01,35.170258,10.371471,60.51309,28.537184,41.315636,22.509308,62.644173,11.911839,37.365726,10.9316025,50.755817,63.318584
1968-04-01,48.051723,11.631771,64.53543,19.010082,52.067623,35.072075,53.683643,23.260983,39.805847,21.878353,24.11406,47.3419
1968-05-01,51.906666,9.94976,55.442913,30.254604,55.351166,32.021923,22.554377,20.614834,39.794582,12.760086,33.98561,31.959148
