,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10,ssta30_cluster11,ssta30_cluster12
1965-01-01,-3.534912,-0.4578247,1.9102478,-1.8190002,1.7600708,3.5079346,-7.863922,-5.613098,3.1721191,-1.0845337,-3.8083496,-0.022247314
1965-02-01,-2.875183,0.6609802,2.1708374,-0.072509766,1.6678772,2.9781494,-8.098816,-5.0421753,3.0759277,0.07220459,-3.215973,0.47335815
1965-03-01,-2.625122,-0.016540527,2.1813965,1.077179,0.9364929,2.7492065,-9.077179,-5.5126038,2.6124878,1.038269,-4.142456,1.4504089
1965-04-01,-2.9750977,-0.9293518,2.3892517,0.74768066,0.46923828,2.7799377,-10.392151,-6.4937744,2.6217651,1.7016907,-5.3132324,2.238556
1965-05-01,-3.5578918,-2.0515137,2.0599365,0.48867798,-0.37750244,2.7904053,-10.873688,-8.56897,2.5768433,1.3049927,-7.5036926,2.7240295
1965-06-01,-4.2779236,-3.3129272,1.5394592,-0.1979065,-0.8999634,3.215973,-11.880615,-10.012512,2.8841858,0.51312256,-8.294556,2.6411743
1965-07-01,-4.8278503,-3.7331238,1.4810181,-1.3236389,-2.0805664,3.2553406,-12.269379,-11.360779,3.342163,-1.0467224,-8.843506,2.608673
1965-08-01,-5.5568237,-4.3253784,1.7953796,-2.9337769,-2.627411,3.3471375,-11.920105,-12.069794,3.5746765,-1.7767029,-9.240662,2.156128
1965-09-01,-6.343445,-4.173462,1.7626953,-3.3561707,-2.3397827,3.3967896,-11.517181,-11.522186,4.2579956,-2.0533752,-9.400085,1.6878357
1965-10-01,-5.905548,-4.030945,2.0239563,-3.3119507,-1.9223328,3.2339172,-12.567688,-10.858765,4.237854,-2.0969849,-9.065979,2.2025757
1965-11-01,-6.3127136,-2.8808594,2.132721,-3.4082642,-0.8361206,3.6805115,-11.548828,-9.640778,4.4169617,-1.9727478,-8.203278,2.030426
1965-12-01,-5.691986,-1.8694153,2.3812256,-2.2815857,0.008178711,3.5043945,-10.13324,-8.009155,3.807251,-1.3130798,-6.783722,1.7340698
1966-01-01,-4.496338,-0.5850525,2.4487915,-0.8609009,0.9989319,3.6157227,-8.864532,-5.9017944,4.07312,-0.7494507,-5.1271973,1.8940735
1966-02-01,-3.856781,-0.380188,2.5331116,-0.2783203,1.3974609,3.095398,-8.109497,-5.580963,3.7207336,-0.4104309,-4.6717224,1.7897949
1966-03-01,-4.0379944,-0.3486023,2.7936707,-0.53015137,0.83950806,3.0135193,-8.298767,-5.648712,3.5097656,0.099731445,-5.323456,2.851654
1966-04-01,-3.9021912,-0.8940735,2.643036,-1.4634094,0.28546143,3.2260132,-11.107025,-7.0681458,3.3364563,0.31573486,-5.940033,2.6743164
1966-05-01,-4.428772,-2.4111023,2.2460632,-2.3631897,-0.6309204,3.3025513,-11.644714,-7.9431763,3.963684,0.22384644,-6.8513794,2.061493
1966-06-01,-5.6982727,-3.138977,1.986145,-2.9533997,-1.3275757,3.6074524,-11.836029,-9.627228,3.9508667,-0.7229309,-8.8168335,2.394104
1966-07-01,-6.630951,-3.7403564,1.8093872,-3.501831,-1.881012,3.66922,-11.127747,-10.6032715,4.394409,-1.423645,-10.904358,2.4972534
1966-08-01,-6.358917,-3.6362305,1.4450378,-4.185913,-1.6614075,3.3785095,-12.149689,-10.91922,3.9861755,-1.8731995,-9.840027,1.0133667
1966-09-01,-6.575897,-4.5007324,1.3521118,-5.0856934,-1.8970642,3.057129,-12.034882,-11.152863,3.9582825,-2.6590576,-10.298584,1.1897278
1966-10-01,-6.423218,-4.4121094,1.2818909,-5.1644897,-1.4629822,3.1679382,-11.949249,-10.9739685,4.0338135,-2.9612427,-9.264923,0.71658325
1966-11-01,-6.223175,-3.1011047,1.7431335,-4.698181,-0.86505127,3.185913,-11.141541,-9.7966,4.080536,-2.7753296,-8.700775,0.8838196
1966-12-01,-5.2445984,-1.9651794,1.9224243,-3.8996277,-0.10180664,3.5043945,-10.12616,-8.5043335,3.4554749,-1.850708,-7.0207214,0.94610596
1967-01-01,-3.9958496,-0.4555359,1.9439392,-2.2224426,1.2823486,3.8616028,-8.140167,-6.290619,2.7788086,-1.2613525,-4.9559326,0.5852051
1967-02-01,-3.200531,0.75650024,2.131256,-0.38839722,1.6174011,3.4674683,-7.6558533,-5.568939,2.3521118,-0.39892578,-3.22406,0.52960205
1967-03-01,-3.5524292,0.30194092,2.1654968,0.15570068,1.285553,3.5297546,-7.884552,-5.5316772,2.908722,0.31393433,-3.5143738,0.86486816
1967-04-01,-4.132263,-0.43014526,2.209198,-0.35403442,0.116760254,3.1948242,-9.21814,-6.6023254,2.9253845,0.8048706,-4.606018,1.5861816
1967-05-01,-4.7020874,-2.1809387,2.140686,-1.5744324,-0.889801,3.4919128,-10.54422,-8.267975,3.8710327,0.73135376,-5.922119,1.8281555
1967-06-01,-5.7703857,-3.3523865,2.0740356,-2.921692,-1.2764587,3.6250916,-9.989319,-9.789001,3.8174133,-0.24127197,-8.231415,2.0039368
1967-07-01,-6.5899963,-4.1354675,1.7382202,-4.2997437,-1.971405,3.3809204,-9.965576,-10.8905945,4.4882507,-1.4089661,-9.583923,1.6415405
1967-08-01,-6.637146,-4.958374,1.2017822,-5.5463257,-1.6789551,3.6668396,-10.5390625,-11.478607,4.1911926,-2.7862854,-9.813873,0.7319946
1967-09-01,-6.121155,-4.75589,1.3671875,-6.603424,-1.5957031,3.7811584,-11.345764,-11.046753,3.9629517,-3.109192,-9.42157,0.34951782
1967-10-01,-6.3463745,-4.3711243,1.1474609,-5.9717712,-0.72561646,3.538391,-10.416077,-10.968475,2.9309082,-2.9823303,-9.350311,-0.072052
1967-11-01,-5.9872437,-2.9126892,1.4680481,-5.036194,0.025665283,3.8900146,-10.553772,-9.100372,3.5654907,-3.1836243,-7.98703,0.5675659
1967-12-01,-4.804016,-1.2702026,1.6506042,-4.056305,0.9624634,3.9523926,-9.0329895,-7.099304,3.731018,-2.346466,-6.4477234,0.15563965
1968-01-01,-3.3312073,-0.15133667,1.7158203,-2.8914795,1.2469177,3.5908813,-8.089844,-5.639557,2.9117737,-0.9961548,-4.6073,-0.3303833
1968-02-01,-2.6434631,0.49334717,2.0321045,-0.9326172,1.4217529,3.1004639,-6.9510193,-5.1006775,2.5761719,-0.32720947,-3.9724731,0.22775269
1968-03-01,-2.7940674,0.23986816,1.8844604,-0.41549683,1.6188354,2.8667603,-7.1837463,-5.1701965,1.9917908,0.33187866,-4.3802795,0.08456421
1968-04-01,-3.6113586,-0.20892334,2.0524292,-0.91522217,0.70809937,3.2469177,-9.449249,-6.0947876,2.317047,0.49490356,-5.6689453,1.2773743
1968-05-01,-4.2183533,-1.4490051,2.0414429,-2.899231,-0.14224243,3.3086548,-10.587463,-7.394226,3.1731262,0.22375488,-7.148407,1.5656433
1968-06-01,-4.6908264,-2.1123962,2.1783447,-3.9632568,-1.0025024,3.5340576,-11.500122,-8.819824,2.9187622,-0.2180481,-8.047241,2.2644043
1968-07-01,-5.3229675,-2.5630493,1.8226624,-4.586487,-1.2468872,3.6369019,-12.596222,-10.285889,3.3361816,-1.1519165,-9.028107,2.1214294
1968-08-01,-5.9454346,-3.0400696,1.5291443,-4.3507996,-1.4602966,4.017517,-13.741486,-10.689728,3.1286926,-1.8203735,-8.636108,2.0430298
1968-09-01,-5.8150635,-4.068115,1.5254517,-4.793701,-1.9393005,3.9154053,-13.8628845,-10.784912,3.2358093,-2.189087,-9.328796,1.4210815
1968-10-01,-5.412567,-3.8080444,1.6860962,-4.774994,-1.8394775,4.224945,-13.023132,-10.549591,4.039459,-2.5141296,-9.443146,1.6940002
1968-11-01,-6.0229797,-2.4850159,1.9620056,-4.137512,-0.33099365,4.3633423,-11.749573,-9.05545,4.2590027,-2.4741516,-9.224609,2.1722412
1968-12-01,-5.0642395,-1.6914978,2.0086975,-3.4587402,0.5391846,4.0519104,-10.165161,-7.252899,4.4970703,-1.9393005,-6.67865,2.069519
1969-01-01,-4.3680115,-0.8387451,2.440796,-2.1924133,1.0420227,4.134918,-8.542816,-6.2226257,4.474884,-1.1520386,-5.1053467,2.2356873
1969-02-01,-3.4201355,0.42651367,2.5615845,-1.3973389,0.9987488,3.592743,-7.7636414,-5.205017,4.204956,-0.5267029,-3.7021484,1.9421997
1969-03-01,-3.400299,0.122283936,2.2835388,0.13922119,0.7073364,3.3233948,-7.6684265,-6.013275,2.6352844,0.44735718,-4.152008,1.8881836
1969-04-01,-4.225128,-1.0542908,2.1585999,0.21734619,-0.082092285,3.666626,-10.099701,-6.946808,2.9174805,0.8423767,-5.537262,1.7663574
1969-05-01,-4.4676514,-1.859314,2.24115,-0.99224854,-0.675354,3.5517578,-11.516449,-8.881409,3.3917542,0.9336548,-7.2226562,2.371399
1969-06-01,-4.9226074,-3.1023254,2.1323242,-1.565094,-1.0349121,3.5813599,-11.499634,-9.74707,3.817749,0.1859436,-8.202148,2.2989807
1969-07-01,-6.023712,-3.5394287,1.9305725,-3.3076782,-1.6212463,3.4970398,-11.032257,-10.41745,3.8493042,-0.78338623,-8.090088,1.3121948
1969-08-01,-6.4675903,-5.0477905,1.3390198,-3.9607544,-1.8759155,3.6766663,-11.972473,-10.841858,4.0643005,-1.7097778,-9.482544,0.6668091
1969-09-01,-6.5016785,-4.8634644,1.5059204,-4.773224,-1.9130859,3.4169312,-12.828003,-10.677521,4.1183777,-2.3017578,-9.602295,-0.061553955
1969-10-01,-6.2321167,-3.8211365,1.550415,-4.3482666,-1.325592,3.5404053,-11.855957,-10.724304,3.803955,-2.2408447,-8.772278,0.47210693
1969-11-01,-6.1734924,-3.1400452,1.6028748,-3.1759338,-0.1194458,3.7261963,-9.719147,-10.204712,4.015381,-2.0335388,-8.550079,0.5543213
1969-12-01,-4.9442444,-1.6872559,1.567688,-2.4794312,1.4574585,4.0176086,-8.672424,-8.234039,3.3910217,-1.7897949,-6.3717346,0.26119995
1970-01-01,-4.4184875,-0.7111206,1.9021606,-1.3490906,1.9321289,4.044342,-7.6128845,-6.4506226,3.4719849,-0.78652954,-4.7299805,0.55340576
1970-02-01,-3.3268738,0.20950317,1.8428955,-0.43307495,1.8206787,3.7025146,-6.878723,-6.047577,2.9390259,0.033355713,-3.5562134,0.31591797
1970-03-01,-3.497589,-0.71743774,2.0900574,-0.29541016,1.8565674,3.374237,-7.6688232,-5.918701,2.8618164,0.6338806,-4.545685,0.45721436
1970-04-01,-3.6940613,-1.6794739,2.2835999,-0.5580139,0.27572632,3.175171,-9.70166,-6.807373,2.7453918,0.9270935,-5.5903625,0.9493103
1970-05-01,-4.176758,-2.0774536,2.4501953,-2.6017761,-0.5644531,3.7705383,-11.423096,-8.290131,2.9352417,0.61898804,-6.652649,1.6226807
1970-06-01,-4.733856,-2.7104797,1.6994019,-4.5174255,-1.422699,3.7728882,-11.8923645,-9.490875,3.2180786,-0.8023071,-7.595093,1.0939941
1970-07-01,-5.203705,-2.9700928,1.208374,-5.511566,-1.6471863,3.841278,-12.172638,-10.075897,3.1929932,-1.8093872,-7.757599,-0.09234619
1970-08-01,-5.9881287,-3.4275513,0.93740845,-6.0253296,-1.4279175,3.6374817,-12.0448,-10.433655,3.3683472,-2.2967834,-9.835999,-0.3545227
1970-09-01,-5.995453,-3.8852844,0.83917236,-5.690155,-1.144928,3.8930664,-12.36673,-10.60318,3.118744,-2.8335876,-9.721405,-0.8060913
1970-10-01,-6.467987,-3.2141724,0.9673767,-5.574341,-0.59780884,3.820343,-12.433777,-10.476013,3.330658,-2.6965942,-8.919098,-0.7920227
1970-11-01,-6.3259583,-1.8230896,1.0205688,-5.0417786,0.5014343,3.7532043,-10.561249,-9.503845,2.901886,-2.6237488,-8.503784,-1.0983582
1970-12-01,-5.60141,-1.1786194,1.1335144,-4.080139,1.3008728,3.838745,-8.751923,-7.910431,2.4615784,-2.1533813,-6.84375,-1.3604431
1971-01-01,-4.2330933,-0.72821045,1.1984253,-2.6236877,1.7503662,4.059967,-6.998749,-5.9294434,2.3275146,-1.3503113,-4.7830505,-1.0770569
