,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6
1965-01-01,0.40670243,-0.042690657,-0.34576225,-0.06094017,-0.4005104,-0.13556747
1965-02-01,0.26917952,0.09320259,-0.011405945,0.15055808,0.041386794,-0.16359329
1965-03-01,0.22388153,-0.28645134,-0.1039566,-0.07658253,-0.068761066,0.18901253
1965-04-01,-0.037802506,0.27863044,-0.12383537,0.07234611,-0.5129402,-0.012709427
1965-05-01,0.15968266,0.051163483,-0.116666414,0.17467347,-0.03324013,-0.209869
1965-06-01,0.43342456,-0.1720665,-0.20009232,-0.29394683,-0.22909585,0.30404893
1965-07-01,0.16489716,0.022485351,-0.15837936,-0.38095778,-0.28612536,0.30795974
1965-08-01,0.05214157,0.38519365,0.061266325,-0.24604149,-0.31415138,0.013361359
1965-09-01,0.13524151,0.25875092,-0.12513924,0.016946029,-0.50577086,0.028351594
1965-10-01,0.19944057,0.020530319,-0.093854144,-0.0335659,-0.20823936,0.13002738
1965-11-01,0.24506417,-0.025093079,0.10167579,-0.2558182,-0.1808651,0.21834183
1965-12-01,0.2349617,-0.08961792,-0.0009777069,-0.2890583,0.048230745,0.23105125
1966-01-01,0.29671973,-0.1391693,-0.0311821,-0.027243042,-0.004266739,-0.11159782
1966-02-01,-0.21400604,0.28588828,-0.10569,0.13457413,-0.015098572,-0.15164223
1966-03-01,0.0019695282,0.2901554,0.12111664,0.2501114,-0.13326111,-0.38763922
1966-04-01,0.2707897,0.29146844,0.044639207,0.11586513,-0.4467209,0.06072235
1966-05-01,0.5005506,0.25733224,-0.17724419,-0.3334816,-0.018052673,-0.21564674
1966-06-01,0.34956512,0.17888527,-0.014441681,0.1772438,-0.20875397,0.05054741
1966-07-01,0.06794357,-0.0032829284,-0.03413582,-0.08501129,-0.158535,0.08238602
1966-08-01,-0.071554564,0.20153351,-0.13096389,0.0052516935,0.02067833,0.5182751
1966-09-01,0.0026260377,0.22614975,-0.1027359,0.45000324,-0.30722314,-0.038074873
1966-10-01,0.09584312,0.14606246,-0.055142593,0.26422518,-0.13949776,-0.17724419
1966-11-01,0.031181717,0.2090828,-0.030525208,0.22155532,-0.028227616,-0.20645638
1966-12-01,-0.085011676,-0.031510163,0.015098572,0.11061344,-0.3423439,0.0341362
1967-01-01,0.4215683,0.12212753,-0.19233437,0.13845482,-0.040164948,-0.09567757
1967-02-01,0.1348629,-0.15935364,-0.21127395,0.048001863,-0.17829323,0.03265419
1967-03-01,-0.02253151,-0.0013061523,-0.19462013,-0.19919205,0.15674095,0.032001495
1967-04-01,0.4976532,0.015021133,-0.19298744,-0.066615105,0.07053337,0.18123206
1967-05-01,0.11690273,0.17568092,-0.104494095,0.30238,-0.40915984,0.36409682
1967-06-01,0.121801,0.17274132,-0.21649857,-0.06890068,-0.32523805,0.21062088
1967-07-01,0.053879548,0.3569126,-0.023184586,-0.20702896,-0.48328513,0.18351746
1967-08-01,-0.14367943,0.052247237,0.0026123046,-0.09992256,-0.24752045,0.21127395
1967-09-01,0.55741084,0.17535439,-0.3076046,-0.28148118,-0.27070504,0.17012939
1967-10-01,0.1769867,0.13388328,-0.013388443,0.025470352,-0.43038502,-0.035266876
1967-11-01,0.19984512,-0.048002243,-0.055838775,-0.115270235,0.012408828,-0.06890068
1967-12-01,0.18025246,-0.06432915,0.070206836,-0.1469448,-0.43854865,0.12865868
1968-01-01,-0.28590697,-0.11852036,-0.25673255,0.04777298,-0.21661834,-0.25199166
1968-02-01,0.4664219,-0.15681115,-0.1404007,0.24068718,-0.009481812,0.11523819
1968-03-01,0.1852562,0.05652504,-0.01823349,0.107579805,-0.06746521,-0.107579805
1968-04-01,0.1276371,0.095545195,-0.1754097,-0.4288601,0.061265945,-0.14404754
1968-05-01,-0.3282093,-0.11815567,-0.08095856,-0.3176338,0.23631096,-0.23412284
1968-06-01,0.38947487,-0.11560287,0.12471924,-0.020786667,0.09663963,0.035373688
1968-07-01,0.16446953,-0.1874443,-0.13347244,-0.04266739,0.12690774,0.016410446
1968-08-01,0.054701615,0.26074448,0.054336548,-0.23740463,-0.43214265,0.15352936
1968-09-01,0.10794449,0.03610306,-0.07220612,-0.22719383,-0.08715782,-0.06272431
1968-10-01,0.37525254,0.14331818,0.0029174804,-0.1378479,-0.33039743,0.1655632
1968-11-01,-0.12873116,0.07111206,0.07767639,-0.2202652,-0.17431565,0.024798203
1968-12-01,0.13310699,0.33185655,-0.11377945,0.020786667,-0.28116608,0.055066682
1969-01-01,0.4007271,0.12406616,0.03217735,-0.31879044,0.12008514,-0.1210804
1969-02-01,0.30353087,-0.0971962,0.2773243,0.16453667,-0.16121979,-0.35395354
1969-03-01,-0.17183495,0.110133745,0.01890869,0.24979095,-0.23121452,-0.07463875
1969-04-01,-0.09089355,0.07928314,0.21131058,0.002322197,0.09089317,-0.2816368
1969-05-01,0.13733521,-0.35395354,0.027533721,0.03615837,-0.4405342,0.28827134
