,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7
1965-01-01,6.8829308,1.5986519,4.9779053,6.3047066,3.5610123,6.47015,2.519226
1965-02-01,6.4767,1.9360886,4.979542,6.0884895,3.7542992,5.96072,2.8501053
1965-03-01,6.322727,2.3423195,4.7698746,5.6773415,3.7657623,6.2883263,3.0073586
1965-04-01,5.6216507,2.0409203,4.247345,5.2219696,3.0827065,5.767433,2.2964516
1965-05-01,3.6723976,1.9131546,3.0614128,3.4070358,2.6994095,4.9975624,2.2342072
1965-06-01,3.5282516,1.5396843,2.3161087,2.7878609,2.1473923,5.261284,1.9737625
1965-07-01,3.6871376,1.1301765,2.6502686,2.8959732,2.3472328,5.3890495,1.7968559
1965-08-01,3.6560173,1.3807945,2.4815521,2.8288116,2.139202,4.972992,1.7296944
1965-09-01,4.0704384,1.1727676,2.4684448,3.115467,2.1015282,5.6773415,1.6084824
1965-10-01,4.969715,1.189148,2.9074364,3.7100716,2.4340477,6.727318,1.9557419
1965-11-01,6.260479,1.4921799,3.996727,4.9074707,3.2039223,8.032825,2.4799118
1965-12-01,8.833824,1.8099594,5.0663567,6.7453384,3.8542175,11.549671,3.000805
1966-01-01,9.188038,1.7893639,5.6142845,7.298561,4.0990906,12.151123,2.904007
1966-02-01,10.069576,1.738472,5.890072,7.8370056,4.2517586,13.183685,2.9762383
1966-03-01,8.378731,1.9962044,4.752445,6.369419,3.6739159,10.502956,2.9154968
1966-04-01,6.591034,2.0996246,4.5062065,5.4731064,3.5819855,6.3021126,2.8350601
1966-05-01,4.586643,2.3786964,4.291157,4.699913,3.713314,3.8873253,3.3521614
1966-06-01,3.9858208,2.0881348,3.9562721,4.171318,3.330822,3.2142677,2.6807518
1966-07-01,3.1075668,2.2605019,3.8676262,3.6098938,3.7051048,2.605236,3.012352
1966-08-01,2.674183,2.0946999,3.1108475,3.133831,2.8580437,2.2851257,2.4263039
