,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1965-01-01,-5.718777911497814,-1.070139876433781,-5.3725714683532715,-4.2740847190580755,-9.476654842251637,-7.105370847190299,-5.182701587677002
1965-02-01,-5.506174635178972,-0.7463542478425161,-2.887843608856201,-3.80358337277201,-8.363767432384805,-6.957914771103278,-5.198920196957058
1965-03-01,-5.8711642676060745,-0.2216187970978873,-0.896598219871521,-3.752759678870844,-9.622440963494974,-8.16449770113317,-6.026520888010661
1965-04-01,-7.060189353357448,0.7429792944874082,-1.4939955472946167,-4.424246835492855,-11.775264388225118,-9.790211189083937,-7.440527412626478
1965-05-01,-8.845908216910788,1.7182983458042143,-2.725712537765503,-5.319755945809826,-14.007727044527648,-10.82239965113198,-9.120257531603178
1965-06-01,-9.564112023551866,2.1504112652369907,-3.914716958999634,-5.939310033936306,-15.889680190164535,-11.815908478527534,-9.814998110135397
1965-07-01,-9.690335776546213,2.704493701457977,-5.302785396575928,-6.262372218375832,-17.309901362559835,-12.294640192171423,-10.435358391867744
1965-08-01,-10.390461494426916,2.464611189705985,-7.554673671722412,-6.752004403604102,-18.285944422737497,-12.413691311347776,-11.000383800930447
1965-09-01,-10.916751623153687,2.1236128040722435,-8.593908309936523,-7.436672126141069,-17.696370843981132,-12.401198177802854,-10.89969966146681
1965-10-01,-10.679998728308346,2.613511681556701,-8.410425186157227,-7.401858687367105,-17.108989152751985,-12.848781957858947,-10.670809454388088
1965-11-01,-9.766112341739163,2.301494138581412,-8.265101432800293,-7.127336065423974,-15.136182894472217,-12.206065945509005,-9.631595704290602
1965-12-01,-8.215177295231584,1.9550630024501254,-6.805256366729736,-5.891842917619248,-12.733002178004531,-10.356006389710961,-7.936225175857544
1966-01-01,-6.881286012064113,1.7959937453269956,-4.342289924621582,-5.11290355505447,-9.996947890422383,-8.474035960872,-6.3535547786288795
1966-02-01,-6.634022280721381,1.7122606081621985,-3.1577517986297607,-4.61344810632559,-9.834131647328862,-7.557766611983137,-5.422427283393012
1966-03-01,-7.10996153331039,1.9410729408264158,-3.713563919067383,-4.826709425826958,-10.21907564069404,-8.083512724899665,-6.258760266833836
1966-04-01,-7.710476086871458,1.5019215643405912,-5.6286516189575195,-5.21475767118359,-12.201567360612213,-10.554353202261577,-7.573852035734388
1966-05-01,-8.721660210354493,1.1706774788243428,-7.692554473876953,-5.975388320862438,-13.75040343550385,-11.561713567594204,-9.07182666990492
1966-06-01,-10.126403239693973,1.8919808523995534,-8.38793659210205,-7.1845067572270045,-15.38285427406186,-12.128848564334033,-10.180788305070665
1966-07-01,-11.04934575534103,3.036290620054517,-8.923442840576172,-7.607749428144947,-16.516228191188123,-12.284017190700625,-10.750425312254164
1966-08-01,-10.97674298994612,1.0429080043520245,-10.197723388671875,-7.805628838582276,-16.98417311809102,-12.552318340394557,-10.78880778948466
1966-09-01,-11.1823041840355,0.8894011378288268,-11.234199523925781,-8.070706417657671,-17.14400463416928,-12.82686256780857,-10.716558747821384
1966-10-01,-10.621129699272684,0.13910822038139614,-11.677164077758789,-7.7887371384719915,-16.906973963878194,-12.931615550343585,-10.423585600323147
1966-11-01,-9.978754921714858,-0.18299509372029985,-11.286136627197266,-7.306086882207189,-15.271907556252401,-11.912193530943336,-9.453846606943342
1966-12-01,-8.037511547013084,0.11817776997174534,-9.631477355957031,-6.031314978097899,-13.215030216779866,-10.103892117011839,-7.739765114254421
1967-01-01,-6.445143836559636,-0.884369175348963,-6.49761438369751,-5.085736014184909,-10.152658673583485,-7.604107624146997,-5.907875484890408
1967-02-01,-5.406574565585297,-1.0482376175267354,-3.3125407695770264,-4.184959795140573,-9.040734416148702,-6.719967795581352,-5.42393774456448
1967-03-01,-5.964178732126066,-0.42810650276286255,-3.1037073135375977,-4.500836241838619,-9.374896033865507,-7.224666200033049,-5.714777787526448
1967-04-01,-7.113780538634498,0.30740659151758465,-4.547790050506592,-5.148733525254608,-11.416309387957464,-9.06327584894692,-7.350646416346232
1967-05-01,-8.663334940919782,1.1021059538636888,-6.3795576095581055,-6.018469452318563,-13.241676424370437,-11.019499708966512,-8.969404518604279
1967-06-01,-9.953962340213284,1.6210143055234636,-8.326826095581055,-6.94087530692778,-14.99803222593714,-10.860696653040444,-9.90015893512302
1967-07-01,-10.732044618908722,2.0038811223847524,-10.605476379394531,-7.635281862042069,-16.39514829291672,-10.94741239780333,-10.23969128396776
1967-08-01,-10.84119949010339,0.7159966443266187,-12.120382308959961,-8.151777054929086,-17.093174183954957,-11.722725193674972,-9.808385385407341
1967-09-01,-10.601244586529118,0.12177675962448119,-13.17922306060791,-7.937765526016373,-16.56552025529205,-12.35136636873571,-9.81260590420829
1967-10-01,-10.332397600211719,-1.189247518777847,-12.560446739196777,-7.920305329750026,-16.243721618026985,-11.396110348585175,-9.16710835032993
1967-11-01,-9.168884600743208,-0.19700656245861733,-11.553340911865234,-7.373954443370595,-14.109992980957031,-11.207543349847562,-8.207114934921265
1967-12-01,-7.455017661104108,-0.7171393505164555,-9.811223030090332,-6.11833025831982,-11.573330691603363,-9.123655644858756,-6.643906540340847
1968-01-01,-5.989067271204278,-1.5788794628211429,-7.1451239585876465,-4.718373611367126,-9.195672879453566,-7.334593447243296,-5.392607423994276
1968-02-01,-5.761290658818613,-1.0748663118907382,-4.229968547821045,-4.196952546344084,-8.374197658945302,-6.455545890622023,-5.140291796790229
1968-03-01,-6.202216254602565,-1.9258888704436163,-3.687007427215576,-4.267736487259153,-9.198779551709285,-6.88655609037818,-5.0544454256693525
1968-04-01,-7.311451258045612,-0.659893559558051,-5.07673978805542,-5.32803349365476,-10.757040586627898,-9.044010464738056,-6.635159386528863
1968-05-01,-8.753432495759265,0.2550825210554259,-8.033289909362793,-6.072062348348522,-12.503185233131784,-10.76614565965606,-8.053055895699394
1968-06-01,-9.459061846874729,0.5126652440854481,-9.374756813049316,-6.575309933580424,-14.315593047220199,-12.05119970368176,-9.257320294777552
1968-07-01,-10.042062490293295,0.9064836161477224,-10.039259910583496,-6.770522481176109,-15.821842678257676,-12.810281427895152,-10.073347250620523
1968-08-01,-10.149739166297534,1.297191424029214,-10.00475788116455,-7.178379332318025,-16.63007228100886,-13.635908685079436,-10.173663450611961
1968-09-01,-10.417106954178008,0.7141381502151488,-10.553929328918457,-7.410868206714613,-16.744860273892762,-14.389079954566027,-10.450186643335554
