,mgu500_cluster1,mgu500_cluster2,mgu500_cluster3,mgu500_cluster4,mgu500_cluster5,mgu500_cluster6,mgu500_cluster7
1965-01-01,0.1580534,-0.48980254,-0.94571304,-0.17043686,0.2391983,-0.81275254,-1.5538113
1965-02-01,-0.23333244,-0.36042672,-1.1705723,-0.56312597,-0.9708061,0.13621941,-0.946365
1965-03-01,-0.40572453,-0.7042335,-0.45069656,-0.40539894,-0.068435475,-1.1122395,-0.9297447
1965-04-01,0.037802506,-0.21475716,1.0206664,-0.34902078,0.020856475,-1.0001354,-1.1402652
1965-05-01,0.89161646,0.2610325,0.4233223,-1.1389618,-0.41582698,-2.0322075,0.10884514
1965-06-01,1.1089804,-0.14664765,1.1725277,-2.107161,0.39171162,-2.223501,-0.48980254
1965-07-01,0.14143333,-0.24050179,1.3602364,-2.1599536,1.2279279,-2.4310887,-1.5394722
1965-08-01,1.0193627,-0.14925423,1.8141916,-1.3840259,0.0909214,-2.167775,-1.2670338
1965-09-01,1.6857936,-0.053118896,1.0144743,-1.1712242,-0.7987396,-2.268147,-0.16945934
1965-10-01,0.4914318,0.5113106,-0.78472674,-0.5008823,-0.4751377,-2.027971,-0.7016266
1965-11-01,-0.69022065,-0.018575286,1.305488,-1.1767639,0.12644272,-1.4237839,-1.1005074
1965-12-01,0.01173172,-0.15349083,0.1893383,-1.4980853,-0.75083506,-0.87304115,-1.2618196
1966-01-01,0.6603985,-0.02067833,-0.98206407,-0.9275776,-0.71619797,0.47462043,0.065317534
1966-02-01,0.1414669,-0.10404892,-0.6206829,-0.1667408,-0.12965088,-0.56225777,-0.6896111
1966-03-01,0.186763,-0.1920143,-1.4740803,-0.583593,0.0013126374,-0.9000065,0.27636987
1966-04-01,0.28785744,-0.2159752,1.8367748,-0.68961143,-0.30033034,-0.8753891,0.13818474
1966-05-01,0.78742373,0.33216897,0.42604256,-1.8390725,0.77298146,-2.6140234,-1.0555875
1966-06-01,0.20612831,-0.0091903685,0.693878,-0.91674614,1.2052605,-2.2001252,-1.2748451
1966-07-01,0.011816407,-0.30492553,1.7429008,-1.8820702,0.74639475,-2.0625968,-0.5392815
1966-08-01,0.055142593,-0.065317534,0.9617136,-1.4409294,1.4468377,-1.8994665,-1.049023
1966-09-01,1.2105118,0.023960114,0.5763718,-1.2288926,1.5807555,-2.4577858,0.24846992
1966-10-01,0.297048,0.32100868,-0.06564598,-0.700771,0.2924528,-1.9362282,-0.34989318
1966-11-01,-0.3751667,0.110285185,-0.43260726,-0.69781685,0.13227673,-1.6450884,-0.29803276
1966-12-01,0.11553688,-0.10175133,-0.4854521,0.24879837,-0.6810772,-0.8012093,-0.9265934
1967-01-01,0.12343369,-0.14008752,-0.87121964,-0.5401039,-0.80395144,-0.83334047,-1.0511456
1967-02-01,-0.17045632,-0.25111237,-1.2771139,-0.5420631,-0.47544822,0.13355637,-0.8287689
1967-03-01,-0.3810768,-0.15216942,-1.2718894,-0.5182255,-0.053879928,-0.6524353,-0.84803504
1967-04-01,0.42842597,0.19560012,-0.29780847,-0.36246377,-0.8728523,-0.8849346,-0.7905632
1967-05-01,0.07053356,0.08261566,-0.26482716,-0.27005196,0.10057564,-1.645456,-0.7990534
1967-06-01,-0.644598,-0.062043,-0.5975758,-0.8526066,0.5907181,-1.5145115,-1.28691
1967-07-01,-0.30531883,-0.3941391,0.57994235,-0.46924362,1.1791506,-1.8661995,-1.7950127
1967-08-01,-0.36964798,-0.40556756,0.16131286,-0.8708931,1.3463414,-1.1122093,-1.5282261
1967-09-01,-0.6948856,0.012734985,0.41079253,-0.851627,1.3107479,-2.105556,-1.2617664
1967-10-01,0.8539127,0.0016326904,0.6207603,-1.068779,-1.2245404,-1.5043888,-1.2725424
1967-11-01,-0.35038167,-0.19494668,0.036572836,-1.0152256,-0.35854548,-1.6846411,-0.17731342
1967-12-01,-0.6452511,-0.09861641,-0.5061432,-0.13616867,0.17306824,-0.64786375,-0.7706442
1968-01-01,-0.03573837,0.088616945,0.6035408,0.08715744,-1.2811108,-0.5203945,-1.3839496
1968-02-01,0.3176338,-0.16921082,-0.20932464,-0.47772676,-1.3307068,0.34243125,-0.7833263
1968-03-01,0.44235307,-0.66553575,-1.3252366,0.1728569,-0.83547515,-0.59770584,-0.30049402
1968-04-01,-0.7771271,-0.16373977,-0.77092725,-0.74284744,-0.32711563,-1.1501915,-0.86501426
1968-05-01,-0.5295113,0.038655855,-0.195467,-0.5459217,0.5415457,-1.5699348,-0.7089325
