,mgv600_cluster1,mgv600_cluster2,mgv600_cluster3,mgv600_cluster4,mgv600_cluster5,mgv600_cluster6,mgv600_cluster7
1965-01-01,0.061077405,-0.07447028,-0.17028084,0.12333219,-0.06961353,-0.057545234,-0.3767666
1965-02-01,0.07608922,0.21296147,-0.24018875,0.15953712,0.25417027,-0.33879563,-0.2813976
1965-03-01,0.12480392,-0.1592428,-0.23312438,0.078149654,0.20383668,-0.3822121,-0.4998045
1965-04-01,0.3361465,-0.13201551,-0.319663,0.0039737225,-0.16998652,-0.4117942,0.07461746
1965-05-01,0.08889341,0.07638355,0.062843464,-0.14055164,-0.25961575,0.2813976,0.035469055
1965-06-01,0.23489046,0.3978126,-0.20265922,0.13172117,-0.015011812,-0.12568697,-0.4379912
1965-07-01,0.4371082,0.12701158,-0.20427814,0.14791036,-0.3047983,-0.1542389,-0.7895911
1965-08-01,0.21355017,0.12539263,-0.304504,0.12480396,-0.17557915,-0.41503206,0.0984597
1965-09-01,0.24239635,0.19574206,-0.33747107,0.04488821,-0.11303,-0.1804358,0.20678015
1965-10-01,0.18617567,0.13952139,0.14923486,-0.07093811,-0.11759238,-0.1645411,0.15983148
1965-11-01,0.4219492,-0.16086169,0.068141796,0.21443322,0.115826294,-0.3595473,0.07108526
1965-12-01,0.08079877,0.05577912,-0.42268515,0.22944498,0.3944276,-0.2721256,-0.25917426
1966-01-01,-0.21888098,-0.13179155,0.11255081,0.032260705,-0.14293084,0.29193774,0.0091140745
1966-02-01,-0.38394585,-0.15349154,-0.19472162,0.008824682,-0.45237333,0.3126251,0.36557314
1966-03-01,-0.32564512,-0.05121205,-0.19067092,0.089114785,-0.07754145,0.07826476,0.008390665
1966-04-01,-0.12860885,0.18314824,-0.21367297,0.014611339,-0.32564506,0.35096177,-0.22293162
1966-05-01,0.48289794,0.041085385,-0.12672818,0.0098373415,0.10039878,-0.19240694,-0.30177504
1966-06-01,0.020976687,0.2645957,-0.028499413,-0.023146724,-0.12513682,-0.08491945,-0.34893647
1966-07-01,-0.24709101,0.13468485,-0.32434312,0.08853612,-0.21266028,0.1359869,0.06133871
1966-08-01,0.069729425,0.06278539,-0.34575376,-0.2230763,-0.28542775,-0.005063343,0.28933373
1966-09-01,-0.41808724,0.07956676,-0.4769667,0.041519403,-0.016202688,-0.013743306,0.12195416
1966-10-01,-0.27356502,0.14003754,0.1958789,-0.0432554,-0.26271504,-0.09229746,0.103870794
1966-11-01,-0.16752425,-0.22365499,0.13613153,-0.0681381,-0.12991086,-0.01837268,0.02039802
1966-12-01,-0.26517436,-0.489842,-0.27761573,0.29164842,0.33620578,0.13338284,0.051212072
1967-01-01,-0.13022499,-0.007160711,0.20283124,-0.08992517,0.03363868,0.19417176,-0.4904253
1967-02-01,0.09408836,-0.1119069,-0.4486267,-0.027810192,0.1292258,0.024313116,0.051790237
1967-03-01,0.14787693,-0.06727736,-0.22614512,0.019650316,-0.42248183,-0.031307288,-0.16319752
1967-04-01,0.20982537,-0.01465447,-0.24229845,0.021648657,0.11107425,0.14604516,-0.35703626
1967-05-01,-0.1675273,0.17868467,0.08442974,0.033305623,-0.09975038,0.27460486,-0.15653643
1967-06-01,0.14604512,0.22664475,-0.31174058,0.034637846,-0.30208197,0.29508778,-0.86144984
1967-07-01,0.21448822,0.023647,-0.46894312,0.16602853,-0.2484599,-0.46461335,-0.14754389
1967-08-01,-0.11806841,0.0711075,-0.35803542,0.20932582,0.10591187,-0.46794397,-0.14404681
1967-09-01,0.31007537,0.26827678,0.086761095,-0.045795213,-0.29375556,0.025478791,-0.21748571
1967-10-01,-0.17169045,0.16935907,-0.15670295,0.16103268,-0.46960926,0.058950942,0.13022494
1967-11-01,0.24629506,-0.4113244,-0.10174868,0.3069113,0.18884286,-0.058118343,-0.05228982
1967-12-01,-0.0016652584,-0.09908421,-0.53971756,0.32273144,0.2754375,-0.0634472,-0.29325598
1968-01-01,0.048981287,-0.15373912,-0.14878431,0.39170903,0.0055210353,-0.5007137,-0.13052252
1968-02-01,0.12542617,-0.044026565,-0.10461618,0.16506425,-0.302665,0.39921197,-0.3827905
1968-03-01,-0.18658209,-0.03751459,-0.19889817,0.22961769,-0.19932285,-0.059457112,0.14000733
1968-04-01,0.41761532,-0.009060144,-0.10957096,-0.16548893,0.22876835,-0.56441784,-0.36495343
1968-05-01,0.42044663,0.3924169,-0.09895358,-0.07149009,-0.26246062,-0.0954145,0.13717604
1968-06-01,0.15784445,0.20682578,0.30988473,0.16152516,0.389444,-0.012882424,-0.40926313
1968-07-01,0.0550686,0.118064836,-0.35108003,-0.30124933,-0.15119095,0.068375684,-0.066818476
1968-08-01,0.21234676,0.25495774,-0.6012246,-0.022650326,-0.1991813,0.19932286,0.17822975
1968-09-01,0.20441918,0.050963234,0.017837118,0.0050963284,-0.2657166,-0.49674997,0.12146239
1968-10-01,0.08352308,0.16393173,0.35589322,0.18063636,-0.03369236,-0.30804443,0.14821807
1968-11-01,0.19040427,-0.24306634,0.07233944,0.296153,-0.061580587,-0.18828085,-0.10291741
1968-12-01,0.0024065971,-0.25141862,0.0045300485,-0.057899892,-0.3707575,-0.36877558,-0.34697467
1969-01-01,-0.23423843,0.03255415,-0.1388472,0.018321157,-0.12007181,-0.03361397,-0.2293932
1969-02-01,0.26770106,-0.13809013,0.005753732,0.31963632,0.18563433,0.03770225,-0.2820855
1969-03-01,0.07782714,-0.06450264,-0.32978112,0.034825373,-0.16973582,0.33114383,-0.012415993
1969-04-01,-0.02059238,-0.13475904,0.4000376,0.024377728,0.058294654,-0.1538373,-0.43667984
1969-05-01,0.38005078,0.18790558,-0.4260808,0.1947192,-0.20758943,0.07964413,-0.17897215
1969-06-01,-0.041033365,0.17049292,0.46953678,0.016655613,-0.12325152,0.21076918,-0.5073905
1969-07-01,0.22742482,0.108412884,-0.3970092,-0.086457774,-0.22015691,-0.10235624,0.04118476
1969-08-01,-0.0398221,-0.00075707433,-0.4392539,0.10977562,0.10599027,-0.04936118,0.19002537
1969-09-01,0.07267904,0.18063769,-0.39352664,-0.1467208,0.05678048,-0.2778459,-0.114923716
1969-10-01,0.13672742,-0.108110055,0.15565427,0.2792086,-0.2118291,-0.35249332,0.012416005
1969-11-01,-0.3069175,-0.23817523,-0.30646324,0.23999222,-0.2940472,0.024832059,0.4810443
1969-12-01,0.2677011,-0.24483748,-0.29086754,0.0826724,0.06389694,0.052540876,0.09629972
1970-01-01,-0.41476497,-0.4116218,-0.059065033,0.16357481,-0.41738424,0.31523183,0.16553926
1970-02-01,-0.02174015,-0.0496356,-0.15388343,0.1583362,0.3006948,-0.2975516,-0.079102635
1970-03-01,0.24647541,-0.09992601,-0.032086324,0.11943972,-0.015060926,-0.28956276,-0.115379825
1970-04-01,-0.014275169,0.21805611,-0.2794785,-0.023573637,0.078709744,-0.17300424,0.076876186
1970-05-01,0.08905599,0.07072089,0.20260224,0.02488327,0.06286297,-0.3504613,-0.13279812
1970-06-01,0.21072206,0.11485598,-0.47304422,0.2050906,-0.32400647,-0.13777477,0.019513702
1970-07-01,0.3409009,0.19002965,-0.2509282,0.41162175,0.14838293,-0.4421366,-0.0069411276
1970-08-01,-0.17090884,0.17601645,-0.72868717,0.17470682,-0.0032740594,0.34928262,0.19553022
1970-09-01,-0.034967564,0.18845811,0.21556778,-0.11695137,0.23626018,-0.27908555,-0.06561327
1970-10-01,0.064696506,-0.0031431436,-0.039289378,0.061291434,-0.065351345,0.22290175,-0.02527616
1970-11-01,-0.0898417,-0.2756805,-0.24673733,0.20770988,-0.4558878,0.3800593,0.12048745
1970-12-01,-0.021740174,-0.17850478,-0.088794015,-0.0237046,-0.45156604,-0.006941116,0.17025395
1971-01-01,-0.27424043,-0.27452835,-0.31944332,-0.085943066,-0.23681131,0.66177595,0.33542266
1971-02-01,-0.07960892,-0.08277597,-0.59037274,0.061038304,-0.33412704,0.11199951,0.017274976
