,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7,r400_cluster8
1965-01-01,19.512127,42.302006,63.656975,34.005394,18.390076,27.102747,57.014774,32.488583
1965-02-01,9.018921,43.004723,50.053154,40.503452,13.654537,26.727638,61.956703,27.44837
1965-03-01,15.882256,43.458454,44.78362,35.785934,22.683348,29.69083,63.804398,52.290703
1965-04-01,26.40167,51.18667,33.980827,39.165184,27.402506,23.774275,68.292595,18.822517
1965-05-01,11.403889,56.027042,36.765472,41.969486,32.886623,32.198654,57.196594,11.618469
1965-06-01,10.308048,48.61169,20.599777,37.853123,28.418083,32.167526,56.31861,13.783943
1965-07-01,4.6552124,56.254726,9.711803,44.9507,22.951984,21.615353,67.31797,3.3906555
1965-08-01,11.623383,60.739647,31.907082,46.35285,15.833115,32.09709,56.92796,8.452164
1965-09-01,5.713379,50.128506,32.737564,50.21532,25.142027,19.235298,60.690506,11.179478
1965-10-01,8.8027,47.758278,55.02457,46.981853,23.625214,30.798138,44.93268,16.080456
1965-11-01,9.190914,49.55847,50.11704,40.469055,34.994766,34.96856,30.680199,29.590912
1965-12-01,8.807613,46.600193,47.386444,45.501076,28.979927,33.817024,53.62733,22.961813
1966-01-01,15.892319,42.39918,33.480385,33.92526,23.336962,29.92797,65.41765,51.071735
1966-02-01,10.305965,43.986607,25.170624,43.617245,18.399036,38.97481,64.13885,19.622028
1966-03-01,19.59412,45.283466,34.41281,50.507027,34.41281,27.416328,70.813576,29.92633
1966-04-01,19.237892,42.157867,34.939766,42.52394,28.17803,20.826958,36.56823,18.459778
1966-05-01,7.21484,56.81404,24.553385,46.17321,23.606182,23.149818,69.4412,16.381516
1966-06-01,9.493378,57.97465,44.646526,40.33077,15.468788,24.873495,48.574867,5.890072
1966-07-01,5.438633,62.2625,16.823105,42.210396,24.934235,27.641228,57.291748,4.5373955
1966-08-01,8.052055,43.205204,22.637642,41.609573,28.83631,31.585983,54.82607,6.694454
1966-09-01,6.2430153,51.25231,26.488827,37.989853,28.946297,25.32001,40.549103,9.020596
1966-10-01,6.3792686,56.466022,39.404907,53.65561,20.068542,35.90174,43.060745,12.036209
1966-11-01,9.649326,57.639763,44.459385,43.390705,31.538378,34.466988,47.27144,37.743614
1966-12-01,8.293369,59.10571,59.43403,41.630913,18.495892,26.5233,47.6211,40.027073
1967-01-01,17.538113,42.67497,44.864014,49.579918,18.134357,38.96575,70.83527,42.239185
1967-02-01,12.251301,34.450848,65.80351,33.42051,12.026653,26.46489,64.77655,45.16636
1967-03-01,17.590473,41.529774,45.97036,31.728054,14.739311,32.621574,58.670532,50.63897
1967-04-01,11.545265,44.48397,59.677223,33.927235,30.946012,22.13747,45.22885,26.99188
1967-05-01,10.778423,52.08144,36.3139,47.428032,31.18755,37.310455,38.649895,15.658169
1967-06-01,15.580471,38.489433,17.475616,46.86388,19.428192,51.578094,54.692757,7.1891327
1967-07-01,14.17347,56.564255,23.600212,50.424458,23.752232,30.368347,56.883488,7.41885
1967-08-01,8.80896,55.26873,23.22017,40.63456,15.546692,26.873646,51.287575,8.141773
1967-09-01,10.60107,55.424126,21.156116,42.79489,24.564676,11.688835,52.787476,8.993069
1967-10-01,5.403778,45.6697,38.940414,51.762207,22.911068,26.431107,60.114693,16.604053
1967-11-01,12.683704,48.610386,52.263863,49.750515,33.961014,24.115381,62.92701,32.530365
1967-12-01,15.979095,52.169273,41.57707,40.72915,32.167213,41.6953,53.105022,62.26658
1968-01-01,16.474995,45.292904,58.47858,51.380333,19.689323,33.8826,70.30255,40.14064
1968-02-01,8.729698,42.89141,63.461838,31.019156,27.521538,33.86006,79.84897,41.854843
1968-03-01,11.597969,46.630466,51.58475,44.550888,21.936298,48.44607,41.94015,55.195038
1968-04-01,19.690933,56.968796,54.562473,41.590874,29.190672,27.635818,61.07644,38.217194
1968-05-01,8.662098,64.42114,36.31628,58.610565,27.460375,36.90217,34.8242,23.99334
1968-06-01,7.7961426,48.808228,30.00673,36.28409,25.913568,30.954771,21.991024,9.849964
1968-07-01,13.146385,56.828762,18.36464,46.289234,27.957735,31.561583,57.324512,21.023666
1968-08-01,8.362713,64.57567,16.22229,46.04136,26.446339,19.447887,46.22968,8.328915
1968-09-01,6.801422,44.499382,32.852463,34.500675,26.649147,18.948917,58.388443,9.14819
1968-10-01,8.95665,53.34724,42.334496,43.451546,34.23831,25.78963,53.00279,26.552572
1968-11-01,15.105244,52.93519,21.54034,44.145275,29.594677,31.239666,60.54367,39.14431
1968-12-01,10.542084,46.632076,31.45535,39.72859,22.799032,35.02057,56.827152,25.668913
1969-01-01,12.700142,46.138184,51.39896,36.08454,41.283493,26.782923,66.26551,31.714485
1969-02-01,13.589191,41.831627,47.67564,33.853558,22.036858,30.198753,74.95549,40.783817
