,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8
1965-01-01,2201.868206521739,1896.6887572101343,1435.5546118507923,1349.2452799479167,1105.0068551275929,2603.463353866186,2075.094542211416,1337.875744304826
1965-02-01,2200.9341032608695,1898.870393271758,1432.8194631657132,1352.0565592447917,1104.0659808696098,2600.5643404447114,2080.367606026786,1338.1279599350112
1965-03-01,2202.1252176036005,1899.0288565091996,1432.5385295169456,1352.3802083333333,1105.2969853430336,2606.3199556790864,2077.7026118064414,1341.4852716226494
1965-04-01,2213.4711224099865,1899.0583473276868,1430.1547198228434,1359.7261555989583,1105.7447141955513,2602.502284905849,2076.427226163903,1344.6020615839327
1965-05-01,2210.985399329144,1898.5049238828854,1431.5025651958626,1356.7325032552083,1105.7853865311135,2602.7564415564902,2071.929308832908,1345.4523677319553
1965-06-01,2210.55908203125,1898.497394312208,1426.6438228983275,1364.3216959635417,1107.0493206707151,2595.5254970452725,2062.7067721619896,1348.2939053425748
1965-07-01,2203.105893342391,1893.2786602840245,1428.8249271016725,1360.1399739583333,1106.8815272968409,2579.13082807492,2052.2340112802935,1347.6198989733132
1965-08-01,2210.4805324388585,1901.4962169611565,1431.6717443331868,1358.798828125,1107.586989756755,2603.986378205128,2072.274095184949,1347.3241215258574
1965-09-01,2217.567775560462,1903.8931302935162,1441.2232304962588,1357.8883463541667,1108.1695823169691,2605.4959810697114,2075.223214285714,1347.787502592644
1965-10-01,2212.5720480213995,1907.4932918370325,1440.128895934199,1358.4974772135417,1107.6482647891648,2606.524501702724,2084.928302375638,1346.9671738886202
1965-11-01,2206.423684825068,1898.182806567611,1433.4429673745599,1352.2224934895833,1106.12824952238,2605.777525290465,2071.3134765625,1344.2842196574254
1965-12-01,2211.1134404721465,1900.199818833966,1435.32499931228,1352.400390625,1105.2197318930814,2615.622339493189,2073.9083426339284,1341.649769470755
1966-01-01,2208.258056640625,1900.420629198306,1437.279843612456,1353.5306803385417,1104.1716729709674,2610.073461288061,2076.9355618223854,1340.5960758175472
1966-02-01,2212.5947371773095,1903.0153078453561,1442.3116334727113,1349.089111328125,1104.7869686476529,2614.879432091346,2080.3223901865435,1340.7716194085317
1966-03-01,2205.3295633067255,1900.3663820641061,1437.2627365757044,1353.3661295572917,1104.5790759757097,2603.8334773137017,2078.2778370137116,1341.2677596100666
1966-04-01,2209.9241837211275,1897.867135021174,1433.1905741087148,1356.9130045572917,1105.5158057067072,2598.725460737179,2070.2892069913905,1343.8510590949945
1966-05-01,2196.395741338315,1893.3962242625582,1430.3790025308099,1359.3407389322917,1107.1953119669417,2586.3243689903843,2063.89197524713,1345.9561238246683
1966-06-01,2215.379399838655,1906.5251715829438,1438.0619532625442,1361.0132649739583,1108.244357046602,2609.249486678686,2078.5316934390944,1348.8039269911505
1966-07-01,2204.6409275220785,1897.4624205972545,1433.5119113116198,1356.3719075520833,1107.3451279552742,2592.864520733173,2061.9427116549746,1346.1941069206307
1966-08-01,2217.209525730299,1902.9776029497662,1437.9244092484596,1362.3934733072917,1108.8143161290598,2600.3756009615386,2073.356036750638,1348.7921790739078
1966-09-01,2216.956627887228,1905.7074716158002,1442.538924955986,1355.7691243489583,1108.643311079933,2611.0772548577725,2078.778698979592,1346.766271000415
1966-10-01,2213.95091181216,1906.2687098422896,1441.5845414282571,1357.5948893229167,1108.1239125614084,2609.7989595853364,2084.257413903061,1346.0485677803513
1966-11-01,2206.198518172554,1902.073598130841,1439.5788058428698,1352.688720703125,1106.5793766204968,2603.7783891726763,2081.5855687978315,1343.2773286262445
1966-12-01,2209.1362994650135,1901.766254745911,1435.5888259242959,1352.81103515625,1105.5567712242425,2609.3937800480767,2076.8179757254466,1341.7657632743365
1967-01-01,2203.766797936481,1901.2112341194509,1436.9521449988997,1348.589599609375,1105.508729359989,2604.3128380408652,2078.330152861926,1338.492658496958
1967-02-01,2209.4349736752715,1905.756242698598,1437.4350964183539,1353.239990234375,1105.8078682578807,2614.301476111779,2081.4027124521685,1340.009058049295
1967-03-01,2214.56126337466,1903.2812956337616,1438.6441083021568,1355.3550618489583,1105.511794444255,2616.2777631710737,2081.466612523916,1340.0190235239215
1967-04-01,2211.8917713994565,1900.8981294721086,1435.4320257482395,1359.8885091145833,1105.9478226707492,2609.554662459936,2081.822360291773,1343.4454723797014
1967-05-01,2214.31712274966,1901.7064745181074,1433.8389222051057,1360.58203125,1106.1674159687159,2601.5141413762017,2077.248211296237,1345.640037334071
1967-06-01,2221.318783967391,1908.9563102365653,1439.5634181062942,1363.186279296875,1108.3034998464793,2603.8563263721953,2082.0506816007655,1347.0441430015903
1967-07-01,2218.164593240489,1906.8019403475466,1438.3115096830986,1358.4613444010417,1108.244916757642,2611.529384515224,2075.217982700893,1346.9212894946074
1967-08-01,2214.677628226902,1911.0028703636096,1439.7132551166374,1355.97509765625,1108.7254153588974,2625.2169095552886,2084.817442602041,1346.7449897158463
1967-09-01,2205.459329356318,1907.8293274496202,1441.0041916538294,1355.6300455729167,1109.1531145520605,2599.8417780949517,2078.540661870217,1346.2734526237557
1967-10-01,2221.164205799932,1905.836672203563,1435.7572313765406,1357.9248046875,1107.8188433917849,2616.4710411658652,2077.134611168686,1345.6576727132883
1967-11-01,2202.1509585173235,1902.3810556001752,1435.0767323668574,1350.8907063802083,1106.5287494242973,2607.874474158654,2079.94384765625,1342.455946660675
1967-12-01,2202.472056513247,1898.547477365654,1435.6217505226673,1349.6774088541667,1105.8790315186613,2604.1358360877402,2073.2690927933672,1340.737671978706
1968-01-01,2203.8943083389945,1898.1542284243574,1439.8473605303698,1349.7548014322917,1104.673960323417,2603.3522385817305,2077.7356206154336,1337.3439012375554
1968-02-01,2210.515561311141,1897.8500794027452,1435.16845703125,1352.7569986979167,1105.363137857362,2601.8010066105767,2073.754260004783,1339.561124818515
1968-03-01,2213.484523607337,1905.4683507045852,1443.8610667913733,1354.1832682291667,1106.3654070858352,2618.537159455128,2083.045803770727,1341.009251417312
1968-04-01,2194.6722942849865,1896.8493310090537,1434.0740365041813,1351.2422688802083,1106.4187262256073,2598.170979817708,2075.2448879942604,1342.2487242031943
1968-05-01,2200.9370223335595,1898.590087890625,1432.0079534826145,1351.4596354166667,1107.0939109835563,2597.889122596154,2067.802335778061,1344.473131568031
1968-06-01,2195.8676545516305,1903.4687363098715,1437.334775253081,1356.0034993489583,1108.3530742528658,2596.7670147235576,2072.642299107143,1345.9361658687087
1968-07-01,2205.441947605299,1906.3084112149531,1435.2898396236797,1359.2123209635417,1108.2256600325804,2605.973620292468,2083.9563486527422,1346.8128575687915
1968-08-01,2201.8881092900815,1899.039067063376,1432.0597903829225,1351.3340657552083,1108.3496760072667,2590.8797826522436,2066.957185706314,1345.8988966140073
1968-09-01,2205.187590225883,1898.7674891391646,1430.0828530754843,1356.5972493489583,1107.6121501006414,2596.9560672075318,2069.109484614158,1346.8933375535814
1968-10-01,2205.648140285326,1905.2239248685746,1440.076199383803,1354.40625,1107.5912142424604,2605.630884415064,2082.437818877551,1346.0250719458656
1968-11-01,2200.6496263586955,1900.593295944071,1434.9613673250442,1348.955078125,1106.833432126774,2592.150722405849,2072.878592354911,1343.7385221498205
