,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv850_cluster9
1970-01-01,-0.07169254,0.07019949,-0.09705595,0.3868941,-0.79430085,-0.2589455,-0.06306927,0.14021856,-0.07701333
1970-02-01,-0.25684792,0.09944206,-0.037563514,0.607508,-0.7902038,-0.2980427,-0.09061878,0.23323935,-0.11674527
1970-03-01,-0.107332624,0.024988342,-0.08326059,0.38696778,-0.5432275,-0.17434506,-0.030352587,0.13424686,-0.027769133
1970-04-01,-0.08706726,0.0769921,-0.1941748,0.6572223,-0.46077397,-0.13354316,0.010569014,0.1868089,-0.10342631
1970-05-01,-0.03773456,0.03686331,-0.25077826,0.37619582,-0.525182,-0.101924896,0.13445586,0.12239658,-0.0403208
1970-06-01,-0.06381161,0.08313449,-0.33114114,0.52271426,-0.4071031,-0.06730703,0.1424241,0.22313412,-0.03568362
1970-07-01,-0.11173881,0.056009598,-0.3618616,0.54848284,-0.28183612,-0.10577697,0.17387956,0.28605217,-0.02833896
1970-08-01,-0.09255839,0.13999489,-0.29793602,0.43659306,-0.20352085,-0.14906769,0.13830684,0.20301627,0.0140959285
1970-09-01,-0.066933826,0.041849535,-0.21295251,0.59949714,-0.41824996,-0.16981149,0.071291365,0.2039435,0.05897473
1970-10-01,-0.011659986,0.099496834,-0.21588278,0.43062893,-0.4344959,-0.26379222,0.03151258,0.21111125,-0.022830542
1970-11-01,-0.05166895,0.17055795,-0.20336823,0.45138636,-0.6347733,-0.25853685,0.02733512,0.16734587,-0.09168869
1970-12-01,-0.060060043,0.13355297,-0.124547586,0.5515337,-0.83571357,-0.2919463,-0.09636107,0.18099621,-0.14215621
1971-01-01,-0.14043775,0.10574816,-0.13647519,0.50730586,-1.033528,-0.27814147,-0.07544394,0.13974074,-0.04255177
1971-02-01,-0.042112086,0.10501905,0.00040795753,0.17238277,-0.6109317,-0.22368376,-0.06481881,0.105788186,-0.09260979
1971-03-01,0.062877595,0.12136991,-0.02499832,0.4308374,-0.56289935,-0.24958746,-0.08151909,0.16904624,-0.24749881
1971-04-01,0.027691238,0.11439183,-0.15012127,0.49548256,-0.39177042,-0.14115049,-0.009941852,0.17615974,-0.15215112
1971-05-01,-0.11268932,0.0718686,-0.22596362,0.3881228,-0.20294803,-0.044590164,0.14360552,0.18122728,-0.028713653
1971-06-01,-0.042145826,0.094535075,-0.3148384,0.31495208,-0.45838958,-0.09028498,0.13182344,0.21329334,-0.026991628
1971-07-01,-0.12079534,0.1007262,-0.3539719,0.5963575,-0.32295796,-0.08922458,0.2149813,0.28325647,-0.13150834
