,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9
1965-01-01,-0.003679347,-0.0017661095,-0.0063284873,0.017808128,0.010743737,0.031495333,0.03223119,0.0011774063,-0.05151105
1965-02-01,0.024283791,-0.0432693,0.036204956,0.040767334,0.03782382,0.030465102,-0.016630698,0.037382316,-0.0774138
1965-03-01,0.023842264,-0.02560835,0.08859904,0.09963713,0.050922345,0.08580271,-0.033114243,-0.009271979,-0.042533446
1965-04-01,-0.12907203,0.047831703,-0.16763172,-0.06725869,0.0172194,0.100814484,-0.19809684,0.18470398,-0.028846193
1965-05-01,0.010449385,-0.08447814,0.06313787,0.055631973,0.079032704,0.10861476,-0.07137962,0.11155824,-0.16454105
1965-06-01,0.03532188,0.039001226,-0.023106385,0.067847446,0.050480843,0.067553066,-0.01839683,0.008977652,-0.16174476
1965-07-01,-0.1326042,0.07167399,-0.028404664,0.073292896,0.0426806,-0.087421656,0.050480843,-0.027816009,0.04062016
1965-08-01,0.047684528,0.00014715195,-0.034733176,-0.07034938,0.043710805,0.0260499,0.061077405,-0.01707225,-0.0061813234
1965-09-01,-0.101697564,0.02163465,-0.030906629,0.008977652,0.012362671,-0.0011773824,0.008094597,-0.0173666,-0.007211542
1965-10-01,0.041356016,0.091542505,0.07108526,-0.03517468,-0.0086833,0.039001226,0.04032583,0.019279862,-0.16910347
1965-11-01,-0.057692386,0.019868542,0.040031455,-0.11347153,0.0060341596,-0.03414445,0.013687218,-0.047978878,-0.012509823
1965-12-01,0.035174705,-0.04488821,0.09639931,-0.036646463,0.0016189336,-0.005886984,0.13819686,-0.03561623,-0.07299852
1966-01-01,0.003327322,0.003038025,0.03356271,0.0668361,0.0201087,0.012296701,0.026474047,-0.0014466762,-0.0091139795
1966-02-01,-0.029656697,-0.011718035,-0.054684065,0.06524477,0.006076002,-0.04311075,0.06972947,-0.04455743,0.050633382
1966-03-01,-0.057722043,-0.016636658,0.032984067,0.052080084,0.015768671,-0.020687342,-0.013454055,0.022568036,-0.030090714
1966-04-01,-0.07783079,0.0031826973,-0.07710741,0.08535347,-0.0185174,0.026329374,-0.1082108,0.027631378,0.060615398
1966-05-01,-0.0037613153,-0.19153896,0.1963129,0.26285967,0.047161438,0.0052080154,0.04455738,-0.0015913487,-0.06003666
1966-06-01,-0.039638735,0.24752502,-0.00824604,-0.19096026,-0.039060067,-0.0462934,-0.04238739,0.10806618,-0.13931417
1966-07-01,-0.052514054,-0.032984067,-0.03341808,0.037902735,-0.13135748,-0.02184472,0.18821159,-0.087668136,0.048318766
1966-08-01,0.024882698,-0.10155614,-0.100977466,0.011284018,0.011573315,0.027052712,0.039349366,0.12846418,0.04354472
1966-09-01,0.041519403,0.0603261,-0.08998279,0.08607678,-0.05425005,-0.007088685,0.033418037,0.00260396,0.104449466
1966-10-01,0.01678133,-0.036022045,0.090850785,0.034864713,-0.007088661,0.03978338,0.03356271,0.038047384,-0.06553407
1966-11-01,-0.047450732,-0.04643805,0.0041954042,0.023725366,-0.06987409,0.06886144,-0.052224733,0.1707069,-0.118192814
1966-12-01,0.007233334,0.08274941,0.048029374,-0.092152834,-0.042676736,0.08969345,-0.009548021,-0.021700049,-0.063219406
1967-01-01,0.0076602935,0.0048293113,-0.020982534,0.044296455,0.030974234,0.04629481,0.036136605,0.042464662,-0.05195676
1967-02-01,0.007993365,-0.006994188,0.031140756,0.016652811,0.021149063,0.050124954,0.008159881,-0.0646129,-0.030474639
1967-03-01,0.017318929,-0.0009991765,-0.08959212,0.050458025,0.024313103,0.0597836,0.010990858,-0.040965915,0.03646965
1967-04-01,-0.04113245,-0.066611245,0.09858461,0.07493764,0.043297302,0.07343888,-0.1890094,0.15936741,-0.102081716
1967-05-01,-0.060782768,0.13871789,0.023647,-0.10174868,-0.018484622,0.03164034,-0.14188193,0.054787755,-0.033472158
1967-06-01,-0.07460461,0.122231625,-0.30008364,-0.19400524,0.01815157,-0.13388857,-0.046128273,0.08343057,0.010990858
1967-07-01,0.03680272,0.086927675,-0.109242424,0.0074937344,-0.07743557,-0.20049982,0.13305593,0.017152404,0.0058284877
1967-08-01,0.011656964,-0.0033305646,0.06927566,-0.024146581,-0.0414655,-0.066611245,0.063613735,-0.10574536,0.037302293
1967-09-01,-0.03630309,0.06228151,-0.008659458,-0.052955914,-0.052955937,-0.021482121,-0.039134122,0.0639468,-0.019983375
1967-10-01,0.074937664,-0.013488782,-0.027144074,0.00033304692,-0.14321417,-0.049625386,0.025978398,0.011323905,-0.03164034
1967-11-01,0.019816851,-0.021315586,0.04229814,0.040133275,-0.0028309822,-0.04596175,0.049292315,-0.046461344,-0.0024979233
1967-12-01,-0.11090771,-0.0034970879,-0.031307288,-0.018817663,0.010158217,0.033805203,-0.056453027,0.016985869,0.032972567
1968-01-01,0.13632664,-0.04799037,0.056342673,0.07856832,0.0058041574,0.0050963284,0.027321935,-0.013165509,-0.13547727
1968-02-01,0.09583919,0.041195273,0.00042469503,-0.020809984,0.06384561,-0.0049547674,-0.033409238,-0.0151474,-0.029728556
1968-03-01,0.047424126,0.06936662,-0.09456511,0.011891413,-0.014864278,-0.0678094,0.037797738,-0.05039699,0.020809984
1968-04-01,0.16180825,-0.1473687,0.23499715,0.15204032,0.015005851,-0.03652364,0.013731718,0.05096321,-0.13745916
1968-05-01,-0.12882373,-0.13264596,0.17539845,0.1417061,0.008210731,-0.1636486,0.109287836,-0.06894193,0.056342673
1968-06-01,0.064695,0.1333538,0.08295681,-0.10235119,-0.037514616,-0.1669046,0.18375078,-0.13406162,-0.023216581
1968-07-01,-0.0018403411,0.02618947,0.085504964,-0.114101015,-0.009909535,0.04940603,-0.060731173,0.07460451,-0.080125526
1968-08-01,-0.008777047,0.082956836,-0.000990963,-0.06299622,0.0042469264,0.21744314,-0.13519411,0.11226068,0.070216015
1968-09-01,-0.022084057,-0.08946879,0.0962639,0.055634856,-0.010051084,-0.09895362,-0.03907181,0.01259923,-0.02746352
1968-10-01,0.049264453,0.05605955,0.032276727,-0.18091948,-0.009767962,-0.028454471,-0.09343257,0.061014306,-0.09314947
1968-11-01,-0.080408655,0.038505554,0.016421508,-0.05138793,0.0016987562,0.09145069,-0.039638065,0.028312922,-0.0906013
1968-12-01,-0.019252788,0.028029775,0.0036806823,0.019252777,0.024349093,-0.03893025,0.010617351,-0.045725346,-0.005379462
1969-01-01,0.103113376,-0.018623997,0.01695845,0.08342947,0.06919651,0.01559571,0.022106552,-0.015595722,-0.049815416
1969-02-01,0.07646439,-0.0024226427,-0.008479213,-0.04860411,0.008479213,0.021046614,-0.01801834,0.03876214,-0.03255416
1969-03-01,-0.024074912,0.029374432,0.010750437,-0.031040013,-0.005602336,-0.03134284,-0.016201366,0.052692294,-0.04860411
