,50,60,75,90
0,abs_vo850_cluster4,abs_vo850_cluster4,abs_vo850_cluster6,r700_cluster5
1,abs_vo850_cluster6,abs_vo850_cluster6,abs_vo850_cluster9,vo850_cluster6
2,abs_vo850_cluster9,abs_vo850_cluster9,r700_cluster3,vo850_cluster7
3,mpi_cluster8,mpi_cluster8,r700_cluster5,w_cluster9
4,msl_cluster4,msl_cluster4,vo850_cluster1,WP
5,r700_cluster3,r700_cluster3,vo850_cluster4,
6,r700_cluster4,r700_cluster4,vo850_cluster6,
7,r700_cluster5,r700_cluster5,vo850_cluster7,
8,vo850_cluster1,vo850_cluster1,w_cluster3,
9,vo850_cluster2,vo850_cluster4,w_cluster9,
10,vo850_cluster4,vo850_cluster6,WP,
11,vo850_cluster6,vo850_cluster7,,
12,vo850_cluster7,vws850-200_cluster4,,
13,vo850_cluster10,vws850-200_cluster11,,
14,vws850-200_cluster1,w_cluster3,,
15,vws850-200_cluster4,w_cluster9,,
16,vws850-200_cluster11,WP,,
17,w_cluster3,,,
18,w_cluster9,,,
19,WP,,,
